Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-01-06,NH,EQ,250.0,291.0,345.65,291.0,340.8,336.95,322.05,41383689,1332781667035000.0,471734,9031890,0.2182
2016-01-07,NH,EQ,336.95,337.0,360.0,325.3,326.5,330.7,343.24,11693085,401356392015000.0,152588,2602174,0.2225
2016-01-08,NH,EQ,330.7,332.5,340.5,324.1,328.0,327.4,331.44,3781532,125333244745000.0,60527,529889,0.1401
2016-01-11,NH,EQ,327.4,322.9,332.9,306.05,332.0,327.5,316.96,3393607,107563175234999.98,49648,696131,0.20510000000000003
2016-01-12,NH,EQ,327.5,331.0,336.0,324.1,328.0,331.8,330.24,1686299,55689110765000.0,27042,310234,0.184
2016-01-13,NH,EQ,331.8,331.85,334.3,317.4,325.0,324.95,325.7,1181491,38481164200000.0,21978,400380,0.33890000000000003
2016-01-14,NH,EQ,324.95,317.0,325.0,310.5,320.45,320.1,320.16,608372,19477600910000.0,39333,188629,0.31010000000000004
2016-01-15,NH,EQ,320.1,321.85,324.55,301.0,307.55,306.6,313.75,530956,16658776180000.002,10854,182768,0.3442
2016-01-18,NH,EQ,306.6,308.0,308.0,294.0,299.1,299.3,298.78,812523,24276767490000.0,16784,511827,0.6299
2016-01-19,NH,EQ,299.3,302.65,307.9,295.35,305.1,304.6,302.89,530489,16067820455000.002,13512,300106,0.5657
2016-01-20,NH,EQ,304.6,300.0,308.95,295.0,302.9,301.2,300.66,376656,11324615010000.0,20418,105137,0.2791
2016-01-21,NH,EQ,301.2,302.75,313.7,302.75,313.5,311.8,308.8,328864,10155415905000.0,11344,137372,0.4177
2016-01-22,NH,EQ,311.8,314.95,321.5,314.0,317.4,316.95,318.17,246903,7855699100000.0,9491,103590,0.41960000000000003
2016-01-25,NH,EQ,316.95,317.0,339.0,310.4,328.0,330.2,323.55,427034,13816837580000.002,15958,143621,0.33630000000000004
2016-01-27,NH,EQ,330.2,326.0,339.0,325.1,332.7,333.95,333.61,376817,12570832105000.0,17161,135029,0.3583
2016-01-28,NH,EQ,333.95,331.8,336.65,327.7,328.55,330.6,332.29,146200,4858142455000.0,8026,67114,0.45909999999999995
2016-01-29,NH,EQ,330.6,328.55,338.0,328.55,333.0,333.65,334.76,218252,7306197309999.999,12334,96680,0.443
2016-02-01,NH,EQ,333.65,334.0,336.5,328.2,328.2,330.7,331.82,405909,13469059885000.0,8306,328524,0.8094
2016-02-02,NH,EQ,330.7,329.95,335.0,328.6,332.0,331.75,332.03,700751,23267305375000.0,5617,627211,0.8951000000000001
