Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2013-05-02,NIBL,EQ,7.7,8.45,8.45,8.45,8.45,8.45,8.45,133,112384999.99999999,4,133,1.0
2013-05-03,NIBL,EQ,8.45,9.25,9.25,9.25,9.25,9.25,9.25,85,78625000.0,2,85,1.0
2013-05-06,NIBL,EQ,9.25,10.15,10.15,10.15,10.15,10.15,10.15,6522,6619830000.0,24,5518,0.8461
2013-05-07,NIBL,EQ,10.15,10.65,10.65,10.65,10.65,10.65,10.65,70,74550000.0,4,70,1.0
2013-05-08,NIBL,EQ,10.65,11.15,11.15,10.5,10.95,10.65,11.09,40563,44991440000.0,87,35321,0.8708
2013-05-09,NIBL,EQ,10.65,10.25,10.9,10.15,10.2,10.35,10.29,6398,6584435000.000001,38,5228,0.8170999999999999
2013-05-10,NIBL,EQ,10.35,10.85,10.85,9.95,10.45,10.35,10.22,8475,8664065000.0,22,8229,0.971
2013-05-11,NIBL,EQ,10.35,9.9,9.9,9.85,9.85,9.85,9.88,92,90895000.0,3,92,1.0
2013-05-13,NIBL,EQ,9.85,9.5,10.25,9.4,9.4,9.4,9.5,1719,1633835000.0,19,1654,0.9622
2013-05-14,NIBL,EQ,9.4,9.1,9.1,8.95,8.95,8.95,9.04,920,831375000.0,10,920,1.0
2013-05-15,NIBL,EQ,8.95,8.55,9.35,8.55,9.35,9.35,8.96,293,262490000.0,8,251,0.8567
2013-05-16,NIBL,EQ,9.35,9.0,9.75,9.0,9.6,9.55,9.38,1743,1635150000.0,20,1316,0.755
2013-05-17,NIBL,EQ,9.55,9.55,9.55,9.25,9.25,9.55,9.5,4236,4024365000.0,19,3411,0.8052
2013-05-20,NIBL,EQ,9.55,9.25,10.0,9.25,9.5,9.75,9.96,33370,33231825000.0,22,33150,0.9934000000000001
2013-05-21,NIBL,EQ,9.75,9.3,9.95,9.3,9.6,9.6,9.6,3281,3148530000.0,10,3131,0.9543
2013-05-22,NIBL,EQ,9.6,10.0,10.0,9.5,10.0,10.0,9.97,1243,1239520000.0,6,1243,1.0
2013-05-23,NIBL,EQ,10.0,10.0,10.0,9.6,9.6,9.6,9.76,2873,2804780000.0,26,2873,1.0
2013-05-24,NIBL,EQ,9.6,9.2,10.0,9.2,10.0,10.0,9.88,4843,4783750000.0,19,4843,1.0
2013-05-27,NIBL,EQ,10.0,10.0,10.0,10.0,10.0,10.0,10.0,500,500000000.0,1,500,1.0
2013-05-28,NIBL,EQ,10.0,10.0,10.0,9.5,9.5,9.5,9.55,1361,1299960000.0,15,1361,1.0
2013-05-29,NIBL,EQ,9.5,9.1,9.95,9.05,9.95,9.95,9.57,6280,6009200000.0,17,5055,0.8049
2013-05-30,NIBL,EQ,9.95,9.5,9.95,9.5,9.95,9.9,9.58,975,933770000.0000001,12,975,1.0
2013-05-31,NIBL,EQ,9.9,9.45,9.5,9.45,9.45,9.45,9.45,1401,1323950000.0,9,1401,1.0
2013-06-03,NIBL,EQ,9.45,9.45,9.9,9.0,9.9,9.85,9.35,234,218865000.0,8,168,0.7179000000000001
2013-06-04,NIBL,EQ,9.85,9.4,9.95,9.4,9.95,9.95,9.45,1277,1206515000.0,13,1242,0.9726
2013-06-05,NIBL,EQ,9.95,9.5,10.0,9.5,9.55,9.9,9.83,3450,3391194999.9999995,14,3400,0.9855
2013-06-06,NIBL,EQ,9.9,9.5,9.9,9.5,9.9,9.9,9.68,1910,1848000000.0,7,1910,1.0
2013-06-07,NIBL,EQ,9.9,9.45,9.95,9.45,9.45,9.45,9.65,1150,1109250000.0,9,775,0.6739
2013-06-10,NIBL,EQ,9.45,9.45,9.9,9.45,9.9,9.9,9.56,1825,1744145000.0,9,1825,1.0
2013-06-11,NIBL,EQ,9.9,9.45,9.45,9.45,9.45,9.45,9.45,100,94500000.0,1,100,1.0
2013-06-12,NIBL,EQ,9.45,9.3,9.5,9.0,9.5,9.5,9.49,27175,25785840000.0,42,27175,1.0
2013-06-13,NIBL,EQ,9.5,9.05,9.05,9.05,9.05,9.05,9.05,74,66970000.00000001,1,74,1.0
2013-06-14,NIBL,EQ,9.05,9.0,9.4,8.6,9.4,9.4,8.65,4829,4174819999.9999995,16,4829,1.0
2013-06-17,NIBL,EQ,9.4,9.5,9.5,9.5,9.5,9.5,9.5,2920,2774000000.0,9,2920,1.0
2013-06-18,NIBL,EQ,9.5,9.4,9.4,9.4,9.4,9.4,9.4,50,47000000.0,1,50,1.0
2013-06-19,NIBL,EQ,9.4,9.45,9.45,8.95,9.45,9.45,9.3,2651,2464455000.0,6,2162,0.8155
2013-06-20,NIBL,EQ,9.45,9.5,9.5,9.0,9.0,9.0,9.06,499,451950000.0,6,487,0.976
2013-06-24,NIBL,EQ,9.0,8.6,8.6,8.6,8.6,8.6,8.6,180,154800000.0,1,180,1.0
2013-06-25,NIBL,EQ,8.6,9.0,9.0,8.2,8.2,8.2,8.58,1050,901000000.0,3,550,0.5238
2013-06-26,NIBL,EQ,8.2,8.2,8.2,8.2,8.2,8.2,8.2,230,188600000.0,1,230,1.0
2013-06-27,NIBL,EQ,8.2,8.2,8.2,7.8,7.8,7.8,8.03,552,443039999.99999994,7,552,1.0
2013-06-28,NIBL,EQ,7.8,7.45,7.8,7.45,7.8,7.8,7.51,1101,827350000.0,9,1101,1.0
2013-07-02,NIBL,EQ,7.8,7.8,7.8,7.8,7.8,7.8,7.8,25,19500000.0,1,25,1.0
2013-07-03,NIBL,EQ,7.8,7.8,7.85,7.8,7.85,7.85,7.81,29,22650000.0,2,29,1.0
2013-07-05,NIBL,EQ,7.85,7.55,7.55,7.55,7.55,7.55,7.55,1028,776140000.0,3,1028,1.0
2013-07-08,NIBL,EQ,7.55,7.6,7.6,7.25,7.5,7.5,7.5,184,138010000.0,7,184,1.0
2013-07-09,NIBL,EQ,7.5,7.5,7.5,7.5,7.5,7.5,7.5,412,309000000.0,6,412,1.0
2013-07-11,NIBL,EQ,7.5,7.15,7.85,7.15,7.85,7.85,7.61,554,421450000.0,12,362,0.6534000000000001
2013-07-12,NIBL,EQ,7.85,8.2,8.2,8.2,8.2,8.2,8.2,105,86100000.0,2,105,1.0
2013-07-15,NIBL,EQ,8.2,8.2,8.2,8.2,8.2,8.2,8.2,387,317340000.0,5,387,1.0
2013-07-16,NIBL,EQ,8.2,8.5,8.6,7.8,7.8,7.8,8.31,80,66450000.0,3,80,1.0
2013-07-17,NIBL,EQ,7.8,7.5,7.5,7.5,7.5,7.5,7.5,75,56250000.0,1,75,1.0
2013-07-18,NIBL,EQ,7.5,7.5,7.85,7.5,7.85,7.85,7.63,131,100000000.0,3,131,1.0
2013-07-19,NIBL,EQ,7.85,7.8,7.8,7.8,7.8,7.8,7.8,112,87360000.0,2,112,1.0
2013-07-22,NIBL,EQ,7.8,7.85,7.85,7.45,7.45,7.45,7.61,561,426820000.0,9,561,1.0
2013-07-23,NIBL,EQ,7.45,7.5,7.8,7.5,7.55,7.6,7.56,56,42310000.0,13,56,1.0
2013-07-24,NIBL,EQ,7.6,7.5,7.5,7.25,7.3,7.3,7.43,466,346035000.0,6,466,1.0
2013-07-25,NIBL,EQ,7.3,7.3,7.5,7.3,7.3,7.3,7.34,71,52110000.0,17,64,0.9014
2013-07-26,NIBL,EQ,7.3,7.0,7.0,6.95,6.95,6.95,7.0,408,285475000.0,9,408,1.0
2013-07-29,NIBL,EQ,6.95,6.95,6.95,6.95,6.95,6.95,6.95,433,300935000.0,4,433,1.0
2013-07-31,NIBL,EQ,6.95,7.25,7.25,7.0,7.25,7.0,7.11,727,516725000.0,5,727,1.0
2013-08-02,NIBL,EQ,7.0,6.7,7.35,6.7,7.0,7.0,6.94,337,233715000.0,10,337,1.0
2013-08-08,NIBL,EQ,7.0,7.0,7.0,7.0,7.0,7.0,7.0,525,367500000.0,2,525,1.0
2013-08-12,NIBL,EQ,7.0,7.0,7.0,7.0,7.0,7.0,7.0,1475,1032500000.0,2,1475,1.0
2013-08-13,NIBL,EQ,7.0,6.65,7.35,6.65,6.65,6.7,6.65,8840,5880350000.0,15,8470,0.9581000000000001
2013-08-14,NIBL,EQ,6.7,7.0,7.0,7.0,7.0,7.0,7.0,9025,6317500000.0,15,9025,1.0
2013-08-16,NIBL,EQ,7.0,7.0,7.35,7.0,7.1,7.1,7.17,2117,1518820000.0,5,1067,0.504
2013-08-19,NIBL,EQ,7.1,7.0,7.1,7.0,7.1,7.1,7.1,794,563710000.0,6,794,1.0
2013-08-20,NIBL,EQ,7.1,7.0,7.4,7.0,7.4,7.4,7.3,1388,1013290000.0,12,1229,0.8854000000000001
2013-08-21,NIBL,EQ,7.4,7.1,7.4,7.05,7.4,7.25,7.12,3645,2593600000.0,11,2720,0.7462000000000001
2013-08-22,NIBL,EQ,7.25,7.2,7.25,7.0,7.25,7.25,7.06,1130,797290000.0,12,964,0.8531000000000001
2013-08-23,NIBL,EQ,7.25,7.6,7.6,7.05,7.05,7.05,7.42,75,55625000.0,2,50,0.6667000000000001
2013-08-26,NIBL,EQ,7.05,6.7,7.4,6.7,7.4,7.4,7.27,4187,3044800000.0,19,3132,0.748
2013-08-27,NIBL,EQ,7.4,7.5,7.7,7.05,7.05,7.05,7.54,732,552015000.0,7,532,0.7268000000000001
