Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-07-04,NKIND,EQ,39.85,37.9,37.9,37.9,37.9,37.9,37.9,325,1231750000.0,6,325,1.0
2016-07-05,NKIND,EQ,37.9,36.05,36.05,36.05,36.05,36.05,36.05,344,1240120000.0,8,344,1.0
2016-07-07,NKIND,EQ,36.05,34.25,34.25,34.25,34.25,34.25,34.25,154,527450000.0,6,154,1.0
2016-07-08,NKIND,EQ,34.25,32.55,32.55,32.55,32.55,32.55,32.55,128,416639999.99999994,5,128,1.0
2016-07-11,NKIND,EQ,32.55,30.95,30.95,30.95,30.95,30.95,30.95,239,739705000.0,10,239,1.0
2016-07-12,NKIND,EQ,30.95,29.45,29.45,29.45,29.45,29.45,29.45,2051,6040195000.0,27,1251,0.6099
2016-07-13,NKIND,EQ,29.45,29.0,30.9,28.0,30.9,30.55,29.38,2332,6852250000.0,17,1381,0.5922
2016-07-14,NKIND,EQ,30.55,32.0,32.0,30.0,31.9,31.1,31.41,2678,8412155000.0,21,2572,0.9604
2016-07-15,NKIND,EQ,31.1,32.65,32.65,31.75,32.65,32.65,32.25,2350,7578500000.0,13,1800,0.766
2016-07-18,NKIND,EQ,32.65,34.25,34.25,34.25,34.25,34.25,34.25,2262,7747350000.0,4,2262,1.0
2016-07-19,NKIND,EQ,34.25,34.5,35.85,34.5,35.8,35.8,35.36,1590,5621450000.0,8,590,0.3711
2016-07-20,NKIND,EQ,35.8,36.85,37.5,36.0,36.5,36.5,36.73,4560,16751150000.0,15,3310,0.7259000000000001
2016-07-21,NKIND,EQ,36.5,35.5,38.3,35.5,37.9,37.35,36.44,2580,9400815000.0,12,1580,0.6124
2016-07-22,NKIND,EQ,37.35,37.9,38.0,36.9,37.9,37.9,37.18,2690,10001000000.0,34,2190,0.8140999999999999
2016-07-25,NKIND,EQ,37.9,36.2,36.95,36.15,36.95,36.95,36.29,128,464520000.0,4,108,0.8438
2016-07-26,NKIND,EQ,36.95,38.0,38.0,37.85,37.85,37.9,37.93,10,37925000.0,2,0,0.0
2016-07-27,NKIND,EQ,37.9,37.95,38.0,37.95,38.0,38.0,37.97,1500,5695500000.0,2,1500,1.0
2016-07-28,NKIND,EQ,38.0,36.95,36.95,36.95,36.95,36.95,36.95,100,369500000.0,2,100,1.0
2016-07-29,NKIND,EQ,36.95,35.25,38.75,35.25,37.75,37.75,38.7,2977,11520775000.0,9,2977,1.0
2016-08-01,NKIND,EQ,37.75,36.0,37.95,36.0,37.95,37.95,36.39,125,454875000.0,2,125,1.0
2016-08-02,NKIND,EQ,37.95,37.95,37.95,36.5,37.0,37.0,36.95,770,2845500000.0,7,530,0.6883
2016-08-03,NKIND,EQ,37.0,35.7,36.0,35.25,36.0,36.0,35.46,325,1152500000.0,4,225,0.6923
2016-08-04,NKIND,EQ,36.0,36.45,36.45,35.0,35.0,35.0,35.81,175,626725000.0,3,175,1.0
2016-08-08,NKIND,EQ,35.0,35.95,35.95,34.0,35.0,35.0,35.12,475,1668375000.0,10,475,1.0
2016-10-13,NKIND,EQ,35.0,35.0,35.0,34.5,34.5,34.5,34.5,501,1728500000.0,3,500,0.998
2016-10-14,NKIND,EQ,34.5,34.6,34.6,34.5,34.5,34.5,34.57,1450,5012500000.0,4,1450,1.0
2016-10-17,NKIND,EQ,34.5,34.0,34.0,34.0,34.0,34.0,34.0,100,340000000.0,1,100,1.0
2016-10-19,NKIND,EQ,34.0,34.0,34.0,34.0,34.0,34.0,34.0,550,1870000000.0,3,550,1.0
2016-10-20,NKIND,EQ,34.0,34.6,34.6,34.6,34.6,34.6,34.6,1000,3460000000.0,1,1000,1.0
2016-10-21,NKIND,EQ,34.6,34.6,34.6,34.25,34.25,34.25,34.43,200,688500000.0,2,200,1.0
2016-11-15,NKIND,EQ,34.25,32.55,32.55,32.55,32.55,32.55,32.55,500,1627500000.0,1,500,1.0
2016-11-29,NKIND,EQ,32.55,34.0,34.0,34.0,34.0,34.0,34.0,1,3400000.0,1,1,1.0
2016-11-30,NKIND,EQ,34.0,33.9,33.9,33.0,33.0,33.0,33.44,1000,3344000000.0,4,1000,1.0
2016-12-01,NKIND,EQ,33.0,32.5,32.5,32.5,32.5,32.5,32.5,100,325000000.0,1,100,1.0
2016-12-06,NKIND,EQ,32.5,34.0,34.0,34.0,34.0,34.0,34.0,500,1700000000.0,2,500,1.0
2016-12-07,NKIND,EQ,34.0,34.0,34.0,34.0,34.0,34.0,34.0,100,340000000.0,1,100,1.0
2016-12-13,NKIND,EQ,34.0,35.5,35.5,35.5,35.5,35.5,35.5,250,887500000.0,3,250,1.0
2016-12-14,NKIND,EQ,35.5,34.5,34.5,34.5,34.5,34.5,34.5,100,345000000.0,1,100,1.0
2016-12-15,NKIND,EQ,34.5,34.0,34.0,34.0,34.0,34.0,34.0,20,68000000.0,1,20,1.0
2016-12-19,NKIND,EQ,34.0,35.7,35.7,35.7,35.7,35.7,35.7,10,35700000.0,1,10,1.0
2016-12-20,NKIND,EQ,35.7,35.5,35.5,35.5,35.5,35.5,35.5,202,717100000.0,3,202,1.0
2016-12-22,NKIND,EQ,35.5,36.0,36.0,34.5,34.5,34.5,35.81,5001,17908450000.0,8,4001,0.8
2016-12-23,NKIND,EQ,34.5,34.5,34.5,34.5,34.5,34.5,34.5,6,20700000.0,1,6,1.0
2016-12-26,NKIND,EQ,34.5,35.0,35.0,34.75,34.75,34.75,34.79,2750,9566250000.0,5,2000,0.7273000000000001
2016-12-27,NKIND,EQ,34.75,33.25,33.25,33.25,33.25,33.25,33.25,100,332500000.0,1,100,1.0
2016-12-28,NKIND,EQ,33.25,34.9,34.9,33.7,33.7,33.7,34.3,1000,3430000000.0,2,500,0.5
2016-12-30,NKIND,EQ,33.7,33.5,33.5,33.5,33.5,33.5,33.5,3,10050000.0,1,3,1.0
2017-01-03,NKIND,EQ,33.5,34.0,35.15,34.0,34.1,34.6,34.62,1001,3465900000.0,3,501,0.5005
2017-01-06,NKIND,EQ,34.6,36.0,36.0,36.0,36.0,36.0,36.0,100,360000000.0,1,100,1.0
2017-01-11,NKIND,EQ,36.0,37.5,37.8,35.0,36.0,36.0,36.22,322,1166180000.0,6,211,0.6553
2017-01-12,NKIND,EQ,36.0,36.4,36.4,36.4,36.4,36.4,36.4,10,36400000.0,1,10,1.0
2017-01-18,NKIND,EQ,36.4,38.0,38.0,36.0,38.0,38.0,37.2,2500,9300000000.0,4,1500,0.6
2017-01-19,NKIND,EQ,38.0,38.5,38.5,37.5,37.5,37.5,38.15,1550,5912500000.0,5,1000,0.6452
2017-01-20,NKIND,EQ,37.5,37.5,37.5,37.5,37.5,37.5,37.5,100,375000000.0,1,100,1.0
2017-01-24,NKIND,EQ,37.5,38.0,39.3,38.0,39.3,39.3,38.68,661,2556430000.0,5,406,0.6142000000000001
2017-01-25,NKIND,EQ,39.3,41.25,41.25,39.0,39.0,39.0,40.13,400,1605000000.0,2,200,0.5
2017-01-31,NKIND,EQ,39.0,38.5,38.5,38.5,38.5,38.5,38.5,200,770000000.0,2,200,1.0
2017-02-01,NKIND,EQ,38.5,38.75,38.75,38.75,38.75,38.75,38.75,100,387500000.0,1,100,1.0
2017-02-02,NKIND,EQ,38.75,38.5,38.5,38.5,38.5,38.5,38.5,100,385000000.0,1,100,1.0
2017-02-03,NKIND,EQ,38.5,38.5,38.5,38.5,38.5,38.5,38.5,250,962500000.0,2,250,1.0
2017-02-07,NKIND,EQ,38.5,38.5,38.5,37.5,37.5,37.5,37.79,140,529000000.0,2,140,1.0
2017-02-08,NKIND,EQ,37.5,39.35,39.35,37.5,37.5,37.5,38.51,300,1155185000.0,5,300,1.0
2017-02-09,NKIND,EQ,37.5,37.5,37.5,37.5,37.5,37.5,37.5,200,750000000.0,2,200,1.0
2017-02-10,NKIND,EQ,37.5,37.5,37.5,37.5,37.5,37.5,37.5,100,375000000.0,1,100,1.0
2017-02-17,NKIND,EQ,37.5,35.65,35.65,35.65,35.65,35.65,35.65,88,313720000.0,1,88,1.0
2017-02-20,NKIND,EQ,35.65,37.4,37.4,37.4,37.4,37.4,37.4,188,703120000.0,2,188,1.0
2017-02-21,NKIND,EQ,37.4,35.8,35.8,35.8,35.8,35.8,35.8,100,358000000.0,1,100,1.0
2017-02-22,NKIND,EQ,35.8,37.55,37.55,37.55,37.55,37.55,37.55,100,375500000.0,1,100,1.0
2017-02-27,NKIND,EQ,37.55,36.0,38.75,36.0,38.75,38.75,36.58,750,2743750000.0,5,600,0.8
