Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,NOIDATOLL,EQ,34.3,34.7,34.9,33.9,34.2,34.05,34.17,1494552,5106959460000.0,,733833,0.49100000000000005
2010-10-05,NOIDATOLL,EQ,34.05,34.35,34.8,33.8,34.25,34.25,34.27,1078659,3696278665000.0,,441363,0.4092
2010-10-06,NOIDATOLL,EQ,34.25,34.5,36.1,34.3,35.4,35.3,35.55,5272901,18746282430000.0,,1942725,0.36840000000000006
2010-10-07,NOIDATOLL,EQ,35.3,35.6,36.0,34.75,35.05,35.1,35.25,1730405,6099389890000.0,,824518,0.4765
2010-10-08,NOIDATOLL,EQ,35.1,35.4,35.55,34.1,34.7,34.7,34.93,1363568,4762954000000.0,,563265,0.4131
2010-10-11,NOIDATOLL,EQ,34.7,35.0,36.6,35.0,35.35,35.5,35.91,2992161,10746248175000.0,,1462441,0.4888
2010-10-12,NOIDATOLL,EQ,35.5,35.5,35.75,34.75,34.9,34.95,35.05,944748,3311497265000.0,,488192,0.5167
2010-10-13,NOIDATOLL,EQ,34.95,35.6,35.65,34.95,35.25,35.2,35.24,942758,3321913835000.0,,412333,0.4374
2010-10-14,NOIDATOLL,EQ,35.2,35.0,35.5,34.45,34.85,34.7,34.9,1060510,3701305140000.0,,484538,0.4569
2010-10-15,NOIDATOLL,EQ,34.7,34.75,34.85,33.9,34.2,34.05,34.22,826468,2828244950000.0,,411969,0.4985
2010-10-18,NOIDATOLL,EQ,34.05,34.4,34.55,33.45,33.65,33.8,33.83,912439,3086437415000.0,,494613,0.5421
2010-10-19,NOIDATOLL,EQ,33.8,34.0,34.45,33.5,34.0,33.85,33.96,691369,2347560325000.0,,296544,0.4289
2010-10-20,NOIDATOLL,EQ,33.85,33.75,34.55,33.55,33.6,33.75,33.96,771084,2618932630000.0,,359097,0.4657
2010-10-21,NOIDATOLL,EQ,33.75,33.6,34.05,33.1,33.4,33.45,33.49,824229,2760087165000.0,,454337,0.5512
2010-10-22,NOIDATOLL,EQ,33.45,33.5,34.5,33.15,33.45,33.4,33.77,1432899,4839361160000.0,,793855,0.554
2010-10-25,NOIDATOLL,EQ,33.4,33.6,33.9,33.05,33.05,33.15,33.35,570430,1902130950000.0,,332574,0.583
2010-10-26,NOIDATOLL,EQ,33.15,32.75,33.65,32.75,33.0,33.0,33.06,572940,1894402585000.0002,,295169,0.5152
2010-10-27,NOIDATOLL,EQ,33.0,33.0,33.25,32.65,32.7,32.75,32.86,432376,1420692335000.0,,266159,0.6156
2010-10-28,NOIDATOLL,EQ,32.75,32.75,33.0,31.8,32.1,32.0,32.24,781912,2520933050000.0,,508917,0.6509
2010-10-29,NOIDATOLL,EQ,32.0,32.05,32.3,31.45,31.7,31.7,31.86,728285,2320159905000.0,,455070,0.6249
2010-11-01,NOIDATOLL,EQ,31.7,31.25,32.95,31.0,32.25,32.2,32.31,470357,1519491410000.0,,235213,0.5001
2010-11-02,NOIDATOLL,EQ,32.2,32.6,32.6,31.9,32.0,32.0,32.11,348766,1119718150000.0,,188787,0.5413
2010-11-03,NOIDATOLL,EQ,32.0,32.0,32.7,32.0,32.15,32.05,32.26,552507,1782229980000.0,,312974,0.5665
2010-11-04,NOIDATOLL,EQ,32.05,32.0,32.55,32.0,32.15,32.1,32.16,379830,1221562530000.0,,229359,0.6038
2010-11-05,NOIDATOLL,EQ,32.1,32.5,32.6,32.25,32.45,32.4,32.4,122628,397265220000.0,,81958,0.6683
2010-11-08,NOIDATOLL,EQ,32.4,32.6,33.45,32.2,32.95,33.05,32.97,959264,3162451560000.0,,504184,0.5256000000000001
2010-11-09,NOIDATOLL,EQ,33.05,34.0,34.0,32.85,33.1,33.0,33.28,1051403,3499262660000.0,,513408,0.4883
2010-11-10,NOIDATOLL,EQ,33.0,33.0,34.15,33.0,33.35,33.35,33.58,2537623,8520512665000.001,,804613,0.3171
2010-11-11,NOIDATOLL,EQ,33.35,33.0,34.0,30.1,32.65,32.65,33.11,757645,2508302840000.0,,439628,0.5803
2010-11-12,NOIDATOLL,EQ,32.65,32.65,33.75,32.0,32.2,32.1,32.85,1181166,3880166265000.0,,487276,0.41250000000000003
2010-11-15,NOIDATOLL,EQ,32.1,32.1,32.85,32.0,32.15,32.2,32.24,626659,2020416455000.0,,310931,0.4962
2010-11-16,NOIDATOLL,EQ,32.2,32.0,32.4,30.9,31.2,31.05,31.43,589929,1854301989999.9998,,343396,0.5821000000000001
2010-11-18,NOIDATOLL,EQ,31.05,30.8,31.5,29.45,29.85,29.75,30.05,1069428,3213370250000.0,,672824,0.6291
2010-11-19,NOIDATOLL,EQ,29.75,30.05,31.15,29.8,29.9,30.0,30.42,1029117,3130591745000.0,,385856,0.3749
2010-11-22,NOIDATOLL,EQ,30.0,30.2,30.8,29.95,30.6,30.65,30.36,524257,1591683690000.0,,252313,0.48130000000000006
2010-11-23,NOIDATOLL,EQ,30.65,30.75,30.75,29.05,29.7,29.65,29.76,608742,1811679280000.0,,368518,0.6054
2010-11-24,NOIDATOLL,EQ,29.65,29.85,30.3,29.3,29.7,29.55,29.84,368038,1098323069999.9999,,161100,0.43770000000000003
2010-11-25,NOIDATOLL,EQ,29.55,29.55,29.9,29.0,29.15,29.05,29.29,456595,1337413310000.0,,223284,0.489
2010-11-26,NOIDATOLL,EQ,29.05,29.0,29.25,27.25,28.05,28.0,28.04,871083,2442910045000.0,,516283,0.5927
2010-11-29,NOIDATOLL,EQ,28.0,28.05,28.7,27.75,28.3,28.15,28.12,464523,1306065915000.0,,226879,0.48840000000000006
2010-11-30,NOIDATOLL,EQ,28.15,28.3,29.7,27.85,29.45,29.15,28.66,424094,1215420990000.0,,213093,0.5025000000000001
2010-12-01,NOIDATOLL,EQ,29.15,29.15,30.75,29.15,30.65,30.3,29.96,496808,1488273685000.0,,226325,0.4556
2010-12-02,NOIDATOLL,EQ,30.3,30.75,31.25,30.05,30.2,30.25,30.39,345110,1048844360000.0,,158957,0.4606
2010-12-03,NOIDATOLL,EQ,30.25,30.3,30.5,29.1,29.5,29.4,29.77,294084,875352019999.9999,,141442,0.48100000000000004
2010-12-06,NOIDATOLL,EQ,29.4,30.35,30.35,29.45,29.5,29.6,29.92,296045,885640890000.0,,136583,0.46140000000000003
2010-12-07,NOIDATOLL,EQ,29.6,29.95,29.95,28.85,29.15,29.05,29.15,314521,916813000000.0,,158849,0.5051
2010-12-08,NOIDATOLL,EQ,29.05,29.15,29.15,28.5,28.5,28.6,28.78,296690,853985060000.0,,165310,0.5572
2010-12-09,NOIDATOLL,EQ,28.6,28.6,28.75,27.0,27.65,27.25,27.69,695785,1926683530000.0,,441183,0.6341
2010-12-10,NOIDATOLL,EQ,27.25,27.5,28.45,27.0,28.15,28.0,27.75,508101,1410076445000.0,,234550,0.46159999999999995
