Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-04-05,NRAIL,EQ,231.3,236.6,240.0,230.0,234.9,234.6,236.46,36631,866159915000.0,380,24309,0.6636
2017-04-06,NRAIL,EQ,234.6,236.4,236.95,227.15,229.95,230.4,231.27,10250,237049425000.0,85,6751,0.6586
2017-04-07,NRAIL,EQ,230.4,223.0,235.0,223.0,233.95,228.45,231.14,9830,227207060000.0,193,6559,0.6672
2017-04-10,NRAIL,EQ,228.45,232.0,249.0,228.0,243.95,243.2,241.95,74700,1807350239999.9998,751,52075,0.6970999999999999
2017-04-11,NRAIL,EQ,243.2,249.35,290.0,243.95,272.7,273.0,275.94,199694,5510279460000.0,4892,81331,0.4073
2017-04-12,NRAIL,EQ,273.0,276.45,304.0,263.0,286.25,286.35,291.37,226339,6594885845000.0,5775,84997,0.3755
2017-04-13,NRAIL,EQ,286.35,286.25,298.0,271.25,288.3,287.65,288.35,62810,1811136350000.0,2931,26333,0.4192
2017-04-17,NRAIL,EQ,287.65,288.9,288.9,279.5,286.9,286.0,284.34,16710,475124159999.99994,600,7619,0.456
2017-04-18,NRAIL,EQ,286.0,287.0,296.9,278.6,281.85,282.25,290.07,41165,1194055860000.0,773,31723,0.7706000000000001
2017-04-19,NRAIL,EQ,282.25,282.25,285.95,276.65,280.2,280.15,280.89,10295,289175795000.0,357,5200,0.5051
2017-04-20,NRAIL,EQ,280.15,283.75,285.0,274.05,279.9,278.85,280.32,15999,448482230000.0,324,11582,0.7239
2017-04-21,NRAIL,EQ,278.85,280.0,284.0,270.65,277.0,275.35,278.2,17465,485874525000.0,547,9270,0.5307999999999999
2017-04-24,NRAIL,EQ,275.35,279.8,280.0,266.05,278.45,278.75,277.42,26083,723591715000.0,643,18465,0.7079000000000001
2017-04-25,NRAIL,EQ,278.75,279.9,285.0,275.0,279.95,278.65,279.53,17840,498689280000.0,456,11524,0.6459999999999999
2017-04-26,NRAIL,EQ,278.65,281.9,288.4,270.0,275.0,275.1,278.69,18501,515600195000.0,701,10562,0.5709000000000001
2017-04-27,NRAIL,EQ,275.1,267.15,276.45,267.0,272.05,271.45,274.25,7963,218384110000.0,176,6732,0.8454
2017-04-28,NRAIL,EQ,271.45,272.45,278.0,267.5,271.0,270.55,271.22,8101,219713779999.99997,272,5558,0.6861
2017-05-02,NRAIL,EQ,270.55,268.1,279.15,268.1,275.05,277.55,275.84,18335,505754175000.0,651,13635,0.7437
2017-05-03,NRAIL,EQ,277.55,273.55,280.0,268.0,275.0,276.1,276.51,17538,484946050000.0,767,11853,0.6758
2017-05-04,NRAIL,EQ,276.1,277.9,280.9,274.0,275.15,275.05,277.57,16431,456073745000.0,808,11578,0.7046
2017-05-05,NRAIL,EQ,275.05,285.05,288.85,279.15,281.5,281.7,282.55,49484,1398191295000.0,1106,36872,0.7451000000000001
2017-05-08,NRAIL,EQ,281.7,283.45,304.9,282.0,303.25,300.9,297.22,84655,2516118925000.0,1780,57681,0.6814
2017-05-09,NRAIL,EQ,300.9,303.75,333.0,303.75,332.0,328.5,321.24,222066,7133723709999.999,5811,108298,0.4877
2017-05-10,NRAIL,EQ,328.5,326.0,340.0,315.4,327.0,324.2,330.08,71080,2346205780000.0,2588,30921,0.435
2017-05-11,NRAIL,EQ,324.2,328.0,333.0,318.0,323.1,319.85,325.31,50893,1655593325000.0,3357,27031,0.5311
2017-05-12,NRAIL,EQ,319.85,328.45,328.45,311.0,314.35,315.7,318.75,23657,754060035000.0,3098,13148,0.5558
2017-05-15,NRAIL,EQ,315.7,315.7,338.0,314.15,336.0,334.5,331.24,67037,2220531170000.0,1741,47542,0.7092
2017-05-16,NRAIL,EQ,334.5,337.8,345.0,320.0,327.7,327.9,336.58,35979,1210977995000.0,1271,23166,0.6439
2017-05-17,NRAIL,EQ,327.9,331.9,337.0,320.3,327.9,325.45,326.91,28428,929328430000.0001,737,24685,0.8683
2017-05-18,NRAIL,EQ,325.45,321.0,336.0,320.0,325.0,326.0,329.54,41436,1365490600000.0,1049,29342,0.7081000000000001
2017-05-19,NRAIL,EQ,326.0,332.7,334.1,293.55,320.0,318.5,317.9,67410,2142996989999.9998,2140,43329,0.6428
2017-05-22,NRAIL,EQ,318.5,333.7,335.0,295.3,306.0,305.2,311.02,111329,3462500100000.0,4930,57585,0.5173
2017-05-23,NRAIL,EQ,305.2,301.1,301.55,284.0,291.0,288.45,290.96,50789,1477751315000.0,1718,30551,0.6015
2017-05-24,NRAIL,EQ,288.45,292.5,295.0,280.0,280.0,280.75,285.41,18921,540025345000.0,877,12488,0.66
2017-05-25,NRAIL,EQ,280.75,280.95,286.0,276.0,285.7,283.4,280.0,28678,802970805000.0,912,15438,0.5383
2017-05-26,NRAIL,EQ,283.4,289.85,292.0,278.2,285.0,283.9,284.55,30043,854873875000.0,830,16383,0.5453
2017-05-29,NRAIL,EQ,283.9,289.85,292.5,270.0,272.95,273.4,280.75,26983,757560380000.0,1212,16183,0.5997
2017-05-30,NRAIL,EQ,273.4,271.75,277.5,269.9,273.15,273.45,274.64,9959,273518270000.00003,354,5428,0.545
2017-05-31,NRAIL,EQ,273.45,273.45,284.9,273.45,277.0,280.05,280.0,17698,495542780000.0,911,9282,0.5245000000000001
2017-06-01,NRAIL,EQ,280.05,279.85,281.7,274.1,275.05,275.95,278.19,11427,317890720000.0,260,8172,0.7151000000000001
2017-06-02,NRAIL,EQ,275.95,278.75,282.1,274.0,275.7,275.4,278.25,11717,326021660000.0,506,7773,0.6634000000000001
2017-06-05,NRAIL,EQ,275.4,277.65,289.3,272.05,283.25,281.7,279.72,23358,653374680000.0,589,15578,0.6668999999999999
2017-06-06,NRAIL,EQ,281.7,275.55,284.0,275.5,278.5,279.25,279.43,15546,434402650000.0,378,8416,0.5414
2017-06-07,NRAIL,EQ,279.25,280.0,280.0,276.5,279.0,277.9,278.43,10963,305238445000.0,400,5922,0.5402
2017-06-08,NRAIL,EQ,277.9,279.95,280.05,275.35,277.0,278.05,278.07,6682,185804250000.0,222,3365,0.5036
2017-06-09,NRAIL,EQ,278.05,308.0,312.9,296.0,303.9,302.35,302.91,265930,8055322065000.001,7048,58444,0.2198
2017-06-12,NRAIL,EQ,302.35,305.0,305.75,295.3,298.0,298.45,299.94,20596,617748800000.0,824,11351,0.5511
2017-06-13,NRAIL,EQ,298.45,298.05,304.15,296.15,299.35,299.2,301.03,22553,678919855000.0,1043,12222,0.5418999999999999
2017-06-14,NRAIL,EQ,299.2,301.75,301.75,292.5,292.55,293.85,295.99,12463,368886690000.0,532,6739,0.5407000000000001
2017-06-15,NRAIL,EQ,293.85,293.05,294.95,286.95,289.0,289.5,290.49,17900,519975870000.0,468,10488,0.5859000000000001
2017-06-16,NRAIL,EQ,289.5,287.55,290.95,285.0,286.1,286.9,287.43,19087,548613920000.0,697,12916,0.6767000000000001
2017-06-19,NRAIL,EQ,286.9,290.7,290.7,282.5,284.0,283.55,284.89,16059,457501920000.0,574,8947,0.5571
2017-06-20,NRAIL,EQ,283.55,280.0,296.8,280.0,294.0,292.45,289.79,14453,418832960000.0,723,7469,0.5168
2017-06-21,NRAIL,EQ,292.45,288.05,296.8,288.05,290.05,290.25,293.46,11772,345457085000.0,692,7331,0.6227
2017-06-22,NRAIL,EQ,290.25,289.0,291.25,287.0,289.4,288.5,289.38,8811,254973050000.0,319,5053,0.5735
2017-06-23,NRAIL,EQ,288.5,287.5,287.5,276.0,280.7,279.25,280.42,12287,344546865000.0,364,8985,0.7313
2017-06-27,NRAIL,EQ,279.25,293.95,294.0,274.55,279.8,280.6,280.17,12853,360106290000.0,540,7399,0.5757
2017-06-28,NRAIL,EQ,280.6,277.6,284.8,277.25,284.3,283.05,281.83,10223,288109860000.0,436,6374,0.6235
2017-06-29,NRAIL,EQ,283.05,285.3,294.65,283.0,286.15,287.55,290.25,42903,1245249410000.0,2245,20844,0.4858
2017-06-30,NRAIL,EQ,287.55,281.0,286.0,278.95,280.0,280.4,282.27,10596,299088820000.0,396,7726,0.7291
2017-07-03,NRAIL,EQ,280.4,285.0,288.85,280.0,283.85,282.2,284.83,9240,263182725000.0,429,6036,0.6531999999999999
2017-07-04,NRAIL,EQ,282.2,284.65,292.0,284.0,285.1,286.55,287.83,17214,495462959999.99994,758,11265,0.6544
2017-07-05,NRAIL,EQ,286.55,285.05,288.6,283.0,283.7,284.35,284.7,7854,223606745000.00003,223,6566,0.836
2017-07-06,NRAIL,EQ,284.35,280.2,291.0,280.2,282.7,284.6,285.41,13958,398375995000.0,282,12364,0.8858
2017-07-07,NRAIL,EQ,284.6,288.9,306.85,280.5,303.0,302.1,299.16,81220,2429738280000.0,2223,50175,0.6178
2017-07-10,NRAIL,EQ,302.1,310.8,312.0,304.0,304.0,305.15,305.33,7585,231593525000.0,90,7089,0.9346
2017-07-11,NRAIL,EQ,305.15,297.0,306.0,296.0,304.3,302.25,301.47,23360,704243805000.0,636,15417,0.66
2017-07-12,NRAIL,EQ,302.25,303.15,306.0,296.1,305.0,301.5,301.41,22407,675367835000.0,597,13136,0.5861999999999999
2017-07-13,NRAIL,EQ,301.5,301.5,303.05,295.0,296.0,295.95,299.01,34034,1017635300000.0,434,29538,0.8679000000000001
2017-07-14,NRAIL,EQ,295.95,293.45,294.55,287.35,287.4,288.7,290.45,19302,560622675000.0,441,14535,0.753
2017-07-17,NRAIL,EQ,288.7,288.7,293.05,283.1,283.1,286.6,287.15,18548,532600155000.0,251,16958,0.9143000000000001
2017-07-18,NRAIL,EQ,286.6,293.9,293.9,282.0,286.0,285.55,287.15,17085,490593400000.0,394,13427,0.7859
2017-07-19,NRAIL,EQ,285.55,290.0,295.0,285.15,288.15,288.7,290.65,19426,564616505000.0,658,10010,0.5153
