Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,NRBBEARING,EQ,52.55,52.2,53.2,51.9,52.15,52.05,52.34,48066,251571829999.99997,,30427,0.633
2010-10-05,NRBBEARING,EQ,52.05,52.0,52.7,51.3,51.8,51.9,52.07,38668,201357735000.0,,25393,0.6567000000000001
2010-10-06,NRBBEARING,EQ,51.9,52.9,52.9,51.9,52.6,52.55,52.24,38618,201752300000.0,,27960,0.7240000000000001
2010-10-07,NRBBEARING,EQ,52.55,54.7,58.1,54.25,56.2,55.45,56.32,486942,2742361700000.0,,191351,0.39299999999999996
2010-10-08,NRBBEARING,EQ,55.45,56.5,56.9,53.25,54.0,53.85,54.9,58041,318663870000.0,,35992,0.6201
2010-10-11,NRBBEARING,EQ,53.85,55.1,58.9,53.5,58.0,58.15,57.53,240833,1385588075000.0,,128540,0.5337
2010-10-12,NRBBEARING,EQ,58.15,57.05,58.0,56.0,57.1,57.35,57.2,115022,657928785000.0,,86432,0.7514000000000001
2010-10-13,NRBBEARING,EQ,57.35,57.0,59.4,56.0,56.75,56.7,57.41,116677,669854690000.0,,71601,0.6137
2010-10-14,NRBBEARING,EQ,56.7,58.0,58.0,56.3,56.65,56.7,56.93,41492,236202390000.0,,22326,0.5381
2010-10-15,NRBBEARING,EQ,56.7,56.45,57.3,54.3,55.8,54.8,55.78,46616,260043729999.99997,,29129,0.6249
2010-10-18,NRBBEARING,EQ,54.8,54.0,55.8,53.3,54.3,54.0,53.87,21343,114966489999.99998,,13004,0.6093000000000001
2010-10-19,NRBBEARING,EQ,54.0,54.2,54.95,52.9,52.9,53.7,54.2,40923,221797004999.99997,,29460,0.7199
2010-10-20,NRBBEARING,EQ,53.7,53.0,54.4,53.0,53.45,53.4,53.45,19437,103899410000.0,,13032,0.6705
2010-10-21,NRBBEARING,EQ,53.4,54.0,55.0,53.5,54.45,54.5,54.47,39703,216245945000.00003,,25795,0.6497
2010-10-22,NRBBEARING,EQ,54.5,55.0,55.0,53.4,54.15,53.7,54.31,17544,95277920000.0,,11834,0.6745
2010-10-25,NRBBEARING,EQ,53.7,54.75,57.5,53.7,57.1,56.85,56.28,107386,604359560000.0,,65718,0.612
2010-10-26,NRBBEARING,EQ,56.85,59.05,62.0,59.05,59.5,60.0,61.08,777899,4751092750000.0,,256203,0.32939999999999997
2010-10-27,NRBBEARING,EQ,60.0,59.6,60.6,58.1,59.6,59.0,59.27,114270,677303340000.0,,46993,0.4112
2010-10-28,NRBBEARING,EQ,59.0,59.85,59.9,56.75,58.45,57.85,58.11,55884,324739745000.0,,31877,0.5704
2010-10-29,NRBBEARING,EQ,57.85,57.8,60.45,56.0,58.0,57.75,58.1,215696,1253109205000.0,,66413,0.3079
2010-11-01,NRBBEARING,EQ,57.75,59.4,60.4,57.1,57.8,57.5,58.5,43160,252502750000.0,,28432,0.6587999999999999
2010-11-02,NRBBEARING,EQ,57.5,56.65,58.0,56.5,56.55,56.65,57.22,27493,157306755000.0,,19731,0.7177
2010-11-03,NRBBEARING,EQ,56.65,57.0,57.4,56.15,56.85,56.7,56.8,35479,201509120000.0,,21418,0.6037
2010-11-04,NRBBEARING,EQ,56.7,58.0,59.4,57.1,58.25,57.95,58.24,99844,581469895000.0,,38501,0.38560000000000005
2010-11-05,NRBBEARING,EQ,57.95,59.4,59.4,57.6,58.0,58.1,58.3,8411,49037995000.0,,6416,0.7628
2010-11-08,NRBBEARING,EQ,58.1,59.8,62.2,57.0,61.2,61.4,60.62,286494,1736718360000.0002,,213483,0.7452
2010-11-09,NRBBEARING,EQ,61.4,62.1,64.5,60.4,64.0,63.9,62.98,333694,2101546070000.0,,214557,0.643
2010-11-10,NRBBEARING,EQ,63.9,63.5,64.6,61.65,61.75,62.65,63.19,103882,656461770000.0,,60246,0.5799000000000001
2010-11-11,NRBBEARING,EQ,62.65,63.4,63.4,60.1,60.95,60.55,61.7,77524,478296709999.99994,,46439,0.599
2010-11-12,NRBBEARING,EQ,60.55,62.5,63.0,59.05,59.2,59.65,60.81,67703,411710650000.0,,43694,0.6454000000000001
2010-11-15,NRBBEARING,EQ,59.65,60.1,60.1,57.75,59.2,58.9,58.64,29748,174436680000.0,,17965,0.6039
2010-11-16,NRBBEARING,EQ,58.9,58.1,59.6,55.15,56.55,56.55,56.99,46132,262920225000.0,,26578,0.5761000000000001
2010-11-18,NRBBEARING,EQ,56.55,56.5,58.4,55.0,55.85,55.6,56.03,57713,323381005000.0,,31821,0.5514
2010-11-19,NRBBEARING,EQ,55.6,55.5,56.95,54.35,55.55,55.25,55.74,24755,137996350000.0,,17672,0.7139
2010-11-22,NRBBEARING,EQ,55.25,55.25,56.0,55.0,55.65,55.5,55.4,13369,74062890000.0,,3938,0.29460000000000003
2010-11-23,NRBBEARING,EQ,55.5,55.6,55.6,53.0,54.25,54.0,54.18,20265,109804435000.00002,,15894,0.7843000000000001
2010-11-24,NRBBEARING,EQ,54.0,52.0,55.5,52.0,54.45,54.15,54.23,11654,63200750000.0,,6443,0.5529000000000001
2010-11-25,NRBBEARING,EQ,54.15,53.1,55.0,53.0,53.75,53.5,53.74,25990,139671465000.0,,16114,0.62
2010-11-26,NRBBEARING,EQ,53.5,52.5,54.8,47.5,51.1,51.15,50.4,61068,307809910000.0,,38233,0.6261
2010-11-29,NRBBEARING,EQ,51.15,51.5,52.25,50.0,51.55,51.0,51.02,10145,51756410000.0,,6834,0.6736
2010-11-30,NRBBEARING,EQ,51.0,51.75,53.4,51.05,53.1,53.1,52.55,14435,75850750000.0,,11199,0.7758
2010-12-01,NRBBEARING,EQ,53.1,53.2,55.9,53.1,54.45,54.2,54.14,12628,68374190000.0,,6516,0.516
2010-12-02,NRBBEARING,EQ,54.2,55.95,56.0,54.05,54.45,54.5,54.71,19950,109148064999.99998,,13215,0.6624
2010-12-03,NRBBEARING,EQ,54.5,54.0,55.85,53.1,54.2,53.7,54.68,28883,157922665000.0,,16874,0.5842
2010-12-06,NRBBEARING,EQ,53.7,53.05,54.45,52.25,54.0,53.9,53.35,48390,258138179999.99997,,31027,0.6412000000000001
2010-12-07,NRBBEARING,EQ,53.9,54.25,55.25,53.5,54.95,54.7,54.68,23000,125772464999.99998,,16520,0.7183
2010-12-08,NRBBEARING,EQ,54.7,54.0,54.95,53.3,53.7,53.85,54.23,14399,78081770000.0,,8243,0.5725
2010-12-09,NRBBEARING,EQ,53.85,52.8,54.25,51.8,52.0,52.2,52.04,437997,2279386130000.0,,424565,0.9693
2010-12-10,NRBBEARING,EQ,52.2,51.1,53.6,51.1,52.1,52.25,52.29,49566,259173060000.0,,37677,0.7601000000000001
