Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,HINDUJAVEN,EQ,465.95,465.0,475.0,459.0,460.95,461.3,466.28,11731,546992020000.0,,6220,0.5302
2010-10-05,HINDUJAVEN,EQ,461.3,462.0,468.95,456.0,457.0,457.75,461.46,9250,426848934999.99994,,4515,0.48810000000000003
2010-10-06,HINDUJAVEN,EQ,457.75,460.45,465.5,451.25,454.85,455.7,458.97,13187,605243295000.0,,7994,0.6062
2010-10-07,HINDUJAVEN,EQ,455.7,460.7,464.0,448.05,453.55,451.95,456.35,14448,659333885000.0,,6034,0.41759999999999997
2010-10-08,HINDUJAVEN,EQ,451.95,459.9,459.95,447.05,452.0,452.5,453.86,9213,418143745000.0,,5650,0.6133
2010-10-11,HINDUJAVEN,EQ,452.5,453.05,458.5,448.0,449.0,449.35,451.95,9590,433418900000.0,,4320,0.45049999999999996
2010-10-12,HINDUJAVEN,EQ,449.35,452.85,454.9,442.65,446.45,445.6,446.14,75080,3349624765000.0,,72433,0.9647
2010-10-13,HINDUJAVEN,EQ,445.6,446.8,455.0,442.5,447.0,447.0,447.34,5385,240892790000.0,,2809,0.5216
2010-10-14,HINDUJAVEN,EQ,447.0,450.0,451.95,440.5,441.05,440.95,444.13,10776,478595190000.00006,,6322,0.5867
2010-10-15,HINDUJAVEN,EQ,440.95,440.25,457.9,436.15,439.05,439.85,446.27,11798,526511534999.99994,,4648,0.394
2010-10-18,HINDUJAVEN,EQ,439.85,443.3,447.75,435.05,440.95,441.1,441.45,3152,139145515000.0,,1353,0.4293
2010-10-19,HINDUJAVEN,EQ,441.1,441.25,443.75,421.0,421.0,424.9,432.3,13462,581956310000.0,,8645,0.6422
2010-10-20,HINDUJAVEN,EQ,424.9,422.0,436.0,421.15,431.2,431.2,428.37,8279,354648970000.0,,3012,0.3638
2010-10-21,HINDUJAVEN,EQ,431.2,432.0,456.0,432.0,444.2,445.65,448.26,20244,907464175000.0,,8742,0.4318
2010-10-22,HINDUJAVEN,EQ,445.65,445.0,451.85,434.1,440.0,436.9,442.57,9501,420486765000.00006,,6776,0.7132
