Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-07-11,OAL,EQ,201.65,207.75,207.75,192.75,194.2,194.7,201.03,316,6352465000.0,13,258,0.8165000000000001
2019-07-12,OAL,EQ,194.7,205.95,205.95,196.05,200.5,200.5,199.2,156,3107590000.0,8,145,0.9295
2019-07-15,OAL,EQ,200.5,179.0,208.0,179.0,208.0,208.0,193.32,211,4079019999.9999995,7,209,0.9905
2019-07-16,OAL,EQ,208.0,195.0,207.8,195.0,202.0,201.0,198.89,189,3759010000.0,15,186,0.9841
2019-07-17,OAL,EQ,201.0,180.0,201.0,180.0,201.0,201.0,200.06,664,13284200000.0,12,662,0.997
2019-07-18,OAL,EQ,201.0,185.55,201.2,185.55,196.15,198.85,196.76,845,16626579999.999998,34,643,0.7609
2019-07-19,OAL,EQ,198.85,195.0,198.85,184.15,184.15,185.3,189.6,3216,60976190000.0,48,2867,0.8915000000000001
2019-07-22,OAL,EQ,185.3,166.05,186.95,166.05,186.95,186.95,181.88,1297,23589560000.0,22,1289,0.9938
2019-07-23,OAL,EQ,186.95,182.0,189.9,181.45,185.0,185.15,185.38,232,4300710000.0,12,118,0.5086
2019-07-24,OAL,EQ,185.15,173.3,194.6,173.3,193.0,188.4,185.82,760,14122325000.0,26,535,0.7039
2019-07-25,OAL,EQ,188.4,171.25,195.0,171.25,195.0,194.8,186.95,1907,35651785000.0,23,1899,0.9958
2019-07-26,OAL,EQ,194.8,182.0,197.0,182.0,197.0,196.25,193.49,1056,20432230000.0,27,827,0.7831
2019-07-29,OAL,EQ,196.25,181.25,196.9,181.25,196.0,196.0,190.73,2903,55368350000.0,35,2668,0.919
2019-07-30,OAL,EQ,196.0,182.0,213.6,175.0,181.95,177.85,187.05,3172,59331765000.0,128,1985,0.6258
2019-07-31,OAL,EQ,177.85,161.0,181.95,161.0,181.95,181.95,175.55,1044,18327835000.0,27,981,0.9397
2019-08-01,OAL,EQ,181.95,171.05,183.9,171.05,172.55,175.5,174.47,950,16574485000.0,39,299,0.3147
2019-08-02,OAL,EQ,175.5,165.55,179.9,165.55,179.5,177.6,173.73,697,12109240000.0,21,579,0.8307
2019-08-05,OAL,EQ,177.6,163.0,179.85,163.0,179.85,177.05,173.92,633,11009395000.0,28,365,0.5766
2019-08-06,OAL,EQ,177.05,171.8,175.0,167.0,171.5,172.1,172.29,498,8580195000.0,22,262,0.5261
2019-08-07,OAL,EQ,172.1,170.1,178.3,170.1,171.55,172.25,170.84,818,13975100000.0,27,723,0.8839
2019-08-08,OAL,EQ,172.25,168.1,176.75,165.0,172.0,170.75,169.52,1351,22902750000.0,28,1162,0.8601000000000001
2019-08-09,OAL,EQ,170.75,180.1,196.0,166.5,190.0,190.0,184.3,6710,123663889999.99998,88,5510,0.8212
2019-08-13,OAL,EQ,190.0,185.3,195.0,175.05,191.3,189.4,186.63,4224,78834535000.0,74,3677,0.8704999999999999
2019-08-14,OAL,EQ,189.4,183.75,195.0,183.75,192.2,193.35,194.32,1533,29789005000.0,42,1298,0.8467
2019-08-16,OAL,EQ,193.35,188.15,197.0,188.1,196.95,196.15,192.87,1747,33695225000.0,56,1038,0.5942000000000001
2019-08-19,OAL,EQ,196.15,197.0,197.0,179.0,192.25,192.25,190.82,1243,23718565000.0,47,859,0.6911
2019-08-20,OAL,EQ,192.25,187.35,196.75,187.35,193.3,193.3,194.1,817,15858175000.0,39,685,0.8384
2019-08-21,OAL,EQ,193.3,189.15,196.25,182.6,191.75,189.15,189.97,2659,50513920000.0,110,2325,0.8744
2019-08-22,OAL,EQ,189.15,178.55,195.0,178.55,185.0,186.45,189.08,1439,27208255000.0,51,883,0.6136
2019-08-23,OAL,EQ,186.45,181.25,193.0,181.2,185.0,185.05,183.31,451,8267125000.0,21,451,1.0
2019-08-26,OAL,EQ,185.05,194.15,194.2,181.4,183.5,183.95,184.61,2117,39082540000.0,51,1708,0.8068000000000001
2019-08-27,OAL,EQ,183.95,182.55,192.95,177.0,178.45,180.1,181.26,4780,86642465000.0,472,3800,0.795
2019-08-28,OAL,EQ,180.1,185.4,187.0,180.3,187.0,186.15,184.92,937,17326760000.0,158,790,0.8431000000000001
2019-08-29,OAL,EQ,186.15,180.65,189.95,180.65,181.1,181.55,184.67,1327,24505460000.0,110,1119,0.8433
2019-08-30,OAL,EQ,181.55,181.1,189.65,181.05,188.0,187.05,185.51,1015,18829485000.0,18,864,0.8512000000000001
2019-09-03,OAL,EQ,187.05,181.4,189.5,177.4,178.0,178.2,181.02,2738,49563810000.0,228,2148,0.7845000000000001
2019-09-04,OAL,EQ,178.2,177.15,183.4,177.15,180.0,180.0,180.63,428,7730789999.999999,24,413,0.965
2019-09-05,OAL,EQ,180.0,177.05,187.9,177.05,183.3,183.3,182.29,510,9296895000.0,17,421,0.8255
2019-09-06,OAL,EQ,183.3,180.25,191.0,180.25,190.9,189.05,187.9,1531,28767409999.999996,62,907,0.5924
2019-09-09,OAL,EQ,189.05,190.0,193.0,183.45,192.0,192.0,189.64,1583,30020780000.0,124,1186,0.7492000000000001
2019-09-11,OAL,EQ,192.0,192.05,201.0,192.05,201.0,199.55,198.35,4598,91203510000.0,147,2188,0.47590000000000005
2019-09-12,OAL,EQ,199.55,206.05,206.8,194.15,194.4,195.05,197.12,2795,55093660000.0,67,1192,0.4265
2019-09-13,OAL,EQ,195.05,199.75,199.75,196.5,197.55,199.25,198.1,995,19711065000.0,119,898,0.9025
2019-09-16,OAL,EQ,199.25,197.55,198.0,185.35,198.0,195.15,195.42,2090,40843205000.0,49,1880,0.8995000000000001
2019-09-17,OAL,EQ,195.15,190.05,201.8,190.05,195.95,195.95,196.1,1207,23669860000.0,21,667,0.5526
2019-09-18,OAL,EQ,195.95,194.05,198.95,193.5,193.5,193.55,195.85,858,16804054999.999998,24,404,0.47090000000000004
2019-09-19,OAL,EQ,193.55,196.0,196.0,187.75,191.5,191.6,192.58,396,7626050000.0,31,295,0.7449
2019-09-20,OAL,EQ,191.6,192.6,200.0,182.6,197.5,197.55,195.63,3787,74083530000.0,262,3243,0.8564
2019-09-23,OAL,EQ,197.55,200.0,200.0,184.2,192.0,192.05,192.26,10087,193929075000.0,1214,8486,0.8412999999999999
2019-09-24,OAL,EQ,192.05,190.15,196.75,186.0,188.0,189.45,190.54,4109,78292700000.0,257,3788,0.9218999999999999
2019-09-25,OAL,EQ,189.45,187.5,227.3,187.5,224.7,221.1,218.3,33104,722668520000.0,1577,17048,0.515
2019-09-26,OAL,EQ,221.1,233.4,233.4,215.6,223.5,221.5,227.23,16257,369408025000.0,1034,7964,0.48990000000000006
2019-09-27,OAL,EQ,221.5,232.0,232.0,201.05,210.0,208.05,211.06,4858,102531080000.0,671,3255,0.67
2019-09-30,OAL,EQ,208.05,204.0,211.2,202.0,209.05,209.75,204.83,1788,36624395000.0,81,1230,0.6879000000000001
2019-10-01,OAL,EQ,209.75,204.6,209.2,193.25,195.9,195.1,200.36,13623,272955240000.0,737,9233,0.6778000000000001
2019-10-03,OAL,EQ,195.1,191.55,196.0,184.0,186.0,187.55,189.14,4610,87191500000.0,233,2757,0.598
2019-10-04,OAL,EQ,187.55,193.0,194.95,186.0,186.5,187.1,188.77,3634,68600135000.0,260,3165,0.8709
2019-10-07,OAL,EQ,187.1,187.65,192.5,186.05,187.0,186.2,187.44,2563,48039675000.0,111,2048,0.7991
2019-10-09,OAL,EQ,186.2,187.0,193.35,186.6,187.25,187.25,188.72,2650,50010050000.0,72,2054,0.7751000000000001
2019-10-10,OAL,EQ,187.25,187.25,195.0,187.0,187.0,187.75,188.85,1548,29233434999.999996,59,1398,0.9031
2019-10-11,OAL,EQ,187.75,188.0,200.75,185.65,200.0,198.85,193.15,2259,43631820000.0,75,1702,0.7534000000000001
2019-10-14,OAL,EQ,198.85,202.95,202.95,191.0,202.9,197.45,196.75,2214,43559830000.0,63,1657,0.7484000000000001
2019-10-15,OAL,EQ,197.45,196.0,200.0,190.15,193.5,195.65,194.78,1042,20295925000.0,82,470,0.4511
2019-10-16,OAL,EQ,195.65,189.0,200.0,189.0,195.0,195.0,196.67,763,15006095000.000002,35,508,0.6658
2019-10-17,OAL,EQ,195.0,191.0,202.0,191.0,200.0,200.05,198.01,2418,47879790000.0,83,1924,0.7957
2019-10-18,OAL,EQ,200.05,194.15,203.1,193.05,201.0,198.5,199.66,3392,67723300000.0,172,2036,0.6002000000000001
