Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,OMAXE,EQ,141.15,141.0,148.8,141.0,147.55,147.4,145.46,702627,10220671490000.0,,181244,0.258
2010-10-05,OMAXE,EQ,147.4,148.0,149.5,147.05,148.3,148.45,148.43,471787,7002920640000.001,,107854,0.2286
2010-10-06,OMAXE,EQ,148.45,148.0,151.5,148.0,148.85,149.3,149.77,532373,7973237975000.0,,93042,0.1748
2010-10-07,OMAXE,EQ,149.3,149.3,151.4,146.0,147.15,147.2,149.17,734260,10952620880000.0,,112823,0.1537
2010-10-08,OMAXE,EQ,147.2,146.95,150.0,146.55,147.6,147.7,148.37,444523,6595374700000.0,,99557,0.22399999999999998
2010-10-11,OMAXE,EQ,147.7,144.3,149.5,144.3,145.9,147.15,147.71,242128,3576365650000.0,,28599,0.11810000000000001
2010-10-12,OMAXE,EQ,147.15,148.0,148.3,146.0,146.8,146.7,147.34,236505,3484656254999.9995,,59162,0.2502
2010-10-13,OMAXE,EQ,146.7,147.0,149.7,144.3,149.5,149.35,148.5,270775,4020926254999.9995,,66872,0.247
2010-10-14,OMAXE,EQ,149.35,150.2,153.2,146.3,151.0,151.25,149.97,698303,10472495135000.0,,279512,0.40030000000000004
2010-10-15,OMAXE,EQ,151.25,148.25,151.9,148.0,150.65,150.1,150.65,428686,6458224830000.0,,65970,0.1539
2010-10-18,OMAXE,EQ,150.1,151.6,152.0,145.2,149.0,149.0,149.06,419300,6249996575000.0,,192195,0.45840000000000003
2010-10-19,OMAXE,EQ,149.0,150.8,153.8,150.2,152.0,152.0,151.64,1345086,20396692720000.0,,135731,0.1009
2010-10-20,OMAXE,EQ,152.0,148.0,153.95,145.6,148.3,149.7,152.1,443424,6744568470000.0,,194335,0.43829999999999997
2010-10-21,OMAXE,EQ,149.7,145.1,154.65,145.1,151.7,152.4,151.98,673673,10238387205000.0,,158672,0.23550000000000001
2010-10-22,OMAXE,EQ,152.4,148.3,153.45,148.3,150.8,150.7,151.57,397807,6029736285000.0,,73306,0.1843
2010-10-25,OMAXE,EQ,150.7,151.0,152.25,148.0,149.1,149.6,150.74,407888,6148618110000.0,,112850,0.2767
2010-10-26,OMAXE,EQ,149.6,147.0,151.8,147.0,150.1,150.15,150.39,578393,8698720400000.0,,141203,0.2441
2010-10-27,OMAXE,EQ,150.15,146.3,150.6,144.55,147.8,147.85,147.18,466506,6866136290000.001,,269592,0.5779
2010-10-28,OMAXE,EQ,147.85,146.05,151.05,146.05,148.65,148.05,149.51,361968,5411711030000.0,,87111,0.2407
2010-10-29,OMAXE,EQ,148.05,144.3,149.9,144.3,149.9,149.3,148.63,472241,7018979884999.999,,85497,0.18100000000000002
2010-11-01,OMAXE,EQ,149.3,149.5,152.95,149.5,151.9,152.15,151.98,427466,6496768685000.0,,240914,0.5636
2010-11-02,OMAXE,EQ,152.15,148.3,154.1,147.5,148.95,148.6,150.97,263002,3970440295000.0005,,47705,0.1814
2010-11-03,OMAXE,EQ,148.6,147.6,150.15,142.0,144.0,143.75,144.89,590520,8555756345000.0,,240529,0.4073
2010-11-04,OMAXE,EQ,143.75,145.0,145.9,142.3,145.45,145.3,145.18,265180,3849887500000.0,,192856,0.7273000000000001
2010-11-05,OMAXE,EQ,145.3,145.5,146.0,143.05,143.05,143.6,143.93,15206,218857429999.99997,,10701,0.7037000000000001
2010-11-08,OMAXE,EQ,143.6,142.25,148.4,138.35,147.0,146.9,144.94,282062,4088224990000.0,,113677,0.40299999999999997
2010-11-09,OMAXE,EQ,146.9,146.2,149.8,142.4,149.2,148.5,148.58,364331,5413388585000.0,,201221,0.5523
2010-11-10,OMAXE,EQ,148.5,149.6,155.7,149.0,150.7,151.25,152.21,644869,9815837975000.0,,223933,0.3473
2010-11-11,OMAXE,EQ,151.25,153.35,155.0,146.4,151.1,150.15,151.92,369698,5616341085000.0,,90914,0.2459
2010-11-12,OMAXE,EQ,150.15,150.5,150.5,144.7,145.0,145.9,147.66,137338,2027884335000.0002,,25058,0.1825
2010-11-15,OMAXE,EQ,145.9,147.0,148.8,144.5,146.8,146.9,147.2,259609,3821359140000.0,,65684,0.253
2010-11-16,OMAXE,EQ,146.9,147.9,147.9,143.0,143.5,144.0,145.29,206656,3002516935000.0,,75787,0.3667
2010-11-18,OMAXE,EQ,144.0,145.0,147.85,138.0,145.15,145.35,144.1,481722,6941390720000.0,,231681,0.48090000000000005
2010-11-19,OMAXE,EQ,145.35,146.0,148.0,140.0,140.55,140.8,145.64,605475,8818236870000.0,,271094,0.44770000000000004
2010-11-22,OMAXE,EQ,140.8,144.4,145.0,141.9,142.8,143.7,143.85,270237,3887484875000.0,,146680,0.5428000000000001
2010-11-23,OMAXE,EQ,143.7,141.0,144.35,138.0,141.5,141.9,141.7,428196,6067493535000.0,,127042,0.2967
2010-11-24,OMAXE,EQ,141.9,140.1,144.9,139.1,139.3,141.85,142.95,454394,6495390660000.0,,60336,0.1328
2010-11-25,OMAXE,EQ,141.85,141.8,142.8,137.6,140.3,140.4,139.83,324335,4535150440000.0,,94574,0.2916
2010-11-26,OMAXE,EQ,140.4,136.0,140.0,129.1,136.75,137.05,134.79,351425,4736988475000.0,,182504,0.5193
2010-11-29,OMAXE,EQ,137.05,137.0,139.4,134.1,136.35,137.2,137.34,308973,4243521004999.9995,,136269,0.441
2010-11-30,OMAXE,EQ,137.2,138.2,139.8,131.3,138.5,138.65,137.85,362459,4996382325000.0,,85166,0.23500000000000001
2010-12-01,OMAXE,EQ,138.65,138.5,141.75,138.0,141.65,141.2,140.59,223249,3138640385000.0,,46578,0.2086
2010-12-02,OMAXE,EQ,141.2,141.1,144.9,141.0,143.0,143.7,143.37,559993,8028869309999.999,,121217,0.2165
2010-12-03,OMAXE,EQ,143.7,144.5,145.65,140.2,142.6,142.3,142.75,334634,4776755665000.0,,95481,0.2853
2010-12-06,OMAXE,EQ,142.3,142.0,143.6,141.6,142.0,142.0,142.63,276756,3947405310000.0,,124549,0.45
2010-12-07,OMAXE,EQ,142.0,142.1,143.0,140.1,142.5,141.75,140.97,220189,3104082095000.0,,102307,0.4646
2010-12-08,OMAXE,EQ,141.75,141.0,142.7,136.8,141.8,141.45,141.4,360767,5101069475000.0,,113943,0.31579999999999997
2010-12-09,OMAXE,EQ,141.45,140.5,142.0,136.5,136.5,137.95,139.11,212749,2959562930000.0,,105459,0.49570000000000003
2010-12-10,OMAXE,EQ,137.95,138.0,141.25,136.0,140.0,140.5,140.29,272644,3824890054999.9995,,92894,0.3407
2010-12-13,OMAXE,EQ,140.5,136.0,142.0,126.05,140.1,139.85,140.04,257890,3611518165000.0,,116494,0.45170000000000005
2010-12-14,OMAXE,EQ,139.85,136.3,142.1,136.3,140.2,141.5,141.11,222627,3141457800000.0,,58374,0.2622
2010-12-15,OMAXE,EQ,141.5,141.5,142.0,140.05,141.0,140.9,140.92,365714,5153750140000.0,,193931,0.5303
2010-12-16,OMAXE,EQ,140.9,140.5,141.95,140.5,141.45,141.55,141.5,162310,2296738720000.0,,52633,0.3243
2010-12-20,OMAXE,EQ,141.55,141.65,148.0,140.0,147.35,147.05,143.47,248135,3559899040000.0,,87644,0.3532
2010-12-21,OMAXE,EQ,147.05,148.05,150.0,144.1,149.5,147.65,147.38,228133,3362219179999.9995,,62264,0.2729
2010-12-22,OMAXE,EQ,147.65,144.0,151.0,144.0,146.0,147.35,148.84,274935,4092201750000.0,,104827,0.38130000000000003
2010-12-23,OMAXE,EQ,147.35,146.3,149.0,145.9,146.0,146.8,147.35,124497,1834508755000.0,,39304,0.31570000000000004
2010-12-24,OMAXE,EQ,146.8,144.25,147.8,144.25,146.0,146.1,147.15,128281,1887674025000.0,,29579,0.2306
2010-12-27,OMAXE,EQ,146.1,146.2,149.0,145.05,145.15,146.75,147.25,259731,3824643145000.0005,,51792,0.19940000000000002
2010-12-28,OMAXE,EQ,146.75,146.0,151.0,146.0,146.95,146.4,147.62,299262,4417740685000.0,,149191,0.4985
2010-12-29,OMAXE,EQ,146.4,145.0,149.0,140.55,145.5,145.8,147.18,212810,3132232100000.0,,81895,0.3848
2010-12-30,OMAXE,EQ,145.8,146.0,147.95,146.0,146.45,147.3,147.34,280739,4136315929999.9995,,79070,0.2816
2010-12-31,OMAXE,EQ,147.3,147.9,149.0,146.4,148.75,147.85,147.72,273568,4041184535000.0,,80628,0.2947
2011-01-03,OMAXE,EQ,147.85,145.0,152.8,145.0,149.85,148.6,149.58,265669,3973808015000.0,,59230,0.2229
2011-01-04,OMAXE,EQ,148.6,145.6,150.0,145.6,149.2,149.2,148.03,259202,3836941570000.0005,,167145,0.6448
2011-01-05,OMAXE,EQ,149.2,149.2,150.9,147.5,150.05,149.5,148.91,209060,3113133005000.0,,80723,0.3861
2011-01-06,OMAXE,EQ,149.5,146.5,150.45,146.5,149.0,148.9,149.02,156560,2332998875000.0,,46521,0.29710000000000003
2011-01-07,OMAXE,EQ,148.9,146.35,149.9,146.35,147.5,148.2,148.63,99419,1477685735000.0,,28153,0.2832
2011-01-10,OMAXE,EQ,148.2,146.35,149.85,144.0,144.75,145.7,147.25,72974,1074529665000.0,,25515,0.3496
2011-01-11,OMAXE,EQ,145.7,142.0,148.9,142.0,145.9,145.3,146.08,184845,2700149090000.0,,97322,0.5265
2011-01-12,OMAXE,EQ,145.3,145.05,146.9,142.35,146.9,146.25,144.67,103752,1500949215000.0,,35141,0.3387
2011-01-13,OMAXE,EQ,146.25,145.9,148.0,144.05,145.2,144.7,145.87,89675,1308045915000.0,,32406,0.3614
2011-01-14,OMAXE,EQ,144.7,145.0,146.15,143.2,143.6,144.45,145.04,83394,1209506030000.0,,23804,0.2854
2011-01-17,OMAXE,EQ,144.45,141.35,145.8,141.35,142.8,142.7,144.42,127259,1837864075000.0,,62252,0.4892
2011-01-18,OMAXE,EQ,142.7,121.0,145.0,121.0,144.05,142.9,142.66,99242,1415760285000.0,,30683,0.30920000000000003
2011-01-19,OMAXE,EQ,142.9,129.0,144.8,129.0,142.6,142.15,142.93,292375,4178851195000.0005,,183897,0.629
2011-01-20,OMAXE,EQ,142.15,142.0,145.0,141.3,145.0,144.7,143.11,359805,5149292140000.0,,64368,0.1789
2011-01-21,OMAXE,EQ,144.7,141.0,145.6,141.0,143.6,143.9,144.11,220569,3178558550000.0,,34085,0.1545
2011-01-24,OMAXE,EQ,143.9,130.25,144.7,130.25,142.0,141.8,143.3,144919,2076688310000.0002,,37355,0.25780000000000003
