Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2019-05-09,ONEPOINT,EQ,38.4,44.0,45.0,35.0,38.0,38.55,38.61,79219,305864135000.0,264,59880,0.7559
2019-05-10,ONEPOINT,EQ,38.55,39.2,39.2,36.15,37.9,37.8,38.1,24843,94661630000.0,166,3666,0.1476
2019-05-13,ONEPOINT,EQ,37.8,38.85,38.85,35.25,35.25,35.3,37.82,16955,64132119999.99999,38,1572,0.09269999999999999
2019-05-14,ONEPOINT,EQ,35.3,35.0,37.25,34.0,34.2,34.3,36.05,15622,56319275000.0,34,422,0.027000000000000003
2019-05-15,ONEPOINT,EQ,34.3,36.2,40.0,35.15,35.9,35.8,36.19,40013,144814740000.0,249,11482,0.287
2019-05-16,ONEPOINT,EQ,35.8,36.5,39.4,35.2,35.95,35.6,37.49,16986,63684580000.00001,122,145,0.0085
2019-05-17,ONEPOINT,EQ,35.6,37.85,37.85,34.95,37.0,37.45,36.47,25209,91935335000.0,150,3699,0.1467
2019-05-20,ONEPOINT,EQ,37.45,37.25,38.5,37.0,37.0,37.0,38.24,16924,64712455000.00001,19,535,0.0316
2019-05-21,ONEPOINT,EQ,37.0,38.25,38.25,34.8,35.95,34.95,37.23,18381,68438730000.00001,67,2000,0.10880000000000001
2019-05-22,ONEPOINT,EQ,34.95,36.0,37.0,33.1,35.0,35.45,36.3,37880,137506930000.0,127,22742,0.6004
2019-05-23,ONEPOINT,EQ,35.45,37.3,37.3,30.25,31.0,31.85,34.35,46492,159718400000.0,278,12089,0.26
2019-05-24,ONEPOINT,EQ,31.85,34.1,34.7,32.0,33.4,32.5,33.34,17100,57005669999.99999,108,1951,0.11410000000000001
2019-05-27,ONEPOINT,EQ,32.5,34.8,36.0,34.0,35.0,34.85,34.85,20291,70722985000.0,101,4174,0.2057
2019-05-28,ONEPOINT,EQ,34.85,36.75,36.8,34.65,34.65,34.65,35.93,19988,71809565000.0,52,4010,0.2006
2019-05-29,ONEPOINT,EQ,34.65,34.65,36.05,34.65,35.15,35.15,35.57,15272,54321965000.0,65,640,0.04190000000000001
2019-05-30,ONEPOINT,EQ,35.15,36.55,36.55,34.15,35.95,35.9,35.55,23014,81821310000.0,93,512,0.0222
2019-05-31,ONEPOINT,EQ,35.9,36.65,36.65,33.95,33.95,34.1,35.44,16137,57182515000.0,53,122,0.0076
2019-06-03,ONEPOINT,EQ,34.1,35.0,35.25,33.1,34.8,34.8,34.69,15252,52911885000.0,57,251,0.0165
2019-06-04,ONEPOINT,EQ,34.8,35.35,35.45,33.85,34.5,34.5,34.77,15378,53469180000.00001,33,237,0.0154
2019-06-06,ONEPOINT,EQ,34.5,35.75,35.75,32.3,34.75,32.6,34.55,15304,52876240000.0,73,151,0.0099
2019-06-07,ONEPOINT,EQ,32.6,34.7,34.7,32.45,33.15,33.15,33.73,15477,52205975000.0,66,440,0.028399999999999998
2019-06-10,ONEPOINT,EQ,33.15,32.25,34.75,31.2,32.5,33.15,33.2,48705,161710730000.0,89,31035,0.6372
2019-06-11,ONEPOINT,EQ,33.15,34.0,34.0,29.5,33.5,33.25,32.85,16115,52930344999.99999,91,960,0.0596
