Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-08-08,OPTIEMUS,EQ,62.6,67.95,67.95,57.0,57.0,57.05,60.87,8159,49666080000.0,85,4661,0.5713
2017-08-09,OPTIEMUS,EQ,57.05,57.0,59.95,55.0,57.0,55.6,56.03,21845,122387020000.0,36,16090,0.7366
2017-08-10,OPTIEMUS,EQ,55.6,53.0,56.9,53.0,56.9,56.35,55.74,2520,14046029999.999998,34,2037,0.8083
2017-08-11,OPTIEMUS,EQ,56.35,61.0,61.0,51.2,53.5,54.0,54.0,17926,96801405000.0,102,12540,0.6995
2017-08-14,OPTIEMUS,EQ,54.0,58.9,58.9,51.8,51.8,52.5,53.5,10739,57451980000.00001,31,10529,0.9804
2017-08-16,OPTIEMUS,EQ,52.5,52.5,56.5,52.5,54.05,55.0,54.96,12426,68297310000.0,38,9853,0.7929
2017-08-17,OPTIEMUS,EQ,55.0,54.05,54.1,54.05,54.05,54.05,54.05,827,4470165000.0,8,827,1.0
2017-08-18,OPTIEMUS,EQ,54.05,54.5,54.5,54.05,54.5,54.5,54.24,1700,9220005000.0,7,1699,0.9994
2017-08-21,OPTIEMUS,EQ,54.5,56.95,56.95,51.7,54.7,54.7,53.58,1645,8814390000.0,13,1121,0.6815000000000001
2017-08-22,OPTIEMUS,EQ,54.7,55.65,55.65,53.1,53.7,53.8,54.44,1574,8569100000.0,12,1453,0.9231
2017-08-23,OPTIEMUS,EQ,53.8,55.0,55.0,53.5,53.5,53.5,54.78,4225,23145850000.0,7,4225,1.0
2017-08-24,OPTIEMUS,EQ,53.5,52.05,55.4,52.0,55.4,55.4,52.26,638,3333994999.9999995,7,588,0.9216
2017-08-28,OPTIEMUS,EQ,55.4,54.0,54.0,54.0,54.0,54.0,54.0,113,610200000.0,4,113,1.0
2017-08-29,OPTIEMUS,EQ,54.0,53.1,53.1,53.1,53.1,53.1,53.1,21,111509999.99999999,1,21,1.0
2017-08-30,OPTIEMUS,EQ,53.1,54.65,54.65,52.6,52.6,52.6,53.32,938,5001570000.0,9,938,1.0
2017-08-31,OPTIEMUS,EQ,52.6,52.15,53.8,52.05,53.8,53.8,52.8,1051,5548930000.0,8,801,0.7621
2017-09-01,OPTIEMUS,EQ,53.8,53.8,55.95,53.8,55.5,55.25,55.1,3402,18744670000.0,18,2440,0.7172
2017-09-04,OPTIEMUS,EQ,55.25,55.0,55.0,52.45,52.5,52.5,53.32,300,1599555000.0,5,300,1.0
2017-09-05,OPTIEMUS,EQ,52.5,54.4,54.45,52.7,53.55,53.55,53.03,3495,18532900000.0,11,2350,0.6724
2017-09-06,OPTIEMUS,EQ,53.55,53.95,57.9,53.9,56.05,56.05,55.59,5750,31966745000.0,41,3206,0.5576
2017-09-07,OPTIEMUS,EQ,56.05,56.0,56.45,55.05,55.05,55.05,55.12,320,1763809999.9999998,5,320,1.0
2017-09-08,OPTIEMUS,EQ,55.05,55.05,59.3,54.0,55.0,55.3,55.08,14810,81578455000.0,30,9817,0.6629
2017-09-11,OPTIEMUS,EQ,55.3,53.05,58.15,53.05,57.05,57.05,56.75,9344,53026985000.0,28,8540,0.914
2017-09-12,OPTIEMUS,EQ,57.05,55.0,56.35,53.6,54.75,54.75,54.68,5495,30045820000.0,38,3338,0.6075
2017-09-13,OPTIEMUS,EQ,54.75,56.5,56.5,54.0,54.0,54.0,54.04,203,1096930000.0,5,102,0.5025000000000001
2017-09-14,OPTIEMUS,EQ,54.0,53.1,55.0,53.0,55.0,53.45,53.31,825,4397920000.0,9,398,0.48240000000000005
2017-09-15,OPTIEMUS,EQ,53.45,50.15,53.5,48.15,49.5,49.3,48.72,136594,665518375000.0,332,90744,0.6643000000000001
2017-09-18,OPTIEMUS,EQ,49.3,50.0,52.15,50.0,50.3,50.0,50.19,9344,46897385000.0,55,8015,0.8578
2017-09-19,OPTIEMUS,EQ,50.0,50.3,52.95,50.3,52.85,52.3,51.73,7753,40102475000.0,53,6628,0.8549
2017-09-20,OPTIEMUS,EQ,52.3,53.0,53.0,51.0,51.1,51.25,51.4,2659,13666600000.0,22,1597,0.6006
2017-09-21,OPTIEMUS,EQ,51.25,54.8,54.8,47.75,49.0,49.7,50.13,2256,11308415000.0,43,860,0.3812
2017-09-22,OPTIEMUS,EQ,49.7,48.5,51.85,46.2,50.0,49.9,48.41,17744,85902110000.0,72,14546,0.8198000000000001
2017-09-25,OPTIEMUS,EQ,49.9,50.0,50.5,46.8,49.0,48.5,48.76,14136,68923285000.0,47,11303,0.7996
2017-09-26,OPTIEMUS,EQ,48.5,50.95,50.95,47.1,47.6,47.6,48.29,3252,15703095000.000002,21,3100,0.9533
2017-09-27,OPTIEMUS,EQ,47.6,51.0,51.0,46.0,48.0,47.55,47.75,9583,45756640000.0,100,6312,0.6587000000000001
2017-09-28,OPTIEMUS,EQ,47.55,51.95,51.95,46.55,47.5,47.5,48.0,4166,19995140000.0,29,3531,0.8476
2017-09-29,OPTIEMUS,EQ,47.5,49.95,49.95,47.0,47.7,47.0,47.13,1713,8073895000.0,16,1450,0.8465
2017-10-03,OPTIEMUS,EQ,47.0,47.25,49.0,45.35,45.35,46.55,46.85,5271,24695795000.0,43,4565,0.8661
2017-10-04,OPTIEMUS,EQ,46.55,49.95,49.95,45.4,45.55,46.2,46.37,5903,27374950000.0,57,4513,0.7645000000000001
2017-10-05,OPTIEMUS,EQ,46.2,45.5,49.4,45.3,46.0,46.0,45.9,2729,12526150000.0,21,1977,0.7244
2017-10-06,OPTIEMUS,EQ,46.0,47.9,47.9,41.4,44.0,43.05,44.45,10681,47477485000.0,68,9682,0.9065000000000001
2017-10-09,OPTIEMUS,EQ,43.05,48.9,48.9,43.55,46.5,44.85,44.57,4305,19188200000.0,49,3488,0.8102
2017-10-10,OPTIEMUS,EQ,44.85,46.0,46.0,40.0,42.05,43.0,42.06,9228,38808595000.0,100,6865,0.7439
2017-10-11,OPTIEMUS,EQ,43.0,45.0,45.0,41.0,43.8,42.5,43.13,2054,8859665000.0,32,1349,0.6568
2017-10-12,OPTIEMUS,EQ,42.5,45.0,45.0,38.0,41.0,41.15,41.54,3708,15402890000.0,47,3107,0.8379000000000001
2017-10-13,OPTIEMUS,EQ,41.15,42.0,42.25,39.3,39.3,39.95,41.34,9662,39946095000.0,67,8987,0.9301
2017-10-16,OPTIEMUS,EQ,39.95,39.0,47.9,36.4,47.9,47.9,45.64,47089,214902000000.0,194,43356,0.9207
2017-10-17,OPTIEMUS,EQ,47.9,54.0,57.45,52.6,57.45,57.45,56.77,158088,897436805000.0001,1062,57634,0.36460000000000004
2017-10-18,OPTIEMUS,EQ,57.45,60.75,68.9,60.75,68.9,68.9,66.42,252291,1675829095000.0,1855,117945,0.4675
2017-10-19,OPTIEMUS,EQ,68.9,75.75,75.75,73.25,74.1,74.75,75.51,114143,861916360000.0,517,66080,0.5789
2017-10-23,OPTIEMUS,EQ,74.75,75.5,79.6,67.7,69.55,69.85,70.2,109389,767943825000.0,1333,58362,0.5335
2017-10-24,OPTIEMUS,EQ,69.85,68.5,75.0,66.3,73.5,72.55,71.32,104712,746781505000.0,1006,55626,0.5312
2017-10-25,OPTIEMUS,EQ,72.55,75.0,77.0,70.05,72.9,72.2,73.61,25218,185621195000.0,313,14194,0.5629
2017-10-26,OPTIEMUS,EQ,72.2,71.3,71.5,65.0,65.85,65.7,67.07,36447,244451854999.99997,239,28244,0.7748999999999999
2017-10-27,OPTIEMUS,EQ,65.7,67.0,68.0,62.95,65.5,63.75,65.09,10509,68402830000.00001,141,8546,0.8131999999999999
2017-10-30,OPTIEMUS,EQ,63.75,64.0,68.0,62.7,65.0,65.05,65.18,27338,178179370000.0,169,16343,0.5978
2017-10-31,OPTIEMUS,EQ,65.05,65.55,65.75,61.3,65.5,64.75,64.79,20215,130971400000.0,331,7375,0.36479999999999996
2017-11-01,OPTIEMUS,EQ,64.75,65.5,71.2,65.1,71.2,71.2,69.06,133123,919343200000.0,756,62289,0.4679
2017-11-02,OPTIEMUS,EQ,71.2,72.7,76.0,69.0,72.4,73.2,73.5,117241,861711419999.9999,1038,69317,0.5912
2017-11-03,OPTIEMUS,EQ,73.2,74.0,75.05,72.0,73.9,73.65,73.41,37765,277249090000.0,231,14536,0.3849
2017-11-06,OPTIEMUS,EQ,73.65,74.0,74.6,73.5,73.5,73.65,74.26,40309,299338160000.0,170,3244,0.0805
2017-11-07,OPTIEMUS,EQ,73.65,74.0,74.8,70.35,72.8,72.25,73.72,27638,203734810000.0,174,2589,0.09369999999999999
2017-11-08,OPTIEMUS,EQ,72.25,73.0,75.0,69.9,71.5,71.3,72.25,33907,244963520000.00003,206,8074,0.23809999999999998
2017-11-09,OPTIEMUS,EQ,71.3,72.5,78.4,71.5,78.4,76.25,73.58,56646,416829580000.0,285,20963,0.3701
2017-11-10,OPTIEMUS,EQ,76.25,78.2,83.85,77.5,80.1,80.35,82.48,224455,1851299205000.0,1736,102788,0.4579
2017-11-13,OPTIEMUS,EQ,80.35,80.9,81.7,74.0,76.0,75.9,78.32,52274,409409850000.0,593,18862,0.3608
2018-05-02,OPTIEMUS,EQ,275.6,283.0,287.0,273.85,273.85,274.6,277.32,97530,2704656560000.0,1549,42295,0.4337
2018-05-03,OPTIEMUS,EQ,274.6,277.0,277.15,273.75,273.75,273.75,274.87,93301,2564545785000.0,4494,6754,0.0724
2018-05-04,OPTIEMUS,EQ,273.75,274.1,276.0,273.8,274.05,274.0,274.58,79788,2190810970000.0,4073,10154,0.1273
2018-05-07,OPTIEMUS,EQ,274.0,278.0,280.35,276.45,276.5,277.2,277.21,79839,2213196840000.0,2669,9352,0.11710000000000001
2018-05-08,OPTIEMUS,EQ,277.2,278.75,283.5,278.7,278.8,279.8,280.85,106270,2984615350000.0,2367,14883,0.14
2018-05-09,OPTIEMUS,EQ,279.8,279.1,288.0,278.75,284.25,285.7,284.85,123192,3509079600000.0,2157,15095,0.1225
2018-05-10,OPTIEMUS,EQ,285.7,289.0,299.95,287.65,292.0,293.15,290.45,131523,3820083085000.0,3094,37359,0.284
2018-05-11,OPTIEMUS,EQ,293.15,296.0,298.0,293.0,297.0,296.7,295.19,137295,4052774085000.0,2581,60994,0.44430000000000003
2018-05-14,OPTIEMUS,EQ,296.7,297.95,299.65,294.4,294.4,295.85,297.73,153340,4565361555000.0,2075,48685,0.3175
2018-05-15,OPTIEMUS,EQ,295.85,296.0,299.9,292.8,294.85,293.95,296.17,105119,3113267550000.0,2362,17331,0.1649
2018-05-16,OPTIEMUS,EQ,293.95,293.75,296.0,292.15,293.65,293.95,294.25,77630,2284228825000.0,1782,6946,0.0895
2018-05-17,OPTIEMUS,EQ,293.95,297.45,297.45,292.05,293.95,293.35,293.81,83978,2467384990000.0,2242,10912,0.12990000000000002
2018-05-18,OPTIEMUS,EQ,293.35,293.5,296.9,291.0,291.0,291.95,294.13,85685,2520245905000.0,1664,16141,0.1884
2018-05-21,OPTIEMUS,EQ,291.95,292.45,297.75,292.0,294.0,292.2,294.49,98690,2906297115000.0,2074,23854,0.24170000000000003
2018-05-22,OPTIEMUS,EQ,292.2,292.8,294.85,289.7,293.95,291.05,292.92,110745,3243954315000.0,1945,30861,0.2787
2018-05-23,OPTIEMUS,EQ,291.05,295.0,295.7,292.45,294.0,293.15,293.62,117604,3453099675000.0,2211,31500,0.26780000000000004
