Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,OPTOCIRCUI,EQ,299.95,301.95,310.0,297.0,302.0,301.8,304.03,446383,13571453294999.998,,222647,0.4988
2010-10-05,OPTOCIRCUI,EQ,301.8,304.7,306.9,301.0,305.65,304.9,305.0,260224,7936848459999.999,,150633,0.5789
2010-10-06,OPTOCIRCUI,EQ,304.9,309.85,310.0,307.1,308.7,309.2,308.86,339047,10471905380000.0,,219272,0.6467
2010-10-07,OPTOCIRCUI,EQ,309.2,309.2,317.5,303.1,308.0,306.75,311.96,422132,13168795355000.0,,229476,0.5436
2010-10-08,OPTOCIRCUI,EQ,306.75,309.9,317.0,305.6,311.5,310.1,312.19,678338,21177048550000.0,,179788,0.265
2010-10-11,OPTOCIRCUI,EQ,310.1,313.4,314.7,306.0,310.0,309.55,309.64,306659,9495445635000.0,,185235,0.604
2010-10-12,OPTOCIRCUI,EQ,309.55,310.0,318.0,308.1,308.8,309.75,313.16,886049,27747294480000.0,,262280,0.29600000000000004
2010-10-13,OPTOCIRCUI,EQ,309.75,309.1,316.0,309.1,314.5,315.1,314.18,553870,17401520740000.0,,388152,0.7008
2010-10-14,OPTOCIRCUI,EQ,315.1,316.0,322.6,316.0,321.7,321.5,320.15,667523,21371039240000.0,,352501,0.5281
2010-10-15,OPTOCIRCUI,EQ,321.5,321.5,324.0,313.15,314.0,314.3,318.59,565817,18026267390000.0,,449484,0.7944
2010-10-18,OPTOCIRCUI,EQ,314.3,310.0,322.2,305.05,306.0,306.4,312.85,727758,22767582345000.0,,300927,0.41350000000000003
2010-10-19,OPTOCIRCUI,EQ,306.4,307.1,309.6,300.15,301.15,302.95,304.83,464662,14164155490000.0,,239918,0.5163
2010-10-20,OPTOCIRCUI,EQ,302.95,305.0,305.0,296.0,297.0,297.25,299.99,222940,6687940710000.0,,138683,0.6221
2010-10-21,OPTOCIRCUI,EQ,297.25,300.0,301.8,294.15,295.0,294.85,296.33,344669,10213706380000.0,,214220,0.6215
2010-10-22,OPTOCIRCUI,EQ,294.85,295.0,298.9,293.25,296.5,297.2,295.41,204431,6039066035000.0,,108214,0.5293
2010-10-25,OPTOCIRCUI,EQ,297.2,295.55,302.5,295.55,300.85,300.15,300.21,289553,8692527420000.0,,135969,0.4696
2010-10-26,OPTOCIRCUI,EQ,300.15,302.0,302.0,297.1,298.0,298.35,299.94,180505,5413986815000.0,,77033,0.4268
2010-10-27,OPTOCIRCUI,EQ,298.35,299.65,299.65,292.0,292.3,292.8,293.91,141628,4162628650000.0,,62629,0.4422
2010-10-28,OPTOCIRCUI,EQ,292.8,292.05,298.3,287.1,291.5,290.45,293.34,359293,10539400720000.0,,185995,0.5177
2010-10-29,OPTOCIRCUI,EQ,290.45,286.25,298.0,283.05,287.0,287.55,287.95,299653,8628501255000.0,,202853,0.677
2010-11-01,OPTOCIRCUI,EQ,287.55,290.0,295.7,288.0,295.7,293.65,292.85,140119,4103431815000.0,,81769,0.5836
2010-11-02,OPTOCIRCUI,EQ,293.65,294.05,296.7,291.3,292.35,292.6,293.21,140445,4117999670000.0005,,98487,0.7012
2010-11-03,OPTOCIRCUI,EQ,292.6,294.75,303.4,293.0,301.65,300.55,300.24,387822,11644042900000.0,,189882,0.48960000000000004
2010-11-04,OPTOCIRCUI,EQ,300.55,305.95,306.0,301.15,304.2,303.75,303.58,462142,14029650265000.0,,321750,0.6962
2010-11-05,OPTOCIRCUI,EQ,303.75,306.3,307.7,296.7,305.0,302.75,303.16,151003,4577757920000.0,,96229,0.6373
2010-11-08,OPTOCIRCUI,EQ,302.75,305.0,307.9,303.25,306.65,306.15,305.59,276042,8435627130000.0,,184082,0.6668999999999999
2010-11-09,OPTOCIRCUI,EQ,306.15,310.0,310.7,305.1,306.95,307.6,307.89,452907,13944661835000.0,,246354,0.5439
2010-11-10,OPTOCIRCUI,EQ,307.6,309.6,312.0,304.0,305.0,305.8,307.32,309694,9517575365000.0,,172470,0.5569
2010-11-11,OPTOCIRCUI,EQ,305.8,306.5,306.5,293.1,295.75,294.4,297.41,335466,9977163825000.0,,211915,0.6317
2010-11-12,OPTOCIRCUI,EQ,294.4,296.45,296.6,285.5,290.7,290.65,290.14,510430,14809657660000.0,,347574,0.6809000000000001
2010-11-15,OPTOCIRCUI,EQ,290.65,292.9,292.9,280.5,286.2,284.95,286.68,299314,8580795720000.0,,178646,0.5969
2010-11-16,OPTOCIRCUI,EQ,284.95,287.6,289.9,279.05,281.0,280.9,284.23,268214,7623536945000.0,,179704,0.67
