Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ORIENTABRA,EQ,31.25,31.05,32.0,31.05,31.1,31.25,31.49,43470,136882145000.0,,30680,0.7058
2010-10-05,ORIENTABRA,EQ,31.25,31.0,31.75,31.0,31.2,31.15,31.28,32352,101206355000.0,,19861,0.6139
2010-10-06,ORIENTABRA,EQ,31.15,31.15,31.9,31.15,31.35,31.6,31.58,29828,94194770000.0,,18431,0.6179
2010-10-07,ORIENTABRA,EQ,31.6,31.15,31.95,31.1,31.1,31.15,31.3,21935,68652065000.0,,17099,0.7795000000000001
2010-10-08,ORIENTABRA,EQ,31.15,31.0,31.75,31.0,31.15,31.15,31.23,40157,125409095000.0,,28047,0.6984
2010-10-11,ORIENTABRA,EQ,31.15,31.0,31.85,31.0,31.3,31.25,31.23,30318,94688730000.0,,17734,0.5849000000000001
2010-10-12,ORIENTABRA,EQ,31.25,31.1,31.3,30.8,31.1,31.15,31.06,38445,119403335000.00002,,33274,0.8654999999999999
2010-10-13,ORIENTABRA,EQ,31.15,30.75,31.6,30.75,31.25,31.15,31.32,53974,169052930000.0,,37839,0.7011000000000001
2010-10-14,ORIENTABRA,EQ,31.15,31.0,31.6,30.7,30.85,31.1,30.98,34747,107630145000.0,,26166,0.753
2010-10-15,ORIENTABRA,EQ,31.1,30.5,31.4,30.5,31.0,30.95,30.89,18368,56739935000.0,,14789,0.8052
2010-10-18,ORIENTABRA,EQ,30.95,30.05,31.3,30.05,30.3,30.4,30.56,15077,46077065000.0,,12073,0.8008
2010-10-19,ORIENTABRA,EQ,30.4,30.5,30.85,30.4,30.4,30.45,30.53,14731,44971665000.0,,10437,0.7084999999999999
2010-10-20,ORIENTABRA,EQ,30.45,30.2,30.9,30.2,30.35,30.35,30.58,10286,31452584999.999996,,7896,0.7676000000000001
2010-10-21,ORIENTABRA,EQ,30.35,30.1,30.6,30.0,30.0,30.05,30.16,18832,56805300000.0,,11194,0.5944
2010-10-22,ORIENTABRA,EQ,30.05,30.0,30.5,29.6,29.6,29.95,30.09,29509,88798575000.0,,19356,0.6559
2010-10-25,ORIENTABRA,EQ,29.95,29.15,30.2,29.15,29.7,29.65,29.67,48976,145314080000.0,,36805,0.7515000000000001
2010-10-26,ORIENTABRA,EQ,29.65,29.65,32.4,29.65,32.0,30.95,30.57,56533,172838760000.0,,45434,0.8037000000000001
2010-10-27,ORIENTABRA,EQ,30.95,30.6,32.25,30.6,31.3,31.4,31.86,121738,387890515000.0,,67621,0.5555
2010-10-28,ORIENTABRA,EQ,31.4,31.0,31.95,30.2,30.75,30.75,30.91,48690,150517640000.0,,27102,0.5566
2010-10-29,ORIENTABRA,EQ,30.75,30.2,31.8,30.2,31.3,31.35,31.11,102663,319417145000.0,,73059,0.7116
2010-11-01,ORIENTABRA,EQ,31.35,30.05,31.5,29.6,29.85,29.9,30.36,111060,337184320000.0,,75041,0.6757
2010-11-02,ORIENTABRA,EQ,29.9,29.55,30.5,29.55,30.5,30.25,30.08,33937,102078635000.0,,29668,0.8742000000000001
2010-11-03,ORIENTABRA,EQ,30.25,29.25,31.9,29.25,30.7,30.75,31.14,81911,255090425000.0,,48829,0.5961
2010-11-04,ORIENTABRA,EQ,30.75,31.45,31.45,30.3,31.2,31.15,31.06,44084,136945995000.0,,33949,0.7701000000000001
2010-11-05,ORIENTABRA,EQ,31.15,31.5,32.7,31.45,32.5,32.25,32.2,59840,192677070000.0,,50982,0.8520000000000001
2010-11-08,ORIENTABRA,EQ,32.25,32.25,33.1,31.6,32.7,32.85,32.52,96737,314631165000.0,,68365,0.7067
2010-11-09,ORIENTABRA,EQ,32.85,32.2,36.5,32.2,35.6,35.45,35.14,705266,2478023800000.0,,448153,0.6354
2010-11-10,ORIENTABRA,EQ,35.45,35.8,39.0,35.75,39.0,38.55,37.77,627399,2369908000000.0,,388313,0.6189
2010-11-11,ORIENTABRA,EQ,38.55,39.1,42.75,35.6,37.7,37.5,39.37,1424001,5606897170000.0,,773878,0.5435
2010-11-12,ORIENTABRA,EQ,37.5,38.0,39.95,30.0,32.5,31.55,33.1,1851842,6128912670000.0,,953055,0.5147
2010-11-15,ORIENTABRA,EQ,31.55,32.55,36.15,32.5,34.65,34.9,34.99,1254996,4390916204999.9995,,374606,0.29850000000000004
2010-11-16,ORIENTABRA,EQ,34.9,35.7,35.85,33.25,34.15,34.05,34.62,359037,1242905465000.0,,171696,0.4782
2010-11-18,ORIENTABRA,EQ,34.05,34.05,35.6,33.4,34.55,34.65,34.37,287816,989235210000.0,,177615,0.6171
