Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-05-28,ORIENTELEC,EQ,135.8,137.95,139.75,131.5,134.0,135.2,137.38,192375,2642909335000.0,751,171487,0.8914
2018-05-29,ORIENTELEC,EQ,135.2,135.9,135.95,131.55,135.75,134.45,133.92,97200,1301726015000.0,1012,73761,0.7589
2018-05-30,ORIENTELEC,EQ,134.45,135.6,135.6,130.0,131.0,132.0,131.54,51014,671022605000.0,1823,38436,0.7534000000000001
2018-05-31,ORIENTELEC,EQ,132.0,131.0,132.0,128.0,130.0,130.05,129.92,186448,2422312325000.0,1444,173997,0.9331999999999999
2018-06-01,ORIENTELEC,EQ,130.05,131.95,131.95,123.0,124.6,125.05,126.09,114571,1444674710000.0,3347,102617,0.8956999999999999
2018-06-04,ORIENTELEC,EQ,125.05,123.0,124.75,116.85,122.45,121.35,120.89,147557,1783750464999.9998,1997,115390,0.782
2018-06-05,ORIENTELEC,EQ,121.35,120.0,120.75,111.75,120.0,118.8,116.99,167629,1961088450000.0,3005,118783,0.7086
2018-06-06,ORIENTELEC,EQ,118.8,118.8,123.75,118.1,119.05,119.05,119.71,66958,801560710000.0,825,52856,0.7894
2018-06-07,ORIENTELEC,EQ,119.05,120.0,129.0,119.3,127.1,127.45,125.06,79937,999652415000.0,955,63976,0.8003
2018-06-08,ORIENTELEC,EQ,127.45,127.45,128.3,123.3,127.0,127.1,126.42,68103,860973300000.0,559,59661,0.876
2018-06-11,ORIENTELEC,EQ,127.1,127.0,128.9,125.0,128.0,127.9,127.58,111155,1418157795000.0,524,98075,0.8823000000000001
2018-06-12,ORIENTELEC,EQ,127.9,128.5,130.75,125.65,129.0,129.05,128.48,172611,2217745240000.0,592,157419,0.912
2018-06-13,ORIENTELEC,EQ,129.05,129.0,129.55,127.05,128.0,128.0,128.0,155847,1994909389999.9998,461,150817,0.9677
2018-06-14,ORIENTELEC,EQ,128.0,127.0,131.0,125.05,128.1,127.35,126.78,69843,885477580000.0001,589,49843,0.7136
2018-06-15,ORIENTELEC,EQ,127.35,128.75,134.0,126.25,133.85,132.6,130.3,113839,1483362275000.0,611,96819,0.8505
2018-06-18,ORIENTELEC,EQ,132.6,134.9,136.95,131.55,135.0,135.45,134.15,220087,2952421765000.0,806,200229,0.9098
2018-06-19,ORIENTELEC,EQ,135.45,136.8,136.8,130.0,131.0,130.2,134.03,156136,2092754445000.0,610,147062,0.9419
2018-06-20,ORIENTELEC,EQ,130.2,130.05,133.0,128.2,131.05,131.55,131.12,106934,1402129370000.0,371,96841,0.9056000000000001
2018-06-21,ORIENTELEC,EQ,131.55,130.25,131.5,128.8,131.5,130.8,130.26,181396,2362948600000.0,441,172545,0.9512
2018-06-22,ORIENTELEC,EQ,130.8,130.05,130.1,126.05,127.0,127.4,128.27,35851,459848400000.0,334,28036,0.782
2018-06-25,ORIENTELEC,EQ,127.4,127.1,128.0,125.0,126.95,126.1,126.2,99136,1251049030000.0,903,89139,0.8992
2018-06-26,ORIENTELEC,EQ,126.1,126.1,133.0,124.15,125.1,126.25,130.09,141640,1842524925000.0,1092,86341,0.6096
2018-06-27,ORIENTELEC,EQ,126.25,125.6,126.45,120.0,125.0,124.1,124.83,115742,1444815970000.0,3855,104277,0.9009
2018-06-28,ORIENTELEC,EQ,124.1,125.95,126.45,123.9,125.0,125.35,124.99,107134,1339049075000.0,483,104627,0.9766
2018-06-29,ORIENTELEC,EQ,125.35,125.0,127.95,121.6,127.0,125.45,123.43,454124,5605055895000.0,749,432314,0.9520000000000001
2018-07-02,ORIENTELEC,EQ,125.45,124.05,126.95,122.0,122.05,122.7,123.94,23856,295665205000.0,536,18406,0.7715000000000001
2018-07-03,ORIENTELEC,EQ,122.7,122.05,124.0,121.0,122.15,122.05,122.38,47198,577597770000.0,351,38574,0.8173
2018-07-04,ORIENTELEC,EQ,122.05,123.0,125.0,121.35,125.0,124.4,123.23,21602,266205985000.0,448,16561,0.7666
2018-07-05,ORIENTELEC,EQ,124.4,123.0,124.9,121.0,122.45,121.05,121.07,1051262,12727505505000.0,433,1023738,0.9738
2018-07-06,ORIENTELEC,EQ,121.05,123.9,125.4,119.6,119.6,120.9,122.36,128212,1568749505000.0,1892,88957,0.6938
2018-07-09,ORIENTELEC,EQ,120.9,120.3,122.95,120.3,122.2,121.85,121.65,30925,376196345000.0,487,26193,0.8470000000000001
2018-07-10,ORIENTELEC,EQ,121.85,122.2,133.0,120.6,131.15,131.5,128.2,148740,1906865620000.0,1630,110299,0.7415999999999999
2018-07-11,ORIENTELEC,EQ,131.5,130.1,132.9,125.55,129.0,128.4,127.99,40479,518080925000.0,637,26687,0.6593000000000001
2018-07-12,ORIENTELEC,EQ,128.4,128.0,129.0,124.5,125.0,125.05,125.94,126513,1593364695000.0,841,118980,0.9405
2018-07-13,ORIENTELEC,EQ,125.05,127.0,127.95,121.35,122.6,122.25,124.32,70934,881831750000.0,384,61781,0.871
2018-07-16,ORIENTELEC,EQ,122.25,122.6,123.15,105.25,115.65,116.0,115.36,370525,4274341195000.0005,1113,284563,0.768
2018-07-17,ORIENTELEC,EQ,116.0,113.7,117.9,113.4,117.4,116.25,115.91,41815,484689615000.00006,524,28800,0.6887000000000001
2018-07-18,ORIENTELEC,EQ,116.25,115.3,117.85,103.25,116.0,116.25,114.27,270274,3088467485000.0,1164,204943,0.7583
2018-07-19,ORIENTELEC,EQ,116.25,116.0,116.95,109.55,114.0,114.1,114.69,299821,3438644400000.0,837,278009,0.9272
2018-07-20,ORIENTELEC,EQ,114.1,116.0,116.0,108.55,110.0,110.55,110.92,55947,620585440000.0,1178,45663,0.8162
2018-07-23,ORIENTELEC,EQ,110.55,107.5,117.5,107.5,117.0,115.1,114.79,138826,1593588645000.0,698,128079,0.9226000000000001
2018-07-24,ORIENTELEC,EQ,115.1,115.1,119.5,114.05,115.75,115.85,115.9,185125,2145615110000.0002,688,149217,0.8059999999999999
2018-07-25,ORIENTELEC,EQ,115.85,117.9,117.9,113.1,114.5,114.95,114.77,194697,2234557100000.0,553,185963,0.9551000000000001
2018-07-26,ORIENTELEC,EQ,114.95,114.95,124.4,113.85,124.0,123.2,116.41,545863,6354281685000.0,934,446816,0.8185
2018-07-27,ORIENTELEC,EQ,123.2,123.5,133.0,123.5,130.0,131.7,129.48,265618,3439264400000.0,1830,189229,0.7123999999999999
2018-07-30,ORIENTELEC,EQ,131.7,132.7,142.0,127.2,141.0,139.75,137.66,543916,7487343445000.0,3171,369242,0.6789000000000001
2018-07-31,ORIENTELEC,EQ,139.75,140.9,153.95,140.0,144.0,144.95,147.04,674082,9912008500000.0,5776,390073,0.5787
2018-08-01,ORIENTELEC,EQ,144.95,144.95,145.95,132.55,136.0,136.05,136.86,259330,3549146665000.0,2974,174721,0.6737000000000001
2018-08-02,ORIENTELEC,EQ,136.05,136.0,142.3,132.55,141.0,141.05,139.53,202870,2830720145000.0,2111,137012,0.6754000000000001
2018-08-03,ORIENTELEC,EQ,141.05,138.75,145.0,133.2,136.05,137.95,140.54,125957,1770159239999.9998,1487,69188,0.5493
2018-08-06,ORIENTELEC,EQ,137.95,137.8,143.0,136.5,143.0,141.85,139.73,140905,1968833600000.0,1147,104444,0.7412000000000001
