Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ORIENTLTD,EQ,113.2,108.0,120.55,108.0,114.1,114.1,117.09,1615,18910670000.0,,1417,0.8774
2010-10-05,ORIENTLTD,EQ,114.1,115.1,115.2,115.1,115.1,115.1,115.11,489,5628890000.0,,414,0.8466
2010-10-06,ORIENTLTD,EQ,115.1,112.0,117.65,112.0,113.0,113.05,113.83,370,4211850000.0,,200,0.5405
2010-10-07,ORIENTLTD,EQ,113.05,113.05,115.8,113.05,113.15,113.15,114.57,154,1764390000.0000002,,110,0.7143
2010-10-08,ORIENTLTD,EQ,113.15,116.85,117.0,114.5,114.5,114.5,116.82,168,1962590000.0000002,,154,0.9167000000000001
2010-10-11,ORIENTLTD,EQ,114.5,112.5,116.9,112.05,112.05,114.65,114.58,420,4812550000.0,,10,0.023799999999999998
2010-10-13,ORIENTLTD,EQ,114.65,112.45,112.65,112.2,112.2,112.4,112.52,105,1181475000.0,,80,0.7619
2010-10-14,ORIENTLTD,EQ,112.4,116.85,116.85,112.35,112.35,112.35,114.6,26,297960000.0,,13,0.5
2010-10-15,ORIENTLTD,EQ,112.35,112.35,120.95,112.35,118.9,118.9,117.65,167,1964700000.0,,52,0.3114
2010-10-18,ORIENTLTD,EQ,118.9,111.0,118.5,111.0,115.5,117.0,116.99,2005,23455500000.0,,5,0.0025
2010-10-19,ORIENTLTD,EQ,117.0,120.95,120.95,120.95,120.95,120.95,120.95,3,36285000.0,,3,1.0
2010-10-21,ORIENTLTD,EQ,120.95,119.75,119.75,110.8,117.35,117.35,119.13,165,1965725000.0,,160,0.9697
2010-10-22,ORIENTLTD,EQ,117.35,119.7,119.7,108.0,118.7,118.7,113.47,3660,41531225000.0,,60,0.016399999999999998
2010-10-25,ORIENTLTD,EQ,118.7,118.0,120.7,115.5,115.8,115.8,118.12,1661,19620190000.0,,511,0.30760000000000004
2010-10-26,ORIENTLTD,EQ,115.8,119.0,119.0,117.15,117.15,117.15,118.38,15,177575000.0,,15,1.0
2010-10-28,ORIENTLTD,EQ,117.15,115.0,120.0,109.25,111.85,111.85,113.58,2573,29224745000.0,,305,0.1185
2010-10-29,ORIENTLTD,EQ,111.85,110.35,110.35,110.35,110.35,110.35,110.35,5,55175000.0,,5,1.0
2010-11-01,ORIENTLTD,EQ,110.35,113.1,115.0,113.0,113.1,114.9,113.66,335,3807550000.0,,335,1.0
2010-11-02,ORIENTLTD,EQ,114.9,115.0,115.05,115.0,115.05,115.05,115.0,106,1219030000.0,,106,1.0
2010-11-03,ORIENTLTD,EQ,115.05,119.0,119.9,114.0,114.0,114.0,115.2,171,1969859999.9999998,,171,1.0
2010-11-04,ORIENTLTD,EQ,114.0,113.5,116.85,113.15,115.45,115.45,114.86,816,9372380000.0,,200,0.2451
2010-11-08,ORIENTLTD,EQ,115.45,115.0,115.0,112.5,112.5,112.5,112.87,700,7901000000.0,,500,0.7143
2010-11-09,ORIENTLTD,EQ,112.5,113.0,129.85,100.1,119.05,118.75,120.98,3210,38834115000.0,,2011,0.6265
2010-11-10,ORIENTLTD,EQ,118.75,120.4,120.4,116.9,116.9,117.7,118.61,832,9868020000.0,,430,0.5168
2010-11-11,ORIENTLTD,EQ,117.7,115.7,120.5,115.0,115.0,115.2,117.31,1324,15532010000.0,,543,0.41009999999999996
2010-11-12,ORIENTLTD,EQ,115.2,115.0,115.0,112.85,114.95,114.95,113.91,150,1708625000.0,,100,0.6667000000000001
2010-11-16,ORIENTLTD,EQ,114.95,114.05,117.5,107.5,107.9,107.95,111.82,860,9616645000.0,,511,0.5942000000000001
2010-11-18,ORIENTLTD,EQ,107.95,111.2,111.4,98.15,110.75,111.0,110.57,723,7994230000.0,,450,0.6224000000000001
2010-11-19,ORIENTLTD,EQ,111.0,105.6,113.35,105.6,110.0,110.0,111.2,10,111200000.0,,5,0.5
2010-11-22,ORIENTLTD,EQ,110.0,103.0,119.0,103.0,107.0,106.7,109.51,133,1456520000.0,,89,0.6692
2010-11-23,ORIENTLTD,EQ,106.7,109.9,109.9,101.05,102.0,102.0,101.68,215,2186105000.0,,203,0.9442
2010-11-24,ORIENTLTD,EQ,102.0,101.0,107.6,100.15,100.8,102.0,102.41,1190,12186465000.0,,605,0.5084000000000001
2010-11-25,ORIENTLTD,EQ,102.0,102.0,111.5,99.5,104.9,104.9,102.42,32,327750000.0,,22,0.6875
2010-11-26,ORIENTLTD,EQ,104.9,92.6,105.9,92.6,98.0,98.65,102.38,85,870200000.0,,75,0.8824
2010-11-29,ORIENTLTD,EQ,98.65,107.8,107.8,98.0,98.0,98.0,102.9,10,102900000.0,,5,0.5
2010-11-30,ORIENTLTD,EQ,98.0,98.75,99.25,98.75,99.0,99.15,99.12,180,1784125000.0,,180,1.0
2010-12-01,ORIENTLTD,EQ,99.15,111.7,111.7,96.5,100.0,100.0,111.17,55,611440000.0,,53,0.9636
2010-12-02,ORIENTLTD,EQ,100.0,114.9,114.95,100.75,107.95,107.15,108.72,828,9002210000.0,,215,0.2597
2010-12-03,ORIENTLTD,EQ,107.15,100.0,105.25,99.25,99.25,102.25,101.53,147,1492500000.0,,47,0.3197
2010-12-06,ORIENTLTD,EQ,102.25,107.25,110.0,105.5,110.0,109.25,108.76,485,5274725000.0,,305,0.6289
2010-12-08,ORIENTLTD,EQ,109.25,98.35,109.9,98.35,106.5,100.55,102.41,1032,10569035000.0,,1,0.001
2010-12-09,ORIENTLTD,EQ,100.55,119.0,119.0,92.5,103.0,100.4,100.98,1475,14894910000.0,,45,0.0305
2010-12-10,ORIENTLTD,EQ,100.4,84.5,114.0,84.5,91.0,92.35,100.17,1024,10257480000.0,,180,0.17579999999999998
2010-12-13,ORIENTLTD,EQ,92.35,110.8,110.8,93.0,97.15,97.15,98.61,236,2327090000.0,,74,0.3136
2010-12-15,ORIENTLTD,EQ,97.15,107.75,107.75,98.3,98.3,98.3,102.13,178,1817930000.0,,101,0.5674
2010-12-16,ORIENTLTD,EQ,98.3,104.85,104.85,99.1,100.0,100.65,100.66,47,473085000.00000006,,25,0.5319
2010-12-20,ORIENTLTD,EQ,100.65,98.05,98.05,98.05,98.05,98.05,98.05,75,735375000.0,,75,1.0
2010-12-21,ORIENTLTD,EQ,98.05,99.0,99.0,99.0,99.0,99.0,99.0,56,554400000.0,,56,1.0
2010-12-22,ORIENTLTD,EQ,99.0,94.15,100.0,94.15,95.1,95.1,94.79,12,113745000.0,,11,0.9167000000000001
2010-12-23,ORIENTLTD,EQ,95.1,96.0,96.0,96.0,96.0,96.0,96.0,10,96000000.0,,10,1.0
2010-12-24,ORIENTLTD,EQ,96.0,96.0,96.0,95.1,95.1,95.1,95.8,165,1580760000.0,,129,0.7818
2010-12-27,ORIENTLTD,EQ,95.1,97.0,97.0,97.0,97.0,97.0,97.0,3,29100000.0,,3,1.0
2010-12-28,ORIENTLTD,EQ,97.0,92.55,102.75,92.5,92.9,92.9,95.33,42,400380000.0,,15,0.35710000000000003
2010-12-29,ORIENTLTD,EQ,92.9,93.15,97.0,93.15,97.0,97.0,96.64,107,1034050000.0,,97,0.9065000000000001
2010-12-30,ORIENTLTD,EQ,97.0,94.5,101.0,94.5,97.8,97.8,97.63,230,2245550000.0,,15,0.0652
2010-12-31,ORIENTLTD,EQ,97.8,107.35,107.35,100.0,100.0,100.0,100.04,200,2000734999.9999998,,200,1.0
2011-01-03,ORIENTLTD,EQ,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,50000000.0,,5,1.0
2011-01-04,ORIENTLTD,EQ,100.0,99.0,99.1,99.0,99.1,99.1,99.03,20,198060000.0,,20,1.0
2011-01-05,ORIENTLTD,EQ,99.1,98.9,100.0,98.9,99.0,99.0,99.41,1391,13828050000.0,,1368,0.9834999999999999
