Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ORIENTPPR,EQ,59.9,60.5,61.25,59.0,60.0,60.3,59.78,130841,782212240000.0,,88947,0.6798000000000001
2010-10-05,ORIENTPPR,EQ,60.3,60.85,61.0,59.2,60.8,60.45,59.88,181493,1086869565000.0,,125757,0.6929000000000001
2010-10-06,ORIENTPPR,EQ,60.45,62.25,71.8,62.1,62.7,62.5,64.62,1144313,7395068140000.001,,447204,0.3908
2010-10-07,ORIENTPPR,EQ,62.5,62.7,63.25,60.55,61.55,61.35,62.07,189033,1173404235000.0,,88731,0.4694
2010-10-08,ORIENTPPR,EQ,61.35,62.25,63.9,61.2,62.0,61.8,62.31,371286,2313310025000.0,,150925,0.4065
2010-10-11,ORIENTPPR,EQ,61.8,62.5,62.8,61.6,61.95,61.9,62.13,110279,685156180000.0,,70131,0.6359
2010-10-12,ORIENTPPR,EQ,61.9,61.8,62.0,60.55,61.0,60.9,60.99,114387,697614070000.0,,71925,0.6288
2010-10-13,ORIENTPPR,EQ,60.9,61.1,61.5,60.65,61.15,61.05,61.07,107134,654311820000.0,,72088,0.6729
2010-10-14,ORIENTPPR,EQ,61.05,61.2,62.9,60.85,62.55,62.05,61.9,235651,1458777495000.0,,137594,0.5839
2010-10-15,ORIENTPPR,EQ,62.05,62.2,62.7,60.55,60.8,60.8,61.06,105454,643927305000.0,,61236,0.5807
2010-10-18,ORIENTPPR,EQ,60.8,61.7,61.7,59.55,60.15,60.15,60.07,270408,1624344920000.0,,232636,0.8603000000000001
2010-10-19,ORIENTPPR,EQ,60.15,63.2,63.85,61.1,61.75,61.5,62.17,310099,1927940685000.0002,,120199,0.3876
2010-10-20,ORIENTPPR,EQ,61.5,61.3,62.1,60.5,60.9,60.75,61.29,83975,514695034999.99994,,47181,0.5618
2010-10-21,ORIENTPPR,EQ,60.75,60.9,61.8,59.1,59.7,59.9,60.13,146301,879729305000.0001,,107489,0.7347
2010-10-22,ORIENTPPR,EQ,59.9,60.1,60.65,59.15,60.35,60.05,60.02,154580,927741175000.0,,121335,0.7848999999999999
2010-10-25,ORIENTPPR,EQ,60.05,60.2,60.65,59.6,60.55,60.35,60.24,137369,827498575000.0,,114791,0.8356
2010-10-26,ORIENTPPR,EQ,60.35,60.4,60.75,59.75,60.3,60.3,60.29,68092,410546655000.0,,52177,0.7663
2010-10-27,ORIENTPPR,EQ,60.3,60.5,61.8,60.1,60.8,60.7,60.93,139937,852570075000.0,,55922,0.3996
2010-10-28,ORIENTPPR,EQ,60.7,60.8,61.45,60.1,60.25,60.15,60.59,47091,285336485000.0,,28804,0.6117
2010-10-29,ORIENTPPR,EQ,60.15,59.6,60.35,58.1,58.5,58.55,59.15,61163,361751280000.0,,39681,0.6487999999999999
2010-11-01,ORIENTPPR,EQ,58.55,59.95,60.0,58.3,59.95,59.75,59.11,111022,656289195000.0,,86524,0.7793000000000001
2010-11-02,ORIENTPPR,EQ,59.75,59.8,61.3,59.3,61.05,61.15,60.92,102915,626907210000.0,,86134,0.8369
2010-11-03,ORIENTPPR,EQ,61.15,61.15,62.45,61.1,62.05,62.1,61.94,169206,1048036000000.0,,137233,0.8109999999999999
2010-11-04,ORIENTPPR,EQ,62.1,63.5,64.8,62.0,63.0,63.15,63.54,336410,2137520685000.0002,,174219,0.5179
2010-11-05,ORIENTPPR,EQ,63.15,64.0,65.0,63.0,63.9,63.85,63.93,92806,593280395000.0,,69773,0.7518000000000001
2010-11-08,ORIENTPPR,EQ,63.85,63.9,64.15,62.2,62.3,62.3,62.65,111446,698226405000.0,,70029,0.6284000000000001
2010-11-09,ORIENTPPR,EQ,62.3,62.5,63.0,62.1,62.75,62.65,62.54,103134,645018260000.0,,86581,0.8395
2010-11-10,ORIENTPPR,EQ,62.65,62.8,63.5,62.0,63.05,63.0,63.03,151988,958027265000.0,,114152,0.7511
2010-11-11,ORIENTPPR,EQ,63.0,63.2,65.5,63.2,64.0,63.95,64.47,302515,1950194375000.0,,210622,0.6962
2010-11-12,ORIENTPPR,EQ,63.95,63.1,64.8,61.1,62.65,61.7,62.69,100564,630468560000.0,,80532,0.8008
2010-11-15,ORIENTPPR,EQ,61.7,61.0,61.0,56.4,58.7,58.95,58.0,415269,2408677935000.0,,287215,0.6916
2010-11-16,ORIENTPPR,EQ,58.95,65.8,65.8,56.1,56.4,56.4,57.68,218676,1261294300000.0,,161229,0.7373000000000001
2010-11-18,ORIENTPPR,EQ,56.4,57.5,59.8,56.0,57.0,57.3,57.32,222156,1273364370000.0,,102644,0.462
2010-11-19,ORIENTPPR,EQ,57.3,57.5,57.5,55.05,55.1,55.25,56.28,82813,466086945000.0,,60839,0.7347
2010-11-22,ORIENTPPR,EQ,55.25,56.75,58.5,56.15,58.3,58.25,57.68,108651,626698575000.0,,80394,0.7399
2010-11-23,ORIENTPPR,EQ,58.25,57.95,59.0,56.0,57.7,57.6,56.91,58349,332090625000.0,,31924,0.5471
2010-11-24,ORIENTPPR,EQ,57.6,56.65,58.4,56.15,57.5,57.1,57.64,54303,312995790000.0,,31870,0.5869
2010-11-25,ORIENTPPR,EQ,57.1,58.0,58.0,55.1,55.6,55.8,56.05,58777,329434285000.0,,39949,0.6797
2010-11-26,ORIENTPPR,EQ,55.8,55.8,56.1,52.3,55.5,54.4,53.82,161642,870002260000.0,,128524,0.7951
2010-11-29,ORIENTPPR,EQ,54.4,52.8,54.2,51.55,54.1,54.0,53.07,262700,1394110115000.0,,201070,0.7654000000000001
2010-11-30,ORIENTPPR,EQ,54.0,54.0,56.2,53.6,55.0,54.8,55.04,38468,211720070000.00003,,27501,0.7149
2010-12-01,ORIENTPPR,EQ,54.8,56.8,56.8,54.85,55.0,55.15,55.37,78542,434911509999.99994,,60532,0.7706999999999999
2010-12-02,ORIENTPPR,EQ,55.15,56.0,56.5,55.5,56.4,56.35,55.99,158487,887291330000.0001,,140654,0.8875000000000001
2010-12-03,ORIENTPPR,EQ,56.35,56.4,56.4,54.2,56.1,55.7,55.47,88604,491494525000.0,,61869,0.6983
2010-12-06,ORIENTPPR,EQ,55.7,55.05,55.8,54.5,54.8,55.0,54.92,71381,392022775000.0,,44822,0.6279
2010-12-07,ORIENTPPR,EQ,55.0,55.0,55.1,53.5,55.0,54.8,54.36,132918,722513570000.0,,106982,0.8049
2010-12-08,ORIENTPPR,EQ,54.8,54.0,55.2,53.1,55.2,54.9,54.31,116391,632153195000.0,,92283,0.7929
2010-12-09,ORIENTPPR,EQ,54.9,55.35,55.35,53.1,54.0,54.0,53.85,91242,491294070000.0,,81328,0.8913
2010-12-10,ORIENTPPR,EQ,54.0,52.0,54.95,51.2,54.25,54.3,53.12,137332,729487200000.0,,85660,0.6237
2010-12-13,ORIENTPPR,EQ,54.3,54.0,55.2,53.75,54.15,54.35,54.28,85469,463928745000.0,,59196,0.6926000000000001
2010-12-14,ORIENTPPR,EQ,54.35,54.5,56.0,54.0,56.0,55.9,55.32,60328,333714445000.0,,45421,0.7529000000000001
2010-12-15,ORIENTPPR,EQ,55.9,55.0,57.45,55.0,56.05,56.05,56.22,69047,388168580000.0,,57565,0.8337000000000001
2010-12-16,ORIENTPPR,EQ,56.05,55.0,56.75,54.0,55.0,55.25,55.04,1091499,6007194290000.0,,1053118,0.9648000000000001
2010-12-20,ORIENTPPR,EQ,55.25,55.25,57.0,55.0,56.55,56.75,56.26,58510,329160100000.0,,41130,0.703
2010-12-21,ORIENTPPR,EQ,56.75,55.6,58.0,54.6,55.55,55.65,55.45,88350,489904259999.99994,,54757,0.6198
2010-12-22,ORIENTPPR,EQ,55.65,55.25,57.8,55.25,56.0,55.95,56.73,52592,298352195000.0,,28652,0.5448
2010-12-23,ORIENTPPR,EQ,55.95,56.25,57.85,56.15,56.45,56.85,57.16,66689,381226340000.0,,35016,0.5251
2010-12-24,ORIENTPPR,EQ,56.85,55.3,57.6,55.3,57.6,57.4,56.89,32300,183748625000.0,,21144,0.6546
2010-12-27,ORIENTPPR,EQ,57.4,57.05,57.45,55.2,55.6,55.6,56.13,39444,221383879999.99997,,23887,0.6056
2010-12-28,ORIENTPPR,EQ,55.6,55.6,56.45,55.1,55.5,55.65,55.93,42412,237197015000.0,,34102,0.8041
2010-12-29,ORIENTPPR,EQ,55.65,55.5,55.95,54.8,54.85,55.05,55.29,54356,300553810000.0,,46027,0.8468000000000001
2010-12-30,ORIENTPPR,EQ,55.05,55.2,55.8,54.5,54.9,54.9,55.09,47823,263469915000.0,,41492,0.8676
