Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-05-02,OSWALAGRO,EQ,12.75,12.6,13.35,12.6,12.7,12.7,12.76,2520,3215110000.0,17,2517,0.9988
2018-05-03,OSWALAGRO,EQ,12.7,12.7,12.95,12.1,12.35,12.35,12.32,16041,19755585000.0,91,11622,0.7245
2018-05-04,OSWALAGRO,EQ,12.35,12.35,12.95,12.35,12.65,12.7,12.79,21074,26945484999.999996,65,16400,0.7782
2018-05-07,OSWALAGRO,EQ,12.7,12.95,12.95,12.45,12.55,12.55,12.72,3666,4662710000.0,41,2342,0.6388
2018-05-08,OSWALAGRO,EQ,12.55,12.95,12.95,12.0,12.25,12.0,12.2,15425,18823645000.0,90,12986,0.8419
2018-05-09,OSWALAGRO,EQ,12.0,12.45,12.45,11.75,11.75,11.75,12.0,15043,18057450000.0,74,12834,0.8532
2018-05-10,OSWALAGRO,EQ,11.75,12.15,12.15,11.2,11.75,11.5,11.39,20027,22808035000.0,81,17854,0.8915000000000001
2018-05-11,OSWALAGRO,EQ,11.5,11.85,12.05,11.25,11.95,11.55,11.62,8572,9963365000.0,119,5147,0.6004
2018-05-14,OSWALAGRO,EQ,11.55,12.05,12.05,11.0,11.25,11.25,11.27,70373,79326410000.0,158,53046,0.7538
2018-05-15,OSWALAGRO,EQ,11.25,11.75,11.75,10.95,11.35,11.2,11.18,3578,4001585000.0,39,3141,0.8779000000000001
2018-05-16,OSWALAGRO,EQ,11.2,11.2,11.35,10.75,11.35,11.3,11.16,28771,32096840000.000004,87,22347,0.7767000000000001
2018-05-17,OSWALAGRO,EQ,11.3,11.25,11.75,11.0,11.6,11.1,11.14,5305,5907890000.0,57,4098,0.7725
2018-05-18,OSWALAGRO,EQ,11.1,11.5,11.5,11.0,11.0,11.05,11.06,6736,7453345000.0,54,6094,0.9047000000000001
2018-05-21,OSWALAGRO,EQ,11.05,11.6,11.6,10.9,11.1,10.9,11.0,15963,17558110000.0,52,12073,0.7563
2018-05-22,OSWALAGRO,EQ,10.9,11.4,11.4,10.65,11.1,11.05,10.98,4341,4767395000.0,47,2807,0.6466
2018-05-23,OSWALAGRO,EQ,11.05,11.3,11.3,10.7,11.3,10.9,10.92,3387,3698819999.9999995,28,2599,0.7673000000000001
2018-05-24,OSWALAGRO,EQ,10.9,11.3,11.35,10.85,11.2,11.05,11.15,3495,3895830000.0000005,111,2675,0.7654000000000001
2018-05-25,OSWALAGRO,EQ,11.05,11.5,11.6,10.75,11.6,11.6,11.21,12160,13628565000.0,95,8003,0.6581
2018-05-28,OSWALAGRO,EQ,11.6,12.15,12.15,11.85,12.15,12.15,12.13,2723,3302480000.0000005,31,2313,0.8494
2018-05-29,OSWALAGRO,EQ,12.15,12.7,12.75,12.3,12.75,12.7,12.62,17123,21601635000.0,75,10014,0.5848
2018-05-30,OSWALAGRO,EQ,12.7,13.0,13.0,12.3,12.75,12.55,12.82,23952,30694675000.0,117,17672,0.7378
2018-05-31,OSWALAGRO,EQ,12.55,13.1,13.1,12.2,12.85,12.75,12.81,11965,15328715000.0,76,8506,0.7109000000000001
