Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-05-19,PARAGMILK,EQ,215.0,217.5,249.7,217.5,248.0,247.0,238.74,19256465,459738276625000.0,187335,4394554,0.22820000000000001
2016-05-20,PARAGMILK,EQ,247.0,249.5,251.7,241.35,245.85,245.15,245.56,1432491,35175957489999.996,22112,272101,0.18989999999999999
2016-05-23,PARAGMILK,EQ,245.15,246.0,246.5,226.5,228.35,230.4,235.34,495162,11653142135000.0,7739,119732,0.24180000000000001
2016-05-24,PARAGMILK,EQ,230.4,227.95,233.5,201.75,230.0,225.5,219.43,1334913,29292546020000.0,23659,146312,0.10960000000000002
2016-05-25,PARAGMILK,EQ,225.5,228.6,235.0,223.2,232.55,229.65,227.55,235975,5369598805000.0,5344,36123,0.1531
2016-05-26,PARAGMILK,EQ,229.65,230.05,241.7,226.0,236.2,237.05,236.47,465658,11011474195000.0,9383,74515,0.16
2016-05-27,PARAGMILK,EQ,237.05,235.1,239.7,234.9,235.0,236.25,235.9,87729,2069498139999.9998,2239,28225,0.32170000000000004
2016-05-30,PARAGMILK,EQ,236.25,235.1,239.3,234.5,237.25,235.4,236.07,83939,1981555195000.0,1933,30822,0.36719999999999997
2016-05-31,PARAGMILK,EQ,235.4,238.95,262.7,234.75,256.5,255.85,254.14,1395339,35461021950000.0,22182,187688,0.1345
2016-06-01,PARAGMILK,EQ,255.85,255.8,259.95,246.3,246.5,249.2,255.14,371401,9475948275000.0,8418,77055,0.20750000000000002
2016-06-02,PARAGMILK,EQ,249.2,249.8,258.5,243.15,252.5,253.15,252.9,351580,8891530520000.0,7168,63356,0.1802
2016-06-03,PARAGMILK,EQ,253.15,256.9,264.8,250.0,251.9,252.45,259.07,623436,16151299015000.0,12750,134119,0.2151
2016-06-06,PARAGMILK,EQ,252.45,253.0,254.35,244.2,250.0,249.3,249.77,115078,2874284490000.0,3112,26733,0.2323
2016-06-07,PARAGMILK,EQ,249.3,251.75,254.65,245.55,246.8,247.85,249.98,139302,3482250675000.0,2770,66299,0.47590000000000005
2016-06-08,PARAGMILK,EQ,247.85,247.95,250.0,242.2,243.0,243.8,245.81,100603,2472891750000.0,2975,29402,0.2923
2016-06-09,PARAGMILK,EQ,243.8,243.8,247.45,237.55,238.1,238.6,241.49,119313,2881231955000.0,3618,33782,0.2831
2016-06-10,PARAGMILK,EQ,238.6,239.9,248.5,235.05,243.0,242.9,243.5,149322,3636065104999.9995,3829,41783,0.2798
2016-06-13,PARAGMILK,EQ,242.9,241.0,241.0,233.45,234.35,234.8,237.65,234867,5581564250000.0,3050,157944,0.6725
2016-06-14,PARAGMILK,EQ,234.8,235.95,237.45,230.0,232.3,232.3,234.02,96120,2249389390000.0,4251,28152,0.2929
2016-06-15,PARAGMILK,EQ,232.3,232.3,235.8,227.0,232.0,230.0,231.59,133754,3097634500000.0,2947,62806,0.4696
2016-06-16,PARAGMILK,EQ,230.0,228.5,266.6,228.0,256.9,256.65,255.05,2191873,55902919085000.0,28661,514411,0.2347
2016-06-17,PARAGMILK,EQ,256.65,258.75,259.8,248.0,250.9,251.7,253.23,562683,14248679465000.0,20880,229048,0.4071
2016-06-20,PARAGMILK,EQ,251.7,250.05,258.8,247.95,253.0,252.45,254.22,145174,3690652500000.0,3702,41349,0.2848
2016-06-21,PARAGMILK,EQ,252.45,254.4,277.9,251.45,259.0,260.65,268.47,1680554,45118091985000.0,40357,622081,0.37020000000000003
2016-06-22,PARAGMILK,EQ,260.65,259.9,272.0,257.55,258.05,259.35,264.62,543015,14369413580000.002,9016,117175,0.2158
2016-06-23,PARAGMILK,EQ,259.35,259.9,264.75,255.0,255.0,256.45,259.2,167284,4336005965000.0,3774,46804,0.2798
