Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,PARSVNATH,EQ,146.4,147.85,149.5,141.2,141.8,141.45,143.25,642573,9204898685000.0,,452848,0.7047
2010-10-05,PARSVNATH,EQ,141.45,142.5,143.2,141.0,141.0,142.3,142.36,222536,3167958080000.0,,141472,0.6357
2010-10-06,PARSVNATH,EQ,142.3,144.3,144.9,141.5,142.0,142.05,142.28,537099,7641697530000.0,,324151,0.6035
2010-10-07,PARSVNATH,EQ,142.05,142.9,144.2,139.75,140.0,140.3,142.82,1074714,15349441780000.002,,516161,0.4803
2010-10-08,PARSVNATH,EQ,140.3,141.0,142.2,137.1,138.0,138.1,139.03,161147,2240399850000.0,,118216,0.7336
2010-10-11,PARSVNATH,EQ,138.1,141.0,142.95,138.8,142.0,141.95,141.92,205971,2923161555000.0,,137429,0.6672
2010-10-12,PARSVNATH,EQ,141.95,140.2,142.0,138.6,140.9,140.95,140.58,189597,2665268520000.0,,144216,0.7606
2010-10-13,PARSVNATH,EQ,140.95,142.0,142.9,139.0,139.5,140.45,141.0,251073,3540161595000.0005,,190803,0.76
2010-10-14,PARSVNATH,EQ,140.45,140.95,142.45,137.7,140.2,140.55,140.85,301506,4246791175000.0,,157308,0.5217
2010-10-15,PARSVNATH,EQ,140.55,141.3,142.65,139.55,141.3,141.35,141.38,373110,5275121530000.0,,192891,0.517
2010-10-18,PARSVNATH,EQ,141.35,69.0,72.0,67.0,69.95,69.8,70.04,2474417,17329659585000.0,,2276145,0.9198999999999999
2010-10-19,PARSVNATH,EQ,69.8,70.6,71.5,67.5,67.8,68.95,68.74,2203695,15147350460000.0,,1951367,0.8855
2010-10-20,PARSVNATH,EQ,68.95,68.65,70.0,68.65,69.5,69.5,69.23,1312974,9089929310000.0,,825781,0.6289
2010-10-21,PARSVNATH,EQ,69.5,70.2,70.2,66.5,69.15,68.85,68.73,2461648,16919965850000.0,,1268784,0.5154
2010-10-22,PARSVNATH,EQ,68.85,68.9,69.3,67.0,67.2,67.8,68.45,739752,5063335625000.0,,644623,0.8714000000000001
2010-10-25,PARSVNATH,EQ,67.8,67.5,69.3,67.25,68.5,68.8,68.49,658039,4506956455000.0,,412153,0.6263000000000001
2010-10-26,PARSVNATH,EQ,68.8,71.0,71.5,68.4,68.5,68.8,69.83,1449835,10124171665000.0,,1007980,0.6951999999999999
2010-10-27,PARSVNATH,EQ,68.8,68.9,70.75,68.0,69.35,69.9,69.61,1299042,9042930255000.0,,939485,0.7232
2010-10-28,PARSVNATH,EQ,69.9,70.1,70.1,67.5,68.0,68.0,68.15,367034,2501458710000.0,,298068,0.8120999999999999
2010-10-29,PARSVNATH,EQ,68.0,68.55,68.55,66.0,66.8,66.8,67.04,549179,3681604290000.0,,465448,0.8475
2010-11-01,PARSVNATH,EQ,66.8,67.5,70.1,66.15,69.2,69.9,69.25,2834294,19627734110000.0,,2214031,0.7812000000000001
2010-11-02,PARSVNATH,EQ,69.9,69.9,70.35,67.8,67.85,68.15,69.16,904993,6259108295000.0,,758357,0.838
2010-11-03,PARSVNATH,EQ,68.15,68.0,69.1,65.4,67.0,66.95,67.43,862068,5813294490000.0,,553692,0.6423000000000001
2010-11-04,PARSVNATH,EQ,66.95,67.25,68.3,66.25,66.65,66.7,67.06,518846,3479269115000.0,,424750,0.8186
2010-11-05,PARSVNATH,EQ,66.7,67.05,67.8,66.8,67.7,67.45,67.47,160381,1082033040000.0,,128478,0.8011
2010-11-08,PARSVNATH,EQ,67.45,67.5,68.1,66.1,66.15,66.4,66.44,635869,4224998254999.9995,,409558,0.6441
2010-11-09,PARSVNATH,EQ,66.4,66.7,66.9,65.75,65.75,65.95,66.12,235053,1554071870000.0,,93111,0.3961
2010-11-10,PARSVNATH,EQ,65.95,66.0,66.7,65.2,65.5,65.45,65.56,925636,6068362100000.0,,808959,0.8739
2010-11-11,PARSVNATH,EQ,65.45,67.15,67.15,64.65,66.0,65.05,65.65,2008275,13184872135000.0,,985175,0.49060000000000004
2010-11-12,PARSVNATH,EQ,65.05,66.5,72.0,62.4,62.5,64.6,67.5,3811486,25727434575000.0,,1685508,0.4422
2010-11-15,PARSVNATH,EQ,64.6,64.1,64.5,62.1,62.55,63.25,63.29,1280001,8101045534999.999,,1057749,0.8264
2010-11-16,PARSVNATH,EQ,63.25,63.4,63.75,61.6,62.8,62.9,62.83,2316440,14555203355000.002,,1792160,0.7737
2010-11-18,PARSVNATH,EQ,62.9,63.9,64.6,61.25,63.35,63.6,63.34,1782425,11290268075000.0,,767127,0.4304
2010-11-19,PARSVNATH,EQ,63.6,63.8,63.95,59.55,61.65,61.7,62.53,3360865,21016561665000.0,,1604790,0.47750000000000004
2010-11-22,PARSVNATH,EQ,61.7,61.9,61.9,59.05,61.05,61.15,60.7,352055,2136817495000.0,,182689,0.5189
2010-11-23,PARSVNATH,EQ,61.15,61.0,67.2,59.7,61.1,61.0,60.83,240290,1461565740000.0,,98527,0.41000000000000003
2010-11-24,PARSVNATH,EQ,61.0,61.1,61.75,57.7,59.7,59.15,60.07,774227,4650837835000.0,,456881,0.5901
2010-11-25,PARSVNATH,EQ,59.15,59.25,60.45,56.65,56.75,57.55,58.27,835121,4866510725000.0,,606304,0.726
2010-11-26,PARSVNATH,EQ,57.55,58.6,59.25,46.05,59.1,57.0,50.2,5101027,25608733010000.0,,2028027,0.3976
2010-11-29,PARSVNATH,EQ,57.0,57.0,58.4,50.75,57.7,58.2,57.22,2813791,16099280210000.0,,1234883,0.4389
2010-11-30,PARSVNATH,EQ,58.2,57.15,59.35,54.3,59.0,58.3,56.81,3253699,18484092520000.0,,1885573,0.5795
2010-12-01,PARSVNATH,EQ,58.3,57.95,62.35,57.5,60.3,61.1,59.58,1823543,10865489720000.0,,885417,0.4855
2010-12-02,PARSVNATH,EQ,61.1,62.3,62.3,60.05,60.9,60.85,61.12,540657,3304415330000.0,,285854,0.5287
2010-12-03,PARSVNATH,EQ,60.85,60.65,61.3,51.15,57.55,57.25,56.28,2104240,11842562280000.0,,1222363,0.5809000000000001
2010-12-06,PARSVNATH,EQ,57.25,59.95,60.0,54.4,56.4,55.75,55.75,1005741,5606752170000.0,,653923,0.6502
2010-12-07,PARSVNATH,EQ,55.75,56.0,56.1,53.1,53.55,53.95,54.58,622384,3396928945000.0005,,443077,0.7119
2010-12-08,PARSVNATH,EQ,53.95,53.1,54.5,52.55,53.25,53.2,53.41,283668,1514936925000.0,,123011,0.4336
2010-12-09,PARSVNATH,EQ,53.2,53.7,54.0,50.35,50.9,50.85,51.21,1640065,8398065805000.0,,1111745,0.6779000000000001
2010-12-10,PARSVNATH,EQ,50.85,50.45,53.1,50.0,50.2,50.55,50.89,1259539,6410305865000.0,,885162,0.7028
2010-12-13,PARSVNATH,EQ,50.55,51.0,52.45,50.2,51.7,51.75,51.36,935366,4803956400000.0,,684697,0.7320000000000001
2010-12-14,PARSVNATH,EQ,51.75,51.8,52.6,51.2,51.45,51.8,51.94,840203,4364193850000.0,,656952,0.7819
2010-12-15,PARSVNATH,EQ,51.8,51.8,52.3,48.2,51.8,51.45,50.74,681584,3458049379999.9995,,469852,0.6894
2010-12-16,PARSVNATH,EQ,51.45,51.8,51.9,49.7,50.05,50.15,50.39,438964,2211726575000.0,,332878,0.7583
2010-12-20,PARSVNATH,EQ,50.15,50.4,51.5,49.9,51.05,51.25,51.1,364812,1864060939999.9998,,189248,0.5188
2010-12-21,PARSVNATH,EQ,51.25,51.2,52.45,50.8,51.75,51.9,51.78,244505,1266001060000.0,,136483,0.5582
2010-12-22,PARSVNATH,EQ,51.9,52.0,52.6,51.85,52.0,52.2,52.3,635072,3321235420000.0,,327260,0.5153
2010-12-23,PARSVNATH,EQ,52.2,52.1,52.5,51.4,52.15,52.2,52.1,100941,525878745000.0,,49380,0.4892
2010-12-24,PARSVNATH,EQ,52.2,51.1,52.65,51.1,52.25,52.4,52.02,1326906,6903073655000.0,,1082457,0.8158
2010-12-27,PARSVNATH,EQ,52.4,52.6,53.1,51.5,51.85,51.95,52.01,215930,1123073425000.0,,133443,0.618
2010-12-28,PARSVNATH,EQ,51.95,51.6,52.7,51.25,52.2,52.05,52.01,1908401,9925138355000.0,,1264452,0.6626000000000001
2010-12-29,PARSVNATH,EQ,52.05,52.0,52.6,51.75,51.9,52.2,52.23,2409918,12585859900000.0,,1742614,0.7231000000000001
2010-12-30,PARSVNATH,EQ,52.2,52.1,55.8,51.25,55.0,54.7,53.72,1106510,5943977090000.0,,569512,0.5147
2010-12-31,PARSVNATH,EQ,54.7,54.7,59.25,53.65,57.7,58.2,57.78,1822739,10532078645000.0,,1164268,0.6386999999999999
2011-01-03,PARSVNATH,EQ,58.2,58.3,61.3,56.3,60.7,58.65,58.15,681054,3960247304999.9995,,407263,0.598
2011-01-04,PARSVNATH,EQ,58.65,60.4,62.45,58.7,59.5,59.35,59.39,808208,4800199300000.0,,630162,0.7797000000000001
