Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,PDPL,EQ,296.2,310.0,327.9,305.0,313.95,313.25,317.37,406484,12900720250000.0,,55674,0.13699999999999998
2010-10-05,PDPL,EQ,313.25,312.0,312.0,300.3,305.3,303.65,305.03,45015,1373080440000.0,,18729,0.4161
2010-10-06,PDPL,EQ,303.65,306.55,318.8,305.15,307.55,309.35,312.93,75248,2354761420000.0,,12945,0.172
2010-10-07,PDPL,EQ,309.35,308.05,320.95,294.0,296.05,298.1,311.94,31030,967955785000.0,,13970,0.45020000000000004
2010-10-08,PDPL,EQ,298.1,302.4,302.6,293.05,297.25,297.15,298.94,14785,441983750000.0,,6305,0.4264
2010-10-11,PDPL,EQ,297.15,294.0,307.0,287.25,300.0,300.2,300.92,9880,297310410000.0,,4945,0.5005
2010-10-12,PDPL,EQ,300.2,297.0,309.8,295.5,299.05,302.6,302.38,21194,640862085000.0,,14434,0.6809999999999999
2010-10-13,PDPL,EQ,302.6,294.0,328.0,294.0,316.3,314.3,315.01,75482,2377745530000.0,,23213,0.3075
2010-10-14,PDPL,EQ,314.3,320.0,336.9,317.1,329.5,329.65,329.96,99830,3294004100000.0,,56990,0.5709000000000001
2010-10-15,PDPL,EQ,329.65,312.0,395.0,287.0,299.05,304.95,310.3,960569,29806586535000.004,,219860,0.22890000000000002
2010-10-18,PDPL,EQ,304.95,308.8,319.9,306.0,314.0,313.55,313.91,172351,5410193325000.0,,76738,0.44520000000000004
2010-10-19,PDPL,EQ,313.55,317.95,322.0,310.0,311.0,313.2,317.5,92475,2936124380000.0,,48434,0.5238
2010-10-20,PDPL,EQ,313.2,312.5,316.85,310.0,311.0,311.05,312.15,21385,667538585000.0,,13203,0.6174000000000001
2010-10-21,PDPL,EQ,311.05,314.8,326.8,310.0,315.15,316.25,321.79,72626,2337027590000.0,,41617,0.573
2010-10-22,PDPL,EQ,316.25,319.45,346.0,315.15,341.2,338.65,331.57,198087,6568040840000.0,,77406,0.3908
2010-10-25,PDPL,EQ,338.65,344.95,353.5,334.05,345.0,345.55,344.73,83465,2877329540000.0,,44280,0.5305
2010-10-26,PDPL,EQ,345.55,345.25,354.95,345.25,346.1,346.85,349.89,39514,1382561235000.0,,21433,0.5424
2010-10-27,PDPL,EQ,346.85,348.8,355.0,340.2,345.5,344.95,348.04,60428,2103113435000.0002,,22757,0.3766
2010-10-28,PDPL,EQ,344.95,350.9,354.0,337.05,340.95,340.25,348.52,12027,419165815000.0,,7287,0.6059
2010-10-29,PDPL,EQ,340.25,322.5,344.8,322.5,342.0,339.7,339.87,20526,697609020000.0,,14843,0.7231000000000001
2010-11-01,PDPL,EQ,339.7,350.0,350.0,340.0,341.1,340.85,343.94,7913,272157175000.0,,5260,0.6647
2010-11-02,PDPL,EQ,340.85,344.0,348.0,336.55,342.15,344.25,341.31,10338,352847880000.0,,7771,0.7517
2010-11-03,PDPL,EQ,344.25,348.85,363.45,344.25,348.15,349.45,354.61,27390,971263315000.0,,13999,0.5111
2010-11-04,PDPL,EQ,349.45,350.0,350.0,335.0,345.1,346.0,346.08,5324,184251900000.0,,3021,0.5674
2010-11-05,PDPL,EQ,346.0,350.0,356.0,343.0,353.0,353.0,351.89,21421,753784965000.0,,15567,0.7267
2010-11-08,PDPL,EQ,353.0,355.8,363.0,345.1,345.1,345.75,346.84,21902,759638640000.0,,17894,0.8170000000000001
2010-11-09,PDPL,EQ,345.75,349.0,370.6,347.0,370.6,365.45,359.88,58927,2120673500000.0,,35191,0.5972
2010-11-10,PDPL,EQ,365.45,372.0,398.0,367.0,385.0,388.8,383.6,167529,6426335325000.0,,115748,0.6909000000000001
2010-11-11,PDPL,EQ,388.8,392.0,400.0,371.1,372.5,375.1,384.7,199775,7685321684999.999,,102451,0.5128
2010-11-12,PDPL,EQ,375.1,379.8,384.9,360.0,362.3,362.9,370.49,53341,1976237035000.0002,,21330,0.39990000000000003
2010-11-15,PDPL,EQ,362.9,360.0,368.0,342.15,359.1,356.75,358.86,24286,871535230000.0001,,10701,0.44060000000000005
2010-11-16,PDPL,EQ,356.75,357.25,361.0,339.0,355.0,346.2,347.7,16001,556352325000.0,,8253,0.5158
2010-11-18,PDPL,EQ,346.2,355.0,359.75,320.1,337.5,343.7,338.7,44500,1507224255000.0,,16434,0.3693
2010-11-19,PDPL,EQ,343.7,330.0,347.9,329.0,331.05,333.5,337.76,38080,1286197575000.0,,30378,0.7977
2010-11-22,PDPL,EQ,333.5,333.5,349.75,333.5,335.8,336.3,338.74,8063,273125245000.00003,,2956,0.3666
2010-11-23,PDPL,EQ,336.3,395.4,395.4,326.0,342.4,343.0,341.05,100657,3432871270000.0005,,71245,0.7078
2010-11-24,PDPL,EQ,343.0,347.0,352.0,340.25,340.6,341.1,344.9,9142,315306210000.0,,3947,0.43170000000000003
2010-11-25,PDPL,EQ,341.1,340.8,346.9,326.0,335.0,332.25,333.59,5978,199420160000.0,,2504,0.4189
2010-11-26,PDPL,EQ,332.25,342.95,342.95,280.0,315.0,319.45,316.12,30043,949707035000.0,,16280,0.5418999999999999
2010-11-29,PDPL,EQ,319.45,310.3,328.95,305.2,317.0,324.1,322.71,22304,719780040000.0,,8464,0.37950000000000006
2010-11-30,PDPL,EQ,324.1,320.0,334.0,315.0,319.0,322.3,324.0,48774,1580263760000.0,,35648,0.7309
2010-12-01,PDPL,EQ,322.3,332.5,332.5,317.0,318.0,321.15,322.68,5965,192475675000.0,,4699,0.7878000000000001
2010-12-02,PDPL,EQ,321.15,320.0,324.0,318.0,321.5,322.45,321.69,4663,150004980000.0,,2811,0.6028
2010-12-03,PDPL,EQ,322.45,330.0,330.0,285.0,294.1,299.15,300.88,41123,1237324400000.0,,21795,0.53
2010-12-06,PDPL,EQ,299.15,309.6,309.6,283.05,297.6,295.4,292.05,13376,390645625000.0,,8624,0.6447
2010-12-07,PDPL,EQ,295.4,290.15,296.0,280.65,289.95,287.8,284.24,17730,503957315000.00006,,13746,0.7753
2010-12-08,PDPL,EQ,287.8,294.9,294.9,230.25,234.0,230.35,239.91,132699,3183558845000.0,,89544,0.6748000000000001
2010-12-09,PDPL,EQ,230.35,225.45,250.0,209.65,220.0,218.6,230.05,90681,2086156880000.0,,34440,0.37979999999999997
2010-12-10,PDPL,EQ,218.6,234.9,240.5,210.0,237.0,239.75,235.89,32285,761579980000.0,,20478,0.6343
