Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,PERSISTENT,EQ,447.0,451.25,451.25,440.0,440.2,440.25,443.43,26801,1188428315000.0,,15475,0.5774
2010-10-05,PERSISTENT,EQ,440.25,442.8,443.0,436.05,438.0,439.85,439.93,21301,937089894999.9999,,12827,0.6022
2010-10-06,PERSISTENT,EQ,439.85,443.95,453.0,438.0,444.0,444.25,447.54,57644,2579806390000.0,,25256,0.43810000000000004
2010-10-07,PERSISTENT,EQ,444.25,438.1,447.95,433.5,437.5,436.45,438.72,74930,3287302240000.0,,48881,0.6524
2010-10-08,PERSISTENT,EQ,436.45,436.6,442.0,432.0,433.0,434.75,435.96,22350,974367160000.0,,14833,0.6637000000000001
2010-10-11,PERSISTENT,EQ,434.75,437.5,444.0,433.0,440.1,441.5,439.88,27622,1215048905000.0,,14707,0.5324
2010-10-12,PERSISTENT,EQ,441.5,437.0,442.8,423.0,429.0,426.0,431.5,35101,1514595290000.0,,23639,0.6735
2010-10-13,PERSISTENT,EQ,426.0,429.8,439.95,427.2,439.85,436.75,434.29,33486,1454266985000.0,,16120,0.4814
2010-10-14,PERSISTENT,EQ,436.75,431.1,447.0,431.1,441.0,440.55,441.46,43381,1915101025000.0,,21385,0.493
2010-10-15,PERSISTENT,EQ,440.55,441.5,443.0,423.05,425.0,425.3,431.27,20105,867076625000.0,,10530,0.5238
2010-10-18,PERSISTENT,EQ,425.3,429.0,431.45,417.0,419.1,420.0,420.33,60415,2539439025000.0,,54374,0.9
2010-10-19,PERSISTENT,EQ,420.0,424.95,436.35,422.1,435.4,434.55,430.43,25518,1098376025000.0,,15251,0.5977
2010-10-20,PERSISTENT,EQ,434.55,435.0,444.8,429.0,435.0,433.2,439.46,42767,1879448860000.0002,,25972,0.6073
2010-10-21,PERSISTENT,EQ,433.2,426.0,442.0,422.3,423.0,424.75,430.97,38272,1649421130000.0,,25878,0.6762
2010-10-22,PERSISTENT,EQ,424.75,429.6,435.0,414.4,416.85,416.2,420.93,50962,2145139850000.0,,29284,0.5746
2010-10-25,PERSISTENT,EQ,416.2,421.0,421.7,408.0,411.0,410.05,414.79,39853,1653072535000.0,,25374,0.6367
2010-10-26,PERSISTENT,EQ,410.05,413.5,417.75,399.1,406.0,403.85,405.29,104641,4240966340000.0,,66837,0.6386999999999999
2010-10-27,PERSISTENT,EQ,403.85,407.8,410.0,406.0,409.5,408.6,408.76,21292,870331330000.0001,,13766,0.6465000000000001
2010-10-28,PERSISTENT,EQ,408.6,404.0,411.95,401.25,403.0,403.2,405.77,16848,683638850000.0,,11544,0.6851999999999999
2010-10-29,PERSISTENT,EQ,403.2,400.1,410.0,395.0,401.5,403.25,402.87,45957,1851468739999.9998,,27706,0.6029
2010-11-01,PERSISTENT,EQ,403.25,403.35,414.1,401.5,409.0,406.75,407.03,32051,1304576490000.0,,22270,0.6948000000000001
2010-11-02,PERSISTENT,EQ,406.75,408.0,411.8,405.05,409.25,408.95,408.96,12635,516715275000.0,,7546,0.5972
2010-11-03,PERSISTENT,EQ,408.95,411.25,411.25,405.0,407.0,406.3,406.15,27099,1100620575000.0,,18526,0.6836
2010-11-04,PERSISTENT,EQ,406.3,405.25,408.4,401.0,405.4,405.0,403.08,48453,1953045864999.9998,,32722,0.6753
2010-11-05,PERSISTENT,EQ,405.0,408.0,418.0,408.0,416.0,415.65,414.73,16130,668953220000.0,,9539,0.5914
2010-11-08,PERSISTENT,EQ,415.65,416.0,416.0,408.0,413.0,412.95,412.11,12494,514887865000.00006,,7438,0.5953
2010-11-09,PERSISTENT,EQ,412.95,413.75,414.0,406.35,406.35,407.75,410.07,20041,821816155000.0,,16423,0.8195
2010-11-10,PERSISTENT,EQ,407.75,407.0,425.0,405.0,420.9,416.65,418.06,47919,2003289975000.0,,25190,0.5257000000000001
2010-11-11,PERSISTENT,EQ,416.65,418.95,424.9,412.1,413.0,414.05,419.33,59659,2501684980000.0,,44263,0.7419
2010-11-12,PERSISTENT,EQ,414.05,410.0,414.5,405.0,405.25,405.2,408.33,8731,356516035000.0,,5630,0.6448
2010-11-15,PERSISTENT,EQ,405.2,405.6,413.0,403.5,405.0,406.3,406.39,11115,451704759999.99994,,7836,0.705
2010-11-16,PERSISTENT,EQ,406.3,402.75,408.7,392.55,398.0,395.55,398.81,15546,619987225000.0,,9913,0.6377
2010-11-18,PERSISTENT,EQ,395.55,397.0,402.0,394.0,400.1,399.5,399.2,44178,1763602005000.0,,35818,0.8108
2010-11-19,PERSISTENT,EQ,399.5,400.0,404.0,390.55,392.0,393.1,399.07,28223,1126304395000.0,,22831,0.809
2010-11-22,PERSISTENT,EQ,393.1,395.0,398.0,391.0,395.0,395.6,394.97,33952,1341014335000.0,,22102,0.6509999999999999
2010-11-23,PERSISTENT,EQ,395.6,393.8,398.8,388.05,388.05,390.55,395.14,180313,7124864380000.0,,170204,0.9439000000000001
2010-11-24,PERSISTENT,EQ,390.55,391.0,397.0,390.0,390.0,390.85,393.31,150802,5931212265000.0,,143055,0.9486
2010-11-25,PERSISTENT,EQ,390.85,392.85,397.4,381.25,386.65,386.15,386.72,9897,382738610000.0,,5994,0.6056
2010-11-26,PERSISTENT,EQ,386.15,386.15,389.85,371.55,376.0,378.4,378.54,46712,1768248120000.0,,38058,0.8147
2010-11-29,PERSISTENT,EQ,378.4,380.8,384.95,376.0,383.0,381.6,380.02,11123,422698105000.0,,7831,0.7040000000000001
2010-11-30,PERSISTENT,EQ,381.6,380.0,389.0,379.0,385.0,382.45,383.54,10198,391138940000.0,,7331,0.7189
2010-12-01,PERSISTENT,EQ,382.45,383.95,399.5,380.0,396.5,397.35,390.85,16068,628024620000.0,,9136,0.5686
2010-12-02,PERSISTENT,EQ,397.35,400.0,414.0,400.0,405.0,405.8,409.49,60024,2457928360000.0,,26773,0.446
2010-12-03,PERSISTENT,EQ,405.8,405.8,406.25,388.05,401.1,399.05,395.76,16611,657404900000.0,,8756,0.5271
2010-12-06,PERSISTENT,EQ,399.05,395.0,403.0,395.0,401.9,401.35,401.17,11740,470975865000.00006,,9119,0.7767000000000001
2010-12-07,PERSISTENT,EQ,401.35,400.0,406.9,398.0,402.0,400.5,401.8,16638,668521050000.0,,8164,0.4907
2010-12-08,PERSISTENT,EQ,400.5,401.0,401.0,385.1,394.8,395.15,396.64,22690,899986365000.0,,16746,0.738
2010-12-09,PERSISTENT,EQ,395.15,387.0,414.0,380.0,382.5,381.1,384.96,28864,1111149220000.0,,23786,0.8240999999999999
2010-12-10,PERSISTENT,EQ,381.1,382.5,398.0,375.0,398.0,390.75,383.66,18504,709917905000.0,,14502,0.7837000000000001
2010-12-13,PERSISTENT,EQ,390.75,395.0,410.3,393.05,407.0,406.3,400.4,92231,3692960960000.0,,85855,0.9309000000000001
2010-12-14,PERSISTENT,EQ,406.3,410.05,415.0,400.0,403.0,402.05,405.06,17021,689460095000.0,,8196,0.4815
2010-12-15,PERSISTENT,EQ,402.05,400.0,411.85,400.0,407.5,406.15,406.35,35597,1446473730000.0,,25992,0.7302
2010-12-16,PERSISTENT,EQ,406.15,405.0,410.95,405.0,410.0,407.7,407.17,11866,483148984999.99994,,8630,0.7273000000000001
2010-12-20,PERSISTENT,EQ,407.7,409.95,411.25,396.0,410.95,410.05,409.52,17903,733164215000.0,,13206,0.7376
2010-12-21,PERSISTENT,EQ,410.05,412.0,419.05,411.0,418.7,416.7,415.54,23976,996292155000.0001,,17117,0.7139
2010-12-22,PERSISTENT,EQ,416.7,419.75,429.5,417.5,426.0,427.45,425.15,34055,1447841370000.0,,21178,0.6219
2010-12-23,PERSISTENT,EQ,427.45,427.6,429.0,419.5,420.3,422.75,423.3,9731,411915385000.0,,4640,0.4768
2010-12-24,PERSISTENT,EQ,422.75,423.45,427.0,418.0,427.0,422.45,418.75,27140,1136499825000.0,,23889,0.8802
2010-12-27,PERSISTENT,EQ,422.45,424.5,438.7,424.0,432.0,431.8,431.71,52263,2256237000000.0,,22307,0.4268
2010-12-28,PERSISTENT,EQ,431.8,432.9,436.5,429.5,430.75,433.7,433.08,28587,1238032370000.0,,24498,0.8570000000000001
2010-12-29,PERSISTENT,EQ,433.7,430.0,434.85,426.0,426.0,427.6,429.72,10689,459329840000.00006,,6443,0.6028
2010-12-30,PERSISTENT,EQ,427.6,432.9,438.75,432.9,437.5,437.55,436.1,24454,1066437265000.0,,18740,0.7663
2010-12-31,PERSISTENT,EQ,437.55,440.0,440.0,426.0,430.0,429.7,432.12,13390,578607165000.0,,7697,0.5748
2011-01-03,PERSISTENT,EQ,429.7,432.0,438.0,429.5,432.5,430.75,435.15,24719,1075657130000.0001,,20725,0.8384
2011-01-04,PERSISTENT,EQ,430.75,422.0,467.7,422.0,446.15,446.7,448.92,191505,8597127195000.0,,80361,0.41960000000000003
2011-01-05,PERSISTENT,EQ,446.7,446.0,450.0,438.0,447.0,444.5,443.89,25610,1136799870000.0,,13889,0.5423
2011-01-06,PERSISTENT,EQ,444.5,450.0,457.0,441.0,441.35,443.5,447.78,25233,1129879285000.0,,13160,0.5215
2011-01-07,PERSISTENT,EQ,443.5,443.9,447.75,437.7,440.5,440.05,440.25,44597,1963369635000.0002,,35530,0.7967000000000001
2011-01-10,PERSISTENT,EQ,440.05,445.0,447.9,434.05,438.95,435.25,438.24,133534,5852038065000.0,,105863,0.7928000000000001
2011-01-11,PERSISTENT,EQ,435.25,437.0,442.75,435.4,442.0,440.2,439.15,31651,1389943500000.0,,24423,0.7716
2011-01-12,PERSISTENT,EQ,440.2,442.0,443.0,436.0,443.0,440.25,439.69,18633,819283420000.0,,15109,0.8109000000000001
2011-01-13,PERSISTENT,EQ,440.25,442.0,445.0,435.0,444.95,442.95,442.69,25148,1113280345000.0,,15192,0.6041
2011-01-14,PERSISTENT,EQ,442.95,437.5,444.4,436.0,436.0,437.6,439.94,95079,4182892540000.0,,93251,0.9808
2011-01-17,PERSISTENT,EQ,437.6,431.0,439.9,431.0,436.25,437.15,436.62,6716,293237010000.0,,4742,0.7061000000000001
2011-01-18,PERSISTENT,EQ,437.15,442.4,442.4,428.05,435.0,433.8,434.07,12667,549831265000.0,,7068,0.5579999999999999
2011-01-19,PERSISTENT,EQ,433.8,434.0,453.65,433.95,438.85,439.85,441.28,57040,2517071425000.0,,39873,0.6990000000000001
2011-01-20,PERSISTENT,EQ,439.85,438.0,447.6,431.0,440.0,439.9,439.88,38951,1713357360000.0002,,27747,0.7123999999999999
2011-01-21,PERSISTENT,EQ,439.9,431.3,431.3,398.75,411.95,410.8,410.52,114786,4712247675000.0,,47753,0.41600000000000004
2011-01-24,PERSISTENT,EQ,410.8,414.8,424.8,408.0,410.0,410.0,415.09,33494,1390314320000.0,,21259,0.6347
2011-01-25,PERSISTENT,EQ,410.0,411.0,413.6,405.1,408.7,407.05,408.48,14377,587273715000.0,,11798,0.8206
2011-01-27,PERSISTENT,EQ,407.05,409.0,411.65,405.25,405.25,407.45,407.65,139176,5673488365000.0,,134201,0.9643
2011-01-28,PERSISTENT,EQ,407.45,404.2,405.0,390.0,393.45,391.55,396.0,13405,530831875000.0,,7210,0.5379
2011-01-31,PERSISTENT,EQ,391.55,395.45,396.8,382.05,384.1,385.5,387.52,8977,347873650000.0,,5022,0.5594
2011-02-01,PERSISTENT,EQ,385.5,388.6,393.9,378.0,388.5,385.05,385.11,12161,468333390000.00006,,9672,0.7953
2011-02-02,PERSISTENT,EQ,385.05,393.0,393.0,386.65,390.0,388.95,389.12,4926,191682850000.0,,3806,0.7726000000000001
2011-02-03,PERSISTENT,EQ,388.95,396.0,397.0,386.1,386.25,390.15,392.64,10416,408973665000.0,,5211,0.5003
2011-02-04,PERSISTENT,EQ,390.15,396.05,398.7,387.25,390.0,392.45,392.08,80030,3137814520000.0,,77002,0.9622
2011-02-07,PERSISTENT,EQ,392.45,396.0,402.0,391.1,400.0,395.85,395.75,10948,433272320000.0,,7770,0.7097
2011-02-08,PERSISTENT,EQ,395.85,395.0,396.9,392.0,393.1,394.45,394.98,77346,3054996315000.0,,76684,0.9914000000000001
2011-02-09,PERSISTENT,EQ,394.45,392.0,395.0,375.0,378.0,377.3,383.42,14022,537626990000.00006,,12770,0.9107
2011-02-10,PERSISTENT,EQ,377.3,393.8,412.0,374.0,380.0,379.9,379.33,10992,416959400000.0,,9827,0.8940000000000001
2011-02-11,PERSISTENT,EQ,379.9,378.75,392.2,375.0,389.9,386.95,381.82,21553,822929135000.0,,18947,0.8791
2011-02-14,PERSISTENT,EQ,386.95,394.75,409.0,387.0,400.2,401.0,399.97,11772,470849080000.0,,7673,0.6518
2011-02-15,PERSISTENT,EQ,401.0,405.9,405.9,390.0,390.0,393.15,395.12,188577,7451069925000.0,,185622,0.9843000000000001
2011-02-16,PERSISTENT,EQ,393.15,396.6,405.95,395.0,396.0,396.55,398.37,32347,1288618125000.0,,22549,0.6970999999999999
2011-02-17,PERSISTENT,EQ,396.55,400.0,402.4,392.15,395.1,395.95,399.89,14290,571439965000.0,,10279,0.7193
2011-02-18,PERSISTENT,EQ,395.95,394.2,406.0,394.2,399.5,398.6,400.71,16623,666096565000.0,,6860,0.41270000000000007
2011-02-21,PERSISTENT,EQ,398.6,390.0,397.9,390.0,393.8,396.7,395.06,2338,92364405000.0,,1404,0.6005
2011-02-22,PERSISTENT,EQ,396.7,390.7,397.0,382.0,390.0,389.05,392.17,2937,115181130000.0,,1656,0.5638000000000001
2011-02-23,PERSISTENT,EQ,389.05,392.5,393.0,381.1,386.0,384.0,387.61,2660,103104340000.0,,1614,0.6068
2011-02-24,PERSISTENT,EQ,384.0,381.5,388.25,375.0,386.9,383.9,381.71,8632,329490410000.0,,6663,0.7719
2011-02-25,PERSISTENT,EQ,383.9,386.0,391.0,380.0,380.05,383.65,386.06,3407,131529425000.0,,1975,0.5797
2011-02-28,PERSISTENT,EQ,383.65,372.55,388.95,372.55,378.0,377.45,378.93,15960,604769220000.0,,14096,0.8832
2011-03-01,PERSISTENT,EQ,377.45,384.9,398.5,380.15,390.0,389.35,389.42,124365,4842989580000.0,,116716,0.9385
2011-03-03,PERSISTENT,EQ,389.35,390.0,397.1,381.0,396.0,395.2,387.97,33461,1298173820000.0,,28543,0.853
2011-03-04,PERSISTENT,EQ,395.2,400.0,411.0,393.05,407.0,408.6,404.55,26054,1054022060000.0,,22182,0.8514
2011-03-07,PERSISTENT,EQ,408.6,405.0,405.0,389.0,389.2,389.3,392.69,6796,266875329999.99997,,3962,0.583
2011-03-08,PERSISTENT,EQ,389.3,389.2,393.85,383.0,384.0,384.8,385.51,21787,839899890000.0,,17301,0.7941
2011-03-09,PERSISTENT,EQ,384.8,385.05,389.5,382.0,384.5,384.9,385.05,8118,312584305000.0,,5667,0.6981
2011-03-10,PERSISTENT,EQ,384.9,388.75,388.75,379.0,380.0,379.95,382.35,7849,300108500000.0,,6179,0.7872
2011-03-11,PERSISTENT,EQ,379.95,379.0,384.15,374.0,375.2,374.8,376.14,14403,541757690000.00006,,10924,0.7585
2011-03-14,PERSISTENT,EQ,374.8,392.6,410.9,374.0,377.75,377.4,378.24,67402,2549434990000.0,,66315,0.9839
2011-03-15,PERSISTENT,EQ,377.4,371.2,377.0,370.0,371.25,371.9,373.1,5803,216508290000.0,,3432,0.5914
2011-03-16,PERSISTENT,EQ,371.9,378.45,378.45,368.0,371.35,369.7,372.22,5125,190761330000.0,,3218,0.6279
2011-03-17,PERSISTENT,EQ,369.7,369.5,374.0,362.1,362.25,365.2,367.26,8588,315402160000.0,,5880,0.6847
2011-03-18,PERSISTENT,EQ,365.2,365.2,366.85,341.0,341.25,344.5,351.48,19191,674525070000.0,,12175,0.6344
2011-03-21,PERSISTENT,EQ,344.5,364.9,365.0,335.0,339.3,343.3,343.59,13417,460997625000.0,,8453,0.63
2011-03-22,PERSISTENT,EQ,343.3,347.15,355.0,345.0,347.0,348.0,348.36,110879,3862614390000.0,,105917,0.9551999999999999
2011-03-23,PERSISTENT,EQ,348.0,348.0,354.0,342.5,347.0,346.7,347.88,17525,609653220000.0,,13467,0.7684000000000001
2011-03-24,PERSISTENT,EQ,346.7,347.25,351.0,345.05,346.0,346.55,347.68,33142,1152283735000.0,,19751,0.596
2011-03-25,PERSISTENT,EQ,346.55,350.0,365.9,346.0,365.0,360.15,354.94,53588,1902040860000.0002,,47852,0.893
2011-03-28,PERSISTENT,EQ,360.15,365.0,379.5,358.0,377.0,375.85,368.44,69649,2566123485000.0,,61312,0.8803000000000001
2011-03-29,PERSISTENT,EQ,375.85,376.0,384.5,370.7,375.05,378.0,378.74,12858,486987084999.99994,,5589,0.4347
2011-03-30,PERSISTENT,EQ,378.0,379.0,382.9,368.0,369.0,369.9,375.13,11480,430654359999.99994,,7815,0.6807
2011-03-31,PERSISTENT,EQ,369.9,370.05,374.8,365.0,365.0,367.25,371.88,46992,1747541735000.0002,,30111,0.6408
2011-04-01,PERSISTENT,EQ,367.25,369.95,384.0,367.0,374.95,374.15,374.32,5760,215607870000.00003,,2228,0.38680000000000003
2011-04-04,PERSISTENT,EQ,374.15,379.0,396.0,376.25,391.9,390.2,387.62,23401,907064744999.9999,,10403,0.4446
2011-04-05,PERSISTENT,EQ,390.2,390.2,415.0,386.1,398.85,398.15,403.31,48846,1969998825000.0,,25848,0.5292
2011-04-06,PERSISTENT,EQ,398.15,420.0,420.0,399.0,405.05,406.65,408.49,85083,3475560740000.0,,37456,0.44020000000000004
2011-04-07,PERSISTENT,EQ,406.65,410.3,429.0,410.0,412.45,413.0,418.47,101628,4252865195000.0005,,34071,0.33530000000000004
2011-04-08,PERSISTENT,EQ,413.0,416.6,418.55,397.1,401.05,400.8,405.62,29763,1207243650000.0,,11930,0.4008
2011-04-11,PERSISTENT,EQ,400.8,400.0,412.9,395.0,409.0,406.15,406.71,29974,1219077695000.0,,12796,0.4269
2011-04-13,PERSISTENT,EQ,406.15,405.0,433.8,400.0,413.5,412.2,416.63,86959,3622981375000.0,,25241,0.2903
2011-04-15,PERSISTENT,EQ,412.2,420.3,422.0,402.6,410.0,408.3,411.99,54762,2256142275000.0,,28375,0.5182
2011-04-18,PERSISTENT,EQ,408.3,415.0,423.3,388.2,389.1,392.2,406.53,85742,3485669265000.0,,26214,0.3057
2011-04-19,PERSISTENT,EQ,392.2,375.0,397.7,375.0,394.35,394.95,393.21,87211,3429240700000.0,,55764,0.6394
2011-04-20,PERSISTENT,EQ,394.95,402.0,402.0,395.2,397.9,397.55,397.94,22257,885689900000.0,,13692,0.6152000000000001
2011-04-21,PERSISTENT,EQ,397.55,403.0,403.0,391.8,394.0,395.3,397.15,60317,2395516395000.0,,49383,0.8187000000000001
2011-04-25,PERSISTENT,EQ,395.3,393.5,397.0,389.0,389.0,389.7,391.26,16905,661420780000.0,,11868,0.7020000000000001
2011-04-26,PERSISTENT,EQ,389.7,387.5,399.0,382.5,385.4,385.8,388.72,100346,3900602429999.9995,,41876,0.4173
2011-04-27,PERSISTENT,EQ,385.8,390.0,391.9,386.45,389.8,390.45,390.32,64473,2516526445000.0,,58453,0.9066
2011-04-28,PERSISTENT,EQ,390.45,392.3,396.0,388.5,393.0,392.35,392.32,14508,569175695000.0,,8880,0.6121
2011-04-29,PERSISTENT,EQ,392.35,394.5,394.5,383.0,386.5,384.75,386.84,16663,644596950000.0,,10133,0.6081000000000001
2011-05-02,PERSISTENT,EQ,384.75,388.0,388.0,383.0,387.0,386.45,385.77,7492,289016260000.0,,3498,0.4669
2011-05-03,PERSISTENT,EQ,386.45,385.0,386.0,376.5,377.9,379.4,380.97,14051,535299730000.0,,7776,0.5534
2011-05-04,PERSISTENT,EQ,379.4,381.6,400.75,371.6,396.45,395.35,388.0,20575,798306585000.0,,15841,0.7698999999999999
2011-05-05,PERSISTENT,EQ,395.35,408.0,408.0,387.1,389.0,389.05,390.15,11863,462837275000.0,,7514,0.6334000000000001
2011-05-06,PERSISTENT,EQ,389.05,389.85,397.95,385.3,386.5,387.8,390.13,45450,1773142725000.0,,38538,0.8479000000000001
2011-05-06,PERSISTENT,EQ,389.05,389.85,397.95,385.3,386.5,387.8,390.13,45450,1773142725000.0,,38538,0.8479000000000001
2011-05-09,PERSISTENT,EQ,387.8,391.2,394.0,387.05,389.0,389.4,389.2,9410,366235865000.0,,7077,0.7521
2011-05-10,PERSISTENT,EQ,389.4,392.0,394.0,384.0,389.0,390.0,390.24,10528,410848720000.0,,5972,0.5672
2011-05-11,PERSISTENT,EQ,390.0,392.55,400.0,386.3,396.0,394.15,394.47,33831,1334530075000.0,,17550,0.5188
2011-05-12,PERSISTENT,EQ,394.15,390.05,395.55,390.05,394.0,391.3,391.41,6019,235589925000.0,,3524,0.5855
2011-05-13,PERSISTENT,EQ,391.3,394.0,394.55,349.2,390.0,390.35,387.66,59407,2302974685000.0,,49141,0.8272
2011-05-16,PERSISTENT,EQ,390.35,386.3,395.0,386.0,390.0,389.45,390.0,6166,240474510000.0,,3844,0.6234000000000001
2011-05-17,PERSISTENT,EQ,389.45,392.9,392.9,383.0,385.0,385.7,387.7,6708,260066815000.0,,3991,0.595
2011-05-18,PERSISTENT,EQ,385.7,385.0,390.95,375.05,382.0,382.4,382.08,8038,307113070000.0,,4924,0.6126
2011-05-19,PERSISTENT,EQ,382.4,394.6,394.6,377.1,378.0,379.45,381.84,2871,109626164999.99998,,1152,0.40130000000000005
2011-05-20,PERSISTENT,EQ,379.45,378.1,381.5,376.0,376.0,377.4,378.39,3327,125888885000.00002,,1936,0.5819
2011-05-23,PERSISTENT,EQ,377.4,379.95,386.0,373.05,385.0,382.1,378.05,6828,258135300000.0,,3533,0.5174000000000001
2011-05-24,PERSISTENT,EQ,382.1,393.0,393.0,377.85,384.8,384.45,381.1,12200,464943230000.0,,9225,0.7561
2011-05-25,PERSISTENT,EQ,384.45,381.0,386.65,381.0,382.0,382.05,381.82,2900,110728895000.0,,2428,0.8372
2011-05-26,PERSISTENT,EQ,382.05,382.0,390.1,378.35,382.1,384.65,387.15,32501,1258276755000.0,,4814,0.1481
2011-05-27,PERSISTENT,EQ,384.65,382.0,390.1,382.0,385.5,387.35,388.89,15487,602272390000.0,,12892,0.8323999999999999
2011-05-30,PERSISTENT,EQ,387.35,387.35,389.7,383.5,387.35,387.0,386.06,6016,232255679999.99997,,3944,0.6556000000000001
2011-05-31,PERSISTENT,EQ,387.0,383.1,409.8,383.0,408.0,402.2,394.9,65755,2596667145000.0,,53342,0.8112
2011-06-01,PERSISTENT,EQ,402.2,403.1,406.9,391.2,400.0,398.75,400.0,16691,667641455000.0,1410.0,7697,0.4611
2011-06-02,PERSISTENT,EQ,398.75,395.0,395.0,383.0,385.0,386.65,387.23,10158,393350545000.0,645.0,5638,0.555
2011-06-03,PERSISTENT,EQ,386.65,388.9,391.6,384.15,384.2,384.3,386.94,24962,965891280000.0001,408.0,22422,0.8982
2011-06-06,PERSISTENT,EQ,384.3,389.45,389.45,381.0,383.5,383.5,383.22,3049,116842275000.0,290.0,1380,0.4526
