Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,PHOENIXLTD,EQ,239.7,242.0,249.8,240.0,245.85,247.5,245.23,61805,1515671115000.0,,46491,0.7522
2010-10-05,PHOENIXLTD,EQ,247.5,243.0,256.0,243.0,256.0,254.25,252.44,125341,3164071920000.0,,92113,0.7349
2010-10-06,PHOENIXLTD,EQ,254.25,260.0,265.9,255.35,255.35,256.55,260.31,101263,2635951525000.0,,72437,0.7153
2010-10-07,PHOENIXLTD,EQ,256.55,255.05,262.95,251.0,255.0,253.2,255.54,97124,2481925810000.0,,59096,0.6085
2010-10-08,PHOENIXLTD,EQ,253.2,248.1,261.85,248.1,252.15,253.0,255.42,106237,2713495100000.0,,84526,0.7956000000000001
2010-10-11,PHOENIXLTD,EQ,253.0,253.0,260.0,253.0,255.3,256.5,256.14,43071,1103214160000.0,,32172,0.747
2010-10-12,PHOENIXLTD,EQ,256.5,259.3,259.3,249.0,256.0,253.9,252.97,16546,418559555000.0,,12179,0.7361
2010-10-13,PHOENIXLTD,EQ,253.9,255.15,267.7,254.35,258.25,259.3,261.9,102585,2686680030000.0,,61111,0.5957
2010-10-14,PHOENIXLTD,EQ,259.3,261.2,261.95,248.1,249.0,249.65,254.54,20463,520857170000.0,,14168,0.6924
2010-10-15,PHOENIXLTD,EQ,249.65,252.4,259.0,244.35,256.0,255.75,253.76,66918,1698086550000.0,,45429,0.6789000000000001
2010-10-18,PHOENIXLTD,EQ,255.75,257.0,257.95,249.0,252.0,251.75,250.97,33026,828851670000.0,,22384,0.6778000000000001
2010-10-19,PHOENIXLTD,EQ,251.75,251.0,253.95,246.0,246.35,247.6,249.47,50023,1247931830000.0,,43873,0.8771
2010-10-20,PHOENIXLTD,EQ,247.6,246.0,251.0,240.25,242.45,242.25,245.03,23393,573200090000.0,,18293,0.782
2010-10-21,PHOENIXLTD,EQ,242.25,244.0,245.0,240.3,242.1,242.85,244.25,22894,559183330000.0,,17426,0.7612000000000001
