Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-11-22,PODDARMENT,EQ,206.1,215.8,215.8,201.0,201.2,204.9,206.78,4545,93983430000.0,93,1381,0.3039
2016-11-23,PODDARMENT,EQ,204.9,197.0,208.9,196.9,208.9,207.85,202.46,1866,37779445000.0,55,919,0.4925
2016-11-24,PODDARMENT,EQ,207.85,200.0,212.75,200.0,210.1,210.1,208.1,483,10051315000.0,9,383,0.793
2016-11-25,PODDARMENT,EQ,210.1,219.0,221.0,215.15,221.0,216.75,218.94,667,14603445000.000002,21,534,0.8006000000000001
2016-11-28,PODDARMENT,EQ,216.75,208.2,236.3,205.1,219.0,219.55,222.34,3197,71082875000.0,107,1950,0.6099
2016-11-29,PODDARMENT,EQ,219.55,218.25,226.6,218.25,220.05,220.1,220.2,312,6870130000.0,14,193,0.6186
2016-11-30,PODDARMENT,EQ,220.1,213.25,229.0,213.25,224.95,224.95,221.91,1326,29425070000.0,26,828,0.6244
2016-12-01,PODDARMENT,EQ,224.95,216.55,223.8,216.5,216.5,216.55,217.89,135,2941550000.0,8,95,0.7037000000000001
2016-12-02,PODDARMENT,EQ,216.55,218.0,218.0,210.0,218.0,218.0,214.89,331,7112910000.000001,11,303,0.9154000000000001
2016-12-05,PODDARMENT,EQ,218.0,207.75,226.0,207.75,223.9,218.45,213.77,1483,31702730000.0,73,886,0.5974
2016-12-06,PODDARMENT,EQ,218.45,213.35,221.0,213.35,217.5,217.5,215.88,460,9930650000.0,28,207,0.45
2016-12-07,PODDARMENT,EQ,217.5,217.5,223.6,210.0,216.0,212.65,213.69,1058,22608780000.0,19,958,0.9055
2016-12-08,PODDARMENT,EQ,212.65,223.15,223.3,215.95,218.95,218.95,219.28,586,12849815000.0,25,552,0.9420000000000001
2016-12-09,PODDARMENT,EQ,218.95,219.5,228.0,219.5,220.0,223.0,222.49,1055,23473095000.0,48,714,0.6768000000000001
2016-12-12,PODDARMENT,EQ,223.0,225.15,229.95,225.0,229.95,229.25,226.62,463,10492545000.0,17,410,0.8855
2016-12-13,PODDARMENT,EQ,229.25,225.0,225.0,225.0,225.0,225.0,225.0,83,1867500000.0,1,83,1.0
2016-12-14,PODDARMENT,EQ,225.0,225.95,226.0,202.65,222.7,222.7,223.63,330,7379725000.0,14,229,0.6939000000000001
2016-12-15,PODDARMENT,EQ,222.7,222.0,223.0,216.4,216.4,216.4,221.26,408,9027400000.0,5,408,1.0
2016-12-16,PODDARMENT,EQ,216.4,215.4,225.0,208.0,208.0,210.2,212.94,1201,25573765000.0,47,955,0.7952
2016-12-19,PODDARMENT,EQ,210.2,218.6,226.65,208.6,208.6,209.7,211.94,418,8859290000.0,27,250,0.5981000000000001
2016-12-20,PODDARMENT,EQ,209.7,218.9,218.95,209.15,209.15,209.35,211.28,125,2640980000.0,6,100,0.8
2016-12-21,PODDARMENT,EQ,209.35,208.6,219.0,208.5,208.7,208.6,211.5,526,11125125000.0,16,434,0.8251000000000001
2016-12-22,PODDARMENT,EQ,208.6,216.9,219.0,201.45,201.5,203.05,207.46,1219,25288995000.0,50,1022,0.8384
2016-12-23,PODDARMENT,EQ,203.05,203.35,220.0,201.25,220.0,207.1,203.25,508,10325325000.0,40,290,0.5709000000000001
2016-12-26,PODDARMENT,EQ,207.1,205.0,205.0,196.0,197.25,197.5,198.35,360,7140450000.0,27,328,0.9111
2016-12-27,PODDARMENT,EQ,197.5,196.25,204.95,195.0,197.5,198.45,201.59,295,5946775000.0,16,281,0.9525
2016-12-28,PODDARMENT,EQ,198.45,198.45,201.1,180.0,200.0,200.0,198.53,2166,43002500000.0,31,2090,0.9649
2016-12-29,PODDARMENT,EQ,200.0,201.0,202.5,201.0,202.5,202.5,202.41,52,1052550000.0,3,52,1.0
2016-12-30,PODDARMENT,EQ,202.5,216.0,216.0,207.95,207.95,207.95,210.08,120,2520950000.0,3,120,1.0
2017-01-02,PODDARMENT,EQ,207.95,202.15,206.0,170.5,202.1,202.65,192.47,2667,51331460000.0,101,1630,0.6112
2017-01-03,PODDARMENT,EQ,202.65,202.1,213.0,200.1,210.0,210.0,207.88,1914,39788730000.0,65,1565,0.8177
2017-01-04,PODDARMENT,EQ,210.0,209.0,211.45,207.55,211.0,211.0,209.84,664,13933550000.0,30,541,0.8148000000000001
2017-01-05,PODDARMENT,EQ,211.0,213.0,216.9,213.0,216.5,216.5,214.21,600,12852370000.0,19,512,0.8533
2017-01-06,PODDARMENT,EQ,216.5,210.85,217.8,210.0,210.0,211.05,211.09,753,15894845000.000002,10,752,0.9987
2017-01-09,PODDARMENT,EQ,211.05,219.0,222.0,218.1,218.2,219.3,220.28,5301,116769910000.00002,103,3248,0.6127
2017-01-10,PODDARMENT,EQ,219.3,227.0,227.0,221.0,224.75,224.2,223.45,1588,35483645000.0,72,1436,0.9043000000000001
2017-01-11,PODDARMENT,EQ,224.2,224.0,225.0,221.0,224.0,222.85,223.3,764,17060145000.000002,36,659,0.8626
2017-01-12,PODDARMENT,EQ,222.85,222.0,229.0,217.5,226.0,218.05,221.01,2509,55451244999.99999,77,2121,0.8454
2017-01-13,PODDARMENT,EQ,218.05,216.4,223.9,216.4,223.9,223.9,223.44,318,7105250000.0,29,301,0.9465000000000001
2017-01-16,PODDARMENT,EQ,223.9,223.9,226.35,211.75,224.8,219.25,220.43,2500,55107265000.0,77,1830,0.7320000000000001
2017-01-17,PODDARMENT,EQ,219.25,224.8,228.0,221.0,225.0,221.8,224.35,3855,86486470000.0,116,2500,0.6485
2017-01-18,PODDARMENT,EQ,221.8,221.5,225.45,219.25,224.0,222.45,221.22,1967,43513265000.0,54,1614,0.8205
2017-01-19,PODDARMENT,EQ,222.45,224.85,226.0,220.0,226.0,223.8,222.75,1029,22920630000.0,24,1003,0.9747
2017-01-20,PODDARMENT,EQ,223.8,221.0,224.15,219.5,224.0,223.85,221.72,2541,56339819999.99999,43,2296,0.9036
2017-01-23,PODDARMENT,EQ,223.85,229.95,232.0,227.0,229.9,229.95,227.91,1957,44602705000.0,24,1739,0.8886000000000001
2017-01-24,PODDARMENT,EQ,229.95,231.0,231.0,218.7,229.7,228.3,227.4,2638,59989385000.0,53,2107,0.7987000000000001
2017-01-25,PODDARMENT,EQ,228.3,229.0,230.5,226.0,227.95,227.95,228.71,771,17633765000.0,28,698,0.9053
