Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-12-07,POLYMED,EQ,269.9,268.0,274.0,261.0,266.05,266.05,268.62,201,5399170000.0,18,85,0.4229
2011-12-08,POLYMED,EQ,266.05,269.0,290.0,261.05,284.65,287.25,276.18,298,8230185000.000001,54,239,0.802
2011-12-09,POLYMED,EQ,287.25,287.25,287.25,250.2,266.0,260.75,264.38,523,13827050000.0,84,307,0.5870000000000001
2011-12-12,POLYMED,EQ,260.75,262.0,262.0,235.0,253.5,252.55,250.02,425,10625910000.0,40,280,0.6587999999999999
2011-12-13,POLYMED,EQ,252.55,239.85,239.85,230.1,237.5,235.9,238.06,61,1452150000.0,9,56,0.918
2011-12-14,POLYMED,EQ,235.9,236.95,236.95,225.0,236.95,236.95,233.32,228,5319585000.0,20,198,0.8684000000000001
2011-12-15,POLYMED,EQ,236.95,225.1,225.1,220.0,220.0,224.55,224.92,925,20805445000.0,23,875,0.9459000000000001
2011-12-16,POLYMED,EQ,224.55,239.0,239.0,213.4,213.4,217.4,224.36,155,3477569999.9999995,8,105,0.6774
2011-12-19,POLYMED,EQ,217.4,236.95,236.95,196.0,210.0,203.75,207.58,330,6850200000.0,35,237,0.7182
2011-12-20,POLYMED,EQ,203.75,204.05,210.0,196.0,196.0,205.6,204.03,254,5182390000.0,16,249,0.9803000000000001
2011-12-21,POLYMED,EQ,205.6,200.0,210.0,181.1,200.0,200.0,196.76,165,3246530000.0,8,163,0.9879000000000001
2011-12-22,POLYMED,EQ,200.0,209.9,218.3,190.0,218.3,208.0,202.7,763,15465960000.0,39,643,0.8427
2011-12-23,POLYMED,EQ,208.0,216.7,229.0,209.0,209.0,211.55,215.54,158,3405610000.0,13,130,0.8228
2011-12-26,POLYMED,EQ,211.55,223.0,224.0,211.0,222.9,222.9,221.75,76,1685300000.0,6,66,0.8684000000000001
