Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,PONNIERODE,EQ,113.2,113.45,116.8,113.45,114.9,114.7,115.4,7452,85998490000.0,,4890,0.6562
2010-10-05,PONNIERODE,EQ,114.7,113.0,115.5,111.25,113.0,113.6,113.87,4130,47029285000.0,,1601,0.38770000000000004
2010-10-06,PONNIERODE,EQ,113.6,112.55,113.95,112.0,112.0,112.6,112.74,1625,18320655000.0,,1430,0.88
2010-10-07,PONNIERODE,EQ,112.6,111.15,114.9,110.15,111.1,111.7,112.03,7555,84635215000.0,,6109,0.8086
2010-10-08,PONNIERODE,EQ,111.7,112.05,114.9,110.5,111.8,111.2,112.61,5694,64119990000.0,,4010,0.7043
2010-10-11,PONNIERODE,EQ,111.2,113.0,128.5,112.3,122.0,122.75,123.64,307121,3797159029999.9995,,91133,0.2967
2010-10-12,PONNIERODE,EQ,122.75,124.05,124.4,120.7,122.0,122.0,122.58,62850,770400505000.0,,39683,0.6314000000000001
2010-10-13,PONNIERODE,EQ,122.0,122.0,124.0,120.0,123.9,123.05,122.82,19321,237304965000.0,,12103,0.6264000000000001
2010-10-14,PONNIERODE,EQ,123.05,124.4,124.4,117.1,118.2,119.0,120.61,16481,198777550000.0,,10891,0.6607999999999999
2010-10-15,PONNIERODE,EQ,119.0,119.8,121.25,112.95,116.9,115.8,117.99,16141,190452430000.0,,11016,0.6825
2010-10-18,PONNIERODE,EQ,115.8,118.0,119.8,111.5,115.95,115.25,114.34,17914,204836375000.0,,11417,0.6373
2010-10-19,PONNIERODE,EQ,115.25,115.0,118.5,115.0,115.0,115.75,116.29,6117,71132540000.0,,3867,0.6322
2010-10-20,PONNIERODE,EQ,115.75,115.0,120.7,115.0,119.45,118.65,118.93,21545,256234229999.99997,,12218,0.5671
2010-10-21,PONNIERODE,EQ,118.65,119.5,120.0,116.55,117.5,118.1,118.79,3711,44084145000.0,,2784,0.7502
2010-10-22,PONNIERODE,EQ,118.1,119.0,120.55,117.0,119.0,118.2,119.59,8024,95956330000.0,,5776,0.7198000000000001
2010-10-25,PONNIERODE,EQ,118.2,119.0,120.5,115.0,119.2,118.9,119.3,5953,71017485000.0,,3931,0.6603
2010-10-26,PONNIERODE,EQ,118.9,119.0,121.4,116.5,117.4,117.05,118.67,13573,161064560000.0,,8625,0.6355
2010-10-27,PONNIERODE,EQ,117.05,118.0,127.7,118.0,122.0,121.0,124.0,60649,752031560000.0,,29523,0.4868
2010-10-28,PONNIERODE,EQ,121.0,122.25,125.5,121.5,122.4,122.3,123.75,17150,212238179999.99997,,9383,0.5471
2010-10-29,PONNIERODE,EQ,122.3,122.0,125.5,120.75,121.0,121.0,121.91,8196,99921430000.0,,5955,0.7266
