Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-08-26,POWERMECH,EQ,640.0,600.0,663.0,580.0,585.3,586.55,619.42,3974532,246191287550000.0,102544,994453,0.2502
2015-08-27,POWERMECH,EQ,586.55,597.0,656.9,595.1,633.7,635.85,633.15,1290003,81677081195000.0,40964,325282,0.2522
2015-08-28,POWERMECH,EQ,635.85,641.9,651.35,619.1,623.0,623.6,638.01,274983,17544104044999.998,7454,108547,0.3947
2015-08-31,POWERMECH,EQ,623.6,619.15,625.0,608.5,617.0,614.7,615.06,146561,9014331995000.0,4364,90261,0.6159
2015-09-01,POWERMECH,EQ,614.7,606.0,618.75,583.6,588.5,587.8,600.92,114905,6904922665000.001,5284,72914,0.6346
2015-09-02,POWERMECH,EQ,587.8,598.8,615.0,560.3,606.05,608.4,599.77,86057,5161443450000.0,3773,27264,0.3168
2015-09-03,POWERMECH,EQ,608.4,614.0,618.95,603.0,605.0,610.6,611.43,44136,2698609710000.0,1827,19833,0.44939999999999997
2015-09-04,POWERMECH,EQ,610.6,619.8,619.8,591.0,601.95,601.05,598.97,89176,5341338545000.0,3872,64235,0.7203
2015-09-07,POWERMECH,EQ,601.05,603.0,608.0,581.75,584.0,586.3,593.81,21473,1275084530000.0,1017,12824,0.5972
2015-09-08,POWERMECH,EQ,586.3,595.0,599.0,582.35,588.0,589.8,590.49,31816,1878701650000.0,1575,21963,0.6903
2015-09-09,POWERMECH,EQ,589.8,597.9,598.0,581.5,585.0,584.8,589.23,26040,1534345345000.0,918,17868,0.6862
2015-09-10,POWERMECH,EQ,584.8,580.0,584.4,574.0,581.0,580.5,578.77,17927,1037556850000.0,992,7006,0.3908
2015-09-11,POWERMECH,EQ,580.5,585.1,587.4,574.1,575.0,578.45,582.92,21051,1227096110000.0,1475,15711,0.7463
2015-09-14,POWERMECH,EQ,578.45,582.0,592.5,572.0,587.0,586.95,583.13,40046,2335218010000.0,1879,18679,0.46640000000000004
2015-09-15,POWERMECH,EQ,586.95,581.05,588.9,581.0,583.5,584.75,584.01,13668,798218085000.0,612,7953,0.5819
2015-09-16,POWERMECH,EQ,584.75,592.8,592.8,569.6,570.5,570.85,572.58,29892,1711554950000.0,1837,21602,0.7227
2015-09-18,POWERMECH,EQ,570.85,572.0,577.6,565.1,568.0,568.7,572.68,14969,857250160000.0,701,11119,0.7428
2015-09-21,POWERMECH,EQ,568.7,568.1,589.95,565.0,583.25,580.0,573.08,57477,3293909775000.0,2420,47158,0.8205
2015-09-22,POWERMECH,EQ,580.0,582.0,588.8,573.5,574.0,575.15,582.82,22498,1311217225000.0,1208,15979,0.7101999999999999
