Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,PPAP,EQ,93.9,93.0,96.4,92.7,96.4,94.85,94.27,16847,158815100000.0,,12249,0.7271
2010-10-05,PPAP,EQ,94.85,94.25,95.0,93.0,93.3,93.4,93.81,9374,87941590000.0,,6649,0.7093
2010-10-06,PPAP,EQ,93.4,93.4,94.8,93.1,93.35,93.45,93.68,6944,65048715000.0,,5337,0.7686000000000001
2010-10-07,PPAP,EQ,93.45,96.0,96.0,93.25,94.9,94.65,94.16,8779,82661170000.0,,6132,0.6985
2010-10-08,PPAP,EQ,94.65,94.95,95.0,93.5,93.5,93.55,93.82,5933,55665430000.00001,,4883,0.823
2010-10-11,PPAP,EQ,93.55,94.0,98.05,93.05,94.0,94.4,95.93,34137,327493080000.0,,18155,0.5318
2010-10-12,PPAP,EQ,94.4,94.35,94.8,93.6,93.75,93.9,94.0,77780,731149610000.0,,75420,0.9697
2010-10-13,PPAP,EQ,93.9,94.9,94.9,93.0,94.0,94.1,93.86,9639,90469385000.0,,7300,0.7573000000000001
2010-10-14,PPAP,EQ,94.1,93.8,94.25,93.5,94.0,94.05,94.0,113326,1065227030000.0001,,112387,0.9917
2010-10-15,PPAP,EQ,94.05,94.0,95.5,92.0,92.0,92.65,93.63,12810,119944385000.00002,,8137,0.6352000000000001
2010-10-18,PPAP,EQ,92.65,92.7,93.0,90.05,90.25,90.8,90.91,12294,111770550000.0,,10315,0.8390000000000001
2010-10-19,PPAP,EQ,90.8,90.25,92.5,90.25,91.0,91.2,90.81,8069,73275585000.0,,6129,0.7595999999999999
2010-10-20,PPAP,EQ,91.2,90.0,91.9,89.05,90.0,90.35,90.92,12566,114256275000.0,,9351,0.7442000000000001
2010-10-21,PPAP,EQ,90.35,89.7,91.35,89.7,90.35,90.35,90.12,5140,46319975000.0,,4429,0.8617
2010-10-22,PPAP,EQ,90.35,90.0,91.8,89.6,89.9,90.05,90.9,6860,62356310000.0,,5294,0.7717
2010-10-25,PPAP,EQ,90.05,90.3,91.5,89.1,90.0,89.95,89.91,5375,48327515000.0,,2916,0.5425
2010-10-26,PPAP,EQ,89.95,90.5,90.5,89.5,90.0,89.75,89.93,4700,42265995000.0,,2760,0.5872
2010-10-27,PPAP,EQ,89.75,89.1,90.5,88.55,88.8,89.1,89.67,22278,199775655000.0,,19859,0.8914
2010-10-28,PPAP,EQ,89.1,89.45,89.45,88.05,89.15,88.9,88.55,4355,38561390000.0,,3275,0.752
2010-10-29,PPAP,EQ,88.9,87.25,90.4,86.5,86.6,86.9,88.99,9794,87152615000.0,,7673,0.7834000000000001
2010-11-01,PPAP,EQ,86.9,87.1,88.0,85.5,86.0,86.6,86.85,28264,245472695000.00003,,25495,0.902
2010-11-02,PPAP,EQ,86.6,86.0,88.15,85.65,87.0,86.85,86.61,25054,216988750000.0,,14465,0.5774
2010-11-03,PPAP,EQ,86.85,86.7,91.0,86.7,90.95,90.75,89.05,42599,379362590000.0,,38976,0.915
2010-11-04,PPAP,EQ,90.75,89.0,93.7,89.0,93.0,92.9,92.62,55384,512952290000.00006,,49347,0.891
2010-11-05,PPAP,EQ,92.9,91.55,94.0,91.55,93.6,93.2,93.08,9698,90272565000.0,,8520,0.8785
2010-11-08,PPAP,EQ,93.2,92.6,96.65,92.6,96.15,95.85,94.95,18916,179598885000.0,,16792,0.8876999999999999
2010-11-09,PPAP,EQ,95.85,95.15,103.0,95.15,102.2,102.8,100.23,191532,1919687100000.0,,152608,0.7968000000000001
2010-11-10,PPAP,EQ,102.8,103.0,104.0,100.1,102.35,102.65,102.99,67019,690198330000.0,,48235,0.7197
2010-11-11,PPAP,EQ,102.65,102.0,103.35,99.55,101.0,101.3,101.66,50093,509260195000.0,,38728,0.7731
2010-11-12,PPAP,EQ,101.3,104.3,113.0,104.3,106.05,106.2,109.29,394472,4311148660000.0,,129718,0.32880000000000004
2010-11-15,PPAP,EQ,106.2,107.25,109.0,102.6,104.1,104.7,104.98,65980,692628005000.0,,38854,0.5889
2010-11-16,PPAP,EQ,104.7,104.2,106.5,101.15,102.05,102.15,103.16,27718,285952040000.0,,19455,0.7019
2010-11-18,PPAP,EQ,102.15,103.0,105.2,102.0,104.5,104.05,103.37,21377,220966479999.99997,,14422,0.6747
2010-11-19,PPAP,EQ,104.05,103.1,109.9,102.5,106.0,106.0,107.17,64295,689076930000.0,,45487,0.7075
