Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,PRADIP,EQ,80.75,80.8,81.6,77.0,79.7,80.1,80.31,23841,191477430000.0,,10982,0.4606
2010-10-05,PRADIP,EQ,80.1,80.1,80.6,78.8,80.0,79.9,79.87,26576,212269840000.0,,13753,0.5175
2010-10-06,PRADIP,EQ,79.9,80.7,80.7,79.0,79.55,79.5,79.61,60898,484821215000.00006,,47816,0.7852
2010-10-07,PRADIP,EQ,79.5,79.85,80.95,78.55,79.35,79.6,79.46,56998,452888405000.0,,39972,0.7012999999999999
2010-10-08,PRADIP,EQ,79.6,78.25,80.9,77.2,80.0,79.2,78.83,30539,240738450000.0,,12954,0.4242
2010-10-11,PRADIP,EQ,79.2,79.5,82.7,78.4,79.0,80.5,80.12,45390,363643720000.0,,20531,0.4523
2010-10-12,PRADIP,EQ,80.5,79.85,80.0,78.6,79.3,79.25,79.28,20308,160998380000.0,,10358,0.51
2010-10-13,PRADIP,EQ,79.25,78.75,80.25,78.75,79.05,79.3,79.39,29618,235150579999.99997,,16819,0.5679
2010-10-14,PRADIP,EQ,79.3,79.9,79.9,78.35,78.35,78.75,79.15,17680,139941595000.0,,10307,0.583
2010-10-15,PRADIP,EQ,78.75,78.25,79.0,76.6,76.65,77.6,77.98,20818,162346060000.0,,11147,0.5355
2010-10-18,PRADIP,EQ,77.6,78.0,78.35,75.1,76.0,75.8,76.11,15373,117008514999.99998,,9202,0.5986
2010-10-19,PRADIP,EQ,75.8,75.25,86.4,74.1,81.7,82.45,83.17,396246,3295774925000.0,,79657,0.201
2010-10-20,PRADIP,EQ,82.45,82.6,87.45,82.0,85.4,85.45,85.8,244305,2096172214999.9998,,122181,0.5001
2010-10-21,PRADIP,EQ,85.45,88.0,88.0,83.0,83.15,83.45,84.78,55523,470698815000.00006,,18632,0.3356
2010-10-22,PRADIP,EQ,83.45,83.2,85.0,81.5,81.9,82.15,83.17,23315,193919775000.0,,11411,0.4894
2010-10-25,PRADIP,EQ,82.15,81.9,89.3,81.9,86.35,85.95,86.66,116739,1011705175000.0,,44671,0.38270000000000004
2010-10-26,PRADIP,EQ,85.95,85.0,86.5,81.0,83.1,83.7,83.58,84046,702428935000.0,,23431,0.2788
2010-10-27,PRADIP,EQ,83.7,83.0,86.5,82.05,86.5,83.7,83.63,207587,1735962730000.0,,117657,0.5668
2010-10-28,PRADIP,EQ,83.7,84.65,87.4,83.5,83.5,84.3,85.5,41098,351374370000.0,,18427,0.4484
2010-10-29,PRADIP,EQ,84.3,86.0,86.2,83.0,84.15,85.0,85.35,42383,361731595000.0,,25661,0.6055
2010-11-01,PRADIP,EQ,85.0,84.05,85.85,82.5,82.75,82.7,83.54,39225,327676675000.0,,30017,0.7653
2010-11-02,PRADIP,EQ,82.7,83.0,84.0,81.5,82.5,82.45,82.66,23528,194485400000.0,,17381,0.7387
2010-11-03,PRADIP,EQ,82.45,82.7,88.5,82.0,86.5,87.4,86.02,102418,880956765000.0,,49212,0.4805
2010-11-04,PRADIP,EQ,87.4,85.65,90.0,84.65,88.6,88.5,87.95,50029,439998159999.99994,,36067,0.7209000000000001
2010-11-05,PRADIP,EQ,88.5,90.0,94.0,90.0,90.7,91.35,92.33,113410,1047072975000.0,,85166,0.751
2010-11-08,PRADIP,EQ,91.35,94.5,94.5,87.1,88.95,89.0,89.1,20150,179545560000.0,,13228,0.6565000000000001
2010-11-09,PRADIP,EQ,89.0,88.1,91.6,85.8,91.6,88.8,87.96,80253,705900930000.0,,52696,0.6566
2010-11-10,PRADIP,EQ,88.8,88.5,92.75,88.45,91.4,91.9,91.21,106394,970455810000.0,,68192,0.6409
