Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-02-08,PRECAM,EQ,186.0,165.0,185.0,154.5,174.5,177.45,176.19,11220947,197702150910000.0,126579,2334916,0.20809999999999998
2016-02-09,PRECAM,EQ,177.45,173.0,175.8,164.8,167.4,167.25,169.47,965485,16362293140000.0,19919,278030,0.28800000000000003
2016-02-10,PRECAM,EQ,167.25,166.7,167.6,159.25,160.15,160.25,161.58,654020,10567522370000.0,19299,297490,0.4549
2016-02-11,PRECAM,EQ,160.25,160.2,170.8,157.4,158.7,158.75,163.2,668051,10902895920000.0,13383,249805,0.3739
2016-02-12,PRECAM,EQ,158.75,159.2,163.0,157.0,158.5,158.15,158.57,242974,3852751400000.0,5119,135783,0.5588000000000001
2016-02-15,PRECAM,EQ,158.15,161.05,163.95,159.5,160.5,160.3,160.79,144068,2316540135000.0,4701,64354,0.44670000000000004
2016-02-16,PRECAM,EQ,160.3,160.7,162.55,157.2,158.45,158.1,159.35,135818,2164306455000.0,3513,70583,0.5197
2016-02-17,PRECAM,EQ,158.1,158.05,158.85,153.1,154.1,154.05,154.26,136533,2106147535000.0002,5722,84399,0.6182
2016-02-18,PRECAM,EQ,154.05,154.1,157.0,153.5,154.2,154.9,154.82,187391,2901128365000.0,7219,112273,0.5991
2016-02-19,PRECAM,EQ,154.9,154.0,154.45,150.35,151.65,151.6,151.88,92716,1408177380000.0,4449,59552,0.6423000000000001
2016-02-22,PRECAM,EQ,151.6,152.0,152.0,149.1,151.5,151.05,151.07,72829,1100210015000.0,3500,47860,0.6572
2016-02-23,PRECAM,EQ,151.05,154.0,158.0,151.0,151.7,152.5,153.5,119413,1833015270000.0,5790,48748,0.4082
2016-02-24,PRECAM,EQ,152.5,152.6,154.3,150.0,152.5,152.25,152.16,54548,829999250000.0,2872,29582,0.5423
2016-02-25,PRECAM,EQ,152.25,152.05,152.95,151.45,152.0,152.05,152.0,33777,513418130000.0,2275,24698,0.7312000000000001
2016-02-26,PRECAM,EQ,152.05,152.65,153.7,150.85,152.7,152.2,151.79,77484,1176119340000.0,3305,51251,0.6614
2016-02-29,PRECAM,EQ,152.2,151.2,153.9,145.1,152.55,153.0,151.4,96982,1468273330000.0,5841,58214,0.6003000000000001
2016-03-01,PRECAM,EQ,153.0,154.0,154.0,150.75,152.0,152.05,151.94,40065,608744380000.0,1292,28557,0.7128
2016-03-02,PRECAM,EQ,152.05,153.15,153.8,150.0,151.1,151.0,151.41,62495,946225380000.0001,1818,38147,0.6104
