Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2017-02-27,PRICOLLTD,EQ,93.9,95.0,95.0,87.65,91.2,90.9,91.46,375044,3430205740000.0,2388,224191,0.5978
2017-02-28,PRICOLLTD,EQ,90.9,91.5,92.0,87.4,88.0,87.7,88.67,247698,2196447635000.0002,1621,190329,0.7684000000000001
2017-03-01,PRICOLLTD,EQ,87.7,89.0,91.5,88.5,89.35,89.45,90.18,321772,2901819150000.0,2243,160674,0.4993
2017-03-02,PRICOLLTD,EQ,89.45,89.95,89.95,86.05,87.0,86.75,87.89,255212,2243067625000.0,1665,190591,0.7468000000000001
2017-03-03,PRICOLLTD,EQ,86.75,86.5,87.7,82.25,84.0,84.2,85.15,248256,2113875295000.0,2101,184792,0.7444
2017-03-06,PRICOLLTD,EQ,84.2,85.3,86.25,83.35,84.65,84.25,84.7,166796,1412833500000.0,1965,111978,0.6713
2017-03-07,PRICOLLTD,EQ,84.25,84.5,85.5,81.6,85.0,84.25,83.13,220519,1833146725000.0,1792,150807,0.6839000000000001
2017-03-08,PRICOLLTD,EQ,84.25,84.25,85.0,80.1,81.5,81.0,81.82,286522,2344263100000.0,1782,223129,0.7787999999999999
2017-03-09,PRICOLLTD,EQ,81.0,80.1,82.8,80.05,81.4,81.25,81.49,171526,1397834525000.0,1089,116999,0.6820999999999999
2017-03-10,PRICOLLTD,EQ,81.25,82.4,82.4,77.0,77.9,77.75,78.49,401364,3150377860000.0,2772,306076,0.7626000000000001
2017-03-14,PRICOLLTD,EQ,77.75,78.5,82.4,78.2,78.4,78.75,79.66,244647,1948941920000.0,2055,149223,0.61
2017-03-15,PRICOLLTD,EQ,78.75,79.0,80.9,79.0,80.75,80.6,80.07,133863,1071857119999.9999,1019,107165,0.8006000000000001
2017-03-16,PRICOLLTD,EQ,80.6,80.6,86.4,80.6,86.0,85.75,84.38,359629,3034626845000.0,3078,227383,0.6323
2017-03-17,PRICOLLTD,EQ,85.75,85.25,87.3,82.15,83.45,83.35,84.76,216907,1838455430000.0,2224,127616,0.5883
2017-03-20,PRICOLLTD,EQ,83.35,83.95,86.9,83.0,85.25,85.05,84.92,298798,2537261470000.0,1775,203579,0.6813
2017-03-21,PRICOLLTD,EQ,85.05,85.1,86.25,83.5,84.8,84.45,84.85,313313,2658352070000.0,993,281698,0.8991
2017-03-22,PRICOLLTD,EQ,84.45,84.05,84.05,82.2,82.85,83.35,83.21,101426,843966560000.0,727,77821,0.7673000000000001
2017-03-23,PRICOLLTD,EQ,83.35,82.0,84.5,82.0,83.1,83.2,83.64,144884,1211819710000.0,803,110677,0.7639
2017-03-24,PRICOLLTD,EQ,83.2,83.2,84.2,81.4,81.75,81.95,82.4,176061,1450824035000.0,1378,131414,0.7464000000000001
2017-03-27,PRICOLLTD,EQ,81.95,82.0,82.25,80.0,80.05,80.2,80.69,134142,1082372205000.0001,1241,106118,0.7911
