Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,PRIMESECU,EQ,42.7,43.75,43.9,40.8,41.2,41.2,42.16,145557,613644510000.0,,77802,0.5345000000000001
2010-10-05,PRIMESECU,EQ,41.2,40.6,42.0,40.1,41.25,41.0,41.35,47379,195921235000.0,,32733,0.6909000000000001
2010-10-06,PRIMESECU,EQ,41.0,41.1,45.2,40.3,43.15,43.3,43.56,284218,1238062150000.0,,126149,0.44380000000000003
2010-10-07,PRIMESECU,EQ,43.3,44.0,47.0,43.05,43.65,43.75,45.09,265025,1194897820000.0,,149081,0.5625
2010-10-08,PRIMESECU,EQ,43.75,45.35,45.8,43.0,43.1,43.35,44.5,106302,473028134999.99994,,51660,0.48600000000000004
2010-10-11,PRIMESECU,EQ,43.35,44.0,45.0,43.35,43.85,43.9,44.0,20775,91402870000.0,,15069,0.7253000000000001
2010-10-12,PRIMESECU,EQ,43.9,44.0,44.0,41.8,42.25,42.25,42.62,23026,98129440000.0,,13708,0.5953
2010-10-13,PRIMESECU,EQ,42.25,42.5,44.15,42.5,42.75,42.95,43.42,32127,139479460000.0,,15750,0.4902
2010-10-14,PRIMESECU,EQ,42.95,43.0,43.7,41.85,42.0,42.2,42.65,22407,95559040000.0,,13693,0.6111
2010-10-15,PRIMESECU,EQ,42.2,42.0,42.95,41.0,41.0,41.1,41.7,22821,95156135000.0,,18773,0.8226000000000001
2010-10-18,PRIMESECU,EQ,41.1,40.6,42.0,40.0,41.1,41.15,41.21,12756,52571040000.0,,8639,0.6772
2010-10-19,PRIMESECU,EQ,41.15,42.0,42.8,40.5,40.95,41.05,41.73,19106,79731025000.0,,10090,0.5281
2010-10-20,PRIMESECU,EQ,41.05,40.5,42.0,40.0,40.7,40.45,40.91,52401,214355215000.0,,34887,0.6658
2010-10-21,PRIMESECU,EQ,40.45,41.4,41.5,39.85,40.5,40.75,40.47,72739,294368730000.0,,37874,0.5207
2010-10-22,PRIMESECU,EQ,40.75,40.5,40.8,39.0,39.15,39.25,39.78,22956,91313565000.0,,15502,0.6753
2010-10-25,PRIMESECU,EQ,39.25,39.5,40.0,38.0,38.4,38.45,38.78,32925,127675055000.0,,25541,0.7757
2010-10-26,PRIMESECU,EQ,38.45,39.2,39.2,37.65,37.75,38.0,38.25,14000,53551065000.0,,10411,0.7436
2010-10-27,PRIMESECU,EQ,38.0,37.25,38.5,37.0,37.95,37.8,37.78,15943,60228125000.0,,10060,0.631
2010-10-28,PRIMESECU,EQ,37.8,37.25,39.75,37.1,38.5,38.0,38.83,17236,66929880000.00001,,8213,0.4765
2010-10-29,PRIMESECU,EQ,38.0,38.75,38.75,36.55,36.75,36.75,37.07,64939,240726770000.00003,,50126,0.7719
2010-11-01,PRIMESECU,EQ,36.75,37.8,37.8,36.8,36.9,37.0,37.25,8733,32529490000.000004,,7385,0.8456
2010-11-02,PRIMESECU,EQ,37.0,36.7,37.0,36.1,36.3,36.3,36.52,20055,73247210000.0,,16655,0.8305
2010-11-03,PRIMESECU,EQ,36.3,36.9,37.9,36.5,36.8,36.75,37.07,18871,69960105000.0,,11850,0.6279
2010-11-04,PRIMESECU,EQ,36.75,36.5,38.5,36.1,38.0,38.2,37.84,46853,177280395000.0,,34341,0.733
2010-11-05,PRIMESECU,EQ,38.2,38.5,38.8,38.2,38.65,38.3,38.36,5529,21210720000.0,,4406,0.7968999999999999
2010-11-08,PRIMESECU,EQ,38.3,37.85,39.0,36.75,36.9,37.1,37.39,19413,72590150000.0,,13733,0.7073999999999999
2010-11-09,PRIMESECU,EQ,37.1,37.5,42.5,36.6,42.4,40.85,40.16,145636,584809460000.0,,103101,0.7079000000000001
2010-11-10,PRIMESECU,EQ,40.85,42.4,42.4,40.0,40.55,40.85,40.97,40644,166511065000.0,,20473,0.5037
