Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-12-03,PTL,EQ,33.4,34.95,35.1,34.15,35.1,34.75,35.04,8503,29795515000.000004,,6301,0.741
2010-12-06,PTL,EQ,34.75,36.4,36.4,33.2,35.75,35.05,35.34,2583,9129065000.0,,651,0.252
2010-12-07,PTL,EQ,35.05,36.7,36.7,34.0,35.2,35.2,34.84,3505,12210040000.0,,3500,0.9986
2010-12-08,PTL,EQ,35.2,35.0,35.0,33.45,33.45,33.45,33.85,3517,11904695000.0,,3052,0.8678
2010-12-09,PTL,EQ,33.45,33.45,33.45,31.8,31.8,31.8,32.37,1150,3722250000.0,,1100,0.9565000000000001
2010-12-10,PTL,EQ,31.8,33.2,33.2,30.95,32.7,32.7,31.98,1432,4579110000.0,,1432,1.0
2010-12-13,PTL,EQ,32.7,32.2,32.2,32.2,32.2,32.2,32.2,202,650440000.0,,202,1.0
2010-12-14,PTL,EQ,32.2,33.0,33.85,32.8,33.85,33.85,33.71,3305,11140020000.0,,2500,0.7564000000000001
2010-12-15,PTL,EQ,33.85,32.35,34.1,32.35,33.2,33.2,33.84,288,974660000.0,,286,0.9931000000000001
2010-12-16,PTL,EQ,33.2,32.1,34.75,32.1,32.8,32.8,32.85,1001,3288710000.0,,1001,1.0
2010-12-20,PTL,EQ,32.8,32.2,32.5,32.2,32.2,32.2,32.44,245,794900000.0,,245,1.0
2010-12-21,PTL,EQ,32.2,32.25,33.85,31.15,33.75,33.7,32.55,13144,42785010000.0,,10129,0.7706000000000001
2010-12-22,PTL,EQ,33.7,33.0,34.0,33.0,33.95,33.95,33.88,6700,22700600000.0,,4200,0.6269
2010-12-23,PTL,EQ,33.95,32.65,32.8,32.65,32.7,32.7,32.7,660,2158075000.0,,335,0.5075999999999999
2010-12-24,PTL,EQ,32.7,31.55,33.5,31.2,31.2,31.85,32.12,6195,19900165000.0,,5053,0.8157
2010-12-27,PTL,EQ,31.85,32.0,33.0,32.0,32.0,32.0,32.19,2057,6621405000.0,,2056,0.9995
2010-12-28,PTL,EQ,32.0,31.9,31.9,31.5,31.5,31.5,31.71,188,596160000.0,,187,0.9947
2010-12-29,PTL,EQ,31.5,30.8,31.0,30.8,31.0,31.0,30.89,359,1108900000.0,,359,1.0
2010-12-30,PTL,EQ,31.0,31.0,31.55,30.35,30.65,30.65,30.86,331,1021304999.9999999,,281,0.8489
2010-12-31,PTL,EQ,30.65,31.5,31.5,29.2,29.2,29.5,30.22,10730,32427109999.999996,,10055,0.9370999999999999
2011-01-03,PTL,EQ,29.5,30.6,30.85,29.65,30.85,30.8,30.6,2904,8886015000.0,,1801,0.6202000000000001
2011-01-04,PTL,EQ,30.8,30.9,31.0,29.5,30.9,30.7,30.32,3573,10834830000.0,,2202,0.6163000000000001
2011-01-05,PTL,EQ,30.7,29.35,30.85,29.35,30.85,30.85,29.82,501,1494205000.0,,401,0.8004000000000001
2011-01-06,PTL,EQ,30.85,29.5,30.0,29.35,29.5,29.5,29.67,1762,5227800000.0,,1711,0.9711
2011-01-07,PTL,EQ,29.5,28.0,32.1,26.55,26.6,26.75,28.5,19179,54652744999.99999,,10352,0.5398
2011-01-10,PTL,EQ,26.75,29.4,29.4,26.0,26.15,26.7,26.96,5231,14101504999.999998,,4911,0.9388
2011-01-11,PTL,EQ,26.7,26.5,28.5,25.5,26.6,26.75,27.45,4903,13460235000.0,,3102,0.6327
2011-01-12,PTL,EQ,26.75,25.75,26.95,24.1,24.1,24.15,24.59,39917,98145685000.0,,31276,0.7835
2011-01-13,PTL,EQ,24.15,24.15,25.0,23.2,24.5,24.5,24.21,6945,16811445000.000002,,4751,0.6840999999999999
2011-01-14,PTL,EQ,24.5,22.5,24.8,22.5,23.65,23.7,23.03,11512,26508175000.0,,10710,0.9303
2011-01-17,PTL,EQ,23.7,24.0,25.3,24.0,24.25,24.45,24.31,4376,10637490000.0,,2501,0.5715
2011-01-18,PTL,EQ,24.45,23.7,24.7,23.5,23.55,23.5,23.7,153,362675000.0,,152,0.9934999999999999
2011-01-19,PTL,EQ,23.5,24.3,25.1,23.95,24.0,24.0,24.84,2814,6990035000.000001,,2813,0.9995999999999999
2011-01-20,PTL,EQ,24.0,24.0,24.6,24.0,24.6,24.55,24.11,251,605280000.0,,250,0.996
2011-01-21,PTL,EQ,24.55,26.2,26.2,23.8,24.55,24.55,25.29,8878,22453665000.0,,2099,0.2364
2011-01-24,PTL,EQ,24.55,25.0,26.9,25.0,26.85,26.3,26.31,3319,8732245000.0,,2217,0.668
2011-01-25,PTL,EQ,26.3,26.8,27.3,26.0,26.6,26.5,26.74,3573,9554610000.0,,1911,0.5347999999999999
2011-01-27,PTL,EQ,26.5,26.1,27.85,25.25,26.05,26.2,26.98,2741,7394150000.0,,2396,0.8741
2011-01-28,PTL,EQ,26.2,26.0,26.0,25.0,25.0,25.0,25.36,1621,4111394999.9999995,,1621,1.0
2011-01-31,PTL,EQ,25.0,23.7,24.3,23.7,24.3,24.25,23.82,258,614580000.0,,208,0.8062
2011-02-01,PTL,EQ,24.25,25.4,25.95,24.5,25.0,25.3,25.54,4060,10370795000.0,,3137,0.7726999999999999
2011-02-02,PTL,EQ,25.3,24.05,26.5,24.05,25.1,25.1,25.24,1439,3632540000.0,,1431,0.9944
2011-02-03,PTL,EQ,25.1,27.1,27.45,24.65,27.45,26.6,25.77,34677,89361745000.0,,32629,0.9409000000000001
2011-02-04,PTL,EQ,26.6,26.5,27.0,25.0,25.3,26.1,26.61,747,1987665000.0000002,,500,0.6693000000000001
2011-02-07,PTL,EQ,26.1,28.0,28.75,26.45,28.75,28.75,28.07,38708,108637845000.0,,34404,0.8887999999999999
2011-02-08,PTL,EQ,28.75,31.4,31.4,29.0,29.25,29.45,29.76,5820,17321390000.0,,5127,0.8809
2011-02-09,PTL,EQ,29.45,28.75,30.7,26.55,26.65,26.55,28.83,3232,9317980000.0,,1658,0.513
2011-02-10,PTL,EQ,26.55,24.35,26.45,24.25,26.0,26.0,25.09,1151,2887425000.0,,554,0.48130000000000006
2011-02-11,PTL,EQ,26.0,27.0,27.0,25.05,26.85,26.85,25.95,495,1284650000.0,,295,0.596
2011-02-14,PTL,EQ,26.85,29.4,29.5,26.85,29.4,29.4,28.98,4052,11741715000.0,,3300,0.8144
2011-02-15,PTL,EQ,29.4,29.0,30.8,29.0,30.8,30.8,29.89,5760,17216530000.0,,5291,0.9186
2011-02-16,PTL,EQ,30.8,30.8,33.0,30.55,32.0,31.95,31.73,11337,35976910000.0,,8300,0.7321
