Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,PUNJLLOYD,EQ,131.5,132.1,138.25,130.25,137.3,137.45,135.14,8462755,114362289990000.02,,2758227,0.3259
2010-10-05,PUNJLLOYD,EQ,137.45,139.0,140.85,137.1,137.95,137.75,139.17,7328840,101999103025000.0,,2014221,0.2748
2010-10-06,PUNJLLOYD,EQ,137.75,140.1,141.5,138.4,139.5,139.5,139.92,5995451,83885417390000.0,,2044974,0.3411
2010-10-07,PUNJLLOYD,EQ,139.5,140.25,142.25,134.9,136.15,135.95,139.37,6719718,93654652365000.0,,1955772,0.29100000000000004
2010-10-08,PUNJLLOYD,EQ,135.95,135.0,137.15,130.15,132.1,132.1,132.41,7463183,98819025655000.0,,2198226,0.2945
2010-10-11,PUNJLLOYD,EQ,132.1,135.1,137.35,133.1,135.55,135.35,135.5,5695111,77170416575000.0,,1678232,0.2947
2010-10-12,PUNJLLOYD,EQ,135.35,136.0,137.05,133.05,133.75,134.4,134.71,4245014,57183088310000.0,,881385,0.2076
2010-10-13,PUNJLLOYD,EQ,134.4,135.4,137.2,134.7,135.7,135.65,135.96,3238109,44025679310000.0,,993232,0.30670000000000003
2010-10-14,PUNJLLOYD,EQ,135.65,136.5,137.5,130.2,131.25,131.3,133.7,3411375,45610323880000.0,,1331758,0.3904
2010-10-15,PUNJLLOYD,EQ,131.3,132.0,134.15,129.0,130.2,130.0,131.85,3083355,40652848830000.0,,808014,0.2621
2010-10-18,PUNJLLOYD,EQ,130.0,131.4,132.0,126.3,128.45,128.05,127.87,2727528,34877502789999.996,,734792,0.26940000000000003
2010-10-19,PUNJLLOYD,EQ,128.05,128.7,130.75,127.05,127.1,127.6,128.99,2378948,30686301789999.996,,583262,0.2452
2010-10-20,PUNJLLOYD,EQ,127.6,128.0,128.0,125.0,125.5,125.5,126.46,1845956,23344197110000.0,,483353,0.2618
2010-10-21,PUNJLLOYD,EQ,125.5,126.0,129.45,125.9,129.25,128.4,127.36,2035424,25922967020000.0,,697441,0.34270000000000006
2010-10-22,PUNJLLOYD,EQ,128.4,129.0,131.85,128.5,129.1,129.35,130.16,3345370,43542657655000.0,,1013522,0.303
2010-10-25,PUNJLLOYD,EQ,129.35,130.15,130.65,127.25,127.7,127.75,128.69,1972202,25379365050000.0,,600551,0.3045
2010-10-26,PUNJLLOYD,EQ,127.75,128.0,128.9,126.1,126.55,126.7,127.31,2077678,26450689430000.0,,766088,0.36869999999999997
2010-10-27,PUNJLLOYD,EQ,126.7,126.7,127.0,123.5,125.05,125.15,125.09,2654831,33209501970000.0,,828043,0.3119
2010-10-28,PUNJLLOYD,EQ,125.15,125.5,126.35,121.0,122.5,122.35,123.52,4325764,53431436855000.0,,1876832,0.4339
2010-10-29,PUNJLLOYD,EQ,122.35,128.9,128.9,114.8,117.5,117.4,118.86,4508901,53591474895000.0,,1527368,0.3387
2010-11-01,PUNJLLOYD,EQ,117.4,120.0,124.5,118.65,122.8,122.55,122.37,4291464,52515662495000.0,,920456,0.2145
2010-11-02,PUNJLLOYD,EQ,122.55,122.5,125.8,120.2,124.45,124.45,123.87,5247377,64999929879999.99,,1488267,0.2836
2010-11-03,PUNJLLOYD,EQ,124.45,128.9,128.9,122.45,123.1,123.2,123.34,2888365,35625503910000.0,,1228272,0.4252
2010-11-04,PUNJLLOYD,EQ,123.2,124.95,125.25,123.05,124.8,124.8,124.2,2101996,26107172850000.0,,682676,0.3248
2010-11-05,PUNJLLOYD,EQ,124.8,128.0,128.0,125.05,126.05,126.25,126.11,802133,10115981815000.0,,336441,0.4194
2010-11-08,PUNJLLOYD,EQ,126.25,126.35,130.55,124.5,130.2,129.8,128.6,3534122,45450125870000.0,,1126074,0.3186
2010-11-09,PUNJLLOYD,EQ,129.8,130.0,131.9,128.45,129.4,129.4,130.16,2413294,31411074745000.0,,609669,0.25260000000000005
2010-11-10,PUNJLLOYD,EQ,129.4,129.5,133.3,128.5,132.75,132.4,131.44,3890612,51138656275000.0,,1178173,0.3028
2010-11-11,PUNJLLOYD,EQ,132.4,133.0,134.7,128.0,128.75,128.8,131.93,3793340,50047369150000.0,,1207832,0.3184
2010-11-12,PUNJLLOYD,EQ,128.8,129.5,130.2,124.1,124.7,124.75,127.03,2636687,33495060130000.0,,744581,0.2824
2010-11-15,PUNJLLOYD,EQ,124.75,124.0,125.1,121.2,123.3,123.15,122.82,2107013,25877466110000.0,,487591,0.23140000000000002
2010-11-16,PUNJLLOYD,EQ,123.15,123.0,125.45,118.15,118.95,119.15,121.1,3333571,40368122395000.0,,1105205,0.3315
2010-11-18,PUNJLLOYD,EQ,119.15,120.5,121.25,115.2,119.4,119.0,118.27,2447255,28943126995000.0,,610353,0.2494
2010-11-19,PUNJLLOYD,EQ,119.0,119.7,119.7,112.9,113.15,114.45,116.95,2134456,24962972490000.0,,795370,0.3726
2010-11-22,PUNJLLOYD,EQ,114.45,116.0,116.6,112.65,114.45,114.7,114.38,2621723,29987733114999.996,,825987,0.31510000000000005
2010-11-23,PUNJLLOYD,EQ,114.7,114.0,114.4,109.25,111.75,112.2,112.33,3077949,34573656695000.0,,1109275,0.3604
