Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,RAJESHEXPO,EQ,101.4,100.8,107.7,100.3,104.0,103.85,105.2,1502742,15809337430000.002,,305940,0.2036
2010-10-05,RAJESHEXPO,EQ,103.85,104.6,111.5,103.5,105.95,107.55,107.45,2093866,22497975450000.0,,526402,0.2514
2010-10-06,RAJESHEXPO,EQ,107.55,107.0,111.05,106.15,107.25,106.9,108.63,1059763,11511874375000.0,,222466,0.20989999999999998
2010-10-07,RAJESHEXPO,EQ,106.9,106.9,108.5,105.1,106.4,105.5,106.72,592780,6326037075000.0,,163801,0.2763
2010-10-08,RAJESHEXPO,EQ,105.5,106.6,106.85,100.25,101.6,100.6,102.61,634595,6511719735000.0,,276994,0.4365
2010-10-11,RAJESHEXPO,EQ,100.6,102.0,104.55,101.0,104.4,104.1,103.1,445114,4588967175000.0,,89660,0.20140000000000002
2010-10-12,RAJESHEXPO,EQ,104.1,104.3,108.35,102.0,106.25,106.85,105.74,1297361,13717930905000.002,,387583,0.2987
2010-10-13,RAJESHEXPO,EQ,106.85,107.35,112.55,105.55,112.5,111.6,110.54,2273121,25127659035000.0,,607078,0.2671
2010-10-14,RAJESHEXPO,EQ,111.6,112.3,115.0,111.0,111.3,112.35,113.66,953201,10834274805000.0,,339545,0.35619999999999996
2010-10-15,RAJESHEXPO,EQ,112.35,113.0,114.45,111.3,112.8,112.3,113.02,516388,5836468745000.0,,135095,0.2616
2010-10-18,RAJESHEXPO,EQ,112.3,112.9,113.1,108.85,109.65,109.05,109.85,410216,4506160735000.0,,176984,0.4314
2010-10-19,RAJESHEXPO,EQ,109.05,110.5,110.6,104.5,105.0,105.3,106.74,432215,4613534325000.0,,199351,0.4612
2010-10-20,RAJESHEXPO,EQ,105.3,100.2,106.25,100.0,100.1,100.8,102.86,728796,7496092259999.999,,366086,0.5023
2010-10-21,RAJESHEXPO,EQ,100.8,100.9,105.75,100.9,105.3,104.65,104.56,597874,6251492930000.0,,166416,0.2783
2010-10-22,RAJESHEXPO,EQ,104.65,105.05,107.9,105.0,107.9,107.3,107.0,575070,6153188530000.0,,121121,0.21059999999999998
2010-10-25,RAJESHEXPO,EQ,107.3,108.5,110.95,108.0,110.5,110.05,109.88,491342,5398882790000.0,,109587,0.223
2010-10-26,RAJESHEXPO,EQ,110.05,110.1,113.1,109.0,109.4,109.45,111.05,602704,6693094810000.0,,141918,0.23550000000000001
2010-10-27,RAJESHEXPO,EQ,109.45,110.0,112.5,108.4,110.35,109.55,110.43,410571,4534138975000.0,,92994,0.22649999999999998
2010-10-28,RAJESHEXPO,EQ,109.55,109.8,123.0,109.8,117.95,118.25,117.25,2804399,32880594355000.0,,524924,0.1872
2010-10-29,RAJESHEXPO,EQ,118.25,119.7,120.5,116.5,118.65,118.15,118.88,1227953,14597397744999.998,,282692,0.2302
2010-11-01,RAJESHEXPO,EQ,118.15,119.2,128.25,116.5,127.75,120.55,119.95,1775625,21298575580000.0,,695222,0.3915
2010-11-02,RAJESHEXPO,EQ,120.55,122.8,140.4,122.5,140.0,136.6,132.82,5338566,70905269695000.0,,779867,0.1461
2010-11-03,RAJESHEXPO,EQ,136.6,138.8,141.85,132.05,134.75,135.3,137.81,4894487,67451626554999.99,,1109037,0.2266
2010-11-04,RAJESHEXPO,EQ,135.3,132.15,139.25,130.1,130.5,130.8,134.42,2170213,29172828055000.0,,682228,0.3144
2010-11-05,RAJESHEXPO,EQ,130.8,131.95,132.5,131.0,131.75,131.95,131.86,329754,4348065704999.9995,,157965,0.479
2010-11-08,RAJESHEXPO,EQ,131.95,131.75,133.15,126.1,127.2,127.0,127.65,613306,7828800909999.999,,276902,0.4515
2010-11-09,RAJESHEXPO,EQ,127.0,127.0,128.3,124.5,124.65,124.6,125.99,582225,7335355050000.0,,182506,0.3135
2010-11-10,RAJESHEXPO,EQ,124.6,125.0,130.15,122.2,125.1,125.0,127.16,1235088,15705833375000.0,,328159,0.2657
2010-11-11,RAJESHEXPO,EQ,125.0,125.6,128.5,122.1,122.9,122.4,125.18,845470,10583426760000.0,,267423,0.31629999999999997
2010-11-12,RAJESHEXPO,EQ,122.4,122.1,123.35,118.55,120.05,119.75,120.67,669347,8076699690000.001,,238694,0.3566
2010-11-15,RAJESHEXPO,EQ,119.75,118.1,124.4,118.1,122.8,122.65,123.23,1678965,20690387465000.0,,525066,0.3127
2010-11-16,RAJESHEXPO,EQ,122.65,124.25,124.25,114.3,116.0,115.2,118.12,1038954,12271859745000.0,,507099,0.48810000000000003
2010-11-18,RAJESHEXPO,EQ,115.2,116.05,120.05,115.0,116.35,116.0,116.81,702628,8207650059999.999,,227615,0.3239
2010-11-19,RAJESHEXPO,EQ,116.0,115.35,117.35,109.4,110.6,110.65,114.17,527257,6019883030000.0,,206079,0.3909
2010-11-22,RAJESHEXPO,EQ,110.65,112.2,116.05,110.75,115.65,115.2,113.82,924850,10526339000000.0,,199835,0.2161
2010-11-23,RAJESHEXPO,EQ,115.2,114.8,116.55,107.0,116.55,115.1,113.26,1509050,17091914140000.0,,493134,0.3268
2010-11-24,RAJESHEXPO,EQ,115.1,116.35,118.5,114.85,117.05,116.75,117.09,1013543,11867201125000.0,,229297,0.2262
2010-11-25,RAJESHEXPO,EQ,116.75,117.25,120.15,116.2,116.5,117.45,118.6,969590,11498935750000.0,,238619,0.2461
2010-11-26,RAJESHEXPO,EQ,117.45,117.6,118.5,100.0,110.0,111.2,113.59,950663,10798675350000.0,,341052,0.3588
2010-11-29,RAJESHEXPO,EQ,111.2,112.0,115.5,106.6,115.5,113.65,109.92,1643721,18068227900000.0,,577159,0.3511
2010-11-30,RAJESHEXPO,EQ,113.65,114.0,125.45,110.6,124.0,124.3,121.05,1570839,19014701700000.0,,268934,0.17120000000000002
2010-12-01,RAJESHEXPO,EQ,124.3,125.1,128.4,114.8,116.0,118.55,123.85,1108249,13726203069999.998,,338759,0.3057
2010-12-02,RAJESHEXPO,EQ,118.55,118.75,126.15,118.0,119.9,123.05,123.83,2765118,34240998405000.0,,485545,0.17559999999999998
2010-12-03,RAJESHEXPO,EQ,123.05,120.0,121.85,117.3,120.55,120.45,120.09,917760,11021317375000.0,,230497,0.25120000000000003
2010-12-06,RAJESHEXPO,EQ,120.45,121.0,125.5,118.0,119.5,119.3,122.4,936382,11461541555000.0,,132194,0.1412
2010-12-07,RAJESHEXPO,EQ,119.3,119.5,120.75,115.5,116.6,117.45,117.64,574724,6760846820000.0,,147815,0.2572
2010-12-08,RAJESHEXPO,EQ,117.45,117.3,117.3,113.5,114.0,115.8,115.08,779499,8970815905000.0,,212127,0.2721
2010-12-09,RAJESHEXPO,EQ,115.8,116.2,117.4,109.35,109.5,111.85,113.77,887869,10101323025000.0,,176272,0.1985
2010-12-10,RAJESHEXPO,EQ,111.85,108.0,113.85,105.05,108.8,110.6,111.31,769276,8562709584999.999,,74933,0.0974
2010-12-13,RAJESHEXPO,EQ,110.6,111.0,114.7,108.15,112.6,112.65,112.71,1332472,15017663669999.998,,162102,0.1217
2010-12-14,RAJESHEXPO,EQ,112.65,113.4,118.25,112.1,118.15,117.7,116.52,1300335,15151830894999.998,,248106,0.1908
2010-12-15,RAJESHEXPO,EQ,117.7,118.5,118.65,114.1,116.7,116.05,116.75,1113965,13005206965000.0,,206549,0.18539999999999998
2010-12-16,RAJESHEXPO,EQ,116.05,117.4,122.75,115.75,122.75,120.5,119.17,2146060,25574757600000.0,,402800,0.1877
2010-12-20,RAJESHEXPO,EQ,120.5,120.0,122.75,119.75,121.3,121.15,121.6,687875,8364840215000.001,,106512,0.15480000000000002
