Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,RAJSREESUG,EQ,78.45,79.85,79.95,76.2,76.65,77.1,77.83,39888,310433160000.0,,17071,0.428
2010-10-05,RAJSREESUG,EQ,77.1,76.8,77.75,76.0,77.0,76.8,76.9,46232,355508120000.0,,21507,0.46520000000000006
2010-10-06,RAJSREESUG,EQ,76.8,77.0,78.25,76.25,77.1,76.75,77.47,19138,148263960000.0,,9535,0.49820000000000003
2010-10-07,RAJSREESUG,EQ,76.75,77.0,77.45,72.65,74.0,73.8,75.67,15092,114197000000.0,,10518,0.6969
2010-10-08,RAJSREESUG,EQ,73.8,73.0,76.4,73.0,74.1,74.15,75.29,28256,212730110000.0,,12907,0.4568
2010-10-11,RAJSREESUG,EQ,74.15,74.4,77.0,74.25,77.0,76.65,75.87,26034,197522835000.0,,15327,0.5887
2010-10-12,RAJSREESUG,EQ,76.65,75.5,76.9,74.1,75.4,75.0,75.25,21191,159456520000.0,,11275,0.5321
2010-10-13,RAJSREESUG,EQ,75.0,75.5,77.8,75.3,75.4,75.65,76.33,21023,160461240000.0,,9288,0.4418
2010-10-14,RAJSREESUG,EQ,75.65,76.45,76.45,73.2,74.0,73.9,74.66,10756,80303845000.0,,6020,0.5597
2010-10-15,RAJSREESUG,EQ,73.9,73.9,75.3,73.0,73.1,73.75,74.15,38647,286554275000.0,,14570,0.37700000000000006
2010-10-18,RAJSREESUG,EQ,73.75,74.0,74.8,72.25,73.4,73.2,73.32,34302,251515329999.99997,,18311,0.5338
2010-10-19,RAJSREESUG,EQ,73.2,73.5,75.95,72.65,73.5,73.85,73.98,12385,91626380000.0,,7746,0.6254
2010-10-20,RAJSREESUG,EQ,73.85,74.45,78.0,72.9,75.65,75.9,76.68,59846,458887540000.00006,,31703,0.5297
2010-10-21,RAJSREESUG,EQ,75.9,76.0,77.0,75.75,76.0,76.2,76.36,10960,83690115000.0,,5263,0.4802
2010-10-22,RAJSREESUG,EQ,76.2,75.5,79.35,75.5,77.0,76.8,78.0,44587,347776655000.0,,19618,0.44
