Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-12-03,RAMSARUP,EQ,31.7,32.8,32.8,30.15,30.15,30.15,31.38,167098,524413370000.0,,106852,0.6395000000000001
2010-12-06,RAMSARUP,EQ,30.15,30.25,30.5,28.65,28.65,28.65,29.22,101141,295536420000.0,,75066,0.7422
2010-12-07,RAMSARUP,EQ,28.65,27.55,29.5,27.25,27.25,27.25,27.52,675857,1859874589999.9998,,327032,0.4839
2010-12-08,RAMSARUP,EQ,27.25,25.9,26.9,25.9,25.9,25.9,26.05,103316,269146540000.0,,88984,0.8613
2010-12-09,RAMSARUP,EQ,25.9,24.6,24.6,24.6,24.6,24.6,24.6,22263,54766980000.00001,,22261,0.9999
2010-12-10,RAMSARUP,EQ,24.6,23.4,24.5,23.4,23.4,23.4,23.48,562044,1319793510000.0,,170180,0.3028
2010-12-13,RAMSARUP,EQ,23.4,24.5,24.5,22.25,22.25,22.3,22.87,489367,1119224850000.0,,250736,0.5124000000000001
2010-12-14,RAMSARUP,EQ,22.3,21.3,23.0,21.3,22.2,22.3,22.46,300044,673849410000.0,,173932,0.5797
2010-12-15,RAMSARUP,EQ,22.3,22.3,22.75,21.35,21.8,21.75,21.86,327073,715014870000.0,,228335,0.6981
2010-12-16,RAMSARUP,EQ,21.75,21.35,22.2,20.7,21.0,20.9,21.19,204952,434211195000.0,,112327,0.5481
2010-12-20,RAMSARUP,EQ,20.9,20.95,21.0,19.9,19.95,20.05,20.29,214867,436058490000.00006,,116406,0.5418000000000001
2010-12-21,RAMSARUP,EQ,20.05,20.0,21.05,19.9,21.05,21.05,20.38,184244,375442220000.0,,112717,0.6118
2010-12-22,RAMSARUP,EQ,21.05,22.1,22.1,22.1,22.1,22.1,22.1,39765,87880650000.0,,39765,1.0
2010-12-23,RAMSARUP,EQ,22.1,23.25,23.25,23.25,23.25,23.25,23.25,278968,648600600000.0,,197231,0.7070000000000001
2010-12-24,RAMSARUP,EQ,23.25,24.45,24.45,23.7,24.45,24.45,24.33,330525,804065870000.0,,229977,0.6958
