Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,RANEHOLDIN,EQ,244.2,274.3,274.3,241.0,241.95,241.65,244.16,3220,78620285000.0,,2028,0.6298
2010-10-05,RANEHOLDIN,EQ,241.65,270.0,270.0,241.1,243.1,244.1,243.76,6170,150397000000.0,,5363,0.8692000000000001
2010-10-06,RANEHOLDIN,EQ,244.1,245.0,246.0,243.0,243.0,244.75,244.85,6751,165297175000.0,,5973,0.8848
2010-10-07,RANEHOLDIN,EQ,244.75,248.9,248.9,242.1,245.7,244.15,244.4,14161,346090585000.0,,12208,0.8621
2010-10-08,RANEHOLDIN,EQ,244.15,243.0,247.0,243.0,244.55,245.15,245.24,3899,95617865000.0,,3443,0.883
2010-10-11,RANEHOLDIN,EQ,245.15,254.9,254.9,244.3,247.0,246.4,249.13,4559,113579510000.00002,,2766,0.6067
2010-10-12,RANEHOLDIN,EQ,246.4,244.0,247.95,243.0,244.5,243.85,244.19,1867,45589875000.0,,1071,0.5736
2010-10-13,RANEHOLDIN,EQ,243.85,244.4,252.8,244.35,250.0,249.25,248.66,5557,138181035000.0,,4325,0.7783
2010-10-14,RANEHOLDIN,EQ,249.25,248.0,251.9,243.35,251.0,249.55,248.61,6714,166916940000.0,,4744,0.7066
2010-10-15,RANEHOLDIN,EQ,249.55,247.0,251.0,245.0,250.0,249.05,249.14,9450,235436085000.0,,7950,0.8412999999999999
2010-10-18,RANEHOLDIN,EQ,249.05,245.2,266.0,240.0,253.0,255.5,255.58,36182,924755169999.9999,,25317,0.6997
2010-10-19,RANEHOLDIN,EQ,255.5,257.0,260.9,250.2,259.0,258.6,257.23,14249,366533990000.0,,12684,0.8902
2010-10-20,RANEHOLDIN,EQ,258.6,253.8,260.0,250.4,251.1,252.0,254.8,5823,148369505000.0,,3442,0.5911
2010-10-21,RANEHOLDIN,EQ,252.0,258.8,278.0,256.1,267.3,266.85,266.38,135959,3621718620000.0005,,91386,0.6722
2010-10-22,RANEHOLDIN,EQ,266.85,269.0,275.5,265.25,267.5,268.65,271.7,68530,1861940960000.0002,,52372,0.7642
2010-10-25,RANEHOLDIN,EQ,268.65,267.5,274.5,265.0,273.4,271.95,269.69,44083,1188866875000.0,,40307,0.9143000000000001
2010-10-26,RANEHOLDIN,EQ,271.95,260.5,278.0,260.5,277.5,274.45,272.34,5843,159128730000.0,,4833,0.8271
2010-10-27,RANEHOLDIN,EQ,274.45,275.0,279.9,272.85,274.95,274.6,276.75,14740,407928845000.0,,12159,0.8249
2010-10-28,RANEHOLDIN,EQ,274.6,284.0,329.55,281.0,329.55,326.6,318.81,673455,21470687845000.0,,240086,0.3565
2010-10-29,RANEHOLDIN,EQ,326.6,332.25,348.85,315.3,332.4,331.8,331.82,275063,9127216250000.0,,38166,0.1388
2010-11-01,RANEHOLDIN,EQ,331.8,316.0,338.9,316.0,333.9,329.15,329.39,34040,1121237440000.0,,11538,0.33899999999999997
2010-11-02,RANEHOLDIN,EQ,329.15,329.95,329.95,316.0,325.0,323.3,322.11,14845,478167730000.0,,10626,0.7158
2010-11-03,RANEHOLDIN,EQ,323.3,325.8,342.2,320.25,331.75,333.6,331.72,29573,980990560000.0,,16924,0.5723
2010-11-04,RANEHOLDIN,EQ,333.6,334.0,352.95,330.05,341.0,344.8,346.42,39948,1383876105000.0,,12360,0.3094
2010-11-05,RANEHOLDIN,EQ,344.8,348.7,349.7,342.6,347.5,345.65,346.84,1666,57784015000.0,,1461,0.877
2010-11-08,RANEHOLDIN,EQ,345.65,349.0,350.0,326.15,340.05,345.0,337.58,6434,217201325000.0,,3054,0.4747
2010-11-09,RANEHOLDIN,EQ,345.0,341.0,349.0,337.05,343.0,345.25,343.97,4835,166310545000.0,,2657,0.5495
2010-11-10,RANEHOLDIN,EQ,345.25,342.25,343.95,333.55,336.0,335.45,337.78,4632,156457610000.0,,3125,0.6747
2010-11-11,RANEHOLDIN,EQ,335.45,338.45,349.0,332.85,339.5,341.15,343.73,15176,521641955000.0,,7551,0.4976
2010-11-12,RANEHOLDIN,EQ,341.15,340.0,340.0,323.0,323.0,327.6,330.42,3652,120668075000.0,,1966,0.5383
2010-11-15,RANEHOLDIN,EQ,327.6,322.0,332.0,317.4,320.0,320.05,321.84,1855,59701569999.99999,,912,0.4916
