Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,REGENCERAM,EQ,9.7,9.7,9.95,9.55,9.7,9.55,9.7,3279,3181435000.0,,2946,0.8984000000000001
2010-10-05,REGENCERAM,EQ,9.55,9.6,9.6,9.0,9.45,9.45,9.23,3813,3517935000.0,,3601,0.9444
2010-10-06,REGENCERAM,EQ,9.45,9.4,9.8,9.2,9.8,9.6,9.49,8346,7919914999.999999,,4669,0.5594
2010-10-07,REGENCERAM,EQ,9.6,9.5,9.7,9.05,9.15,9.2,9.26,14760,13672600000.0,,11918,0.8075
2010-10-08,REGENCERAM,EQ,9.2,9.35,9.35,8.9,9.3,9.0,9.13,5581,5094400000.0,,4325,0.775
2010-10-11,REGENCERAM,EQ,9.0,9.4,9.4,9.05,9.3,9.25,9.26,2836,2625270000.0,,2089,0.7366
2010-10-12,REGENCERAM,EQ,9.25,9.15,9.4,8.5,9.35,9.25,8.95,3375,3021890000.0,,3050,0.9037000000000001
2010-10-13,REGENCERAM,EQ,9.25,9.25,9.6,9.0,9.6,9.35,9.35,3425,3203510000.0,,2716,0.793
2010-10-14,REGENCERAM,EQ,9.35,9.1,10.0,9.1,9.65,9.4,9.61,10523,10116290000.0,,3905,0.3711
2010-10-15,REGENCERAM,EQ,9.4,9.55,9.55,9.15,9.35,9.35,9.29,540,501625000.0,,306,0.5667
2010-10-18,REGENCERAM,EQ,9.35,9.1,9.6,9.1,9.5,9.2,9.25,502,464214999.99999994,,392,0.7809
2010-10-19,REGENCERAM,EQ,9.2,9.05,9.5,9.05,9.05,9.05,9.09,720,654770000.0,,669,0.9292
2010-10-20,REGENCERAM,EQ,9.05,8.9,9.75,8.9,9.05,9.1,9.23,9011,8315075000.0,,6864,0.7617
2010-10-21,REGENCERAM,EQ,9.1,9.4,9.45,9.05,9.25,9.25,9.28,1701,1578200000.0,,1137,0.6684
2010-10-22,REGENCERAM,EQ,9.25,9.45,10.05,9.0,9.0,9.05,9.23,6067,5601455000.0,,4767,0.7857
2010-10-25,REGENCERAM,EQ,9.05,8.9,9.55,8.9,9.05,9.0,9.12,2764,2520670000.0,,1914,0.6925
2010-10-26,REGENCERAM,EQ,9.0,9.3,9.3,9.0,9.25,9.1,9.12,675,615820000.0,,515,0.763
2010-10-27,REGENCERAM,EQ,9.1,9.0,9.15,8.6,9.0,8.8,8.75,11369,9945930000.0,,8542,0.7513
2010-10-28,REGENCERAM,EQ,8.8,9.1,9.3,8.1,9.15,8.85,8.91,9158,8159125000.0,,3660,0.3997
2010-10-29,REGENCERAM,EQ,8.85,8.6,9.5,8.6,9.2,9.2,9.27,4489,4161719999.9999995,,3175,0.7073
2010-11-01,REGENCERAM,EQ,9.2,9.45,10.25,8.25,8.35,8.4,8.61,26989,23230620000.0,,20171,0.7474
2010-11-02,REGENCERAM,EQ,8.4,8.65,8.7,8.0,8.3,8.25,8.12,18253,14822604999.999998,,14625,0.8012
2010-11-03,REGENCERAM,EQ,8.25,8.0,8.65,8.0,8.65,8.35,8.17,6083,4972660000.0,,4748,0.7805
