Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-06-17,RELAXO,EQ,290.95,299.9,299.9,263.0,280.1,283.55,282.58,15852,447939134999.99994,745,3324,0.2097
2011-06-20,RELAXO,EQ,283.55,272.0,272.0,262.05,262.05,262.3,270.88,504,13652525000.0,17,481,0.9544
2011-06-21,RELAXO,EQ,262.3,258.0,264.7,250.1,259.0,257.5,258.09,399,10297750000.0,26,267,0.6692
2011-06-22,RELAXO,EQ,257.5,232.0,267.95,232.0,245.05,245.05,252.89,9,227605000.00000003,7,5,0.5556
2011-06-23,RELAXO,EQ,245.05,240.05,259.0,240.05,250.0,250.0,246.08,95,2337760000.0,6,70,0.7368000000000001
2011-06-24,RELAXO,EQ,250.0,240.0,258.8,240.0,257.75,257.75,249.18,59,1470150000.0,5,35,0.5932000000000001
2011-06-27,RELAXO,EQ,257.75,258.0,281.35,249.0,270.0,271.2,262.31,956,25076805000.0,52,204,0.2134
2011-06-28,RELAXO,EQ,271.2,260.05,277.0,256.0,274.95,274.95,268.14,223,5979515000.0,11,67,0.3004
2011-06-29,RELAXO,EQ,274.95,278.55,278.9,271.0,272.0,277.45,277.46,78,2164155000.0,6,76,0.9744
2011-06-30,RELAXO,EQ,277.45,288.8,302.0,257.0,300.0,299.75,286.34,111829,3202101010000.0,97,9106,0.08140000000000001
2011-07-01,RELAXO,EQ,299.75,299.75,299.95,282.75,290.0,290.85,291.92,220,6422175000.0,40,47,0.2136
2011-07-04,RELAXO,EQ,290.85,291.0,294.95,291.0,294.95,292.5,291.39,260,7576120000.0,15,250,0.9615000000000001
2011-07-05,RELAXO,EQ,292.5,288.0,292.0,275.75,275.75,277.2,282.5,22,621510000.0,6,10,0.4545
2011-07-06,RELAXO,EQ,277.2,299.95,299.95,280.95,283.0,283.0,292.47,73,2134995000.0,16,30,0.41100000000000003
2011-07-07,RELAXO,EQ,283.0,298.0,300.0,275.0,300.0,297.05,292.11,602,17585095000.0,33,106,0.1761
2011-07-08,RELAXO,EQ,297.05,281.0,299.95,281.0,287.0,287.75,296.91,25313,751557425000.0,16,25234,0.9969
2011-07-11,RELAXO,EQ,287.75,281.1,284.95,274.4,275.0,276.0,278.99,211,5886620000.0,35,57,0.2701
2011-07-12,RELAXO,EQ,276.0,266.0,279.0,266.0,275.0,275.0,274.77,281,7721060000.000001,12,255,0.9075
2011-07-13,RELAXO,EQ,275.0,275.0,300.0,275.0,295.5,295.85,282.88,29806,843141050000.0,95,29260,0.9817
2011-07-14,RELAXO,EQ,295.85,296.0,300.0,295.5,300.0,300.0,299.86,1004,30106180000.0,27,884,0.8805
2011-07-15,RELAXO,EQ,300.0,290.05,300.0,290.05,300.0,299.95,293.57,31740,931788819999.9999,55,31111,0.9802
2011-07-18,RELAXO,EQ,299.95,310.0,315.0,304.0,309.0,313.7,310.57,3915,121590035000.00002,137,1880,0.4802
2011-07-19,RELAXO,EQ,313.7,324.0,329.85,315.0,329.85,326.0,323.22,2948,95284110000.0,85,1964,0.6662
2011-07-20,RELAXO,EQ,326.0,330.4,330.4,317.5,321.0,321.0,324.2,1777,57611044999.99999,59,1549,0.8717
2011-07-21,RELAXO,EQ,321.0,316.05,317.45,302.2,303.0,306.65,309.95,25807,799900440000.0,45,25709,0.9962000000000001
2011-07-22,RELAXO,EQ,306.65,300.9,308.9,297.0,300.0,300.25,299.94,705,21146025000.0,25,629,0.8922
2011-07-25,RELAXO,EQ,300.25,301.0,301.0,297.0,300.0,300.0,299.94,576,17276500000.0,15,575,0.9983
2011-07-26,RELAXO,EQ,300.0,301.1,301.1,285.0,292.0,289.9,291.99,28537,833259420000.0,32,28369,0.9941
2011-07-27,RELAXO,EQ,289.9,299.5,300.8,292.0,300.0,300.0,295.17,22870,675063600000.0,29,22860,0.9995999999999999
2011-07-28,RELAXO,EQ,300.0,300.5,300.5,295.0,300.0,300.0,299.75,1484,44482520000.0,20,1453,0.9791
2011-07-29,RELAXO,EQ,300.0,300.0,300.0,300.0,300.0,300.0,300.0,1496,44880000000.0,2,1496,1.0
2011-08-01,RELAXO,EQ,300.0,301.0,308.0,296.0,297.0,297.0,299.27,1192,35672525000.0,30,1114,0.9346
2011-08-02,RELAXO,EQ,297.0,296.0,304.0,296.0,304.0,298.25,297.82,755,22485620000.0,16,700,0.9272
2011-08-03,RELAXO,EQ,298.25,310.0,310.0,295.5,302.0,300.05,300.0,3740,112199870000.0,35,3082,0.8240999999999999
2011-08-04,RELAXO,EQ,300.05,290.0,320.0,287.0,320.0,316.8,309.42,1021,31592205000.0,45,818,0.8012
2011-08-05,RELAXO,EQ,316.8,310.0,310.0,295.0,310.0,304.95,297.45,3590,106783939999.99998,40,3343,0.9312
2011-08-08,RELAXO,EQ,304.95,281.6,297.0,275.0,286.0,285.4,281.78,1560,43957955000.0,59,584,0.3744
2011-08-09,RELAXO,EQ,285.4,275.8,317.7,270.0,314.5,293.7,281.76,1869,52661010000.0,106,705,0.3772
2011-08-09,RELAXO,EQ,285.4,275.8,317.7,270.0,314.5,293.7,281.76,1869,52661010000.0,106,705,0.3772
2011-08-10,RELAXO,EQ,293.7,295.0,301.9,289.95,294.0,297.6,294.4,753,22168320000.0,46,420,0.5578000000000001
2011-08-11,RELAXO,EQ,297.6,287.0,310.0,287.0,295.0,295.0,293.18,256,7505370000.0,15,128,0.5
2011-08-12,RELAXO,EQ,295.0,292.0,295.55,286.0,286.0,286.0,290.99,343,9980870000.0,22,162,0.4723
2011-08-16,RELAXO,EQ,286.0,342.4,342.4,275.15,275.15,285.75,288.72,567,16370545000.000002,51,296,0.522
2011-08-17,RELAXO,EQ,285.75,285.0,285.0,275.0,275.0,276.2,277.41,602,16699985000.0,21,448,0.7442000000000001
2011-08-18,RELAXO,EQ,276.2,264.0,274.0,264.0,266.0,269.95,270.14,574,15506000000.0,16,571,0.9948
2011-08-19,RELAXO,EQ,269.95,258.0,270.0,255.5,264.0,264.0,263.0,648,17042210000.0,11,145,0.2238
2011-08-22,RELAXO,EQ,264.0,252.0,280.0,252.0,280.0,280.0,264.59,219,5794600000.0,10,116,0.5297
2011-08-23,RELAXO,EQ,280.0,256.75,278.0,256.25,262.0,264.4,266.22,536,14269315000.0,62,259,0.4832
2011-08-24,RELAXO,EQ,264.4,267.75,282.85,267.75,276.0,278.4,275.64,1771,48815105000.0,88,1591,0.8984000000000001
2011-08-25,RELAXO,EQ,278.4,301.0,306.55,275.1,278.2,279.5,285.62,336,9596725000.0,48,88,0.2619
2011-08-26,RELAXO,EQ,279.5,276.1,300.0,276.1,277.0,285.65,292.64,627,18348405000.0,59,301,0.48009999999999997
2011-08-29,RELAXO,EQ,285.65,320.0,320.0,278.05,295.0,289.5,289.56,3044,88141705000.0,77,2174,0.7142000000000001
2011-08-30,RELAXO,EQ,289.5,300.1,325.0,300.1,325.0,319.95,315.11,17105,538987620000.0,195,15565,0.91
2011-09-02,RELAXO,EQ,319.95,303.0,325.95,302.0,315.0,315.0,313.83,194,6088215000.0,13,60,0.3093
2011-09-05,RELAXO,EQ,315.0,316.0,335.0,316.0,316.55,321.7,320.77,1472,47217015000.0,58,1356,0.9212
2011-09-06,RELAXO,EQ,321.7,325.0,350.0,324.25,350.0,346.6,332.17,7815,259592454999.99997,144,5566,0.7122
2011-09-07,RELAXO,EQ,346.6,354.0,384.7,351.0,365.0,366.35,365.49,2673,97696135000.0,143,1380,0.5163
2011-09-08,RELAXO,EQ,366.35,369.9,373.95,350.0,352.15,353.25,363.97,1621,59000019999.99999,112,1127,0.6951999999999999
2011-09-09,RELAXO,EQ,353.25,369.0,369.95,343.7,355.0,353.45,352.19,848,29866109999.999996,89,510,0.6014
2011-09-12,RELAXO,EQ,353.45,360.0,368.65,341.1,358.0,358.0,350.7,479,16798670000.000002,35,325,0.6785
2011-09-13,RELAXO,EQ,358.0,363.0,375.0,354.0,364.95,363.55,370.41,3888,144016515000.0,103,3088,0.7942
2011-09-14,RELAXO,EQ,363.55,365.0,375.0,362.4,362.4,367.55,370.95,4707,174606960000.0,81,3867,0.8215000000000001
2011-09-15,RELAXO,EQ,367.55,365.0,368.95,363.0,363.0,363.15,364.41,48,1749180000.0,6,35,0.7292000000000001
2011-09-16,RELAXO,EQ,363.15,360.4,375.0,360.35,363.0,365.3,369.47,832,30739509999.999996,65,750,0.9014
2011-09-19,RELAXO,EQ,365.3,378.0,411.0,375.0,406.0,407.45,381.19,60021,2287935325000.0,441,4744,0.079
2011-09-20,RELAXO,EQ,407.45,411.0,422.9,404.0,405.0,409.95,411.09,4739,194815865000.0,247,1341,0.28300000000000003
2011-09-21,RELAXO,EQ,409.95,410.05,419.5,405.0,416.0,415.8,412.36,1747,72038900000.0,57,1533,0.8775000000000001
2011-09-22,RELAXO,EQ,415.8,416.05,416.05,400.1,402.0,407.65,413.83,6453,267044679999.99997,68,5799,0.8987
2011-09-23,RELAXO,EQ,407.65,386.55,405.1,385.0,405.1,399.15,391.57,1516,59362644999.99999,99,724,0.47759999999999997
2011-09-26,RELAXO,EQ,399.15,386.0,399.75,386.0,392.0,394.0,391.42,740,28964984999.999996,43,528,0.7134999999999999
2011-09-27,RELAXO,EQ,394.0,398.0,419.0,398.0,419.0,417.3,411.99,1203,49562500000.0,32,1062,0.8828
2011-09-28,RELAXO,EQ,417.3,420.0,428.0,410.0,427.9,422.15,421.26,5065,213369510000.0,100,4346,0.858
2011-09-29,RELAXO,EQ,422.15,431.95,433.0,424.0,430.0,431.85,428.85,2133,91474060000.0,62,1914,0.8973000000000001
2011-09-30,RELAXO,EQ,431.85,435.0,444.9,425.15,440.0,439.95,438.23,2080,91151020000.0,51,2003,0.963
2011-10-03,RELAXO,EQ,439.95,415.6,439.85,415.6,423.0,423.7,424.98,2179,92603595000.0,62,1676,0.7692
2011-10-04,RELAXO,EQ,423.7,425.0,448.95,425.0,440.25,443.2,434.22,1617,70213095000.0,93,1038,0.6419
2011-10-05,RELAXO,EQ,443.2,444.9,450.0,424.0,430.1,431.5,434.43,641,27847270000.0,54,380,0.5928
2011-10-07,RELAXO,EQ,431.5,425.4,439.0,425.4,428.0,428.1,430.59,276,11884180000.0,15,185,0.6703
2011-10-10,RELAXO,EQ,428.1,428.1,437.0,424.0,428.0,426.4,427.15,285,12173715000.0,13,254,0.8912000000000001
2011-10-11,RELAXO,EQ,426.4,420.0,436.0,420.0,434.5,435.2,429.06,1250,53632165000.0,36,837,0.6696
2011-10-12,RELAXO,EQ,435.2,425.35,434.7,424.0,426.5,426.5,427.53,409,17486090000.0,15,335,0.8190999999999999
2011-10-13,RELAXO,EQ,426.5,443.0,443.0,429.0,435.0,434.95,434.25,2307,100182620000.0,53,1841,0.798
2011-10-14,RELAXO,EQ,434.95,430.05,433.75,425.15,425.65,425.65,429.75,40,1718990000.0000002,13,34,0.85
2011-10-17,RELAXO,EQ,425.65,420.6,459.0,420.1,457.9,446.9,440.51,7165,315623575000.0,226,3496,0.4879
2011-10-18,RELAXO,EQ,446.9,447.0,460.0,447.0,450.0,451.85,456.35,2402,109614250000.0,67,1734,0.7219
2011-10-19,RELAXO,EQ,451.85,458.0,464.9,453.0,464.0,462.4,459.75,1155,53101500000.0,41,605,0.5238
2011-10-20,RELAXO,EQ,462.4,467.9,473.0,432.4,433.25,444.95,453.88,2408,109293705000.0,132,906,0.3762
2011-10-21,RELAXO,EQ,444.95,442.0,449.8,439.0,440.0,440.0,439.95,2081,91554565000.0,48,2036,0.9784
2011-10-24,RELAXO,EQ,440.0,446.7,446.7,433.0,433.0,434.8,437.85,138,6042395000.0,23,90,0.6522
2011-10-24,RELAXO,EQ,440.0,446.7,446.7,433.0,433.0,434.8,437.85,138,6042395000.0,23,90,0.6522
2011-10-25,RELAXO,EQ,434.8,435.0,439.9,413.1,415.0,421.05,422.72,703,29717195000.0,37,553,0.7866
2011-10-26,RELAXO,EQ,421.05,421.0,428.75,414.05,423.95,423.75,421.06,546,22989865000.0,16,382,0.6996
2011-10-28,RELAXO,EQ,423.75,423.95,435.0,420.0,428.5,428.25,424.03,1694,71830790000.0,41,826,0.4876
2011-10-31,RELAXO,EQ,428.25,432.0,454.9,423.95,450.0,434.2,433.55,1675,72619475000.0,50,1557,0.9296
2011-11-01,RELAXO,EQ,434.2,440.0,450.0,426.0,426.0,429.6,441.3,1065,46998290000.0,55,437,0.4103
2011-11-02,RELAXO,EQ,429.6,427.0,435.0,427.0,430.0,434.0,430.58,26,1119500000.0,10,19,0.7308
2011-11-03,RELAXO,EQ,434.0,425.05,445.0,424.0,424.0,426.15,430.88,1301,56057290000.0,57,345,0.2652
2011-11-04,RELAXO,EQ,426.15,434.9,434.9,407.35,419.0,415.4,420.17,854,35882740000.0,43,529,0.6194
2011-11-08,RELAXO,EQ,415.4,365.0,385.0,365.0,375.05,376.35,373.39,9793,365661560000.0,373,4837,0.4939
2011-11-09,RELAXO,EQ,376.35,373.95,382.05,351.25,351.25,355.55,372.43,3303,123013005000.0,114,1400,0.4239
2011-11-11,RELAXO,EQ,355.55,345.05,363.95,315.8,349.0,347.9,334.93,15391,515494920000.0,717,8133,0.5284000000000001
2011-11-14,RELAXO,EQ,347.9,340.0,342.0,325.6,325.6,327.75,330.5,243,8031060000.000001,13,240,0.9877
2011-11-15,RELAXO,EQ,327.75,317.0,330.0,295.0,295.0,301.6,317.62,52204,1658115640000.0,112,51321,0.9831000000000001
2011-11-16,RELAXO,EQ,301.6,300.0,308.0,295.0,300.0,300.2,300.77,828,24903890000.0,58,662,0.7995000000000001
2011-11-17,RELAXO,EQ,300.2,325.95,325.95,301.0,311.95,311.95,312.32,117,3654119999.9999995,6,110,0.9401999999999999
2011-11-18,RELAXO,EQ,311.95,314.0,329.95,286.0,291.25,296.55,297.35,526,15640590000.0,51,209,0.3973
2011-11-21,RELAXO,EQ,296.55,291.05,300.0,276.05,276.05,283.7,290.58,696,20224380000.0,29,550,0.7902
2011-11-22,RELAXO,EQ,283.7,271.0,317.9,251.1,314.9,301.9,287.19,2886,82883150000.0,102,1891,0.6552
2011-11-23,RELAXO,EQ,301.9,278.9,300.0,278.9,293.0,290.5,290.85,186,5409820000.0,18,126,0.6774
2011-11-24,RELAXO,EQ,290.5,277.0,302.95,277.0,302.95,302.2,295.4,295,8714155000.0,18,292,0.9898
2011-11-25,RELAXO,EQ,302.2,296.0,308.0,296.0,300.0,300.85,303.5,147,4461465000.0,12,111,0.7551000000000001
2011-11-29,RELAXO,EQ,300.85,310.0,310.0,292.0,298.0,296.85,297.37,278,8266975000.0,18,194,0.6978
2011-11-30,RELAXO,EQ,296.85,297.0,308.95,297.0,301.0,301.0,301.09,44,1324790000.0,3,44,1.0
2011-12-01,RELAXO,EQ,301.0,302.0,315.0,292.15,300.0,300.0,304.69,50,1523435000.0,10,10,0.2
2011-12-02,RELAXO,EQ,300.0,300.0,305.0,300.0,305.0,305.0,300.45,11,330500000.0,2,10,0.9091
2011-12-05,RELAXO,EQ,305.0,292.1,304.9,290.0,296.0,296.0,293.99,503,14787750000.0,19,276,0.5487
2011-12-07,RELAXO,EQ,296.0,310.0,313.8,297.0,297.0,300.75,305.08,90,2745715000.0,14,40,0.44439999999999996
2011-12-08,RELAXO,EQ,300.75,309.5,309.6,288.0,288.0,293.15,297.22,15,445830000.0,10,5,0.3333
2011-12-09,RELAXO,EQ,293.15,280.0,299.95,280.0,286.0,286.35,284.39,162,4607130000.0,9,88,0.5432
2011-12-12,RELAXO,EQ,286.35,295.8,295.8,290.0,290.0,290.0,292.9,2,58579999.99999999,2,1,0.5
2011-12-13,RELAXO,EQ,290.0,277.0,292.5,275.0,292.5,292.5,285.03,347,9890630000.0,13,305,0.8790000000000001
2011-12-14,RELAXO,EQ,292.5,276.0,294.8,276.0,282.0,282.0,285.81,181,5173095000.0,12,107,0.5912
2011-12-15,RELAXO,EQ,282.0,268.65,284.85,265.0,275.9,271.7,270.01,364,9828190000.0,52,84,0.23079999999999998
2011-12-16,RELAXO,EQ,271.7,272.0,272.0,268.0,269.0,268.45,269.57,593,15985700000.0,12,513,0.8651000000000001
2011-12-19,RELAXO,EQ,268.45,258.1,265.0,248.5,265.0,264.85,252.28,908,22907115000.0,53,710,0.7819
2011-12-20,RELAXO,EQ,264.85,247.0,269.9,247.0,267.7,267.7,255.8,289,7392610000.000001,18,122,0.42210000000000003
2011-12-21,RELAXO,EQ,267.7,255.0,291.0,250.0,279.95,265.85,270.97,455,12329215000.0,37,359,0.789
2011-12-22,RELAXO,EQ,265.85,272.95,272.95,258.25,260.0,260.0,260.45,1014,26409645000.0,20,897,0.8845999999999999
2011-12-23,RELAXO,EQ,260.0,256.65,267.2,247.5,254.0,252.4,252.36,1745,44036160000.0,92,1252,0.7175
2011-12-26,RELAXO,EQ,252.4,254.0,264.0,253.85,260.0,263.7,259.7,243,6310650000.0,33,137,0.5638000000000001
2011-12-27,RELAXO,EQ,263.7,267.45,267.45,256.0,262.9,258.05,261.34,123,3214475000.0,8,103,0.8373999999999999
2011-12-28,RELAXO,EQ,258.05,255.0,255.0,241.0,241.0,244.8,250.63,231,5789665000.0,30,181,0.7835
2011-12-29,RELAXO,EQ,244.8,241.0,246.95,237.0,239.0,241.25,240.11,333,7995525000.0,39,65,0.1952
2011-12-30,RELAXO,EQ,241.25,273.95,273.95,230.05,240.0,241.2,242.78,295,7162114999.999999,28,113,0.38310000000000005
2012-01-02,RELAXO,EQ,241.2,240.0,240.05,235.4,235.4,235.4,239.85,141,3381830000.0000005,7,141,1.0
2012-01-03,RELAXO,EQ,235.4,240.0,241.0,236.0,237.5,237.5,237.93,90,2141355000.0,14,70,0.7778
2012-01-04,RELAXO,EQ,237.5,248.8,257.0,248.8,250.0,253.5,250.86,82,2057080000.0,14,64,0.7805
2012-01-05,RELAXO,EQ,253.5,262.9,262.9,255.0,255.0,255.0,255.11,123,3137795000.0,6,121,0.9837
2012-01-06,RELAXO,EQ,255.0,251.6,264.0,251.6,263.0,263.0,255.65,316,8078560000.000001,6,116,0.36710000000000004
2012-01-09,RELAXO,EQ,263.0,264.85,264.85,252.85,252.85,252.85,257.79,34,876490000.0,4,20,0.5882000000000001
2012-01-10,RELAXO,EQ,252.85,266.0,268.95,260.1,263.0,263.4,263.67,150,3955000000.0,8,50,0.3333
2012-01-11,RELAXO,EQ,263.4,265.0,292.0,265.0,275.0,275.5,277.6,398,11048550000.0,17,318,0.799
2012-01-12,RELAXO,EQ,275.5,277.0,295.0,277.0,294.0,294.0,293.22,1301,38148400000.0,43,1041,0.8002
2012-01-13,RELAXO,EQ,294.0,324.75,324.75,280.2,289.0,290.45,290.9,621,18064640000.0,23,495,0.7970999999999999
2012-01-16,RELAXO,EQ,290.45,293.95,293.95,276.0,290.0,290.0,289.94,87,2522475000.0,9,71,0.8161
2012-01-17,RELAXO,EQ,290.0,285.0,285.0,267.5,280.05,280.35,279.11,268,7480280000.0,13,203,0.7575000000000001
2012-01-18,RELAXO,EQ,280.35,281.3,285.1,281.3,285.0,285.0,284.3,62,1762659999.9999998,10,40,0.6452
2012-01-19,RELAXO,EQ,285.0,293.65,293.65,280.05,284.95,283.3,284.71,474,13495050000.0,16,210,0.443
2012-01-20,RELAXO,EQ,283.3,285.0,285.0,275.5,284.95,280.75,280.69,369,10357555000.0,14,34,0.09210000000000002
2012-01-23,RELAXO,EQ,280.75,285.0,294.9,278.0,284.0,281.1,283.74,7666,217514760000.0,102,6966,0.9087000000000001
2012-01-24,RELAXO,EQ,281.1,324.95,324.95,266.5,270.0,274.9,283.2,2874,81391550000.0,81,1352,0.4704
