Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,RENUKA,EQ,88.2,89.0,89.35,86.35,86.8,86.6,87.37,5812296,50782343985000.0,,2628796,0.4523
2010-10-05,RENUKA,EQ,86.6,86.6,87.6,85.4,86.0,86.0,86.42,5018377,43370851540000.0,,1262159,0.2515
2010-10-06,RENUKA,EQ,86.0,86.5,87.95,86.1,86.25,86.3,86.85,7084457,61527199090000.0,,3268885,0.46140000000000003
2010-10-07,RENUKA,EQ,86.3,85.9,87.0,82.6,83.4,83.55,85.45,4305422,36791578885000.0,,1527961,0.35490000000000005
2010-10-08,RENUKA,EQ,83.55,86.5,86.6,81.15,83.45,82.95,83.33,15136137,126129443390000.02,,8080579,0.5339
2010-10-11,RENUKA,EQ,82.95,83.0,86.35,82.95,84.7,84.75,84.84,9411603,79852107145000.0,,4379926,0.4654
2010-10-12,RENUKA,EQ,84.75,85.2,85.4,83.0,84.1,83.9,83.98,2406422,20208454155000.0,,479591,0.1993
2010-10-13,RENUKA,EQ,83.9,84.4,85.55,84.2,84.65,84.65,84.86,3466565,29417612360000.004,,1682189,0.4853
2010-10-14,RENUKA,EQ,84.65,84.65,85.45,81.65,82.1,82.1,83.12,5220256,43389423665000.0,,2414029,0.46240000000000003
2010-10-15,RENUKA,EQ,82.1,81.8,82.9,80.35,81.05,81.0,81.35,3755764,30553890545000.0,,1229309,0.3273
2010-10-18,RENUKA,EQ,81.0,81.5,81.8,77.2,80.45,80.25,79.2,4117260,32606681289999.996,,1173732,0.2851
2010-10-19,RENUKA,EQ,80.25,80.5,81.6,79.2,80.6,80.8,80.76,4262147,34421013195000.0,,2043862,0.47950000000000004
2010-10-20,RENUKA,EQ,80.8,80.0,84.55,79.1,83.9,83.65,83.17,9600425,79850904875000.0,,4049771,0.4218
2010-10-21,RENUKA,EQ,83.65,84.0,85.5,83.3,85.0,85.15,84.66,5949335,50369568645000.0,,2451293,0.41200000000000003
2010-10-22,RENUKA,EQ,85.15,85.8,87.65,84.45,85.1,84.9,86.18,8983479,77423591950000.0,,3161285,0.3519
2010-10-25,RENUKA,EQ,84.9,85.2,89.8,85.2,89.5,89.3,88.07,9879143,87003479225000.0,,3684568,0.373
2010-10-26,RENUKA,EQ,89.3,90.0,92.75,89.2,91.65,91.6,91.1,10793545,98328621220000.0,,3373823,0.31260000000000004
2010-10-27,RENUKA,EQ,91.6,91.75,92.05,88.65,90.55,90.9,90.65,6425554,58249788290000.0,,1232991,0.19190000000000002
2010-10-28,RENUKA,EQ,90.9,90.65,93.1,88.3,89.7,89.45,90.8,8157739,74072701865000.0,,3695799,0.45299999999999996
2010-10-29,RENUKA,EQ,89.45,90.0,92.6,88.1,90.7,90.55,90.82,7756909,70444909575000.0,,1931247,0.249
2010-11-01,RENUKA,EQ,90.55,92.0,94.7,91.65,94.4,94.3,93.49,6855977,64093774654999.99,,2081124,0.30350000000000005
2010-11-02,RENUKA,EQ,94.3,95.0,96.5,94.0,94.7,94.6,95.22,8061150,76755435930000.0,,3170233,0.3933
2010-11-03,RENUKA,EQ,94.6,95.0,96.55,93.45,95.05,94.05,95.0,5856510,55637920454999.99,,1941753,0.33159999999999995
2010-11-04,RENUKA,EQ,94.05,93.8,97.05,93.7,96.8,96.6,95.52,5323151,50847989025000.0,,1810073,0.34
2010-11-05,RENUKA,EQ,96.6,98.25,98.65,97.05,97.4,97.3,97.65,1904156,18594915955000.0,,1048223,0.5505
2010-11-08,RENUKA,EQ,97.3,98.0,102.9,97.2,102.75,102.2,100.29,11243770,112767600765000.02,,3419866,0.3042
2010-11-09,RENUKA,EQ,102.2,103.5,104.35,101.4,102.85,102.8,103.04,7926898,81677283540000.0,,1916953,0.24180000000000001
2010-11-10,RENUKA,EQ,102.8,103.5,107.4,102.5,106.95,106.9,105.82,10999256,116388982745000.0,,3055652,0.2778
2010-11-11,RENUKA,EQ,106.9,107.5,108.2,102.4,105.25,104.2,105.22,10263056,107985911680000.0,,3187122,0.3105
2010-11-12,RENUKA,EQ,104.2,104.1,104.1,90.5,91.2,91.6,95.89,24569658,235605942580000.03,,10926810,0.4447
2010-11-15,RENUKA,EQ,91.6,91.7,95.0,87.0,94.6,93.85,92.08,19719566,181572315705000.0,,3636813,0.1844
2010-11-16,RENUKA,EQ,93.85,94.2,95.7,89.85,91.4,91.35,92.7,11276484,104532281335000.0,,3153875,0.2797
2010-11-18,RENUKA,EQ,91.35,92.0,95.0,84.8,91.25,91.3,88.59,15270914,135284203550000.0,,4274915,0.2799
2010-11-19,RENUKA,EQ,91.3,91.85,93.45,88.9,89.15,90.0,91.77,11149839,102325302660000.0,,2735940,0.2454
2010-11-22,RENUKA,EQ,90.0,90.6,92.95,87.2,91.4,91.55,90.37,13438858,121449943215000.02,,4256183,0.31670000000000004
2010-11-23,RENUKA,EQ,91.55,91.0,92.8,86.3,87.95,88.2,89.65,13822678,123916189359999.98,,3838633,0.2777
2010-11-24,RENUKA,EQ,88.2,89.2,90.0,84.7,86.0,85.95,88.42,8611123,76136068715000.0,,2160607,0.2509
2010-11-25,RENUKA,EQ,85.95,86.5,87.95,83.4,83.95,84.1,85.2,8692171,74056211725000.0,,4368189,0.5025000000000001
2010-11-26,RENUKA,EQ,84.1,84.5,85.2,72.55,75.7,76.2,79.48,15181313,120667527109999.98,,6319752,0.41630000000000006
2010-11-29,RENUKA,EQ,76.2,77.0,82.8,76.7,82.0,82.05,80.29,16273945,130668351850000.0,,6788154,0.4171
2010-11-30,RENUKA,EQ,82.05,82.15,86.85,80.8,85.75,86.3,84.34,11569994,97577172585000.0,,3572787,0.3088
2010-12-01,RENUKA,EQ,86.3,86.65,87.9,86.1,86.85,86.55,87.05,7441115,64774510520000.01,,2358860,0.317
2010-12-02,RENUKA,EQ,86.55,87.8,90.6,86.9,89.0,89.05,89.08,8522314,75916516260000.0,,1825263,0.21420000000000003
2010-12-03,RENUKA,EQ,89.05,89.2,92.45,86.6,91.1,91.2,90.31,14972877,135216890640000.02,,2974857,0.19870000000000002
2010-12-06,RENUKA,EQ,91.2,91.75,93.8,89.0,89.3,89.75,91.9,7981103,73342884120000.0,,1751744,0.2195
2010-12-07,RENUKA,EQ,89.75,90.5,90.85,88.7,90.45,90.15,89.97,6341065,57050801379999.99,,1587821,0.2504
2010-12-08,RENUKA,EQ,90.15,90.3,90.3,82.1,82.4,83.2,85.94,13224464,113647839234999.98,,4360759,0.3297
2010-12-09,RENUKA,EQ,83.2,83.6,83.85,74.4,76.0,76.35,80.26,15110978,121287567845000.0,,5839461,0.3864
2010-12-10,RENUKA,EQ,76.35,76.0,82.85,73.6,82.25,82.3,80.01,15999550,128018150920000.0,,5203147,0.32520000000000004
2010-12-13,RENUKA,EQ,82.3,82.6,86.45,82.1,86.0,86.0,84.37,9358193,78959670840000.0,,2099788,0.22440000000000002
2010-12-14,RENUKA,EQ,86.0,86.2,89.55,86.2,87.8,87.8,88.31,11435879,100994602285000.0,,3813987,0.3335
2010-12-15,RENUKA,EQ,87.8,87.75,89.5,83.75,85.5,85.4,87.02,11069326,96327792215000.0,,3055132,0.276
2010-12-16,RENUKA,EQ,85.4,87.85,91.1,87.0,89.8,89.7,88.96,16203294,144151925970000.0,,3662474,0.226
2010-12-20,RENUKA,EQ,89.7,90.9,93.75,89.4,92.7,92.75,92.32,11374295,105003106780000.0,,3211206,0.2823
2010-12-21,RENUKA,EQ,92.75,93.55,96.15,93.25,95.25,95.25,94.87,10328203,97983206215000.0,,2700379,0.2615
2010-12-22,RENUKA,EQ,95.25,96.0,96.7,93.1,94.1,93.85,94.47,7990549,75483544640000.0,,1805912,0.226
2010-12-23,RENUKA,EQ,93.85,95.0,96.7,92.6,96.65,96.15,94.72,8717987,82576799440000.0,,1424996,0.1635
2010-12-24,RENUKA,EQ,96.15,97.0,98.5,96.3,97.75,97.6,97.59,13581958,132541429009999.98,,3444269,0.2536
2010-12-27,RENUKA,EQ,97.6,98.7,99.7,96.7,97.25,97.3,98.48,11124655,109552017250000.0,,2705441,0.2432
2010-12-28,RENUKA,EQ,97.3,97.65,99.0,96.55,97.5,97.35,97.5,6531709,63686032745000.01,,1731223,0.265
2010-12-29,RENUKA,EQ,97.35,98.8,99.8,98.0,98.95,98.6,99.12,6866695,68060223300000.0,,1615040,0.2352
2010-12-30,RENUKA,EQ,98.6,98.1,99.8,95.4,99.5,99.5,98.62,8103323,79917659065000.0,,2593264,0.32
2010-12-31,RENUKA,EQ,99.5,99.0,99.0,96.1,97.25,97.1,97.46,7522097,73313087085000.0,,1994651,0.2652
2011-01-03,RENUKA,EQ,97.1,97.0,99.2,97.0,98.4,98.35,98.44,5068965,49900351565000.0,,1675156,0.33049999999999996
2011-01-04,RENUKA,EQ,98.35,99.0,101.5,98.1,100.05,99.9,100.21,12914460,129410556209999.98,,2635214,0.2041
2011-01-05,RENUKA,EQ,99.9,100.0,101.0,98.15,98.45,98.55,99.66,8144335,81163934815000.0,,1294303,0.1589
2011-01-06,RENUKA,EQ,98.55,99.0,100.2,94.75,95.1,95.1,97.1,9447123,91735003525000.0,,1727960,0.1829
2011-01-07,RENUKA,EQ,95.1,95.3,95.3,89.1,89.25,90.3,92.11,8899787,81978450580000.0,,3220354,0.3618
2011-01-10,RENUKA,EQ,90.3,90.0,90.45,83.1,83.4,84.15,87.35,12105773,105747752875000.0,,3258272,0.26920000000000005
2011-01-11,RENUKA,EQ,84.15,84.0,86.3,81.15,85.0,83.35,84.05,16622101,139715210925000.0,,2697680,0.1623
2011-01-12,RENUKA,EQ,83.35,84.2,91.75,83.85,91.6,91.15,87.56,19284454,168852153495000.0,,6070116,0.3148
2011-01-13,RENUKA,EQ,91.15,92.0,92.0,86.65,88.15,87.9,88.7,10385914,92124574155000.0,,2025095,0.195
2011-01-14,RENUKA,EQ,87.9,101.9,101.9,86.8,87.5,87.6,89.76,13443953,120677523445000.0,,1200094,0.0893
2011-01-17,RENUKA,EQ,87.6,88.0,88.5,84.85,85.35,85.35,86.57,7948177,68810675965000.0,,1963431,0.247
2011-01-18,RENUKA,EQ,85.35,86.0,86.8,84.35,86.45,86.4,85.71,4382804,37563265305000.0,,599696,0.1368
2011-01-19,RENUKA,EQ,86.4,86.95,87.2,84.5,85.1,84.95,85.75,6208311,53236974025000.0,,1484940,0.23920000000000002
2011-01-20,RENUKA,EQ,84.95,85.45,86.75,82.85,86.0,86.05,85.51,7669708,65583380000000.0,,1706268,0.2225
2011-01-21,RENUKA,EQ,86.05,86.0,86.8,85.1,85.95,85.95,86.03,4156751,35761789970000.0,,1277776,0.3074
2011-01-24,RENUKA,EQ,85.95,85.95,90.4,85.65,89.85,90.0,88.85,9340920,82990150330000.0,,3709490,0.3971
2011-01-25,RENUKA,EQ,90.0,90.9,91.25,88.1,88.5,88.45,89.64,10385741,93102022835000.0,,4248455,0.40909999999999996
2011-01-27,RENUKA,EQ,88.45,88.5,90.15,84.8,85.15,85.85,87.82,11101056,97493623420000.0,,5560711,0.5009
2011-01-28,RENUKA,EQ,85.85,86.0,86.55,83.1,84.5,84.4,84.62,11417565,96610211825000.0,,4095938,0.35869999999999996
2011-01-31,RENUKA,EQ,84.4,83.8,84.75,81.5,82.4,82.15,83.0,10917420,90611091425000.0,,3991054,0.36560000000000004
2011-02-01,RENUKA,EQ,82.15,82.9,85.65,82.0,83.5,83.7,83.67,9306452,77869539865000.0,,1882431,0.2023
2011-02-02,RENUKA,EQ,83.7,84.5,87.3,84.3,86.45,86.25,85.86,8148399,69965302479999.99,,3081004,0.37810000000000005
2011-02-03,RENUKA,EQ,86.25,88.0,91.65,86.6,91.2,90.95,90.26,10300425,92975914080000.0,,2102386,0.2041
2011-02-04,RENUKA,EQ,90.95,90.5,91.0,88.05,89.0,89.0,89.3,12827872,114551781520000.0,,5153768,0.4018
2011-02-07,RENUKA,EQ,89.0,89.05,93.45,88.65,93.0,92.55,92.03,13463135,123906505665000.02,,5527419,0.4106
2011-02-08,RENUKA,EQ,92.55,93.45,93.6,88.6,89.3,89.1,90.82,8652353,78576475140000.0,,3090738,0.3572
2011-02-09,RENUKA,EQ,89.1,87.0,91.45,87.0,87.75,87.8,89.29,14984223,133792414505000.0,,5654335,0.3774
2011-02-10,RENUKA,EQ,87.8,88.0,88.85,82.35,86.9,86.05,85.52,8121257,69449695175000.0,,1792624,0.2207
2011-02-11,RENUKA,EQ,86.05,86.5,86.85,82.5,84.75,84.55,84.22,11118072,93639431965000.0,,1981712,0.1782
2011-02-14,RENUKA,EQ,84.55,85.2,86.7,80.15,86.5,86.35,85.26,7552677,64396788729999.99,,1577441,0.2089
2011-02-15,RENUKA,EQ,86.35,87.0,87.2,82.4,83.6,83.2,84.47,6051597,51115354835000.0,,1710689,0.2827
2011-02-16,RENUKA,EQ,83.2,83.9,83.95,80.1,80.95,80.7,81.04,12513920,101408639305000.0,,6051310,0.48360000000000003
2011-02-17,RENUKA,EQ,80.7,82.0,83.3,80.4,82.3,82.3,82.33,8376021,68959670735000.0,,1753207,0.2093
2011-02-18,RENUKA,EQ,82.3,83.0,83.35,77.5,78.65,78.35,79.78,10523004,83953637160000.0,,2501263,0.2377
2011-02-21,RENUKA,EQ,78.35,78.0,80.35,76.8,80.2,80.0,78.83,10117786,79762082270000.0,,2055951,0.20320000000000002
2011-02-22,RENUKA,EQ,80.0,79.3,81.8,78.5,81.3,81.4,80.78,7218726,58314232195000.01,,1989344,0.2756
2011-02-23,RENUKA,EQ,81.4,81.3,81.75,78.7,79.1,79.15,80.14,5622981,45063297585000.0,,1171237,0.20829999999999999
2011-02-24,RENUKA,EQ,79.15,79.75,79.75,71.55,72.6,72.2,74.18,14312054,106160369305000.0,,6253808,0.43700000000000006
2011-02-25,RENUKA,EQ,72.2,73.0,74.3,70.05,71.15,70.65,71.88,9552767,68661717920000.01,,2987516,0.3127
2011-02-28,RENUKA,EQ,70.65,71.5,73.65,70.65,71.1,71.05,72.14,6501915,46905938100000.0,,1801828,0.2771
2011-03-01,RENUKA,EQ,71.05,71.5,73.85,71.1,73.7,73.5,72.58,7046011,51142250900000.0,,1899517,0.2696
2011-03-03,RENUKA,EQ,73.5,72.0,76.9,71.6,76.7,76.6,75.05,9473294,71095494815000.0,,2469005,0.2606
2011-03-04,RENUKA,EQ,76.6,77.0,77.5,73.7,74.55,74.3,75.03,5052652,37911735865000.0,,988648,0.1957
2011-03-07,RENUKA,EQ,74.3,71.45,74.0,71.2,72.1,72.0,72.18,3645613,26312237085000.0,,977770,0.2682
2011-03-08,RENUKA,EQ,72.0,72.65,73.4,71.25,72.5,72.25,72.42,6050646,43816113540000.0,,2249171,0.37170000000000003
2011-03-09,RENUKA,EQ,72.25,73.2,73.9,72.3,73.2,73.4,73.1,3849450,28140480995000.0,,1284988,0.33380000000000004
2011-03-10,RENUKA,EQ,73.4,73.25,74.5,72.65,73.85,73.95,73.83,3658528,27009590364999.996,,1153574,0.3153
2011-03-11,RENUKA,EQ,73.95,73.0,73.2,70.25,71.45,71.5,71.8,4647824,33373515795000.0,,1739028,0.37420000000000003
2011-03-14,RENUKA,EQ,71.5,71.5,72.45,70.15,72.45,72.15,71.1,4388665,31204754630000.0,,1419111,0.3234
2011-03-15,RENUKA,EQ,72.15,71.35,71.35,68.5,69.25,69.3,69.83,4228282,29525550739999.996,,1147260,0.2713
2011-03-16,RENUKA,EQ,69.3,70.25,70.25,68.05,69.2,69.2,68.97,5758275,39712760015000.0,,1596510,0.2773
2011-03-17,RENUKA,EQ,69.2,69.8,71.25,68.05,69.75,69.9,70.25,5435518,38184948110000.0,,894134,0.1645
2011-03-18,RENUKA,EQ,69.9,70.3,70.85,68.35,68.7,68.7,69.44,2893670,20093728695000.0,,927997,0.3207
2011-03-21,RENUKA,EQ,68.7,69.1,70.4,68.1,70.2,70.05,69.54,3110833,21632385100000.0,,929038,0.2986
2011-03-22,RENUKA,EQ,70.05,71.0,72.6,70.8,72.15,72.25,72.14,5915546,42675166575000.0,,1324233,0.22390000000000002
2011-03-23,RENUKA,EQ,72.25,72.3,74.85,72.3,73.35,73.55,73.85,6578727,48583476315000.0,,2212224,0.33630000000000004
2011-03-24,RENUKA,EQ,73.55,73.95,73.95,72.2,72.6,72.6,72.76,2819502,20515852450000.0,,1100893,0.39049999999999996
2011-03-25,RENUKA,EQ,72.6,72.75,73.6,71.75,72.6,72.6,72.5,4070000,29508197475000.0,,1815026,0.446
2011-03-28,RENUKA,EQ,72.6,73.6,75.0,71.2,71.5,71.55,72.07,4551522,32801713425000.0,,2149676,0.4723
2011-03-29,RENUKA,EQ,71.55,71.6,71.8,69.6,69.8,69.85,70.28,6057497,42572717930000.0,,3098271,0.5115
2011-03-30,RENUKA,EQ,69.85,70.1,70.7,68.7,69.1,69.15,69.39,5656368,39249722600000.0,,2883713,0.5098
2011-03-31,RENUKA,EQ,69.15,69.7,71.1,68.35,69.75,69.6,69.91,6744930,47156842455000.0,,3121509,0.46280000000000004
2011-04-01,RENUKA,EQ,69.6,70.0,72.95,69.0,72.95,72.75,71.71,7156977,51323536975000.0,,2608936,0.36450000000000005
2011-04-04,RENUKA,EQ,72.75,73.5,75.0,72.4,74.8,74.6,74.0,4523632,33474390100000.0,,1483197,0.3279
2011-04-05,RENUKA,EQ,74.6,75.0,76.65,74.05,76.1,76.25,75.79,9970245,75568908845000.0,,3293629,0.33030000000000004
2011-04-06,RENUKA,EQ,76.25,77.0,77.2,75.2,75.9,76.0,76.27,4735386,36114882835000.0,,1416684,0.2992
2011-04-07,RENUKA,EQ,76.0,76.1,78.1,75.1,77.15,76.95,77.1,6411406,49433479980000.0,,1731642,0.2701
2011-04-08,RENUKA,EQ,76.95,77.1,77.6,74.5,75.3,75.15,75.59,8996153,68004789245000.01,,3842155,0.42710000000000004
2011-04-11,RENUKA,EQ,75.15,72.75,75.0,68.05,74.05,74.2,74.2,2971533,22048235310000.0,,731786,0.2463
2011-04-13,RENUKA,EQ,74.2,73.0,75.85,72.55,75.3,75.35,75.1,3768806,28304521075000.0,,1232424,0.327
2011-04-15,RENUKA,EQ,75.35,75.0,76.4,74.45,74.7,74.9,75.35,2538347,19127501365000.0,,522455,0.20579999999999998
2011-04-18,RENUKA,EQ,74.9,75.0,76.0,73.35,73.55,73.6,74.76,2590949,19370307450000.0,,664048,0.2563
