Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-29,RESPONIND,EQ,92.45,94.0,94.3,90.75,93.5,92.35,92.55,169890,1572248715000.0,,106761,0.6284000000000001
2010-11-01,RESPONIND,EQ,92.35,93.8,93.8,90.6,92.85,92.0,92.27,177859,1641165795000.0,,152141,0.8554
2010-11-02,RESPONIND,EQ,92.0,92.1,93.85,91.0,93.85,93.4,92.22,198039,1826328060000.0002,,155902,0.7872
2010-11-03,RESPONIND,EQ,93.4,95.0,95.1,94.0,95.1,95.05,94.88,33386,316768590000.0,,301,0.009000000000000001
2010-11-04,RESPONIND,EQ,95.05,96.3,96.65,95.4,95.4,96.4,96.43,41125,396550920000.0,,991,0.024100000000000003
2010-11-05,RESPONIND,EQ,96.4,98.1,98.2,98.0,98.2,98.2,98.11,23570,231253490000.0,,1786,0.0758
2010-11-08,RESPONIND,EQ,98.2,98.5,100.0,96.6,96.6,96.65,98.51,47689,469798320000.0,,7422,0.15560000000000002
2010-11-09,RESPONIND,EQ,96.65,95.8,97.0,95.3,95.3,95.3,95.59,40877,390724585000.0,,5723,0.14
2010-11-10,RESPONIND,EQ,95.3,95.3,95.3,93.6,93.65,93.9,94.27,44757,421911130000.0,,7877,0.17600000000000002
2010-11-11,RESPONIND,EQ,93.9,94.2,94.9,92.15,94.9,92.25,92.88,44169,410249520000.0,,6602,0.1495
2010-11-12,RESPONIND,EQ,92.25,90.75,93.5,90.45,91.0,92.0,91.75,40962,375841380000.0,,6403,0.15630000000000002
2010-11-15,RESPONIND,EQ,92.0,91.0,92.95,90.2,90.8,90.55,91.25,45011,410720120000.0,,6239,0.1386
2010-11-16,RESPONIND,EQ,90.55,90.5,92.3,90.5,92.0,92.0,91.51,49070,449030934999.99994,,7491,0.1527
2010-11-18,RESPONIND,EQ,92.0,92.1,92.85,90.25,90.3,90.3,91.24,18496,168751130000.0,,6314,0.34140000000000004
2010-11-19,RESPONIND,EQ,90.3,89.6,91.75,88.55,89.0,90.4,90.04,17533,157866000000.0,,5449,0.31079999999999997
2010-11-22,RESPONIND,EQ,90.4,89.5,91.3,89.05,91.0,91.15,90.08,11175,100667240000.0,,6525,0.5839
2010-11-23,RESPONIND,EQ,91.15,90.8,92.3,90.0,91.4,91.4,90.78,17510,158947380000.0,,6545,0.3738
2010-11-24,RESPONIND,EQ,91.4,90.3,93.0,90.3,91.55,91.55,91.99,17232,158520575000.0,,6366,0.3694
2010-11-25,RESPONIND,EQ,91.55,92.3,93.1,90.55,92.5,92.8,92.26,11110,102505400000.0,,6000,0.5401
2010-11-26,RESPONIND,EQ,92.8,93.1,93.5,91.25,91.25,91.25,92.22,11850,109280450000.0,,6030,0.5089
2010-11-29,RESPONIND,EQ,91.25,92.0,92.6,90.0,91.9,91.95,91.86,11825,108621750000.0,,6825,0.5772
2010-11-30,RESPONIND,EQ,91.95,91.5,93.5,90.35,92.5,92.05,91.59,47074,431136109999.99994,,7073,0.1503
2010-12-01,RESPONIND,EQ,92.05,93.45,93.45,90.5,92.4,92.4,92.39,61726,570300580000.0,,6705,0.1086
2010-12-02,RESPONIND,EQ,92.4,92.5,92.9,91.9,92.6,92.5,92.39,67400,622707000000.0,,6600,0.09789999999999999
2010-12-03,RESPONIND,EQ,92.5,93.0,93.2,91.1,92.85,92.9,92.76,62276,577672165000.0,,6651,0.1068
2010-12-06,RESPONIND,EQ,92.9,93.0,94.3,92.0,93.1,93.2,93.32,51078,476662480000.0,,7000,0.13699999999999998
2010-12-07,RESPONIND,EQ,93.2,92.55,94.3,91.45,92.8,92.8,93.11,61200,569804765000.0,,7100,0.11599999999999999
2010-12-08,RESPONIND,EQ,92.8,93.7,93.8,92.25,93.0,93.0,93.07,60330,561474845000.0,,7075,0.1173
2010-12-09,RESPONIND,EQ,93.0,92.9,92.9,92.5,92.6,92.6,92.67,59975,555760375000.0,,6595,0.11
2010-12-10,RESPONIND,EQ,92.6,93.5,94.0,91.3,92.75,92.7,92.36,68750,634994995000.0,,5222,0.076
2010-12-13,RESPONIND,EQ,92.7,93.8,94.25,92.7,93.0,92.95,93.19,66215,617088000000.0,,6615,0.0999
2010-12-14,RESPONIND,EQ,92.95,93.0,93.8,92.0,92.0,92.2,93.2,56231,524098145000.0,,5283,0.094
2010-12-15,RESPONIND,EQ,92.2,92.5,93.6,91.5,92.15,92.1,92.27,56670,522915509999.99994,,6664,0.1176
2010-12-16,RESPONIND,EQ,92.1,93.5,93.5,91.6,92.9,92.85,92.64,58583,542698395000.0,,6820,0.1164
