Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,RJL,EQ,76.9,78.8,78.8,76.5,77.75,77.7,77.77,16839,130956570000.0,,12133,0.7205
2010-10-05,RJL,EQ,77.7,73.2,78.0,73.2,78.0,77.9,77.12,28643,220895325000.0,,18977,0.6625
2010-10-06,RJL,EQ,77.9,77.55,78.0,77.0,78.0,77.9,77.78,14754,114753964999.99998,,11038,0.7481
2010-10-07,RJL,EQ,77.9,77.15,78.15,75.35,75.35,76.2,77.36,5990,46337255000.0,,4332,0.7232
2010-10-08,RJL,EQ,76.2,77.5,80.65,75.7,76.9,76.95,78.54,24457,192088465000.0,,9813,0.4012
2010-10-11,RJL,EQ,76.95,78.0,78.5,76.0,77.5,77.65,77.54,6903,53525019999.99999,,3391,0.49119999999999997
2010-10-12,RJL,EQ,77.65,77.0,78.05,76.35,77.95,77.5,77.51,6372,49389895000.0,,4282,0.672
2010-10-13,RJL,EQ,77.5,77.6,78.4,77.05,77.6,77.7,77.8,5334,41498080000.0,,3473,0.6511
2010-10-14,RJL,EQ,77.7,78.3,79.5,77.0,77.25,77.3,78.46,11123,87273840000.0,,4991,0.4487
2010-10-15,RJL,EQ,77.3,76.2,78.4,76.2,77.15,77.4,77.6,6295,48850210000.0,,4540,0.7212000000000001
2010-10-18,RJL,EQ,77.4,77.5,78.0,75.65,75.9,75.85,76.22,1507,11486750000.0,,1156,0.7671
2010-10-19,RJL,EQ,75.85,76.0,81.0,75.5,77.75,77.95,78.54,15055,118239130000.0,,6528,0.4336
2010-10-20,RJL,EQ,77.95,78.5,80.8,77.0,78.15,78.05,79.02,25491,201419655000.0,,8936,0.3506
2010-10-21,RJL,EQ,78.05,78.5,81.95,78.5,81.5,81.2,80.72,33411,269679145000.00003,,15300,0.4579
2010-10-22,RJL,EQ,81.2,82.0,82.0,78.75,78.8,79.5,79.66,20836,165982110000.0,,15084,0.7239
2010-10-25,RJL,EQ,79.5,79.65,81.25,78.55,80.1,80.85,80.0,8899,71188070000.0,,6562,0.7373999999999999
2010-10-26,RJL,EQ,80.85,81.0,82.5,79.0,79.1,79.85,80.41,13427,107962305000.0,,9347,0.6961
2010-10-27,RJL,EQ,79.85,80.0,81.0,79.15,81.0,80.05,80.28,10251,82299910000.0,,8330,0.8126000000000001
2010-10-28,RJL,EQ,80.05,80.5,81.85,80.1,81.3,80.7,80.85,7451,60240615000.0,,5816,0.7806000000000001
2010-10-29,RJL,EQ,80.7,81.5,90.0,79.0,81.0,80.65,82.84,24090,199556700000.0,,11153,0.46299999999999997
2010-11-01,RJL,EQ,80.65,81.0,82.0,79.05,81.5,80.55,80.51,12699,102239800000.0,,11884,0.9358
2010-11-02,RJL,EQ,80.55,80.55,81.0,78.0,80.5,80.2,79.92,19638,156953065000.0,,16724,0.8516
2010-11-03,RJL,EQ,80.2,81.25,81.35,78.0,79.25,78.6,79.69,11230,89486450000.0,,7158,0.6374000000000001
2010-11-04,RJL,EQ,78.6,80.0,80.0,77.2,78.0,77.85,78.36,16347,128088089999.99998,,13727,0.8397
2010-11-05,RJL,EQ,77.85,78.0,79.65,77.25,77.4,78.9,78.89,1385,10926765000.0,,956,0.6903
2010-11-08,RJL,EQ,78.9,79.85,82.5,79.85,82.0,82.15,81.3,16477,133961635000.00002,,12830,0.7787000000000001
2010-11-09,RJL,EQ,82.15,83.0,83.0,79.8,81.0,81.05,80.97,7356,59560350000.0,,6764,0.9195000000000001
2010-11-10,RJL,EQ,81.05,80.2,81.5,79.05,79.6,79.25,79.79,11845,94510925000.0,,9789,0.8264
2010-11-11,RJL,EQ,79.25,80.5,81.5,78.4,80.0,79.6,79.88,6229,49757660000.0,,3563,0.5720000000000001
2010-11-12,RJL,EQ,79.6,84.5,84.5,78.65,78.95,79.1,79.61,8525,67865719999.99999,,6489,0.7612000000000001
2010-11-15,RJL,EQ,79.1,80.0,80.45,77.2,79.0,78.75,78.94,7832,61823015000.0,,5468,0.6981999999999999
2010-11-16,RJL,EQ,78.75,78.05,80.0,75.55,77.45,76.8,78.71,12569,98926295000.0,,10720,0.8529000000000001
2010-11-18,RJL,EQ,76.8,76.0,76.85,74.5,74.85,75.3,75.59,4762,35996170000.0,,3376,0.7089
2010-11-19,RJL,EQ,75.3,74.0,76.0,73.5,76.0,74.25,74.81,1941,14521025000.0,,1231,0.6342
2010-11-22,RJL,EQ,74.25,78.0,78.0,73.3,73.95,73.95,73.84,4047,29881330000.0,,1502,0.3711
2010-11-23,RJL,EQ,73.95,73.95,77.7,73.4,77.7,76.35,74.9,3923,29384180000.0,,1807,0.4606
2010-11-24,RJL,EQ,76.35,73.7,77.0,73.7,77.0,76.1,75.69,3060,23162505000.0,,1606,0.5247999999999999
2010-11-25,RJL,EQ,76.1,75.05,76.9,74.75,75.9,75.45,75.8,4485,33996895000.0,,3309,0.7378
2010-11-26,RJL,EQ,75.45,75.45,79.45,72.1,77.8,77.15,76.53,28387,217253685000.0,,11147,0.39270000000000005
2010-11-29,RJL,EQ,77.15,75.05,76.05,73.15,73.25,73.95,74.63,3393,25322560000.0,,2658,0.7834000000000001
2010-11-30,RJL,EQ,73.95,73.5,76.0,73.5,75.6,75.15,74.48,3002,22359995000.0,,2322,0.7735
2010-12-01,RJL,EQ,75.15,77.0,78.9,73.1,78.5,78.3,77.27,8280,63976335000.0,,3681,0.4446
2010-12-02,RJL,EQ,78.3,79.0,79.9,76.6,78.5,79.15,78.43,6628,51985295000.0,,4601,0.6942
2010-12-03,RJL,EQ,79.15,75.25,82.0,75.2,81.7,81.4,80.29,21033,168878695000.0,,13156,0.6255
