Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,RICOAUTO,EQ,26.1,26.1,27.95,25.95,27.4,27.55,27.11,569609,1544367760000.0,,275904,0.4844
2010-10-05,RICOAUTO,EQ,27.55,27.5,27.75,26.95,27.0,27.05,27.14,202271,548903780000.0,,134057,0.6628000000000001
2010-10-06,RICOAUTO,EQ,27.05,27.5,28.15,27.0,27.2,27.3,27.63,315089,870737200000.0,,123101,0.3907
2010-10-07,RICOAUTO,EQ,27.3,27.6,27.7,26.55,26.8,26.75,27.2,149505,406653850000.0,,79593,0.5324
2010-10-08,RICOAUTO,EQ,26.75,27.0,27.35,26.5,26.9,26.85,26.89,148795,400082900000.0,,70707,0.47520000000000007
2010-10-11,RICOAUTO,EQ,26.85,27.15,27.4,26.6,26.85,26.7,26.93,174868,470914325000.0,,89918,0.5142
2010-10-12,RICOAUTO,EQ,26.7,26.6,27.7,26.3,27.5,27.5,27.13,769081,2086583560000.0002,,425551,0.5533
2010-10-13,RICOAUTO,EQ,27.5,27.5,28.35,27.15,27.45,27.4,27.72,704885,1954099139999.9998,,340186,0.4826
2010-10-14,RICOAUTO,EQ,27.4,27.4,27.75,26.7,26.9,26.85,27.04,132650,358642580000.0,,81408,0.6137
2010-10-15,RICOAUTO,EQ,26.85,26.8,27.0,26.5,26.7,26.6,26.68,117113,312478570000.0,,69056,0.5897
2010-10-18,RICOAUTO,EQ,26.6,26.35,26.8,25.7,26.0,26.05,25.97,332549,863705355000.0001,,205574,0.6182
2010-10-19,RICOAUTO,EQ,26.05,26.45,27.4,26.45,26.6,26.55,26.8,368690,988243565000.0,,186565,0.506
2010-10-20,RICOAUTO,EQ,26.55,26.6,26.85,26.2,26.3,26.3,26.45,145104,383807535000.0,,88665,0.611
2010-10-21,RICOAUTO,EQ,26.3,26.75,27.1,26.3,26.65,26.6,26.62,178652,475610205000.0,,93035,0.5208
2010-10-22,RICOAUTO,EQ,26.6,26.85,27.0,26.3,26.45,26.45,26.5,197944,524626340000.00006,,139052,0.7025
2010-10-25,RICOAUTO,EQ,26.45,26.65,27.6,26.3,27.6,27.3,26.93,469625,1264678845000.0,,332902,0.7089
2010-10-26,RICOAUTO,EQ,27.3,28.6,30.6,27.75,28.0,28.1,29.14,6452303,18798927105000.0,,2233227,0.3461
2010-10-27,RICOAUTO,EQ,28.1,28.2,28.7,27.35,28.5,28.35,27.97,729170,2039846625000.0,,387399,0.5313
2010-10-28,RICOAUTO,EQ,28.35,28.5,28.7,27.5,27.7,27.65,27.86,701467,1954627589999.9998,,517790,0.7382
2010-10-29,RICOAUTO,EQ,27.65,26.5,28.0,26.5,26.8,26.85,27.3,540557,1475609845000.0,,370714,0.6858
2010-11-01,RICOAUTO,EQ,26.85,27.1,27.35,26.55,26.6,26.7,26.93,210660,567309610000.0,,118743,0.5637
2010-11-02,RICOAUTO,EQ,26.7,28.15,28.9,27.45,27.7,27.7,27.99,669437,1873435760000.0002,,231755,0.3462
2010-11-03,RICOAUTO,EQ,27.7,27.6,28.4,27.6,27.9,27.75,27.92,268953,750849845000.0,,124051,0.4612
2010-11-04,RICOAUTO,EQ,27.75,28.2,28.3,27.35,27.55,27.5,27.53,116773,321481020000.0,,72681,0.6224000000000001
2010-11-05,RICOAUTO,EQ,27.5,28.2,28.3,27.55,27.9,27.75,27.76,47624,132195089999.99998,,32347,0.6792
2010-11-08,RICOAUTO,EQ,27.75,28.0,28.9,27.5,28.25,28.2,28.17,401084,1129690850000.0,,228147,0.5688000000000001
2010-11-09,RICOAUTO,EQ,28.2,28.3,28.45,27.85,28.1,28.0,28.05,180674,506715380000.0,,135172,0.7482
2010-11-10,RICOAUTO,EQ,28.0,28.0,29.25,28.0,28.9,28.75,28.91,724346,2093900339999.9998,,453229,0.6257
2010-11-11,RICOAUTO,EQ,28.75,29.1,29.4,27.85,27.95,28.0,28.67,319102,915006819999.9999,,220284,0.6903
2010-11-12,RICOAUTO,EQ,28.0,28.05,28.25,26.75,26.9,27.1,27.58,162558,448344890000.00006,,104668,0.6439
2010-11-15,RICOAUTO,EQ,27.1,27.45,27.45,24.85,25.0,25.0,25.45,1152133,2931886165000.0,,873773,0.7584000000000001
2010-11-16,RICOAUTO,EQ,25.0,25.1,25.35,23.0,24.05,24.05,24.19,767467,1856495789999.9998,,568227,0.7404000000000001
2010-11-18,RICOAUTO,EQ,24.05,24.1,24.8,23.9,24.25,24.05,24.26,229963,557971425000.0,,152491,0.6631
2010-11-19,RICOAUTO,EQ,24.05,24.45,24.45,23.5,23.6,23.65,24.0,178281,427826155000.0,,129855,0.7284
2010-11-22,RICOAUTO,EQ,23.65,24.1,24.75,24.0,24.4,24.45,24.34,189589,461482609999.99994,,132165,0.6970999999999999
2010-11-23,RICOAUTO,EQ,24.45,24.1,24.6,23.0,23.5,23.45,23.75,252703,600066100000.0,,165185,0.6537000000000001
2010-11-24,RICOAUTO,EQ,23.45,23.5,24.2,23.15,23.35,23.25,23.7,155247,367874875000.0,,86984,0.5603
2010-11-25,RICOAUTO,EQ,23.25,23.8,23.8,22.3,22.7,22.5,22.92,317165,726914100000.0,,263848,0.8319
2010-11-26,RICOAUTO,EQ,22.5,22.95,23.0,21.0,21.55,21.6,21.82,538514,1174843200000.0,,360356,0.6692
2010-11-29,RICOAUTO,EQ,21.6,21.55,22.3,20.8,21.3,21.35,21.36,497129,1061910605000.0001,,134021,0.2696
2010-11-30,RICOAUTO,EQ,21.35,21.4,22.75,21.0,22.35,22.35,21.96,296798,651682480000.0,,62533,0.2107
2010-12-01,RICOAUTO,EQ,22.35,22.5,23.8,22.25,23.75,23.5,22.82,505816,1154458860000.0,,186427,0.3686
2010-12-02,RICOAUTO,EQ,23.5,24.4,25.5,23.8,24.0,23.95,24.69,1183235,2921668695000.0,,409761,0.34630000000000005
2010-12-03,RICOAUTO,EQ,23.95,24.0,24.0,22.75,23.05,23.0,23.2,260477,604246740000.0,,158718,0.6093000000000001
2010-12-06,RICOAUTO,EQ,23.0,22.95,23.4,22.75,22.9,22.9,23.15,105821,245020240000.0,,57021,0.5388000000000001
2010-12-07,RICOAUTO,EQ,22.9,22.9,23.25,22.3,22.45,22.4,22.49,109402,246090404999.99997,,65582,0.5995
2010-12-08,RICOAUTO,EQ,22.4,22.4,22.4,21.2,21.3,21.3,21.64,262615,568305575000.0,,183407,0.6984
2010-12-09,RICOAUTO,EQ,21.3,21.7,21.7,20.4,20.45,20.65,20.82,473686,986297840000.0,,286261,0.6043000000000001
2010-12-10,RICOAUTO,EQ,20.65,20.3,21.2,20.05,20.95,20.9,20.71,205215,424934384999.99994,,90984,0.4434
2010-12-13,RICOAUTO,EQ,20.9,21.4,21.6,20.45,21.35,21.2,21.04,196638,413688320000.0,,80148,0.40759999999999996
2010-12-14,RICOAUTO,EQ,21.2,21.2,22.25,21.15,22.25,22.0,21.8,145409,316985105000.0,,84497,0.5811000000000001
2010-12-15,RICOAUTO,EQ,22.0,22.45,22.45,21.1,21.45,21.3,21.4,149337,319520305000.0,,76584,0.5128
2010-12-16,RICOAUTO,EQ,21.3,21.2,21.55,21.05,21.1,21.25,21.24,89621,190343035000.0,,47615,0.5313
2010-12-20,RICOAUTO,EQ,21.25,21.9,22.5,21.7,21.85,21.9,22.05,269117,593311510000.0,,124748,0.4635
2010-12-21,RICOAUTO,EQ,21.9,21.9,22.2,21.7,21.75,21.8,21.86,180538,394657365000.0,,146915,0.8138
2010-12-22,RICOAUTO,EQ,21.8,22.15,22.25,21.6,22.0,21.85,21.97,72876,160121275000.0,,29286,0.4019
2010-12-23,RICOAUTO,EQ,21.85,22.0,22.15,21.4,21.4,21.45,21.6,121831,263120454999.99997,,77680,0.6376
2010-12-24,RICOAUTO,EQ,21.45,21.4,21.5,21.1,21.2,21.25,21.32,80711,172062400000.0,,53910,0.6679
2010-12-27,RICOAUTO,EQ,21.25,21.4,21.5,21.05,21.15,21.1,21.27,64998,138235620000.0,,41197,0.6338
2010-12-28,RICOAUTO,EQ,21.1,21.05,21.2,20.65,20.8,20.8,20.94,111700,233909195000.00003,,83766,0.7499
2010-12-29,RICOAUTO,EQ,20.8,21.0,21.0,20.55,20.9,20.9,20.91,65113,136124875000.0,,42608,0.6544
2010-12-30,RICOAUTO,EQ,20.9,21.0,21.4,20.8,21.0,21.0,21.0,106774,224219015000.0,,64946,0.6083
2010-12-31,RICOAUTO,EQ,21.0,21.0,21.4,20.9,21.1,21.0,21.13,191913,405597960000.0,,132732,0.6916
2011-01-03,RICOAUTO,EQ,21.0,21.25,22.6,21.0,21.95,21.8,21.92,1078431,2364183415000.0,,542851,0.5034000000000001
2011-01-04,RICOAUTO,EQ,21.8,21.8,22.1,20.9,21.0,21.0,21.55,781687,1684723310000.0002,,519223,0.6642
2011-01-05,RICOAUTO,EQ,21.0,21.1,21.8,20.9,21.0,21.0,21.23,816273,1733032089999.9998,,405744,0.49710000000000004
