Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,RIIL,EQ,876.15,883.8,887.2,871.7,877.0,875.85,879.38,156180,13734171990000.0,,38224,0.2447
2010-10-05,RIIL,EQ,875.85,878.0,942.0,875.0,933.0,931.45,918.28,1500336,137773387230000.0,,301678,0.2011
2010-10-06,RIIL,EQ,931.45,945.1,970.0,935.0,937.2,938.75,951.31,1160855,110433468350000.0,,281663,0.2426
2010-10-07,RIIL,EQ,938.75,939.8,943.7,875.0,905.8,903.45,920.49,470026,43265227470000.0,,95695,0.2036
2010-10-08,RIIL,EQ,903.45,913.8,915.0,885.0,895.2,899.25,902.34,310322,28001572975000.0,,45486,0.1466
2010-10-11,RIIL,EQ,899.25,904.25,922.9,902.0,906.0,908.5,912.5,380648,34734243589999.996,,50770,0.1334
2010-10-12,RIIL,EQ,908.5,909.5,913.65,886.2,894.15,894.4,899.17,237257,21333342145000.0,,38327,0.16149999999999998
2010-10-13,RIIL,EQ,894.4,899.4,916.9,893.2,897.0,897.7,902.87,374651,33826034900000.0,,86593,0.2311
2010-10-14,RIIL,EQ,897.7,902.4,911.4,888.0,893.25,892.8,900.09,240380,21636387055000.0,,42232,0.1757
2010-10-15,RIIL,EQ,892.8,897.0,904.8,872.1,873.25,874.95,889.69,274450,24417569265000.0,,58426,0.2129
2010-10-18,RIIL,EQ,874.95,890.0,890.0,864.5,880.0,874.35,870.49,146934,12790417340000.0,,34662,0.2359
2010-10-19,RIIL,EQ,874.35,915.0,915.0,866.1,867.95,868.45,876.2,119328,10455541735000.0,,32369,0.2713
2010-10-20,RIIL,EQ,868.45,865.0,873.95,858.15,860.6,861.05,866.25,129176,11189882115000.0,,27607,0.2137
2010-10-21,RIIL,EQ,861.05,862.1,882.55,862.1,874.0,874.4,874.26,165239,14446241600000.0,,32398,0.1961
2010-10-22,RIIL,EQ,874.4,876.1,882.7,865.05,867.85,868.05,873.9,99560,8700567034999.999,,22848,0.2295
2010-10-25,RIIL,EQ,868.05,872.0,888.0,870.0,873.9,872.05,878.56,174791,15356409615000.0,,32811,0.1877
2010-10-26,RIIL,EQ,872.05,874.0,887.95,872.1,875.3,875.75,879.72,191119,16813199744999.998,,36104,0.1889
2010-10-27,RIIL,EQ,875.75,872.0,899.0,867.55,877.5,880.0,888.19,408823,36311051305000.0,,64967,0.1589
2010-10-28,RIIL,EQ,880.0,881.7,889.0,866.6,872.0,869.85,876.97,139668,12248425460000.0,,33970,0.2432
2010-10-29,RIIL,EQ,869.85,869.0,875.0,855.25,859.0,860.05,865.6,178736,15471320780000.002,,39226,0.2195
2010-11-01,RIIL,EQ,860.05,873.0,875.7,864.0,867.9,868.45,870.17,105590,9188129475000.0,,25564,0.2421
2010-11-02,RIIL,EQ,868.45,871.8,871.8,854.0,857.9,857.6,861.74,107116,9230657095000.0,,34415,0.32130000000000003
2010-11-03,RIIL,EQ,857.6,862.55,877.4,860.5,865.2,863.95,867.04,161225,13978774605000.002,,33660,0.20879999999999999
2010-11-04,RIIL,EQ,863.95,868.0,874.0,864.2,867.5,868.4,869.22,100210,8710464870000.0,,28450,0.2839
2010-11-05,RIIL,EQ,868.4,874.0,876.0,868.5,870.0,870.65,871.67,27595,2405360245000.0,,11944,0.4328
2010-11-08,RIIL,EQ,870.65,876.9,876.9,861.1,870.6,866.2,866.02,93855,8127984630000.0,,30193,0.32170000000000004
2010-11-09,RIIL,EQ,866.2,870.0,881.0,865.2,871.75,873.15,872.86,140067,12225920150000.0,,33269,0.23750000000000002
2010-11-10,RIIL,EQ,873.15,869.9,907.6,867.0,879.9,879.2,890.73,495729,44156083140000.0,,85506,0.17250000000000001
2010-11-11,RIIL,EQ,879.2,880.0,892.05,859.0,863.5,863.2,876.95,175693,15407376719999.998,,43651,0.24850000000000003
2010-11-12,RIIL,EQ,863.2,860.0,871.15,844.0,849.85,847.4,856.81,133447,11433865240000.0,,41728,0.3127
2010-11-15,RIIL,EQ,847.4,850.0,853.0,826.4,833.2,835.75,837.51,104752,8773060159999.999,,30623,0.2923
2010-11-16,RIIL,EQ,835.75,839.8,843.9,808.35,811.0,811.65,823.28,138010,11362110750000.0,,40289,0.2919
2010-11-18,RIIL,EQ,811.65,817.95,819.7,778.2,792.0,791.6,795.66,145511,11577773570000.0,,38375,0.2637
2010-11-19,RIIL,EQ,791.6,795.8,795.8,756.0,758.0,761.9,774.06,121549,9408610945000.0,,39752,0.327
2010-11-22,RIIL,EQ,761.9,770.0,829.0,751.0,823.0,817.0,803.97,445524,35818686265000.0,,75543,0.1696
2010-11-23,RIIL,EQ,817.0,810.1,816.7,750.05,779.2,779.6,790.07,360464,28479195125000.0,,63351,0.1757
2010-11-24,RIIL,EQ,779.6,785.0,795.0,758.4,765.1,765.7,781.14,159173,12433714490000.0,,32174,0.2021
2010-11-25,RIIL,EQ,765.7,775.0,775.0,741.0,744.0,744.2,757.7,168296,12751853575000.0,,49287,0.2929
2010-11-26,RIIL,EQ,744.2,749.0,750.0,697.0,706.05,708.3,714.68,156861,11210616140000.0,,42468,0.2707
2010-11-29,RIIL,EQ,708.3,720.0,727.0,691.0,709.5,711.65,708.97,182152,12913975570000.0,,38413,0.2109
2010-11-30,RIIL,EQ,711.65,710.0,724.0,701.0,709.95,711.9,714.07,174575,12465874000000.0,,46403,0.2658
2010-12-01,RIIL,EQ,711.9,715.05,743.0,711.9,733.0,733.45,731.9,184685,13517038910000.0,,41182,0.223
2010-12-02,RIIL,EQ,733.45,736.0,754.9,736.0,741.65,741.65,745.49,169275,12619214620000.0,,34911,0.20620000000000002
2010-12-03,RIIL,EQ,741.65,746.0,746.0,718.0,723.0,723.35,729.0,120999,8820782140000.0,,29364,0.2427
2010-12-06,RIIL,EQ,723.35,732.0,739.0,715.5,718.5,719.75,729.34,107149,7814835870000.0,,21341,0.19920000000000002
2010-12-07,RIIL,EQ,719.75,720.0,731.95,712.05,720.2,720.85,722.62,149113,10775247850000.0,,18455,0.12380000000000001
2010-12-08,RIIL,EQ,720.85,721.6,723.8,699.0,702.25,704.55,709.94,106494,7560437570000.0,,31574,0.2965
2010-12-09,RIIL,EQ,704.55,699.0,714.9,670.5,676.0,675.15,694.05,149212,10356108050000.0,,35831,0.2401
2010-12-10,RIIL,EQ,675.15,670.0,693.8,660.1,682.0,686.05,681.32,139556,9508207790000.0,,28591,0.2049
2010-12-13,RIIL,EQ,686.05,692.8,703.0,668.0,686.9,687.35,685.54,191462,13125578700000.0,,41192,0.2151
2010-12-14,RIIL,EQ,687.35,692.8,706.9,687.1,695.8,698.4,697.16,144804,10095106065000.0,,30386,0.20980000000000001
2010-12-15,RIIL,EQ,698.4,700.0,717.9,688.25,690.0,692.3,704.88,249703,17600968860000.0,,36400,0.1458
2010-12-16,RIIL,EQ,692.3,695.0,701.8,682.0,698.0,697.05,692.68,98914,6851552475000.0,,21022,0.2125
2010-12-20,RIIL,EQ,697.05,704.8,708.65,688.0,691.0,692.35,698.17,104067,7265684625000.0,,20037,0.1925
2010-12-21,RIIL,EQ,692.35,694.0,708.0,690.2,703.5,702.5,700.11,135458,9483505540000.0,,26280,0.19399999999999998
2010-12-22,RIIL,EQ,702.5,707.0,721.8,697.05,700.05,702.7,709.8,254655,18075360645000.0,,31214,0.1226
2010-12-23,RIIL,EQ,702.7,705.0,709.2,692.05,693.0,695.8,700.59,77230,5410652755000.0,,20401,0.26420000000000005
2010-12-24,RIIL,EQ,695.8,694.95,714.0,686.45,705.5,709.05,702.16,177897,12491303780000.0,,34577,0.19440000000000002
2010-12-27,RIIL,EQ,709.05,709.95,721.7,697.1,701.4,700.95,708.84,153086,10851299420000.0,,26267,0.1716
2010-12-28,RIIL,EQ,700.95,706.7,713.0,698.8,702.4,702.7,705.09,98194,6923526580000.0,,14079,0.1434
2010-12-29,RIIL,EQ,702.7,703.0,711.8,700.5,702.0,701.8,705.42,76087,5367352065000.0,,15646,0.2056
2010-12-30,RIIL,EQ,701.8,734.9,748.7,700.4,701.0,703.1,704.76,74360,5240629880000.0,,19458,0.26170000000000004
2010-12-31,RIIL,EQ,703.1,707.0,732.65,706.0,718.0,717.1,720.48,280461,20206620540000.0,,50269,0.17920000000000003
2011-01-03,RIIL,EQ,717.1,726.0,742.5,718.05,732.0,728.5,731.12,276936,20247343410000.0,,40302,0.14550000000000002
2011-01-04,RIIL,EQ,728.5,735.0,742.7,725.0,730.65,730.45,733.25,247159,18122895530000.0,,31824,0.1288
2011-01-05,RIIL,EQ,730.45,733.0,734.65,715.5,716.1,717.05,725.7,140624,10205150065000.0,,32677,0.2324
2011-01-06,RIIL,EQ,717.05,722.8,726.6,705.1,711.0,709.95,713.91,110954,7921099184999.999,,18561,0.1673
2011-01-07,RIIL,EQ,709.95,712.0,713.0,686.05,686.05,689.35,699.5,117726,8234927284999.999,,33039,0.2806
