Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-11-22,ROLLT,EQ,15.9,14.1,15.2,13.25,15.2,15.0,14.27,10024,14300325000.0,38,8635,0.8614
2016-11-23,ROLLT,EQ,15.0,15.35,15.35,15.0,15.0,15.0,15.16,2875,4357750000.0,21,2283,0.7941
2016-11-24,ROLLT,EQ,15.0,14.25,15.45,14.25,15.4,15.4,14.31,1571,2247450000.0,9,1500,0.9548000000000001
2016-11-25,ROLLT,EQ,15.4,15.2,17.8,15.0,16.8,16.8,16.94,36367,61613225000.0,151,15613,0.4293
2016-11-28,ROLLT,EQ,16.8,18.0,19.0,15.2,16.85,17.35,17.34,386625,670582710000.0,166,370547,0.9584
2016-11-29,ROLLT,EQ,17.35,17.45,18.75,17.0,17.9,18.2,18.3,2335366,4274654370000.0005,379,1411225,0.6043000000000001
2016-11-30,ROLLT,EQ,18.2,18.0,18.5,17.75,18.05,18.25,18.13,1082980,1963399320000.0,345,554919,0.5124000000000001
2016-12-01,ROLLT,EQ,18.25,18.0,18.5,17.1,17.85,17.85,17.87,2368825,4232643265000.0,158,1242465,0.5245000000000001
2016-12-02,ROLLT,EQ,17.85,17.5,18.45,16.55,17.6,18.15,18.16,742361,1348028730000.0,213,270849,0.36479999999999996
2016-12-05,ROLLT,EQ,18.15,17.85,17.85,17.05,17.15,17.5,17.45,290957,507714600000.0,46,286416,0.9844
2016-12-06,ROLLT,EQ,17.5,17.85,18.6,17.6,18.25,18.0,18.24,2238716,4083053025000.0,395,1102225,0.49229999999999996
2016-12-07,ROLLT,EQ,18.0,17.5,18.0,17.25,17.7,17.4,17.54,16150,28322030000.0,31,13054,0.8083
2016-12-08,ROLLT,EQ,17.4,18.0,18.0,17.1,17.55,17.15,17.3,2366,4093150000.0,25,2240,0.9467
2016-12-09,ROLLT,EQ,17.15,17.95,17.95,16.75,16.75,16.95,17.1,13298,22745370000.0,78,7785,0.5854
2016-12-12,ROLLT,EQ,16.95,17.75,17.8,16.5,17.5,17.25,17.04,63055,107427175000.0,99,55789,0.8848
2016-12-13,ROLLT,EQ,17.25,17.95,17.95,17.0,17.2,17.4,17.39,263396,458085309999.99994,70,163241,0.6198
2016-12-14,ROLLT,EQ,17.4,17.45,17.45,16.55,16.55,16.9,16.9,314722,531917920000.0,82,313539,0.9962000000000001
2016-12-15,ROLLT,EQ,16.9,17.0,17.0,16.15,16.45,16.2,16.22,108364,175754990000.0,46,106672,0.9844
2016-12-16,ROLLT,EQ,16.2,16.25,16.75,15.5,16.0,16.55,16.52,268800,444125300000.0,101,160043,0.5954
2016-12-19,ROLLT,EQ,16.55,15.85,16.4,15.15,15.65,15.7,15.81,3397,5369455000.0,36,3094,0.9108
2016-12-20,ROLLT,EQ,15.7,16.45,17.5,14.2,15.8,15.7,16.42,81039,133067655000.0,469,44771,0.5525
2016-12-21,ROLLT,EQ,15.7,16.25,16.25,15.3,15.8,16.25,16.17,803010,1298736505000.0,147,789832,0.9836
2016-12-22,ROLLT,EQ,16.25,16.75,16.75,14.5,15.0,14.95,15.09,41148,62096975000.0,112,35579,0.8647
2016-12-23,ROLLT,EQ,14.95,14.5,15.85,14.3,14.5,14.6,14.62,221561,323983070000.0,86,216159,0.9756
2016-12-26,ROLLT,EQ,14.6,14.1,14.45,14.0,14.0,14.1,14.36,461573,662944870000.0,42,260273,0.5639000000000001
2016-12-27,ROLLT,EQ,14.1,13.45,14.7,13.45,14.0,14.05,14.03,872359,1224328120000.0,75,678579,0.7779
2016-12-28,ROLLT,EQ,14.05,14.15,14.6,13.65,13.9,13.85,14.09,2321978,3272120025000.0,154,1744836,0.7514000000000001
2016-12-29,ROLLT,EQ,13.85,14.35,14.35,13.6,13.95,13.9,14.17,80323,113801000000.0,90,73350,0.9131999999999999
2016-12-30,ROLLT,EQ,13.9,13.9,14.4,13.9,14.25,14.25,14.09,2509,3535050000.0,10,2379,0.9481999999999999
2017-01-02,ROLLT,EQ,14.25,14.3,14.65,13.5,14.35,14.0,14.12,228119,321992145000.0,97,217823,0.9549
2017-01-03,ROLLT,EQ,14.0,14.5,16.1,14.25,15.8,15.9,15.61,706423,1102941160000.0,564,423173,0.599
2017-01-04,ROLLT,EQ,15.9,16.25,17.0,15.5,17.0,16.95,16.89,513112,866876260000.0,442,391108,0.7622
2017-01-05,ROLLT,EQ,16.95,17.0,17.75,16.4,16.75,17.4,17.12,976038,1670707430000.0,257,548024,0.5615
2017-01-06,ROLLT,EQ,17.4,17.0,19.45,17.0,17.7,17.7,18.38,4125838,7583316359999.999,1895,1535409,0.37210000000000004
2017-01-09,ROLLT,EQ,17.7,17.75,18.45,17.1,18.0,18.4,18.01,675371,1216260880000.0,305,425222,0.6296
2017-01-10,ROLLT,EQ,18.4,18.0,18.45,17.4,18.1,18.25,18.09,1018316,1842435314999.9998,709,725943,0.7129000000000001
2017-01-11,ROLLT,EQ,18.25,17.9,19.25,17.9,18.9,19.1,18.84,1485959,2799630200000.0,705,800197,0.5385
2017-01-12,ROLLT,EQ,19.1,18.95,19.75,18.9,19.35,19.7,19.57,1388640,2718055110000.0,777,590216,0.425
2017-01-13,ROLLT,EQ,19.7,19.8,19.9,18.8,18.8,19.2,19.16,343493,658236770000.0,230,284313,0.8277
2017-01-16,ROLLT,EQ,19.2,19.2,19.5,18.3,19.0,18.85,18.88,455043,859168955000.0001,91,449565,0.988
2017-01-17,ROLLT,EQ,18.85,18.75,19.85,18.15,19.15,19.25,19.38,3618049,7013123575000.0,2329,1193313,0.3298
2017-01-18,ROLLT,EQ,19.25,19.0,19.5,18.55,18.55,18.95,18.95,1319807,2501644240000.0,474,935557,0.7089
2017-03-07,ROLLT,EQ,15.1,15.6,15.6,14.5,15.0,14.6,14.88,65476,97437335000.0,87,35122,0.5364
2017-03-08,ROLLT,EQ,14.6,14.5,15.0,14.5,14.85,14.8,14.84,3936,5839865000.0,16,2987,0.7589
2017-03-09,ROLLT,EQ,14.8,14.8,15.0,14.35,14.45,14.45,14.54,16465,23940460000.0,35,14045,0.853
2017-03-10,ROLLT,EQ,14.45,14.45,14.45,13.9,14.0,13.95,13.98,86668,121155310000.00002,47,84368,0.9734999999999999
2017-03-14,ROLLT,EQ,13.95,13.95,14.55,13.8,14.25,14.55,14.09,1695901,2389159875000.0,52,1687929,0.9953000000000001
2017-03-15,ROLLT,EQ,14.55,14.5,15.25,14.5,15.25,15.15,15.01,42564,63903025000.0,63,25381,0.5963
2017-03-16,ROLLT,EQ,15.15,15.2,15.3,14.5,14.5,14.5,14.9,20282,30225670000.0,41,12917,0.6369
2017-03-17,ROLLT,EQ,14.5,14.5,15.2,13.85,14.9,14.4,14.34,85332,122357770000.0,77,66516,0.7795000000000001
2017-03-20,ROLLT,EQ,14.4,14.0,15.1,14.0,14.65,14.8,14.63,385124,563468850000.0,106,164111,0.4261
2017-03-21,ROLLT,EQ,14.8,14.2,15.5,14.2,15.3,15.5,15.49,3761423,5824588080000.0,234,1772506,0.4712
2017-03-22,ROLLT,EQ,15.5,15.8,15.8,14.9,15.6,15.6,15.59,358925,559421120000.0,99,352670,0.9826
2017-03-23,ROLLT,EQ,15.6,14.85,15.3,14.85,15.0,15.0,14.99,321375,481814700000.0,61,309758,0.9639
2017-03-24,ROLLT,EQ,15.0,14.45,15.1,14.4,14.95,15.05,14.85,1027410,1525520070000.0,171,608605,0.5924
