Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,ROLTA,EQ,167.1,168.5,170.2,167.0,168.2,167.7,168.29,685753,11540576405000.0,,334016,0.48710000000000003
2010-10-05,ROLTA,EQ,167.7,168.9,170.2,168.0,168.5,168.65,169.21,1055456,17858959155000.0,,610329,0.5783
2010-10-06,ROLTA,EQ,168.65,170.0,171.0,168.5,169.8,169.85,169.96,1397534,23752531030000.0,,1000445,0.7159000000000001
2010-10-07,ROLTA,EQ,169.85,171.0,173.7,168.25,169.5,169.25,171.79,916021,15736467275000.0,,276770,0.30210000000000004
2010-10-08,ROLTA,EQ,169.25,170.95,170.95,168.05,168.8,169.1,169.56,463291,7855529100000.0,,136218,0.294
2010-10-11,ROLTA,EQ,169.1,170.0,172.4,169.3,171.5,171.45,171.16,568853,9736723675000.0,,185187,0.32549999999999996
2010-10-12,ROLTA,EQ,171.45,172.0,173.0,167.05,168.65,168.55,169.41,636122,10776338840000.0,,220232,0.3462
2010-10-13,ROLTA,EQ,168.55,170.5,172.0,169.15,171.0,171.4,171.02,441464,7550072065000.001,,136392,0.309
2010-10-14,ROLTA,EQ,171.4,172.9,175.95,171.5,172.1,172.4,174.25,1449224,25253007300000.0,,390449,0.26940000000000003
2010-10-15,ROLTA,EQ,172.4,173.9,174.0,168.25,169.0,169.2,171.1,364216,6231595680000.0,,103154,0.2832
2010-10-18,ROLTA,EQ,169.2,171.0,171.0,165.0,167.0,166.9,166.59,384229,6400930615000.0,,153218,0.39880000000000004
2010-10-19,ROLTA,EQ,166.9,169.95,170.0,164.8,164.8,165.8,167.24,291269,4871171910000.0,,139225,0.478
2010-10-20,ROLTA,EQ,165.8,166.9,166.9,162.6,163.5,163.2,163.96,313159,5134612945000.0,,149233,0.4765
2010-10-21,ROLTA,EQ,163.2,163.4,166.6,163.4,165.8,165.75,165.05,276228,4559065080000.0,,80801,0.2925
2010-10-22,ROLTA,EQ,165.75,167.9,167.9,163.75,164.2,164.8,165.11,413438,6826128205000.0,,176728,0.4275
