Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,RSSOFTWARE,EQ,42.25,43.0,43.7,42.1,42.4,42.25,42.77,16726,71538125000.0,,11287,0.6748000000000001
2010-10-05,RSSOFTWARE,EQ,42.25,42.0,43.0,41.65,42.8,42.5,42.55,16938,72071860000.0,,10402,0.6141
2010-10-06,RSSOFTWARE,EQ,42.5,42.7,43.45,41.75,42.0,42.05,42.27,26451,111804195000.0,,19405,0.7336
2010-10-07,RSSOFTWARE,EQ,42.05,41.9,42.7,41.9,42.05,42.05,42.3,13007,55015505000.00001,,8315,0.6393
2010-10-08,RSSOFTWARE,EQ,42.05,41.3,42.4,41.2,41.65,41.55,41.8,7703,32201459999.999996,,6734,0.8742000000000001
2010-10-11,RSSOFTWARE,EQ,41.55,42.45,42.45,41.75,41.9,42.1,42.1,11556,48651680000.0,,5580,0.4829
2010-10-12,RSSOFTWARE,EQ,42.1,42.0,42.05,41.2,41.85,41.7,41.57,5137,21352885000.0,,2954,0.5750000000000001
2010-10-13,RSSOFTWARE,EQ,41.7,41.65,50.05,41.65,50.05,49.95,49.01,338813,1660535050000.0,,155940,0.46030000000000004
2010-10-14,RSSOFTWARE,EQ,49.95,54.85,59.95,50.65,51.55,51.65,57.09,5094865,29088866510000.004,,429164,0.0842
2010-10-15,RSSOFTWARE,EQ,51.65,52.1,54.85,49.8,50.6,50.55,52.37,250768,1313343565000.0,,71181,0.2839
2010-10-18,RSSOFTWARE,EQ,50.55,50.95,52.4,48.0,48.4,48.55,49.53,80918,400749165000.0,,32132,0.3971
2010-10-19,RSSOFTWARE,EQ,48.55,48.55,49.65,45.0,46.7,47.1,47.19,110262,520302834999.99994,,41006,0.3719
2010-10-20,RSSOFTWARE,EQ,47.1,48.5,48.5,45.05,45.05,45.45,46.9,138893,651374185000.0,,74094,0.5335
2010-10-21,RSSOFTWARE,EQ,45.45,47.65,47.65,45.45,46.0,45.85,46.18,36981,170793970000.0,,17237,0.4661
2010-10-22,RSSOFTWARE,EQ,45.85,46.7,46.7,44.6,45.0,44.85,45.17,37956,171459570000.0,,25956,0.6838
2010-10-25,RSSOFTWARE,EQ,44.85,45.05,46.0,44.5,44.55,44.75,44.97,21606,97160720000.0,,13946,0.6455
2010-10-26,RSSOFTWARE,EQ,44.75,44.3,45.35,44.05,44.25,44.25,44.55,36771,163806720000.0,,25276,0.6874
2010-10-27,RSSOFTWARE,EQ,44.25,44.25,52.3,43.6,47.4,47.45,49.74,607013,3019288790000.0,,109619,0.18059999999999998
2010-10-28,RSSOFTWARE,EQ,47.45,48.0,49.6,47.0,47.3,47.55,48.58,198507,964293865000.0,,55014,0.2771
2010-10-29,RSSOFTWARE,EQ,47.55,48.0,49.2,45.5,46.1,46.0,47.41,97248,461037634999.99994,,28195,0.2899
2010-11-01,RSSOFTWARE,EQ,46.0,46.25,47.4,45.15,45.75,45.7,46.31,32989,152756945000.0,,17054,0.517
2010-11-02,RSSOFTWARE,EQ,45.7,45.3,46.05,44.6,45.4,45.25,45.22,27762,125534960000.00002,,19892,0.7165
2010-11-03,RSSOFTWARE,EQ,45.25,45.4,46.85,45.2,45.7,45.45,45.8,35065,160586450000.0,,18854,0.5377000000000001
2010-11-04,RSSOFTWARE,EQ,45.45,45.0,46.5,45.0,46.45,46.1,45.95,25778,118449625000.0,,15280,0.5928
2010-11-05,RSSOFTWARE,EQ,46.1,46.1,46.6,45.2,45.55,46.0,46.03,5176,23827295000.0,,3331,0.6435
2010-11-08,RSSOFTWARE,EQ,46.0,46.0,48.0,45.4,46.4,46.25,46.57,29648,138079730000.0,,11626,0.3921
2010-11-09,RSSOFTWARE,EQ,46.25,46.5,48.5,46.5,47.9,47.9,47.88,65710,314602300000.0,,30541,0.4648
2010-11-10,RSSOFTWARE,EQ,47.9,47.5,52.2,47.2,50.0,49.75,49.99,158112,790397835000.0,,50895,0.32189999999999996
2010-11-11,RSSOFTWARE,EQ,49.75,52.2,52.2,48.6,50.0,49.55,50.56,72772,367934120000.0,,42546,0.5846
2010-11-12,RSSOFTWARE,EQ,49.55,49.95,52.45,48.05,48.05,48.45,50.54,64884,327891360000.0,,31869,0.49119999999999997
2010-11-15,RSSOFTWARE,EQ,48.45,49.9,53.95,49.7,51.4,51.0,51.88,205029,1063753235000.0,,82727,0.4035
2010-11-16,RSSOFTWARE,EQ,51.0,51.1,51.65,47.7,48.35,48.1,49.65,52925,262774895000.00003,,30334,0.5732
2010-11-18,RSSOFTWARE,EQ,48.1,49.0,49.4,46.5,48.0,47.7,47.47,34659,164522375000.0,,17345,0.5004
2010-11-19,RSSOFTWARE,EQ,47.7,45.3,48.8,45.3,45.5,45.9,46.37,25860,119903614999.99998,,18009,0.6964
2010-11-22,RSSOFTWARE,EQ,45.9,46.6,47.5,45.4,47.5,47.1,46.29,22141,102484620000.0,,15506,0.7003
2010-11-23,RSSOFTWARE,EQ,47.1,47.0,47.5,45.6,46.25,46.0,46.36,10831,50211390000.0,,5597,0.5168
2010-11-24,RSSOFTWARE,EQ,46.0,46.0,46.9,45.8,45.8,46.0,46.16,12569,58019435000.0,,6924,0.5509000000000001
2010-11-25,RSSOFTWARE,EQ,46.0,46.9,46.9,45.1,45.1,45.2,45.54,4682,21320650000.0,,4200,0.8971
2010-11-26,RSSOFTWARE,EQ,45.2,44.55,45.1,40.5,42.4,42.4,42.49,40242,170979035000.0,,21094,0.5242
2010-11-29,RSSOFTWARE,EQ,42.4,43.4,43.8,42.4,42.5,42.5,42.83,17945,76849625000.0,,11617,0.6474
2010-11-30,RSSOFTWARE,EQ,42.5,43.1,43.8,42.05,43.3,43.5,43.21,9855,42585990000.0,,5516,0.5597
2010-12-01,RSSOFTWARE,EQ,43.5,43.05,44.7,43.05,44.7,44.4,44.22,16542,73144175000.0,,10693,0.6464
2010-12-02,RSSOFTWARE,EQ,44.4,44.6,45.95,44.6,44.75,44.85,45.04,10812,48695150000.0,,5992,0.5542
2010-12-03,RSSOFTWARE,EQ,44.85,44.2,45.45,43.05,43.05,43.2,43.86,11698,51306565000.0,,8842,0.7559
2010-12-06,RSSOFTWARE,EQ,43.2,43.55,44.6,43.5,43.8,43.75,43.9,7490,32884005000.0,,4320,0.5768
2010-12-07,RSSOFTWARE,EQ,43.75,43.2,44.4,42.6,43.2,43.15,43.18,7083,30585975000.0,,5180,0.7313
2010-12-08,RSSOFTWARE,EQ,43.15,43.0,43.3,42.6,43.0,42.8,42.88,6088,26105015000.0,,4691,0.7705
2010-12-09,RSSOFTWARE,EQ,42.8,42.0,43.35,39.0,40.6,39.95,41.25,18728,77252415000.0,,13614,0.7269
2010-12-10,RSSOFTWARE,EQ,39.95,40.9,41.7,40.05,41.65,41.55,40.92,10731,43914635000.0,,7666,0.7144
2010-12-13,RSSOFTWARE,EQ,41.55,41.0,43.1,41.0,41.9,41.6,42.23,5831,24624330000.0,,4199,0.7201000000000001
2010-12-14,RSSOFTWARE,EQ,41.6,41.7,42.1,41.45,42.0,41.95,41.86,7439,31138280000.0,,4776,0.642
2010-12-15,RSSOFTWARE,EQ,41.95,42.0,42.0,41.1,41.25,41.4,41.81,21081,88145815000.0,,20157,0.9562
2010-12-16,RSSOFTWARE,EQ,41.4,40.7,42.0,40.7,41.45,41.25,41.67,28424,118447825000.0,,22864,0.8044
2010-12-20,RSSOFTWARE,EQ,41.25,41.5,42.0,41.3,42.0,41.95,41.76,6623,27660855000.0,,4578,0.6912
2010-12-21,RSSOFTWARE,EQ,41.95,42.0,45.0,41.8,43.4,43.55,43.41,43371,188281000000.0,,19507,0.4498
2010-12-22,RSSOFTWARE,EQ,43.55,43.5,43.75,43.2,43.45,43.35,43.57,6105,26602015000.000004,,5550,0.9091
2010-12-23,RSSOFTWARE,EQ,43.35,43.6,44.3,42.65,43.7,43.35,43.45,8070,35060180000.0,,5586,0.6922
2010-12-24,RSSOFTWARE,EQ,43.35,44.5,47.65,44.05,45.95,45.7,46.13,127154,586521355000.0,,32797,0.2579
2010-12-27,RSSOFTWARE,EQ,45.7,45.95,46.7,45.5,45.65,45.7,45.8,13298,60902144999.99999,,9542,0.7176
2010-12-28,RSSOFTWARE,EQ,45.7,45.1,46.4,43.9,44.05,44.2,44.68,8294,37057970000.0,,6313,0.7612000000000001
2010-12-29,RSSOFTWARE,EQ,44.2,45.3,45.3,43.45,43.45,43.6,44.03,27901,122837814999.99998,,20827,0.7465
2010-12-30,RSSOFTWARE,EQ,43.6,43.35,44.2,43.35,43.6,43.7,43.84,9675,42415840000.0,,7347,0.7594
2010-12-31,RSSOFTWARE,EQ,43.7,44.65,44.85,44.0,44.7,44.65,44.42,13295,59053885000.0,,9017,0.6781999999999999
2011-01-03,RSSOFTWARE,EQ,44.65,44.15,45.9,44.15,45.5,45.15,45.43,18856,85655070000.0,,7855,0.41659999999999997
2011-01-04,RSSOFTWARE,EQ,45.15,45.9,46.25,45.3,45.9,45.6,45.76,13517,61853060000.0,,7333,0.5425
2011-01-05,RSSOFTWARE,EQ,45.6,46.2,46.2,44.2,44.85,44.85,45.17,6797,30702065000.000004,,4964,0.7303000000000001
2011-01-06,RSSOFTWARE,EQ,44.85,44.15,45.65,44.05,44.05,44.05,44.52,7094,31584480000.0,,5874,0.828
2011-01-07,RSSOFTWARE,EQ,44.05,44.25,45.0,42.35,42.35,42.5,43.03,17873,76911880000.0,,11456,0.6409999999999999
2011-01-10,RSSOFTWARE,EQ,42.5,41.65,43.45,41.65,42.1,42.15,42.31,6513,27554430000.0,,4851,0.7448
2011-01-11,RSSOFTWARE,EQ,42.15,41.05,43.3,41.05,42.0,42.0,42.28,7876,33301440000.000004,,6085,0.7726000000000001
2011-01-12,RSSOFTWARE,EQ,42.0,42.0,43.0,41.55,42.5,42.65,42.28,5759,24350090000.0,,3811,0.6617000000000001
2011-01-13,RSSOFTWARE,EQ,42.65,42.5,42.95,42.0,42.8,42.7,42.44,6154,26118125000.0,,3795,0.6167
2011-01-14,RSSOFTWARE,EQ,42.7,44.5,45.0,42.15,43.0,43.0,43.8,46181,202253040000.0,,13442,0.2911
2011-01-17,RSSOFTWARE,EQ,43.0,44.3,44.3,41.0,41.9,41.55,41.87,7921,33168420000.0,,5141,0.649
2011-01-18,RSSOFTWARE,EQ,41.55,41.6,42.15,41.5,41.8,41.8,41.84,3521,14731310000.0,,3096,0.8793000000000001
2011-01-19,RSSOFTWARE,EQ,41.8,42.2,42.85,41.75,41.85,41.95,42.28,3518,14875845000.000002,,2796,0.7948000000000001
2011-01-20,RSSOFTWARE,EQ,41.95,41.5,42.5,41.5,42.0,42.1,42.01,2551,10716325000.0,,1813,0.7107
2011-01-21,RSSOFTWARE,EQ,42.1,42.1,44.3,42.1,42.8,42.95,43.24,29678,128333339999.99998,,13077,0.44060000000000005
2011-01-24,RSSOFTWARE,EQ,42.95,43.85,43.85,42.4,42.85,42.85,42.84,3427,14680090000.0,,1803,0.5261
2011-01-25,RSSOFTWARE,EQ,42.85,43.25,43.3,38.65,40.85,40.45,40.06,38203,153033400000.0,,23207,0.6075
2011-01-27,RSSOFTWARE,EQ,40.45,41.8,42.25,40.55,40.7,41.05,41.22,11117,45824715000.0,,8245,0.7417
2011-01-28,RSSOFTWARE,EQ,41.05,39.55,41.0,38.2,38.35,38.5,39.13,12471,48803055000.0,,8184,0.6562
2011-01-31,RSSOFTWARE,EQ,38.5,39.0,44.0,39.0,43.15,43.45,42.38,325396,1379017570000.0,,185715,0.5707
2011-02-01,RSSOFTWARE,EQ,43.45,43.05,44.7,42.55,44.5,44.2,43.83,71093,311571410000.0,,42741,0.6012
2011-02-02,RSSOFTWARE,EQ,44.2,44.7,48.7,44.25,48.0,48.15,47.06,119787,563709990000.0,,60324,0.5036
2011-02-03,RSSOFTWARE,EQ,48.15,48.1,50.1,46.7,50.05,49.0,48.38,65682,317748830000.0,,35942,0.5472
2011-02-04,RSSOFTWARE,EQ,49.0,51.0,56.45,50.25,56.0,55.5,54.16,462633,2505436825000.0,,178020,0.3848
2011-02-07,RSSOFTWARE,EQ,55.5,57.55,61.05,55.6,57.8,59.8,59.14,2724232,16109983325000.0,,226198,0.083
2011-02-08,RSSOFTWARE,EQ,59.8,59.5,65.6,53.85,53.85,53.85,59.55,2440066,14531571715000.0,,291005,0.1193
2011-02-09,RSSOFTWARE,EQ,53.85,52.0,52.0,48.5,48.5,48.5,48.65,388270,1888885125000.0,,172085,0.44320000000000004
2011-02-10,RSSOFTWARE,EQ,48.5,43.65,46.65,43.65,45.65,45.3,44.2,203506,899500005000.0001,,109269,0.5369
2011-02-11,RSSOFTWARE,EQ,45.3,46.8,49.85,45.0,49.85,49.85,47.79,156811,749390460000.0,,117506,0.7493000000000001
2011-02-14,RSSOFTWARE,EQ,49.85,51.8,51.8,49.0,49.25,49.65,50.06,68583,343301975000.0,,32436,0.4729
2011-02-15,RSSOFTWARE,EQ,49.65,51.0,51.0,49.0,49.0,49.05,49.34,32499,160358905000.0,,20732,0.6379
2011-02-16,RSSOFTWARE,EQ,49.05,47.6,51.9,47.6,50.0,50.8,50.71,52239,264884445000.00003,,19888,0.38070000000000004
2011-02-17,RSSOFTWARE,EQ,50.8,51.05,52.0,50.0,50.5,50.45,50.67,25787,130657730000.0,,17222,0.6679
2011-02-18,RSSOFTWARE,EQ,50.45,50.5,51.0,48.6,50.0,49.7,50.0,19554,97765115000.0,,15461,0.7907
2011-02-21,RSSOFTWARE,EQ,49.7,47.5,49.9,47.0,49.0,49.2,49.27,15159,74691710000.0,,10386,0.6851
2011-02-22,RSSOFTWARE,EQ,49.2,49.45,49.45,48.45,49.0,49.15,48.89,16129,78856670000.0,,14094,0.8738
2011-02-23,RSSOFTWARE,EQ,49.15,48.05,50.4,48.05,49.8,50.0,49.21,17269,84973625000.0,,15506,0.8979
2011-02-24,RSSOFTWARE,EQ,50.0,50.9,50.9,49.0,49.0,49.0,49.28,15678,77260380000.0,,11557,0.7371
2011-02-25,RSSOFTWARE,EQ,49.0,47.25,49.7,47.25,49.0,49.0,49.1,6102,29961509999.999996,,5226,0.8564
2011-02-28,RSSOFTWARE,EQ,49.0,47.6,49.95,47.6,49.0,49.0,49.03,3528,17299380000.0,,3277,0.9289000000000001
2011-03-01,RSSOFTWARE,EQ,49.0,47.55,50.4,47.55,49.75,49.45,49.37,9463,46715370000.0,,7427,0.7848
2011-03-03,RSSOFTWARE,EQ,49.45,47.4,52.4,47.4,51.85,51.55,50.85,24423,124197530000.0,,16552,0.6777
2011-03-04,RSSOFTWARE,EQ,51.55,50.8,54.1,50.8,52.15,52.35,52.71,18378,96875040000.0,,12722,0.6922
