Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2012-08-13,IBIPL,EQ,5.95,6.0,6.25,5.3,5.7,5.55,5.79,7584672,4391718165000.0,7660,6589541,0.8688
2012-08-14,IBIPL,EQ,5.55,5.5,5.5,4.95,5.15,5.0,5.09,3630589,1846983089999.9998,4060,3257141,0.8971
2012-08-16,IBIPL,EQ,5.0,4.55,5.6,4.55,5.15,5.05,5.1,2379273,1214175970000.0,3291,1772923,0.7452
2012-08-17,IBIPL,EQ,5.05,5.15,5.3,5.05,5.1,5.1,5.2,1277013,664684875000.0,1996,1081322,0.8468000000000001
2012-08-21,IBIPL,EQ,5.1,4.7,6.1,4.7,5.9,5.75,5.78,7495743,4332521670000.0005,7359,5001552,0.6673
2012-08-22,IBIPL,EQ,5.75,5.5,6.2,5.5,5.65,5.65,5.88,3448008,2028685510000.0002,6867,2075411,0.6019
2012-08-23,IBIPL,EQ,5.65,5.6,5.9,5.4,5.65,5.7,5.58,2534224,1413644380000.0,2732,1849213,0.7297
2012-08-24,IBIPL,EQ,5.7,5.6,5.7,5.45,5.6,5.55,5.57,764099,425874295000.0,1486,470329,0.6154999999999999
2012-08-27,IBIPL,EQ,5.55,5.55,5.75,5.2,5.2,5.25,5.38,895459,481373000000.0,1515,663796,0.7413
2012-08-28,IBIPL,EQ,5.25,5.3,5.3,4.3,4.4,4.45,4.66,2868624,1337747310000.0,3057,2124085,0.7404999999999999
2012-08-29,IBIPL,EQ,4.45,4.4,4.8,3.85,4.05,4.0,4.28,1917030,820254435000.0,3231,1505093,0.7851
2012-08-30,IBIPL,EQ,4.0,3.85,4.4,3.8,4.4,4.35,4.21,2472169,1040725330000.0001,2816,1734350,0.7015000000000001
2012-08-31,IBIPL,EQ,4.35,4.4,4.55,4.05,4.4,4.45,4.38,2535264,1109323855000.0,2386,2040195,0.8047
2012-09-03,IBIPL,EQ,4.45,4.25,4.65,4.25,4.4,4.35,4.44,558816,248153035000.0,1609,392287,0.7020000000000001
2012-09-04,IBIPL,EQ,4.35,4.4,4.55,4.2,4.4,4.35,4.37,998583,435898250000.0,1987,636483,0.6374000000000001
2012-09-05,IBIPL,EQ,4.35,4.4,4.75,4.25,4.75,4.75,4.64,1744637,809805170000.0,2344,1277789,0.7323999999999999
2012-09-06,IBIPL,EQ,4.75,4.95,4.95,4.3,4.3,4.35,4.44,5400814,2395410500000.0,1927,4771096,0.8834000000000001
2012-09-07,IBIPL,EQ,4.35,4.7,4.7,4.5,4.6,4.6,4.55,991812,451547415000.00006,1242,798816,0.8054000000000001
2012-09-08,IBIPL,EQ,4.6,4.25,4.65,4.25,4.65,4.55,4.53,91362,41389365000.0,159,65489,0.7168000000000001
2012-09-10,IBIPL,EQ,4.55,4.45,4.6,4.25,4.35,4.35,4.36,6518314,2840404365000.0,2175,6093479,0.9348000000000001
2012-09-11,IBIPL,EQ,4.35,4.5,4.5,4.2,4.3,4.2,4.27,421293,179985755000.0,587,337375,0.8008
2012-09-12,IBIPL,EQ,4.2,4.4,4.55,4.15,4.5,4.5,4.42,768151,339776800000.0,681,479169,0.6238
2012-09-13,IBIPL,EQ,4.5,4.4,4.75,4.35,4.7,4.7,4.63,705407,326885270000.0,680,557606,0.7905
2012-09-14,IBIPL,EQ,4.7,4.7,4.9,4.4,4.65,4.65,4.62,2567715,1186118690000.0,1492,1588007,0.6185
2012-09-17,IBIPL,EQ,4.65,4.75,5.1,4.7,4.9,4.95,4.97,1365979,679000440000.0,1553,987316,0.7228
2012-09-18,IBIPL,EQ,4.95,4.95,5.4,4.85,5.35,5.35,5.23,2718255,1422060035000.0,2469,1957219,0.72
2012-09-20,IBIPL,EQ,5.35,5.15,5.4,5.1,5.1,5.1,5.19,494881,256705170000.00003,732,334045,0.675
2012-09-21,IBIPL,EQ,5.1,5.25,5.35,5.15,5.35,5.35,5.35,9356030,5003634365000.0,814,9031668,0.9653
2012-09-24,IBIPL,EQ,5.35,5.6,5.6,5.25,5.6,5.6,5.57,3226629,1796186114999.9998,816,1660126,0.5145000000000001
2012-09-25,IBIPL,EQ,5.6,5.85,5.85,5.55,5.85,5.85,5.83,3059155,1784358455000.0,1085,1758229,0.5747
2012-09-26,IBIPL,EQ,5.85,6.1,6.1,5.75,6.1,6.1,6.03,874737,527152440000.00006,481,730244,0.8348000000000001
2012-09-27,IBIPL,EQ,6.1,6.4,6.4,5.8,6.4,6.4,6.32,5564851,3519351310000.0,3307,3573320,0.6421
2012-09-28,IBIPL,EQ,6.4,6.7,6.7,6.25,6.35,6.45,6.6,2484466,1639750370000.0,2767,1322375,0.5323
2012-10-01,IBIPL,EQ,6.45,6.5,6.65,6.25,6.5,6.55,6.44,1343672,864765635000.0,1498,834527,0.6211
2012-10-03,IBIPL,EQ,6.55,6.7,6.85,6.4,6.65,6.65,6.74,2260793,1524088655000.0,1636,1412197,0.6246
2012-10-04,IBIPL,EQ,6.65,6.85,6.95,6.65,6.95,6.95,6.89,4342005,2992851165000.0,1658,2995808,0.6900000000000001
2012-10-05,IBIPL,EQ,6.95,7.25,7.25,6.85,7.25,7.25,7.18,2940278,2110135760000.0002,2174,1733171,0.5895
2012-10-08,IBIPL,EQ,7.25,7.5,7.6,6.9,6.9,6.9,7.1,2587310,1837008614999.9998,1902,1772902,0.6851999999999999
2012-10-09,IBIPL,EQ,6.9,6.6,7.15,6.6,6.6,6.6,6.62,3241991,2147612195000.0,1274,2336998,0.7209000000000001
2012-10-10,IBIPL,EQ,6.6,6.3,6.5,6.3,6.3,6.3,6.31,1792001,1130197015000.0,661,1298348,0.7245
2012-10-11,IBIPL,EQ,6.3,6.0,6.4,6.0,6.25,6.1,6.03,2451428,1478368745000.0,1069,1676907,0.6840999999999999
2012-10-12,IBIPL,EQ,6.1,6.2,6.4,5.8,6.0,6.05,5.92,5177536,3064428380000.0,2362,3368836,0.6507
2012-10-15,IBIPL,EQ,6.05,6.0,6.2,5.75,5.95,5.9,5.91,671742,397244450000.0,1087,480220,0.7149
2012-10-16,IBIPL,EQ,5.9,5.95,6.15,5.7,6.15,6.1,6.12,711155,435468620000.0,874,398000,0.5597
