Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,IBPOW,EQ,29.05,28.5,29.3,28.5,28.55,28.7,28.8,592731,1707294430000.0,,325997,0.55
2010-10-05,IBPOW,EQ,28.7,28.5,29.15,28.5,28.75,28.7,28.83,655069,1888287645000.0,,277159,0.42310000000000003
2010-10-06,IBPOW,EQ,28.7,29.2,29.9,28.75,29.5,29.55,29.47,1990337,5865217315000.0,,800361,0.4021
2010-10-07,IBPOW,EQ,29.55,29.6,29.7,28.7,29.0,29.05,29.01,1717164,4981159450000.0,,992222,0.5778
2010-10-08,IBPOW,EQ,29.05,29.15,29.45,28.85,29.0,29.0,29.11,499705,1454599290000.0,,215566,0.4314
2010-10-11,IBPOW,EQ,29.0,29.1,29.25,28.7,28.75,28.8,28.96,399523,1157152990000.0,,232319,0.5815
2010-10-12,IBPOW,EQ,28.8,28.7,29.0,28.4,28.65,28.6,28.6,587953,1681276805000.0,,346571,0.5895
2010-10-13,IBPOW,EQ,28.6,28.75,28.9,28.45,28.65,28.6,28.69,356483,1022731715000.0,,204106,0.5726
2010-10-14,IBPOW,EQ,28.6,28.6,28.9,28.4,28.5,28.5,28.61,917219,2624055370000.0,,653522,0.7125
2010-10-15,IBPOW,EQ,28.5,28.5,28.8,27.55,27.65,27.75,28.08,859868,2414213625000.0,,609355,0.7087000000000001
2010-10-18,IBPOW,EQ,27.75,28.0,28.1,27.55,27.85,27.85,27.76,413725,1148423090000.0,,218460,0.528
2010-10-19,IBPOW,EQ,27.85,28.0,28.2,27.7,27.7,27.75,27.9,366451,1022465560000.0,,183501,0.5008
2010-10-20,IBPOW,EQ,27.75,27.7,32.0,27.5,30.3,30.8,30.35,7092009,21526571190000.0,,2769064,0.3904
2010-10-21,IBPOW,EQ,30.8,30.85,31.35,28.85,28.95,29.05,29.59,3145786,9307565070000.0,,1321013,0.41990000000000005
2010-10-22,IBPOW,EQ,29.05,29.15,29.5,28.55,28.7,28.65,28.77,954833,2747284430000.0,,475429,0.4979
2010-10-25,IBPOW,EQ,28.65,28.7,28.95,28.5,28.5,28.55,28.69,689412,1978155385000.0002,,439895,0.6381
2010-10-26,IBPOW,EQ,28.55,30.5,30.5,28.3,28.4,28.35,28.48,587971,1674608375000.0,,342073,0.5818
2010-10-27,IBPOW,EQ,28.35,28.7,28.7,28.0,28.1,28.05,28.21,691106,1949270095000.0,,400732,0.5798
2010-10-28,IBPOW,EQ,28.05,28.75,28.75,27.65,27.95,27.85,28.02,635175,1779722339999.9998,,374187,0.5891
2010-10-29,IBPOW,EQ,27.85,28.7,28.7,27.6,27.7,27.75,27.93,650233,1815912925000.0,,380717,0.5855
2010-11-01,IBPOW,EQ,27.75,28.05,28.4,27.6,27.85,27.95,27.93,634121,1770966930000.0,,380901,0.6007
2010-11-02,IBPOW,EQ,27.95,28.45,28.9,27.85,28.35,28.4,28.42,1105981,3143408700000.0,,661896,0.5985
2010-11-03,IBPOW,EQ,28.4,28.5,28.55,28.0,28.05,28.05,28.21,686011,1935410264999.9998,,438177,0.6386999999999999
2010-11-04,IBPOW,EQ,28.05,28.7,28.75,28.05,28.6,28.55,28.45,1079838,3072656570000.0,,843492,0.7811
2010-11-05,IBPOW,EQ,28.55,28.95,29.1,28.55,29.0,28.95,28.91,466778,1349412300000.0,,329511,0.7059000000000001
2010-11-08,IBPOW,EQ,28.95,28.75,29.05,28.5,28.85,28.9,28.79,831125,2392841720000.0,,670872,0.8072
2010-11-09,IBPOW,EQ,28.9,28.1,29.5,28.1,29.2,29.25,29.07,1814564,5274477005000.0,,1397702,0.7703
2010-11-10,IBPOW,EQ,29.25,29.3,29.3,28.7,28.8,28.8,28.89,1216915,3516191300000.0,,982171,0.8070999999999999
2010-11-11,IBPOW,EQ,28.8,28.8,29.6,28.8,29.15,29.1,29.23,1662129,4858162100000.0,,1131271,0.6806
2010-11-12,IBPOW,EQ,29.1,28.75,29.2,28.25,28.55,28.5,28.71,1061681,3047853860000.0,,793730,0.7476
2010-11-15,IBPOW,EQ,28.5,28.5,28.8,28.3,28.45,28.45,28.52,986605,2814205165000.0,,803409,0.8143000000000001
2010-11-16,IBPOW,EQ,28.45,28.6,28.8,27.0,28.0,27.95,27.86,1946702,5424103120000.0,,1369937,0.7037000000000001
2010-11-18,IBPOW,EQ,27.95,27.7,28.35,27.55,27.95,27.9,27.84,1446004,4024995935000.0,,1152696,0.7972
2010-11-19,IBPOW,EQ,27.9,28.0,28.05,27.35,27.35,27.5,27.62,542854,1499524425000.0,,402887,0.7422
2010-11-22,IBPOW,EQ,27.5,27.65,27.85,27.25,27.65,27.65,27.66,874598,2419136225000.0,,671952,0.7683
2010-11-23,IBPOW,EQ,27.65,27.6,27.65,27.05,27.2,27.2,27.25,929763,2533643425000.0,,673354,0.7242000000000001
2010-11-24,IBPOW,EQ,27.2,27.45,27.45,26.95,26.95,27.05,27.14,401772,1090558025000.0,,256900,0.6394
2010-11-25,IBPOW,EQ,27.05,27.25,27.25,26.5,26.75,26.7,26.85,654783,1758273195000.0,,519156,0.7929
2010-11-26,IBPOW,EQ,26.7,26.75,26.8,24.1,25.75,25.75,25.72,1582669,4070511785000.0,,1145934,0.7241
2010-11-29,IBPOW,EQ,25.75,26.0,27.25,24.75,26.5,26.45,26.02,949363,2470621795000.0,,649873,0.6845
2010-11-30,IBPOW,EQ,26.45,26.25,28.2,25.15,27.75,27.8,27.18,2158550,5866540605000.0,,1671521,0.7744
2010-12-01,IBPOW,EQ,27.8,27.8,27.9,27.15,27.7,27.55,27.6,774312,2137105580000.0,,538878,0.6959000000000001
2010-12-02,IBPOW,EQ,27.55,27.9,28.4,27.35,27.75,27.8,27.86,1047421,2918522150000.0,,718649,0.6861
2010-12-03,IBPOW,EQ,27.8,27.85,27.85,27.2,27.25,27.3,27.42,389117,1066954010000.0,,261781,0.6728000000000001
2010-12-06,IBPOW,EQ,27.3,27.3,28.0,26.55,27.65,27.75,27.65,1215704,3361859240000.0,,988022,0.8127
2010-12-07,IBPOW,EQ,27.75,27.5,27.9,27.15,27.4,27.6,27.6,599769,1655580500000.0,,433374,0.7226
2010-12-08,IBPOW,EQ,27.6,27.5,27.9,27.15,27.5,27.6,27.6,920615,2540557275000.0,,723323,0.7857
2010-12-09,IBPOW,EQ,27.6,27.25,28.35,26.55,27.0,26.95,27.65,11337216,31344095555000.0,,9387093,0.828
2010-12-10,IBPOW,EQ,26.95,27.4,27.9,26.5,27.2,27.4,27.64,4764954,13168051620000.0,,4298093,0.902
2010-12-13,IBPOW,EQ,27.4,27.4,27.95,27.0,27.7,27.65,27.75,5697975,15812468100000.0,,4899131,0.8598
2010-12-14,IBPOW,EQ,27.65,27.4,27.85,27.25,27.35,27.4,27.47,293965,807449515000.0,,185410,0.6307
2010-12-15,IBPOW,EQ,27.4,27.6,27.6,26.75,26.75,26.95,27.14,219340,595201845000.0,,142269,0.6486
2010-12-16,IBPOW,EQ,26.95,26.9,27.75,26.8,27.75,27.7,27.23,434745,1183897345000.0,,241544,0.5556
2010-12-20,IBPOW,EQ,27.7,27.6,27.95,27.1,27.6,27.8,27.63,399112,1102602735000.0,,247801,0.6209
2010-12-21,IBPOW,EQ,27.8,27.9,27.95,27.3,27.8,27.8,27.8,6000905,16681378105000.002,,5882163,0.9802
2010-12-22,IBPOW,EQ,27.8,27.95,28.6,27.5,28.3,28.5,28.48,6101994,17375512094999.998,,5819352,0.9537000000000001
2010-12-23,IBPOW,EQ,28.5,28.5,28.55,27.6,27.65,27.65,27.99,171033,478778815000.00006,,71794,0.41979999999999995
2010-12-24,IBPOW,EQ,27.65,27.5,28.5,27.4,28.25,28.25,28.29,453250,1282195170000.0,,249524,0.5505
2010-12-27,IBPOW,EQ,28.25,28.3,28.3,27.55,27.65,27.65,27.95,154995,433160905000.0,,88206,0.5690999999999999
2010-12-28,IBPOW,EQ,27.65,27.65,28.9,27.4,28.5,28.5,28.41,580038,1647800745000.0,,292644,0.5045000000000001
2010-12-29,IBPOW,EQ,28.5,28.55,28.75,28.2,28.6,28.55,28.48,420755,1198140190000.0,,217969,0.518
2010-12-30,IBPOW,EQ,28.55,28.7,29.0,28.2,28.7,28.8,28.78,347755,1000776685000.0,,177324,0.5099
2010-12-31,IBPOW,EQ,28.8,28.8,29.6,28.8,29.1,29.1,29.18,973440,2840112140000.0,,624330,0.6414
2011-01-03,IBPOW,EQ,29.1,29.3,29.8,28.7,28.8,28.75,29.07,393181,1143013750000.0,,239806,0.6099
2011-01-04,IBPOW,EQ,28.75,28.8,29.1,28.6,29.1,29.0,28.99,295655,857069905000.0001,,230427,0.7794
2011-01-05,IBPOW,EQ,29.0,29.1,29.15,28.65,28.85,28.8,28.99,221977,643536395000.0,,158213,0.7127
2011-01-06,IBPOW,EQ,28.8,28.7,29.0,27.85,27.9,28.0,28.24,264688,747585325000.0,,172780,0.6528
2011-01-07,IBPOW,EQ,28.0,28.05,28.4,27.05,27.3,27.3,27.87,16389328,45673626320000.0,,8221013,0.5015999999999999
2011-01-10,IBPOW,EQ,27.3,27.4,27.6,26.8,26.85,26.85,27.09,286559,776309995000.0,,204408,0.7133
2011-01-11,IBPOW,EQ,26.85,27.2,27.2,26.4,26.75,26.65,26.79,221577,593495915000.0,,145328,0.6559
