Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,RUBYMILLS,EQ,1119.5,1115.0,1165.0,1110.0,1157.0,1145.65,1139.3,3017,343725425000.0,,1772,0.5872999999999999
2010-10-05,RUBYMILLS,EQ,1145.65,1126.2,1269.95,1126.2,1213.95,1211.1,1211.09,6068,734890450000.0,,2446,0.4031
2010-10-06,RUBYMILLS,EQ,1211.1,1214.0,1249.95,1205.0,1244.0,1238.75,1237.13,3161,391055520000.0,,1263,0.3996
2010-10-07,RUBYMILLS,EQ,1238.75,1249.9,1267.0,1167.8,1167.8,1182.4,1212.93,1425,172842600000.0,,657,0.4611
2010-10-08,RUBYMILLS,EQ,1182.4,1185.0,1194.3,1165.05,1165.05,1169.15,1175.24,1055,123987805000.0,,445,0.4218
2010-10-11,RUBYMILLS,EQ,1169.15,1184.9,1285.6,1162.0,1223.0,1219.7,1248.94,8455,1055982340000.0,,2952,0.34909999999999997
2010-10-12,RUBYMILLS,EQ,1219.7,1200.0,1277.65,1200.0,1241.05,1247.6,1257.17,3519,442398200000.0,,1505,0.4277
2010-10-13,RUBYMILLS,EQ,1247.6,1273.0,1325.0,1251.55,1296.0,1293.95,1305.02,8559,1116967405000.0,,4663,0.5448
2010-10-14,RUBYMILLS,EQ,1293.95,1310.0,1350.0,1275.0,1300.0,1292.85,1320.22,12673,1673109505000.0,,4352,0.34340000000000004
2010-10-15,RUBYMILLS,EQ,1292.85,1261.0,1345.0,1142.3,1280.0,1292.45,1317.92,3031,399461815000.0,,1356,0.4474
2010-10-18,RUBYMILLS,EQ,1292.45,1309.0,1309.0,1260.0,1286.5,1283.8,1277.7,1559,199193570000.0,,555,0.35600000000000004
2010-10-19,RUBYMILLS,EQ,1283.8,1290.0,1308.0,1282.5,1292.0,1287.05,1290.05,2285,294775725000.0,,911,0.3987
2010-10-20,RUBYMILLS,EQ,1287.05,1250.0,1297.8,1250.0,1252.0,1253.15,1277.24,721,92088965000.0,,425,0.5895
2010-10-21,RUBYMILLS,EQ,1253.15,1270.0,1299.0,1262.1,1290.05,1295.55,1287.06,2501,321894630000.0,,1344,0.5374
2010-10-22,RUBYMILLS,EQ,1295.55,1293.95,1310.0,1239.9,1265.1,1267.9,1269.58,2319,294414540000.0,,638,0.2751
2010-10-25,RUBYMILLS,EQ,1267.9,1298.0,1299.7,1235.0,1244.9,1245.25,1260.16,893,112531970000.0,,511,0.5722
2010-10-26,RUBYMILLS,EQ,1245.25,1244.9,1260.0,1240.0,1255.0,1255.1,1254.26,569,71367495000.0,,181,0.3181
2010-10-27,RUBYMILLS,EQ,1255.1,1264.95,1264.95,1220.1,1221.5,1221.5,1236.43,626,77400420000.0,,272,0.43450000000000005
2010-10-28,RUBYMILLS,EQ,1221.5,1224.0,1274.95,1193.05,1244.0,1242.05,1242.47,1231,152948340000.0,,387,0.3144
2010-10-29,RUBYMILLS,EQ,1242.05,1239.0,1270.0,1236.0,1255.7,1248.35,1248.37,907,113227464999.99998,,420,0.4631
2010-11-01,RUBYMILLS,EQ,1248.35,1250.0,1277.5,1243.0,1254.0,1250.35,1250.68,849,106182500000.0,,835,0.9834999999999999
2010-11-02,RUBYMILLS,EQ,1250.35,1245.0,1258.0,1230.0,1254.0,1252.15,1249.37,287,35857045000.0,,244,0.8502
2010-11-03,RUBYMILLS,EQ,1252.15,1270.0,1274.0,1255.25,1265.0,1268.05,1267.17,2636,334025065000.0,,1030,0.3907
2010-11-04,RUBYMILLS,EQ,1268.05,1265.0,1270.0,1231.3,1232.35,1242.0,1255.15,1013,127146705000.0,,331,0.3268
2010-11-05,RUBYMILLS,EQ,1242.0,1260.0,1260.0,1240.25,1245.0,1247.6,1248.91,164,20482050000.0,,133,0.8109999999999999
2010-11-08,RUBYMILLS,EQ,1247.6,1247.6,1247.6,1225.0,1226.0,1226.0,1233.22,123,15168615000.0,,96,0.7805
2010-11-09,RUBYMILLS,EQ,1226.0,1239.0,1262.5,1231.0,1241.35,1243.2,1243.35,715,88899280000.0,,322,0.45030000000000003
2010-11-10,RUBYMILLS,EQ,1243.2,1240.0,1260.95,1240.0,1258.05,1253.4,1252.7,2236,280103410000.0,,1427,0.6382
2010-11-11,RUBYMILLS,EQ,1253.4,1258.05,1260.0,1221.0,1239.9,1231.0,1244.57,864,107531060000.00002,,501,0.5799000000000001
2010-11-12,RUBYMILLS,EQ,1231.0,1210.4,1259.95,1210.4,1238.0,1222.55,1236.24,1884,232907495000.00003,,1234,0.655
2010-11-15,RUBYMILLS,EQ,1222.55,1216.0,1239.5,1201.0,1209.0,1207.2,1214.48,1057,128370695000.0,,548,0.5184000000000001
2010-11-16,RUBYMILLS,EQ,1207.2,1192.05,1237.6,1128.0,1135.0,1138.9,1150.88,1025,117965625000.0,,700,0.6829000000000001
2010-11-18,RUBYMILLS,EQ,1138.9,1123.0,1180.0,1090.0,1180.0,1146.15,1127.83,639,72068485000.0,,295,0.4617
2010-11-19,RUBYMILLS,EQ,1146.15,1146.05,1165.75,1070.0,1099.0,1083.25,1103.01,1153,127177470000.0,,507,0.4397
2010-11-22,RUBYMILLS,EQ,1083.25,1095.0,1097.0,1072.05,1080.0,1080.0,1083.15,1203,130303295000.0,,541,0.4497
2010-11-23,RUBYMILLS,EQ,1080.0,1091.95,1091.95,1026.25,1060.25,1068.4,1061.27,425,45103845000.0,,323,0.76
