Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-12-03,RUCHIRA,EQ,19.4,19.9,19.9,18.7,18.8,18.8,19.02,3929,7474595000.0,,3427,0.8722
2010-12-06,RUCHIRA,EQ,18.8,18.8,19.75,18.5,19.75,19.75,19.41,17989,34916390000.0,,8469,0.4708
2010-12-07,RUCHIRA,EQ,19.75,20.5,20.75,20.0,20.5,20.35,20.55,34500,70897555000.0,,23686,0.6866
2010-12-08,RUCHIRA,EQ,20.35,19.75,20.35,19.35,19.35,19.35,19.64,17683,34726195000.0,,16211,0.9168000000000001
2010-12-09,RUCHIRA,EQ,19.35,20.0,20.0,18.4,18.4,18.4,18.72,12142,22726425000.0,,11200,0.9224
2010-12-10,RUCHIRA,EQ,18.4,18.4,18.9,17.5,18.45,18.5,17.84,71065,126745675000.0,,61260,0.8620000000000001
2010-12-13,RUCHIRA,EQ,18.5,17.65,19.35,17.6,18.7,18.65,18.46,14047,25925235000.0,,10740,0.7646
2010-12-14,RUCHIRA,EQ,18.65,18.75,18.75,18.25,18.25,18.4,18.44,6095,11236200000.0,,6095,1.0
2010-12-15,RUCHIRA,EQ,18.4,18.5,18.5,17.8,18.0,17.9,18.03,4149,7479270000.0,,3336,0.804
2010-12-16,RUCHIRA,EQ,17.9,17.7,18.25,17.0,17.55,18.0,17.47,7468,13047925000.0,,6028,0.8072
2010-12-20,RUCHIRA,EQ,18.0,17.6,18.0,17.25,17.5,17.6,17.68,8318,14708304999.999998,,7221,0.8681000000000001
2010-12-21,RUCHIRA,EQ,17.6,17.6,17.7,17.3,17.5,17.55,17.54,3998,7010805000.0,,3472,0.8684000000000001
2010-12-22,RUCHIRA,EQ,17.55,17.6,18.1,16.9,16.9,17.05,17.35,8920,15472515000.0,,8136,0.9120999999999999
2010-12-23,RUCHIRA,EQ,17.05,17.85,17.85,17.15,17.85,17.85,17.58,500,879150000.0,,350,0.7000000000000001
2010-12-24,RUCHIRA,EQ,17.85,17.35,17.75,17.05,17.2,17.2,17.24,2046,3527460000.0,,1496,0.7312000000000001
2010-12-27,RUCHIRA,EQ,17.2,18.0,18.1,18.0,18.1,18.1,18.09,2042,3693419999.9999995,,2042,1.0
2010-12-28,RUCHIRA,EQ,18.1,19.05,19.05,19.05,19.05,19.05,19.05,417,794385000.0,,417,1.0
2010-12-29,RUCHIRA,EQ,19.05,20.0,20.0,19.95,20.0,20.0,19.99,29119,58217469999.99999,,28095,0.9648000000000001
2010-12-30,RUCHIRA,EQ,20.0,20.9,21.0,20.5,21.0,21.0,20.96,78421,164392770000.0,,59383,0.7572
2010-12-31,RUCHIRA,EQ,21.0,22.05,22.05,21.5,22.05,22.05,22.01,117498,258663270000.00003,,95958,0.8167
2011-01-03,RUCHIRA,EQ,22.05,22.05,23.15,22.0,22.6,22.65,22.88,60781,139070275000.0,,34146,0.5618
2011-01-04,RUCHIRA,EQ,22.65,22.85,22.85,21.55,21.55,21.55,21.84,34585,75535070000.0,,27428,0.7931
2011-01-05,RUCHIRA,EQ,21.55,20.5,21.4,20.5,21.0,21.3,20.92,19050,39859460000.0,,12604,0.6616
2011-01-06,RUCHIRA,EQ,21.3,21.0,21.6,21.0,21.05,21.2,21.24,8675,18428825000.0,,6302,0.7265
2011-03-07,RUCHIRA,EQ,13.05,12.4,13.65,12.4,13.65,13.5,13.33,3701,4934415000.0,,3523,0.9519
2011-03-08,RUCHIRA,EQ,13.5,13.5,14.5,12.3,12.75,12.55,12.59,41496,52250590000.0,,38287,0.9227
2011-03-09,RUCHIRA,EQ,12.55,12.6,13.0,12.1,12.55,12.55,12.54,21061,26408245000.0,,20960,0.9952
2011-03-10,RUCHIRA,EQ,12.55,13.1,13.1,12.15,12.8,12.95,12.92,13656,17647825000.0,,11418,0.8361000000000001
2011-03-11,RUCHIRA,EQ,12.95,12.35,12.8,12.0,12.8,12.8,12.54,7569,9494105000.0,,6567,0.8676
2011-03-14,RUCHIRA,EQ,12.8,12.65,12.95,12.45,12.45,12.7,12.69,740,939050000.0,,650,0.8784000000000001
2011-03-15,RUCHIRA,EQ,12.7,11.6,12.5,11.55,12.5,12.4,11.8,4425,5223520000.0,,3290,0.7434999999999999
2011-03-16,RUCHIRA,EQ,12.4,11.6,13.3,11.6,12.1,12.1,11.93,787,939179999.9999999,,636,0.8081
2011-03-17,RUCHIRA,EQ,12.1,11.5,12.6,10.9,12.1,12.0,11.42,24623,28109720000.0,,11049,0.4487
2011-03-18,RUCHIRA,EQ,12.0,12.5,12.5,11.7,11.8,11.8,11.95,1941,2319430000.0,,1241,0.6394
2011-03-21,RUCHIRA,EQ,11.8,11.05,11.9,11.05,11.9,11.85,11.7,4153,4858280000.0,,2953,0.7111
2011-03-22,RUCHIRA,EQ,11.85,11.0,11.85,11.0,11.65,11.7,11.36,3568,4053169999.9999995,,2920,0.8184
2011-03-23,RUCHIRA,EQ,11.7,11.05,11.85,11.05,11.4,11.3,11.23,4566,5127715000.0,,3951,0.8653000000000001
2011-03-24,RUCHIRA,EQ,11.3,11.0,11.75,11.0,11.5,11.5,11.55,4751,5485170000.0,,4488,0.9446
2011-03-25,RUCHIRA,EQ,11.5,11.95,12.0,11.5,12.0,12.0,11.64,5800,6750600000.0,,5800,1.0
2011-03-28,RUCHIRA,EQ,12.0,11.15,12.1,11.15,11.5,11.5,11.71,5540,6488665000.0,,4387,0.7919
