Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2011-12-07,RUPA,EQ,146.6,154.95,154.95,144.35,147.0,146.4,146.55,1177,17249385000.0,44,300,0.2549
2011-12-08,RUPA,EQ,146.4,145.25,145.25,145.0,145.0,145.0,145.13,433,6284180000.0,12,227,0.5242
2011-12-09,RUPA,EQ,145.0,144.0,145.25,144.0,145.0,145.0,144.98,1775,25734650000.0,14,1773,0.9989
2011-12-12,RUPA,EQ,145.0,145.25,145.25,144.75,144.75,144.75,144.93,642,9304200000.0,11,444,0.6916
2011-12-13,RUPA,EQ,144.75,170.0,170.0,145.0,145.25,145.25,148.45,1466,21762625000.0,14,1260,0.8595
2011-12-14,RUPA,EQ,145.25,145.1,145.25,144.95,145.0,145.0,145.0,5230,75835540000.0,11,5229,0.9998
2011-12-15,RUPA,EQ,145.0,145.1,145.1,145.0,145.0,145.0,145.03,210,3045550000.0,5,210,1.0
2011-12-16,RUPA,EQ,145.0,145.25,145.25,140.0,145.0,145.0,144.99,5078,73625275000.0,10,5015,0.9876
2011-12-19,RUPA,EQ,145.0,145.0,145.0,116.35,140.0,140.05,137.68,11671,160687065000.0,109,9751,0.8355
2011-12-20,RUPA,EQ,140.05,140.0,148.0,140.0,145.0,145.0,144.68,5947,86039080000.0,36,5933,0.9976
2011-12-21,RUPA,EQ,145.0,142.0,142.0,142.0,142.0,142.0,142.0,1,14200000.0,1,1,1.0
2011-12-22,RUPA,EQ,142.0,142.0,142.0,142.0,142.0,142.0,142.0,3002,42628400000.0,10,3000,0.9993000000000001
2011-12-23,RUPA,EQ,142.0,142.0,142.1,142.0,142.1,142.1,142.0,1026,14569210000.0,3,1026,1.0
2011-12-26,RUPA,EQ,142.1,145.25,145.25,145.25,145.25,145.25,145.25,10,145250000.0,1,10,1.0
2011-12-27,RUPA,EQ,145.25,144.5,144.5,144.5,144.5,144.5,144.5,5,72250000.0,1,5,1.0
2011-12-28,RUPA,EQ,144.5,145.25,145.25,142.0,142.0,142.0,142.1,103,1463625000.0,6,103,1.0
2011-12-29,RUPA,EQ,142.0,142.0,144.5,142.0,144.5,144.5,142.01,362,5140900000.0,3,362,1.0
2011-12-30,RUPA,EQ,144.5,145.25,145.25,142.0,142.0,142.0,142.06,102,1449050000.0,3,102,1.0
2012-01-02,RUPA,EQ,142.0,143.0,143.0,142.0,142.9,142.9,142.54,848,12087100000.0,5,848,1.0
2012-01-03,RUPA,EQ,142.9,145.0,145.0,130.0,138.0,139.15,131.65,579,7622530000.0,30,510,0.8808
2012-01-04,RUPA,EQ,139.15,141.95,145.05,133.0,137.5,136.1,140.05,3787,53036530000.00001,70,3425,0.9044
2012-01-05,RUPA,EQ,136.1,142.9,144.05,136.0,142.0,142.5,142.24,3892,55359144999.99999,37,2664,0.6845
2012-01-06,RUPA,EQ,142.5,142.0,142.0,141.4,141.95,141.45,141.66,3003,42541290000.0,11,2501,0.8328
2012-01-07,RUPA,EQ,141.45,142.0,142.0,142.0,142.0,142.0,142.0,948,13461600000.0,5,948,1.0
2012-01-09,RUPA,EQ,142.0,140.1,142.0,135.2,142.0,139.75,139.86,163,2279670000.0,11,150,0.9202
2012-01-10,RUPA,EQ,139.75,142.0,144.9,140.0,140.1,141.15,142.03,6911,98157650000.0,28,6396,0.9255
2012-01-11,RUPA,EQ,141.15,141.1,143.85,141.1,141.1,141.1,141.8,3324,47132730000.0,21,3302,0.9934000000000001
2012-01-12,RUPA,EQ,141.1,140.15,140.95,138.15,138.15,138.95,139.76,947,13235454999.999998,20,722,0.7624
2012-01-13,RUPA,EQ,138.95,139.0,142.0,138.75,142.0,141.1,140.9,11385,160418850000.0,14,11065,0.9719
2012-01-16,RUPA,EQ,141.1,142.0,142.0,141.0,141.5,141.5,141.09,9081,128122210000.00002,46,9081,1.0
2012-01-17,RUPA,EQ,141.5,141.0,143.0,140.0,141.0,141.0,141.04,1351,19054000000.0,10,1300,0.9623
2012-01-18,RUPA,EQ,141.0,141.0,142.0,141.0,142.0,142.0,141.2,500,7060000000.0,4,500,1.0
2012-01-19,RUPA,EQ,142.0,141.1,143.0,141.0,141.0,141.65,141.83,575,8155120000.0,20,551,0.9583
2012-01-20,RUPA,EQ,141.65,144.9,144.9,141.0,141.05,141.15,141.17,651,9190325000.0,8,650,0.9984999999999999
2012-01-23,RUPA,EQ,141.15,141.05,141.05,141.05,141.05,141.05,141.05,51,719355000.0,2,51,1.0
2012-01-24,RUPA,EQ,141.05,145.0,145.0,141.0,141.0,141.55,141.25,1244,17571790000.0,8,1044,0.8392000000000001
2012-01-25,RUPA,EQ,141.55,143.8,143.8,141.0,143.0,143.0,141.97,407,5778345000.0,9,406,0.9975
2012-01-27,RUPA,EQ,143.0,140.0,142.0,140.0,141.0,141.1,140.61,1922,27026200000.0,13,1048,0.5453
2012-01-30,RUPA,EQ,141.1,144.0,144.0,141.0,141.0,141.0,142.95,102,1458100000.0,8,102,1.0
2012-01-31,RUPA,EQ,141.0,144.0,144.0,144.0,144.0,144.0,144.0,50,720000000.0,2,50,1.0
2012-02-01,RUPA,EQ,144.0,143.7,143.7,143.7,143.7,143.7,143.7,60,862200000.0,1,60,1.0
2012-02-02,RUPA,EQ,143.7,143.6,143.6,142.0,142.0,142.0,142.53,300,4276000000.0,3,300,1.0
2012-02-03,RUPA,EQ,142.0,142.0,142.0,141.1,142.0,142.0,142.0,476,6759110000.000001,9,476,1.0
2012-02-06,RUPA,EQ,142.0,142.5,142.5,141.0,141.0,141.0,141.17,821,11590305000.0,16,759,0.9245000000000001
2012-02-07,RUPA,EQ,141.0,141.0,141.4,130.1,141.4,141.4,139.69,3024,42240970000.0,27,2524,0.8347
2012-02-08,RUPA,EQ,141.4,142.0,143.75,141.1,143.0,143.0,142.14,1290,18335430000.0,16,993,0.7698
2012-02-09,RUPA,EQ,143.0,142.0,142.6,141.0,141.0,141.15,141.7,31,439260000.00000006,3,31,1.0
2012-02-10,RUPA,EQ,141.15,143.9,143.9,135.0,139.55,140.0,139.35,2459,34265245000.0,23,2330,0.9475
2012-02-13,RUPA,EQ,140.0,140.95,141.05,137.0,137.0,138.65,140.19,3191,44733750000.0,42,2418,0.7578
2012-02-14,RUPA,EQ,138.65,141.0,142.0,140.0,140.4,140.25,141.02,1372,19347940000.0,29,1230,0.8965000000000001
2012-02-15,RUPA,EQ,140.25,140.0,141.0,138.15,138.15,138.15,140.04,995,13933650000.0,11,850,0.8543000000000001
2012-02-16,RUPA,EQ,138.15,142.0,142.0,139.1,140.0,140.0,140.86,2492,35103375000.0,68,1495,0.5999
2012-02-17,RUPA,EQ,140.0,145.5,147.0,137.0,141.15,141.05,140.53,2619,36804890000.0,39,1525,0.5822999999999999
2012-02-21,RUPA,EQ,141.05,141.0,141.0,139.0,140.5,140.5,139.64,90,1256750000.0,6,60,0.6667000000000001
2012-02-22,RUPA,EQ,140.5,140.95,140.95,139.0,139.0,139.0,139.75,13,181675000.0,2,13,1.0
2012-02-23,RUPA,EQ,139.0,136.0,140.25,133.0,140.0,140.0,139.93,19577,273947365000.0,69,19345,0.9881000000000001
2012-02-24,RUPA,EQ,140.0,138.0,141.5,138.0,140.0,140.0,139.5,1699,23701000000.0,9,1209,0.7116
2012-02-27,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,1185,16590000000.0,9,1185,1.0
2012-02-28,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,2502,35028000000.0,7,2500,0.9992000000000001
2012-02-29,RUPA,EQ,140.0,140.0,142.9,140.0,140.0,140.0,140.03,554,7757410000.000001,5,504,0.9097
2012-03-01,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,136,1904000000.0,4,136,1.0
2012-03-02,RUPA,EQ,140.0,139.7,140.1,139.7,140.0,140.0,140.0,2101,29414220000.0,6,2101,1.0
2012-03-03,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,100,1400000000.0,1,100,1.0
2012-03-05,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,870,12180000000.0,6,870,1.0
2012-03-06,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,1573,22022000000.0,11,1573,1.0
2012-03-07,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,2520,35280000000.0,20,2518,0.9992000000000001
2012-03-09,RUPA,EQ,140.0,141.0,141.0,140.0,140.0,140.0,140.39,1290,18110300000.0,14,1288,0.9984000000000001
2012-03-12,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,70,980000000.0,1,70,1.0
2012-03-13,RUPA,EQ,140.0,140.0,141.0,140.0,140.0,140.1,140.09,114,1597000000.0,3,114,1.0
2012-03-14,RUPA,EQ,140.1,140.0,141.0,140.0,140.0,140.0,140.0,3747,52458100000.0,24,3745,0.9995
2012-03-15,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,94,1316000000.0,3,94,1.0
2012-03-19,RUPA,EQ,140.0,140.0,140.0,138.0,138.0,138.0,140.0,2503,35041400000.0,14,2503,1.0
2012-03-20,RUPA,EQ,138.0,140.0,140.0,140.0,140.0,140.0,140.0,3002,42028000000.0,16,3000,0.9993000000000001
2012-03-21,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,175,2450000000.0,3,175,1.0
2012-03-22,RUPA,EQ,140.0,140.0,140.1,140.0,140.0,140.0,140.0,1800,25200300000.0,7,1800,1.0
2012-03-23,RUPA,EQ,140.0,140.0,143.0,140.0,140.0,140.0,140.58,259,3641000000.0,6,208,0.8031
2012-03-26,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,2750,38500000000.0,9,2750,1.0
2012-03-27,RUPA,EQ,140.0,140.0,145.0,140.0,140.0,140.0,140.01,466,6524500000.0,12,464,0.9956999999999999
2012-03-28,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,1265,17710000000.0,19,1264,0.9992000000000001
2012-03-29,RUPA,EQ,140.0,140.0,140.5,140.0,140.5,140.5,140.03,954,13358500000.0,12,953,0.9990000000000001
2012-03-30,RUPA,EQ,140.5,140.0,142.0,140.0,140.0,140.0,140.0,652,9128200000.0,9,651,0.9984999999999999
2012-04-02,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,121,1694000000.0,5,121,1.0
2012-04-03,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,150,2100000000.0,3,150,1.0
2012-04-04,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,45,630000000.0,3,45,1.0
2012-04-09,RUPA,EQ,140.0,156.6,159.0,145.0,152.0,151.3,152.26,11592,176497165000.0,426,3655,0.3153
2012-04-10,RUPA,EQ,151.3,154.0,156.45,149.0,151.9,151.45,152.85,14467,221125115000.0,123,8847,0.6115
2012-04-11,RUPA,EQ,151.45,142.0,152.7,142.0,146.95,146.95,147.69,271,4002340000.0,7,60,0.2214
2012-04-12,RUPA,EQ,146.95,150.0,150.0,142.0,147.9,147.9,146.38,32,468400000.0,9,29,0.9062000000000001
2012-04-13,RUPA,EQ,147.9,146.0,150.0,144.0,145.0,145.0,146.5,417,6109100000.0,20,340,0.8153
2012-04-16,RUPA,EQ,145.0,145.0,151.0,142.0,145.0,145.0,147.67,1615,23848495000.0,51,1495,0.9257
2012-04-17,RUPA,EQ,145.0,149.7,152.5,147.15,147.25,149.0,149.45,1227,18337235000.0,30,1185,0.9658
2012-04-18,RUPA,EQ,149.0,152.7,152.7,147.5,148.0,148.0,148.78,589,8763065000.0,17,548,0.9304000000000001
2012-04-19,RUPA,EQ,148.0,148.6,150.0,146.9,146.95,146.95,147.93,662,9792735000.0,24,650,0.9819
2012-04-20,RUPA,EQ,146.95,141.5,152.0,141.5,149.95,149.95,151.28,454,6868050000.0,8,451,0.9934000000000001
2012-04-23,RUPA,EQ,149.95,150.0,150.0,142.65,148.5,148.5,146.06,347,5068210000.0,19,295,0.8501000000000001
2012-04-24,RUPA,EQ,148.5,143.65,148.8,142.0,143.0,147.4,144.75,507,7338705000.0,30,288,0.568
2012-04-25,RUPA,EQ,147.4,147.0,153.0,141.6,149.0,142.8,144.4,588,8490775000.0,33,574,0.9762000000000001
2012-04-26,RUPA,EQ,142.8,147.0,147.0,140.05,142.0,142.2,142.01,2361,33528550000.0,27,2211,0.9365000000000001
2012-04-27,RUPA,EQ,142.2,143.8,143.8,139.0,140.2,140.1,141.41,395,5585725000.0,23,389,0.9848
2012-04-28,RUPA,EQ,140.1,141.9,141.9,137.55,137.55,137.75,139.36,4,55745000.00000001,4,2,0.5
2012-04-30,RUPA,EQ,137.75,141.0,141.0,138.1,138.1,138.2,140.42,747,10489030000.0,17,745,0.9973000000000001
2012-05-02,RUPA,EQ,138.2,136.65,149.95,136.65,144.0,143.9,144.25,832,12001245000.0,32,757,0.9098999999999999
2012-05-03,RUPA,EQ,143.9,141.5,141.5,137.0,140.35,140.35,139.88,187,2615825000.0,17,182,0.9733
2012-05-04,RUPA,EQ,140.35,140.0,140.0,139.95,139.95,139.95,139.99,6,83995000.0,3,5,0.8333
2012-05-07,RUPA,EQ,139.95,136.15,142.7,134.0,142.7,142.4,139.7,1204,16820185000.0,36,600,0.4983
2012-05-08,RUPA,EQ,142.4,141.0,141.0,141.0,141.0,141.0,141.0,21,296100000.0,1,21,1.0
2012-05-09,RUPA,EQ,141.0,145.2,145.2,135.0,140.0,139.75,140.55,1211,17020785000.0,18,1207,0.9967
2012-05-10,RUPA,EQ,139.75,140.0,140.0,140.0,140.0,140.0,140.0,8,112000000.0,2,8,1.0
2012-05-11,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,1114,15596000000.0,14,1114,1.0
2012-05-14,RUPA,EQ,140.0,140.0,140.25,140.0,140.0,140.0,140.01,794,11117125000.0,13,749,0.9433
2012-05-15,RUPA,EQ,140.0,140.0,140.0,140.0,140.0,140.0,140.0,215,3010000000.0,4,205,0.9535
