Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2016-09-29,SABEVENTS,EQ,60.5,54.45,54.45,54.45,54.45,54.45,54.45,2036,11086020000.0,18,2036,1.0
2016-09-30,SABEVENTS,EQ,54.45,49.05,50.0,49.05,49.05,49.05,49.58,7654,37950520000.0,64,6732,0.8795000000000001
2016-10-03,SABEVENTS,EQ,49.05,44.2,53.95,44.2,53.9,53.9,51.22,1167,5977190000.0,29,837,0.7172
2016-10-04,SABEVENTS,EQ,53.9,49.05,58.0,49.05,53.75,53.75,55.18,1821,10048910000.0,64,1171,0.6431
2016-10-05,SABEVENTS,EQ,53.75,54.0,54.0,52.0,52.0,52.3,52.4,2644,13854579999.999998,49,1074,0.4062
2016-10-06,SABEVENTS,EQ,52.3,51.0,54.0,51.0,54.0,51.65,51.43,477,2453385000.0,29,443,0.9287000000000001
2016-10-07,SABEVENTS,EQ,51.65,51.0,52.5,51.0,51.1,51.65,51.79,5423,28085850000.0,179,104,0.0192
2016-10-10,SABEVENTS,EQ,51.65,52.5,54.85,49.5,50.55,50.05,50.6,2872,14531925000.0,31,2695,0.9384
2016-10-13,SABEVENTS,EQ,50.05,51.05,53.7,50.5,53.0,52.15,51.42,286,1470620000.0,38,185,0.6469
2016-10-14,SABEVENTS,EQ,52.15,54.7,54.7,47.4,53.9,53.0,52.57,5307,27896600000.0,126,165,0.0311
2016-10-17,SABEVENTS,EQ,53.0,51.0,52.1,50.8,50.8,51.15,51.31,6501,33358715000.000004,127,780,0.12
2016-10-18,SABEVENTS,EQ,51.15,52.5,54.0,52.05,54.0,54.0,53.26,6437,34286515000.000004,130,1021,0.1586
2016-10-19,SABEVENTS,EQ,54.0,54.0,54.0,51.0,53.8,52.85,52.58,5511,28978520000.0,134,356,0.0646
2016-10-20,SABEVENTS,EQ,52.85,54.5,54.5,52.5,53.65,52.65,53.2,5979,31809150000.0,128,821,0.1373
2016-10-21,SABEVENTS,EQ,52.65,53.0,53.0,51.0,51.05,52.0,52.53,5676,29814350000.0,118,601,0.1059
2016-10-24,SABEVENTS,EQ,52.0,52.0,53.0,51.0,52.5,52.35,51.92,9248,48015605000.0,127,1109,0.1199
2016-10-25,SABEVENTS,EQ,52.35,53.0,53.95,52.1,53.5,52.9,52.9,7593,40170635000.0,118,132,0.0174
2016-10-26,SABEVENTS,EQ,52.9,53.0,53.95,51.0,51.15,51.15,52.61,5292,27839090000.000004,64,204,0.0385
2016-10-27,SABEVENTS,EQ,51.15,51.5,54.4,51.0,51.0,51.0,52.17,5348,27903180000.0,72,242,0.0453
2016-10-28,SABEVENTS,EQ,51.0,52.0,53.9,51.2,53.7,53.7,52.94,9123,48294860000.0,53,4080,0.4472
2016-10-30,SABEVENTS,EQ,53.7,53.5,53.5,52.0,52.0,52.0,52.14,1100,5735150000.0,12,0,0.0
2016-11-01,SABEVENTS,EQ,52.0,53.0,55.0,51.6,52.0,52.0,52.75,5626,29675675000.0,48,545,0.0969
2016-11-02,SABEVENTS,EQ,52.0,52.0,52.1,50.15,51.25,51.25,51.36,5037,25869605000.0,47,16,0.0032
2016-11-03,SABEVENTS,EQ,51.25,52.0,52.05,50.1,50.1,50.2,51.72,5708,29519095000.0,55,599,0.10490000000000001
2016-11-04,SABEVENTS,EQ,50.2,50.5,51.5,48.15,51.0,50.95,50.23,5212,26178085000.0,52,126,0.0242
2016-11-07,SABEVENTS,EQ,50.95,50.95,53.9,50.0,53.9,50.5,51.32,6220,31920050000.0,57,820,0.1318
2016-11-08,SABEVENTS,EQ,50.5,50.5,52.5,50.5,52.45,51.35,52.06,5037,26220665000.000004,33,36,0.0070999999999999995
2016-11-09,SABEVENTS,EQ,51.35,50.0,55.0,50.0,52.0,52.0,51.91,5900,30628940000.000004,38,760,0.1288
2016-11-10,SABEVENTS,EQ,52.0,52.0,55.0,50.0,54.0,50.95,52.11,5329,27769145000.0,48,179,0.0336
2016-11-11,SABEVENTS,EQ,50.95,52.5,53.95,50.0,53.95,52.0,50.62,20592,104231145000.0,54,15566,0.7559
2016-11-15,SABEVENTS,EQ,52.0,52.0,52.5,49.0,52.5,49.6,51.52,5577,28732059999.999996,43,468,0.0839
