Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SAKHTISUG,EQ,63.05,63.5,63.7,61.6,61.75,61.95,62.32,232181,1446853285000.0,,96114,0.414
2010-10-05,SAKHTISUG,EQ,61.95,60.1,62.65,60.1,61.8,61.7,61.87,221391,1369791950000.0,,84875,0.3834
2010-10-06,SAKHTISUG,EQ,61.7,62.3,62.7,61.3,61.75,61.7,61.83,182878,1130806445000.0,,65767,0.35960000000000003
2010-10-07,SAKHTISUG,EQ,61.7,61.6,62.25,60.0,60.7,60.6,61.24,233886,1432382040000.0,,110390,0.47200000000000003
2010-10-08,SAKHTISUG,EQ,60.6,60.95,61.5,59.6,59.7,59.95,60.39,240246,1450919855000.0,,106256,0.44229999999999997
2010-10-11,SAKHTISUG,EQ,59.95,60.55,60.95,59.7,60.25,60.65,60.34,209699,1265303955000.0,,81848,0.39030000000000004
2010-10-12,SAKHTISUG,EQ,60.65,60.95,60.95,58.1,60.1,60.1,60.04,146036,876857180000.0001,,56419,0.38630000000000003
2010-10-13,SAKHTISUG,EQ,60.1,60.1,61.0,59.95,60.0,60.1,60.34,181858,1097388285000.0,,74957,0.4122
2010-10-14,SAKHTISUG,EQ,60.1,60.3,60.7,59.0,59.1,59.25,59.66,90853,542016365000.00006,,44884,0.494
2010-10-15,SAKHTISUG,EQ,59.25,59.25,59.95,58.25,58.3,58.6,58.88,134073,789354845000.0,,72335,0.5395000000000001
2010-10-18,SAKHTISUG,EQ,58.6,61.15,61.15,58.3,59.0,58.95,58.97,170037,1002740644999.9999,,55216,0.3247
2010-10-19,SAKHTISUG,EQ,58.95,59.9,60.25,57.5,57.7,58.0,58.94,82784,487905325000.0,,43374,0.5239
2010-10-20,SAKHTISUG,EQ,58.0,58.0,61.2,57.1,59.5,59.85,59.76,492888,2945576485000.0,,138667,0.2813
2010-10-21,SAKHTISUG,EQ,59.85,60.5,62.0,60.3,60.6,60.75,61.03,229538,1400876255000.0,,84809,0.36950000000000005
2010-10-22,SAKHTISUG,EQ,60.75,60.05,62.25,59.5,60.85,60.65,61.23,269268,1648645970000.0,,86551,0.3214
2010-10-25,SAKHTISUG,EQ,60.65,61.8,61.9,60.5,60.9,61.05,61.19,171053,1046700019999.9999,,56415,0.3298
2010-10-26,SAKHTISUG,EQ,61.05,62.0,63.1,61.4,61.4,61.65,62.19,359751,2237275460000.0,,126112,0.3506
2010-10-27,SAKHTISUG,EQ,61.65,61.9,61.9,60.05,60.2,60.4,60.78,78114,474756920000.0,,43106,0.5518
2010-10-28,SAKHTISUG,EQ,60.4,60.9,61.5,59.4,59.4,59.8,60.53,157933,955941169999.9999,,52983,0.33549999999999996
2010-10-29,SAKHTISUG,EQ,59.8,60.2,60.8,57.8,58.3,58.25,59.26,157522,933456630000.0001,,75535,0.47950000000000004
2010-11-01,SAKHTISUG,EQ,58.25,59.9,59.9,58.6,59.5,59.3,59.3,92963,551258200000.0,,47873,0.515
2010-11-02,SAKHTISUG,EQ,59.3,59.4,59.7,58.4,58.65,58.75,59.07,125993,744209580000.0,,45482,0.36100000000000004
2010-11-03,SAKHTISUG,EQ,58.75,59.7,60.1,58.4,58.6,58.7,59.43,119975,713012310000.0,,56859,0.4739
2010-11-04,SAKHTISUG,EQ,58.7,59.9,59.9,58.6,59.5,59.5,59.22,114911,680466280000.0,,46668,0.4061
2010-11-05,SAKHTISUG,EQ,59.5,60.0,60.9,59.6,60.2,60.1,60.28,60277,363322745000.0,,42676,0.708
2010-11-08,SAKHTISUG,EQ,60.1,60.2,67.3,59.8,65.75,65.5,64.69,2264883,14652563075000.0,,639625,0.2824
2010-11-09,SAKHTISUG,EQ,65.5,66.2,68.2,64.05,64.95,64.7,66.04,1261880,8333528484999.999,,465975,0.3693
2010-11-10,SAKHTISUG,EQ,64.7,65.2,68.2,64.05,64.85,65.0,65.87,1908390,12570400100000.0,,634434,0.33240000000000003
2010-11-11,SAKHTISUG,EQ,65.0,66.0,66.0,62.0,63.6,62.9,63.88,592186,3783121354999.9995,,270849,0.45740000000000003
2010-11-12,SAKHTISUG,EQ,62.9,62.5,63.6,60.0,60.15,60.35,61.45,331032,2034278370000.0,,150569,0.4548
2010-11-15,SAKHTISUG,EQ,60.35,60.0,60.3,55.2,59.1,59.0,58.68,264180,1550233410000.0,,78478,0.29710000000000003
2010-11-16,SAKHTISUG,EQ,59.0,59.45,60.3,55.55,56.25,56.0,57.59,312010,1796896780000.0,,134638,0.4315
2010-11-18,SAKHTISUG,EQ,56.0,57.9,57.9,53.75,55.35,55.4,55.1,267617,1474465525000.0,,130832,0.4889
2010-11-19,SAKHTISUG,EQ,55.4,55.8,56.5,54.05,54.6,54.55,55.65,196653,1094454340000.0,,76720,0.3901
2010-11-22,SAKHTISUG,EQ,54.55,54.75,55.65,52.75,53.9,53.9,54.12,213706,1156539115000.0,,90615,0.424
2010-11-23,SAKHTISUG,EQ,53.9,53.6,54.9,52.15,53.15,53.05,53.28,160740,856361269999.9999,,67268,0.41850000000000004
2010-11-24,SAKHTISUG,EQ,53.05,53.1,54.5,52.15,52.6,52.85,53.62,141265,757460835000.0,,40032,0.2834
2010-11-25,SAKHTISUG,EQ,52.85,53.0,53.75,51.5,51.85,51.8,52.61,80690,424531359999.99994,,41323,0.5121
2010-11-26,SAKHTISUG,EQ,51.8,51.2,52.85,46.0,47.5,47.8,48.93,262401,1283876375000.0,,129832,0.49479999999999996
2010-11-29,SAKHTISUG,EQ,47.8,49.9,50.7,46.0,49.9,49.95,48.76,174735,851972680000.0001,,68484,0.39189999999999997
2010-11-30,SAKHTISUG,EQ,49.95,49.95,51.5,48.0,50.85,50.9,50.47,145470,734200065000.0,,65518,0.4504
2010-12-01,SAKHTISUG,EQ,50.9,52.35,60.0,52.1,55.4,55.0,55.05,470518,2590106260000.0,,139215,0.2959
2010-12-02,SAKHTISUG,EQ,55.0,56.2,58.2,54.5,55.65,56.05,56.67,434900,2464763090000.0,,109984,0.2529
2010-12-03,SAKHTISUG,EQ,56.05,55.9,57.35,53.6,54.75,54.9,55.43,317609,1760511800000.0,,71100,0.22390000000000002
2010-12-06,SAKHTISUG,EQ,54.9,55.55,56.2,53.5,53.5,53.9,55.12,143487,790949380000.0,,52920,0.3688
2010-12-07,SAKHTISUG,EQ,53.9,53.2,54.4,50.4,52.2,52.15,52.15,201591,1051376250000.0,,73984,0.36700000000000005
2010-12-08,SAKHTISUG,EQ,52.15,52.1,53.2,50.1,50.25,50.3,51.44,233252,1199942675000.0,,96879,0.4153
2010-12-09,SAKHTISUG,EQ,50.3,51.0,51.25,47.1,47.8,47.55,48.98,210957,1033237680000.0001,,109620,0.5196000000000001
2010-12-10,SAKHTISUG,EQ,47.55,47.85,50.5,47.5,50.0,49.85,49.25,218251,1074869115000.0,,102259,0.4685
2010-12-13,SAKHTISUG,EQ,49.85,50.05,51.5,48.5,51.3,51.15,50.87,115346,586819595000.0,,42481,0.3683
2010-12-14,SAKHTISUG,EQ,51.15,51.8,53.2,49.6,52.0,52.0,52.2,174534,911134785000.0,,66892,0.3833
2010-12-15,SAKHTISUG,EQ,52.0,51.35,52.65,49.6,50.5,50.2,51.23,119136,610274920000.0,,48082,0.4036
2010-12-16,SAKHTISUG,EQ,50.2,52.8,60.0,52.8,55.2,55.05,55.36,1216682,6735088105000.0,,266799,0.2193
2010-12-20,SAKHTISUG,EQ,55.05,55.1,56.3,53.35,54.95,54.85,55.14,534965,2949767500000.0,,224890,0.4204
2010-12-21,SAKHTISUG,EQ,54.85,55.45,56.25,54.65,56.1,55.7,55.46,317810,1762587425000.0,,112734,0.3547
2010-12-22,SAKHTISUG,EQ,55.7,57.0,57.3,54.55,54.7,54.9,55.69,353638,1969447610000.0002,,139526,0.3945
2010-12-23,SAKHTISUG,EQ,54.9,55.4,57.4,54.35,57.25,56.65,55.9,462969,2587963925000.0,,181277,0.39159999999999995
2010-12-24,SAKHTISUG,EQ,56.65,58.0,59.9,57.5,58.8,58.7,58.63,1112363,6521762865000.0,,256985,0.231
2010-12-27,SAKHTISUG,EQ,58.7,59.0,60.3,58.15,59.15,58.75,59.58,678929,4045039040000.0,,224820,0.3311
2010-12-28,SAKHTISUG,EQ,58.75,59.35,59.35,57.0,58.3,58.05,57.81,305442,1765850545000.0,,81197,0.2658
2010-12-29,SAKHTISUG,EQ,58.05,58.5,59.5,58.2,58.45,58.65,58.83,393950,2317597780000.0,,128748,0.3268
2010-12-30,SAKHTISUG,EQ,58.65,58.75,59.25,57.6,58.5,58.45,58.12,268925,1562873065000.0,,96782,0.35990000000000005
2010-12-31,SAKHTISUG,EQ,58.45,58.25,58.25,57.05,57.15,57.2,57.42,228967,1314726200000.0,,100305,0.43810000000000004
2011-01-03,SAKHTISUG,EQ,57.2,57.3,58.9,57.3,58.7,58.45,58.3,192519,1122413910000.0,,87721,0.4556
2011-01-04,SAKHTISUG,EQ,58.45,58.95,60.8,58.1,59.7,59.6,59.83,631372,3777679904999.9995,,189861,0.3007
2011-01-05,SAKHTISUG,EQ,59.6,59.8,59.9,57.6,57.85,57.95,58.69,260584,1529299100000.0,,77403,0.297
2011-01-06,SAKHTISUG,EQ,57.95,58.0,58.75,56.3,56.55,56.6,57.24,181189,1037181405000.0001,,49335,0.2723
2011-01-07,SAKHTISUG,EQ,56.6,56.35,56.8,54.0,54.15,54.3,55.13,173646,957270955000.0001,,72140,0.4154
2011-01-10,SAKHTISUG,EQ,54.3,54.55,54.55,51.5,51.6,51.95,53.01,178689,947229944999.9999,,77185,0.43200000000000005
2011-01-11,SAKHTISUG,EQ,51.95,51.95,52.55,49.1,50.25,49.75,50.87,296091,1506318740000.0,,109634,0.3703
2011-01-12,SAKHTISUG,EQ,49.75,51.35,52.35,50.05,52.0,52.05,51.12,226281,1156850330000.0,,74729,0.33020000000000005
2011-01-13,SAKHTISUG,EQ,52.05,52.1,52.75,51.05,51.05,51.25,51.69,114544,592110325000.0,,31962,0.27899999999999997
2011-01-14,SAKHTISUG,EQ,51.25,48.45,52.9,48.45,50.8,50.85,51.74,236000,1220984715000.0,,65103,0.2759
2011-01-17,SAKHTISUG,EQ,50.85,51.5,51.5,49.6,50.25,49.85,50.08,135032,676237400000.0,,39803,0.2948
2011-01-18,SAKHTISUG,EQ,49.85,50.95,50.95,49.6,49.8,50.1,50.03,92166,461145975000.0,,34205,0.3711
2011-01-19,SAKHTISUG,EQ,50.1,50.5,51.4,49.5,50.0,50.15,50.34,118303,595483520000.0,,39207,0.33140000000000003
2011-01-20,SAKHTISUG,EQ,50.15,49.25,50.6,49.0,50.05,50.15,50.09,101216,506960895000.0,,31881,0.315
2011-01-21,SAKHTISUG,EQ,50.15,49.75,51.2,49.65,50.4,50.3,50.44,102046,514726150000.0,,33741,0.3306
2011-01-24,SAKHTISUG,EQ,50.3,49.2,51.2,49.1,50.4,50.65,50.55,76771,388051680000.0,,22206,0.2892
2011-01-25,SAKHTISUG,EQ,50.65,51.0,51.2,49.65,49.85,49.9,50.42,84255,424832809999.99994,,32075,0.38070000000000004
2011-01-27,SAKHTISUG,EQ,49.9,50.15,50.7,49.0,49.05,49.3,49.67,88281,438453145000.0,,38040,0.43090000000000006
