Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SALSTEEL,EQ,10.7,10.6,10.8,10.4,10.45,10.45,10.62,87769,93175810000.0,,51863,0.5909000000000001
2010-10-05,SALSTEEL,EQ,10.45,10.5,10.65,10.4,10.55,10.5,10.51,45757,48091345000.0,,33219,0.726
2010-10-06,SALSTEEL,EQ,10.5,10.4,10.75,10.35,10.45,10.5,10.56,58180,61432985000.0,,28806,0.4951
2010-10-07,SALSTEEL,EQ,10.5,10.45,10.65,10.35,10.35,10.4,10.46,73133,76508350000.0,,35115,0.4802
2010-10-08,SALSTEEL,EQ,10.4,10.4,10.5,10.2,10.4,10.4,10.35,37442,38744855000.0,,24119,0.6442
2010-10-11,SALSTEEL,EQ,10.4,10.45,10.65,10.25,10.35,10.35,10.41,31550,32842350000.0,,21612,0.685
2010-10-12,SALSTEEL,EQ,10.35,10.2,10.5,10.2,10.3,10.3,10.32,31151,32136675000.0,,18290,0.5871000000000001
2010-10-13,SALSTEEL,EQ,10.3,10.3,10.5,10.15,10.15,10.25,10.3,56921,58642115000.0,,28391,0.4988
2010-10-14,SALSTEEL,EQ,10.25,10.25,10.45,10.15,10.15,10.25,10.32,89761,92645790000.0,,63184,0.7039
2010-10-15,SALSTEEL,EQ,10.25,10.2,10.3,10.15,10.15,10.15,10.21,37827,38627575000.0,,33124,0.8756999999999999
2010-10-18,SALSTEEL,EQ,10.15,10.1,10.3,9.95,10.2,10.2,10.08,47314,47701530000.0,,28631,0.6051
2010-10-19,SALSTEEL,EQ,10.2,10.25,10.35,10.0,10.1,10.05,10.14,42777,43388870000.0,,26801,0.6265
2010-10-20,SALSTEEL,EQ,10.05,10.25,10.25,9.85,9.85,9.95,10.01,39716,39765585000.0,,31908,0.8034
2010-10-21,SALSTEEL,EQ,9.95,10.25,10.25,9.9,10.05,10.0,10.0,24795,24789700000.0,,16332,0.6587000000000001
2010-10-22,SALSTEEL,EQ,10.0,10.05,10.2,9.9,10.05,9.95,10.0,25889,25883390000.0,,20070,0.7752
2010-10-25,SALSTEEL,EQ,9.95,10.0,10.1,9.95,9.95,10.0,10.03,57384,57548350000.0,,38208,0.6658
