Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2015-12-02,SALZERELEC,EQ,250.7,252.5,254.4,238.95,240.0,240.4,241.25,95708,2308933525000.0,779,63637,0.6648999999999999
2015-12-03,SALZERELEC,EQ,240.4,241.5,242.0,232.4,232.4,234.15,236.48,31309,740386265000.0,420,23520,0.7512000000000001
2015-12-04,SALZERELEC,EQ,234.15,233.0,236.0,232.15,232.3,233.05,233.9,23575,551413470000.0,370,15230,0.6459999999999999
2015-12-07,SALZERELEC,EQ,233.05,233.05,235.05,229.05,233.0,231.65,231.54,33099,766389690000.0,259,24239,0.7323000000000001
2015-12-08,SALZERELEC,EQ,231.65,230.05,237.5,228.3,234.0,234.35,232.76,210742,4905203970000.0,856,159517,0.7569
2015-12-09,SALZERELEC,EQ,234.35,235.95,236.7,228.9,230.8,230.1,231.35,63942,1479309650000.0,754,38578,0.6033
2015-12-10,SALZERELEC,EQ,230.1,230.0,233.45,229.1,233.0,232.9,231.36,14136,327050025000.0,243,8528,0.6033
2015-12-11,SALZERELEC,EQ,232.9,232.0,234.85,228.0,234.0,230.75,230.65,37534,865722160000.0,337,27318,0.7278
2015-12-14,SALZERELEC,EQ,230.75,226.7,234.5,226.7,230.05,231.25,230.91,11157,257621470000.00003,138,8761,0.7852
2015-12-15,SALZERELEC,EQ,231.25,233.9,233.9,228.55,230.0,231.6,231.66,9297,215376390000.0,113,5598,0.6021
2015-12-16,SALZERELEC,EQ,231.6,232.9,240.05,231.0,232.0,233.5,235.53,83625,1969661089999.9998,668,57758,0.6907
2015-12-17,SALZERELEC,EQ,233.5,233.5,238.8,230.0,236.75,237.3,234.71,39393,924575985000.0,352,24899,0.6321
2015-12-18,SALZERELEC,EQ,237.3,237.0,241.5,232.0,232.0,234.75,238.12,59954,1427619455000.0,690,28136,0.4693
2015-12-21,SALZERELEC,EQ,234.75,235.0,235.0,231.1,233.9,232.95,233.18,71019,1656043580000.0,407,51081,0.7193
2015-12-22,SALZERELEC,EQ,232.95,233.3,240.0,231.6,234.0,232.75,236.86,40201,952195990000.0,472,21550,0.5361
2015-12-23,SALZERELEC,EQ,232.75,234.0,241.7,233.0,235.0,235.85,238.2,50089,1193129025000.0,535,29311,0.5852
2015-12-24,SALZERELEC,EQ,235.85,234.0,242.3,234.0,236.45,236.2,238.8,53414,1275541630000.0,640,28208,0.5281
2015-12-28,SALZERELEC,EQ,236.2,237.0,243.3,235.0,236.0,236.05,240.42,92953,2234752620000.0,1160,51331,0.5522
2015-12-29,SALZERELEC,EQ,236.05,239.75,239.75,233.3,235.25,236.1,235.86,32145,758170685000.0,385,19473,0.6058
2015-12-30,SALZERELEC,EQ,236.1,237.8,242.9,235.1,241.5,240.1,239.42,40084,959697319999.9999,446,30109,0.7511
2015-12-31,SALZERELEC,EQ,240.1,239.0,239.95,234.25,234.45,235.3,236.35,20698,489196509999.99994,255,15758,0.7613
2016-01-01,SALZERELEC,EQ,235.3,237.0,248.0,235.15,245.0,245.7,243.56,125018,3044930440000.0,1211,55388,0.443
2016-01-04,SALZERELEC,EQ,245.7,244.8,245.95,235.35,237.75,236.75,239.45,45684,1093896960000.0,785,34030,0.7449
2016-01-05,SALZERELEC,EQ,236.75,239.95,242.75,236.0,237.65,237.5,239.0,50600,1209327970000.0,1278,30470,0.6022
2016-01-06,SALZERELEC,EQ,237.5,239.7,247.0,236.0,238.3,239.15,242.38,101508,2460340870000.0,2190,65141,0.6417
2016-01-07,SALZERELEC,EQ,239.15,240.1,245.0,235.3,235.4,237.05,240.24,238082,5719787680000.0,3253,115046,0.4832
2016-01-08,SALZERELEC,EQ,237.05,239.5,246.4,239.0,243.15,244.85,243.24,148589,3614300054999.9995,2438,59878,0.40299999999999997
2016-01-11,SALZERELEC,EQ,244.85,241.0,246.85,238.0,239.15,240.2,241.68,144889,3501651920000.0005,1817,92385,0.6376
2016-01-12,SALZERELEC,EQ,240.2,240.5,241.85,233.55,234.1,234.9,238.48,38832,926046744999.9999,870,30335,0.7812000000000001
2016-01-13,SALZERELEC,EQ,234.9,237.9,238.9,212.0,227.5,228.5,226.72,67571,1531953955000.0,1623,35072,0.519
2016-01-14,SALZERELEC,EQ,228.5,216.5,230.0,216.05,220.5,221.0,223.58,29815,666607535000.0,697,20046,0.6723
2016-01-15,SALZERELEC,EQ,221.0,223.0,228.0,209.0,218.05,218.75,220.5,96775,2133849739999.9998,1162,56554,0.5844
2016-01-18,SALZERELEC,EQ,218.75,214.55,217.0,200.1,201.05,201.55,207.4,39172,812428000000.0,976,23951,0.6114
2016-01-19,SALZERELEC,EQ,201.55,200.0,214.9,200.0,209.9,210.25,209.22,25948,542877834999.99994,691,15058,0.5803
2016-01-20,SALZERELEC,EQ,210.25,205.0,209.9,199.75,209.5,207.5,204.58,25371,519050250000.0,564,18449,0.7272
2016-01-21,SALZERELEC,EQ,207.5,209.9,211.2,202.25,204.0,203.95,206.51,22803,470894275000.0,223,18986,0.8326000000000001
2016-01-22,SALZERELEC,EQ,203.95,209.95,219.9,205.75,215.9,216.35,214.31,83188,1782825155000.0,1109,23814,0.2863
2016-01-25,SALZERELEC,EQ,216.35,219.95,229.0,216.95,219.65,219.05,221.67,38259,848079169999.9999,797,23824,0.6227
2016-01-27,SALZERELEC,EQ,219.05,220.0,228.75,210.0,219.95,219.55,223.69,52290,1169695320000.0,984,16870,0.3226
2016-01-28,SALZERELEC,EQ,219.55,224.95,225.0,213.2,219.05,219.35,218.71,41636,910611100000.0,681,29176,0.7007
2016-01-29,SALZERELEC,EQ,219.35,221.95,228.3,217.75,225.0,224.9,225.05,31848,716733065000.0,882,24779,0.778
2016-02-01,SALZERELEC,EQ,224.9,233.4,233.4,224.1,224.2,225.45,228.12,58716,1339436035000.0,810,39951,0.6804000000000001
