Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SAMBHAAV,EQ,3.1,3.15,3.5,3.1,3.4,3.35,3.38,5692,1922259999.9999998,,4641,0.8154000000000001
2010-10-05,SAMBHAAV,EQ,3.35,2.75,3.5,2.75,3.05,3.1,3.12,16089,5018285000.0,,9107,0.5660000000000001
2010-10-06,SAMBHAAV,EQ,3.1,3.1,3.15,2.9,3.05,3.05,3.06,6813,2085995000.0,,4313,0.6331
2010-10-07,SAMBHAAV,EQ,3.05,3.0,3.05,2.85,2.9,2.9,3.01,4333,1303775000.0,,4333,1.0
2010-10-08,SAMBHAAV,EQ,2.9,2.8,3.05,2.8,2.85,2.85,2.88,1423,409710000.00000006,,923,0.6486
2010-10-11,SAMBHAAV,EQ,2.85,3.0,3.15,3.0,3.0,3.0,3.09,6885,2126405000.0,,5958,0.8654000000000001
2010-10-12,SAMBHAAV,EQ,3.0,3.0,3.0,2.9,2.9,2.9,2.94,2288,673520000.0,,2288,1.0
2010-10-13,SAMBHAAV,EQ,2.9,2.6,3.0,2.6,2.85,2.9,2.85,2880,819904999.9999999,,1801,0.6253000000000001
2010-10-14,SAMBHAAV,EQ,2.9,3.0,3.0,2.85,2.95,2.95,2.97,404,120165000.00000001,,403,0.9975
2010-10-15,SAMBHAAV,EQ,2.95,2.65,3.15,2.65,3.05,2.95,2.97,4650,1381940000.0,,4324,0.9299
2010-10-18,SAMBHAAV,EQ,2.95,3.0,3.4,3.0,3.15,3.1,3.16,10723,3386200000.0,,4783,0.4461
2010-10-19,SAMBHAAV,EQ,3.1,3.0,3.4,3.0,3.1,3.1,3.15,4065,1280785000.0,,3980,0.9791
2010-10-20,SAMBHAAV,EQ,3.1,3.2,3.2,3.0,3.0,3.0,3.1,14254,4423080000.0,,12548,0.8803000000000001
2010-10-21,SAMBHAAV,EQ,3.0,3.35,3.35,3.05,3.05,3.1,3.17,14097,4474775000.0,,10488,0.7440000000000001
2010-10-22,SAMBHAAV,EQ,3.1,2.9,3.3,2.9,3.1,3.1,3.13,39619,12388170000.0,,11640,0.2938
2010-10-25,SAMBHAAV,EQ,3.1,3.15,3.25,3.15,3.15,3.15,3.15,2500,788500000.0,,2500,1.0
2010-10-26,SAMBHAAV,EQ,3.15,3.15,3.15,3.0,3.0,3.0,3.07,9122,2803200000.0,,3574,0.3918
2010-10-27,SAMBHAAV,EQ,3.0,2.7,3.25,2.7,3.2,3.25,3.17,8897,2815995000.0,,6000,0.6744
2010-10-28,SAMBHAAV,EQ,3.25,3.0,3.15,3.0,3.15,3.15,3.14,3202,1005610000.0,,3000,0.9369
2010-10-29,SAMBHAAV,EQ,3.15,3.1,3.1,2.8,3.05,3.05,3.05,1022,311410000.0,,822,0.8043000000000001
2010-11-01,SAMBHAAV,EQ,3.05,2.85,2.9,2.85,2.9,2.9,2.87,1530,438700000.0,,1530,1.0
2010-11-02,SAMBHAAV,EQ,2.9,3.0,3.15,2.95,3.15,3.1,3.01,4338,1306895000.0,,1910,0.4403
2010-11-03,SAMBHAAV,EQ,3.1,3.0,3.05,2.9,2.9,3.0,2.99,2251,674000000.0,,2249,0.9991
2010-11-04,SAMBHAAV,EQ,3.0,2.85,2.9,2.75,2.75,2.75,2.86,5839,1669075000.0,,5839,1.0
2010-11-05,SAMBHAAV,EQ,2.75,2.75,2.75,2.75,2.75,2.75,2.75,1000,275000000.0,,1000,1.0
2010-11-08,SAMBHAAV,EQ,2.75,3.0,3.0,2.75,2.8,2.8,2.8,3784,1057835000.0,,3680,0.9725
2010-11-09,SAMBHAAV,EQ,2.8,3.1,3.1,2.9,2.9,2.9,3.04,782,237780000.00000003,,682,0.8721
2010-11-10,SAMBHAAV,EQ,2.9,3.35,3.35,2.8,3.2,3.15,3.08,35309,10871600000.0,,28745,0.8140999999999999
2010-11-11,SAMBHAAV,EQ,3.15,3.0,3.2,3.0,3.05,3.05,3.09,28522,8816780000.0,,17288,0.6061
2010-11-12,SAMBHAAV,EQ,3.05,2.9,3.25,2.9,3.15,3.15,3.04,220,66925000.0,,110,0.5
2010-11-15,SAMBHAAV,EQ,3.15,3.0,3.15,2.9,2.9,2.9,3.1,1753,543490000.0,,1753,1.0
2010-11-16,SAMBHAAV,EQ,2.9,3.15,3.15,2.8,2.8,2.8,3.01,1226,369065000.0,,1226,1.0
2010-11-18,SAMBHAAV,EQ,2.8,2.8,3.15,2.6,2.6,2.6,2.85,12528,3574444999.9999995,,7177,0.5729
2010-11-19,SAMBHAAV,EQ,2.6,2.65,2.8,2.65,2.65,2.65,2.74,4880,1336020000.0,,4180,0.8566
2010-11-22,SAMBHAAV,EQ,2.65,2.7,2.7,2.65,2.65,2.65,2.7,801,216265000.0,,800,0.9988
2010-11-23,SAMBHAAV,EQ,2.65,2.65,3.0,2.3,2.5,2.75,2.83,9725,2755580000.0,,5155,0.5301
2010-11-24,SAMBHAAV,EQ,2.75,2.95,2.95,2.6,2.95,2.65,2.86,6841,1959890000.0000002,,5834,0.8528
2010-11-25,SAMBHAAV,EQ,2.65,2.6,2.9,2.3,2.6,2.6,2.62,2262,593150000.0,,1362,0.6021
