Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SANGAMIND,EQ,44.2,44.2,46.0,44.1,44.2,44.2,44.91,35435,159149060000.0,,21564,0.6086
2010-10-05,SANGAMIND,EQ,44.2,43.7,44.7,43.7,44.25,43.75,44.1,21408,94399130000.0,,18114,0.8461
2010-10-06,SANGAMIND,EQ,43.75,44.0,47.9,43.05,47.4,47.25,46.29,134364,621934355000.0,,96504,0.7182
2010-10-07,SANGAMIND,EQ,47.25,46.1,50.0,46.1,47.05,47.3,48.25,182097,878555455000.0001,,88985,0.48869999999999997
2010-10-08,SANGAMIND,EQ,47.3,45.15,48.5,45.15,46.95,47.0,47.25,62384,294763695000.0,,40971,0.6568
2010-10-11,SANGAMIND,EQ,47.0,50.9,50.9,47.25,47.85,48.0,48.16,29950,144238150000.0,,19187,0.6406000000000001
2010-10-12,SANGAMIND,EQ,48.0,48.25,49.9,48.15,48.6,48.25,48.68,52162,253912595000.00003,,38043,0.7293000000000001
2010-10-13,SANGAMIND,EQ,48.25,47.85,53.05,47.85,51.45,51.9,51.63,260102,1342920240000.0,,128890,0.4955
2010-10-14,SANGAMIND,EQ,51.9,52.25,52.4,49.25,49.8,49.85,51.26,48993,251154550000.0,,28647,0.5847
2010-10-15,SANGAMIND,EQ,49.85,50.5,50.9,48.15,49.45,49.35,49.88,29712,148210450000.0,,20536,0.6912
2010-10-18,SANGAMIND,EQ,49.35,49.9,49.9,47.8,48.05,48.35,48.54,19361,93972210000.0,,13679,0.7065
2010-10-19,SANGAMIND,EQ,48.35,48.05,53.15,48.05,50.9,50.3,51.2,161820,828482445000.0,,55249,0.34140000000000004
2010-10-20,SANGAMIND,EQ,50.3,41.0,51.6,41.0,50.0,49.85,50.63,31109,157501465000.0,,21830,0.7017
2010-10-21,SANGAMIND,EQ,49.85,50.15,52.0,49.5,51.55,51.7,51.36,66263,340308650000.0,,34067,0.5141
2010-10-22,SANGAMIND,EQ,51.7,52.0,52.4,50.15,50.4,50.75,51.53,58743,302731945000.0,,38416,0.654
2010-10-25,SANGAMIND,EQ,50.75,52.5,54.4,51.25,51.25,51.4,52.49,117921,618942390000.0,,75061,0.6365
2010-10-26,SANGAMIND,EQ,51.4,52.0,52.45,50.35,51.25,50.8,51.74,24797,128291350000.0,,15420,0.6218
2010-10-27,SANGAMIND,EQ,50.8,51.0,51.4,49.3,50.0,49.9,50.47,15012,75768355000.0,,9635,0.6418
2010-10-28,SANGAMIND,EQ,49.9,50.9,50.95,49.35,50.55,49.85,50.08,11898,59579600000.0,,6479,0.5445000000000001
2010-10-29,SANGAMIND,EQ,49.85,49.95,50.4,47.15,47.3,47.7,48.73,19721,96100995000.0,,13495,0.6843000000000001
2010-11-01,SANGAMIND,EQ,47.7,50.75,50.75,46.9,47.5,47.15,47.88,36881,176568850000.0,,21066,0.5712
2010-11-02,SANGAMIND,EQ,47.15,48.5,51.0,48.0,50.5,49.9,49.7,109559,544557309999.99994,,55227,0.5041
2010-11-03,SANGAMIND,EQ,49.9,52.6,52.6,49.05,50.0,49.8,49.8,12741,63445319999.99999,,9929,0.7793000000000001
2010-11-04,SANGAMIND,EQ,49.8,51.0,51.0,49.0,49.15,49.25,49.31,10703,52775575000.0,,7622,0.7121
2010-11-05,SANGAMIND,EQ,49.25,49.25,50.5,49.25,50.05,50.3,50.24,3243,16293645000.000002,,3218,0.9923000000000001
2010-11-08,SANGAMIND,EQ,50.3,50.0,50.0,49.25,49.95,49.35,49.69,36433,181052805000.0,,31971,0.8775000000000001
2010-11-09,SANGAMIND,EQ,49.35,51.9,59.0,51.9,53.65,53.9,53.84,258967,1394368105000.0,,99007,0.3823
2010-11-10,SANGAMIND,EQ,53.9,54.3,56.7,53.35,54.0,53.9,55.0,132309,727720035000.0,,58530,0.4424
2010-11-11,SANGAMIND,EQ,53.9,54.2,55.4,52.0,52.4,52.45,53.63,74045,397083385000.0,,41828,0.5649000000000001
2010-11-12,SANGAMIND,EQ,52.45,54.0,58.4,51.25,51.95,51.6,53.03,70033,371371960000.0,,32299,0.4612
2010-11-15,SANGAMIND,EQ,51.6,51.6,51.65,50.0,50.7,50.3,50.49,23650,119413975000.0,,16216,0.6857
2010-11-16,SANGAMIND,EQ,50.3,51.0,51.85,45.05,48.9,48.7,49.37,36762,181503285000.0,,23348,0.6351
2010-11-18,SANGAMIND,EQ,48.7,50.0,50.05,45.55,47.0,47.05,47.17,26140,123292060000.00002,,15519,0.5937
2010-11-19,SANGAMIND,EQ,47.05,47.25,48.0,45.6,45.6,46.0,46.69,18535,86548640000.0,,12670,0.6836
2010-11-22,SANGAMIND,EQ,46.0,46.25,49.8,46.25,49.8,48.95,48.02,27200,130624550000.0,,18166,0.6679
2010-11-23,SANGAMIND,EQ,48.95,48.0,57.6,46.65,55.6,55.9,55.7,2203967,12275838805000.0,,378077,0.17149999999999999
2010-11-24,SANGAMIND,EQ,55.9,55.8,63.0,55.8,58.2,58.95,60.4,2561849,15474203125000.0,,319604,0.12480000000000001
2010-11-25,SANGAMIND,EQ,58.95,59.7,60.5,56.55,57.6,57.3,58.59,361232,2116314660000.0002,,101733,0.2816
2010-11-26,SANGAMIND,EQ,57.3,57.9,58.3,46.2,53.0,52.45,52.59,224871,1182557245000.0,,63361,0.2818
2010-11-29,SANGAMIND,EQ,52.45,52.0,53.45,49.3,50.5,51.1,51.21,76932,393964860000.0,,32418,0.4214
2010-11-30,SANGAMIND,EQ,51.1,50.5,55.5,50.1,54.1,53.85,53.73,107360,576858060000.0,,41099,0.38280000000000003
2010-12-01,SANGAMIND,EQ,53.85,52.3,57.8,51.9,56.0,56.7,56.1,84344,473149245000.0,,26864,0.3185
2010-12-02,SANGAMIND,EQ,56.7,56.5,58.5,55.2,56.5,56.4,57.25,45996,263343645000.00003,,20715,0.4504
2010-12-03,SANGAMIND,EQ,56.4,46.0,54.75,46.0,47.6,47.55,49.0,535568,2624550115000.0,,161782,0.30210000000000004
2010-12-06,SANGAMIND,EQ,47.55,45.3,51.0,45.3,48.2,48.25,49.21,95416,469526320000.0,,32615,0.3418
2010-12-07,SANGAMIND,EQ,48.25,48.1,49.0,44.3,46.75,46.7,46.79,126063,589911200000.0,,38102,0.30219999999999997
2010-12-08,SANGAMIND,EQ,46.7,46.0,48.8,44.5,45.5,45.1,46.01,37158,170977385000.0,,20627,0.5551
2010-12-09,SANGAMIND,EQ,45.1,44.2,46.0,36.1,38.0,37.75,37.33,286272,1068636740000.0,,156564,0.5468999999999999
2010-12-10,SANGAMIND,EQ,37.75,39.0,40.75,37.0,40.0,39.55,39.61,46317,183469370000.0,,22671,0.48950000000000005
2010-12-13,SANGAMIND,EQ,39.55,40.7,41.4,35.6,35.6,36.35,37.61,89882,338068465000.0,,68101,0.7576999999999999
2010-12-14,SANGAMIND,EQ,36.35,36.0,37.0,33.5,34.45,34.2,34.74,253181,879447805000.0001,,127947,0.5054
2010-12-15,SANGAMIND,EQ,34.2,34.9,36.5,34.55,35.5,35.6,35.64,74770,266456095000.00003,,37209,0.4976
2010-12-16,SANGAMIND,EQ,35.6,35.75,37.0,34.55,37.0,36.7,36.19,56781,205466605000.0,,24836,0.4374
2010-12-20,SANGAMIND,EQ,36.7,36.75,39.1,36.2,37.6,37.7,37.77,83794,316519595000.0,,27223,0.3249
2010-12-21,SANGAMIND,EQ,37.7,37.6,38.65,36.9,37.6,37.25,37.69,34679,130720864999.99998,,13852,0.3994
2010-12-22,SANGAMIND,EQ,37.25,37.9,38.75,37.25,38.5,38.0,38.1,46749,178090785000.0,,26224,0.561
2010-12-23,SANGAMIND,EQ,38.0,38.6,39.2,37.85,39.0,38.75,38.74,64021,247985795000.00003,,24949,0.3897
2010-12-24,SANGAMIND,EQ,38.75,38.75,39.0,38.0,38.55,38.2,38.48,33977,130734889999.99998,,27282,0.8029999999999999
2010-12-27,SANGAMIND,EQ,38.2,38.05,39.0,38.05,38.4,38.5,38.52,28698,110557825000.0,,19289,0.6720999999999999
2010-12-28,SANGAMIND,EQ,38.5,38.9,39.25,38.5,38.95,38.75,38.88,18699,72700390000.0,,10510,0.5621
2010-12-29,SANGAMIND,EQ,38.75,39.15,40.4,38.55,40.0,39.9,39.53,32238,127427664999.99998,,20678,0.6414
2010-12-30,SANGAMIND,EQ,39.9,39.2,40.5,39.2,40.5,40.25,40.2,26536,106680389999.99998,,19450,0.733
2010-12-31,SANGAMIND,EQ,40.25,39.55,42.3,37.5,42.05,41.9,41.61,55855,232435820000.00003,,25835,0.4625
2011-01-03,SANGAMIND,EQ,41.9,42.6,43.9,42.4,43.5,43.35,43.33,35806,155139345000.0,,17543,0.48990000000000006
2011-01-04,SANGAMIND,EQ,43.35,43.45,46.05,43.0,44.25,44.5,44.71,55792,249450210000.0,,33247,0.5959000000000001
2011-01-05,SANGAMIND,EQ,44.5,44.0,45.4,44.0,44.2,44.2,44.6,19918,88829125000.0,,12030,0.604
2011-01-06,SANGAMIND,EQ,44.2,43.8,44.2,41.1,42.9,42.55,42.96,21067,90508005000.0,,15350,0.7286
2011-01-07,SANGAMIND,EQ,42.55,42.75,43.55,40.05,40.5,40.4,41.22,39334,162146215000.0,,26011,0.6613
2011-01-10,SANGAMIND,EQ,40.4,39.75,41.3,39.0,39.9,39.5,40.1,26254,105266885000.00002,,17955,0.6839000000000001
2011-01-11,SANGAMIND,EQ,39.5,40.5,44.0,38.0,39.1,38.7,39.47,34134,134716420000.0,,22045,0.6458
2011-01-12,SANGAMIND,EQ,38.7,39.5,40.0,38.85,39.2,39.75,39.47,14179,55963000000.0,,7974,0.5624
2011-01-13,SANGAMIND,EQ,39.75,40.0,41.5,39.55,40.15,40.05,40.49,21044,85199785000.0,,8395,0.39890000000000003
