Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SANGHIIND,EQ,27.65,27.4,28.6,27.1,27.2,27.45,27.83,25243,70252705000.0,,18086,0.7165
2010-10-05,SANGHIIND,EQ,27.45,27.5,28.6,27.35,27.95,27.75,27.96,21922,61298830000.00001,,14627,0.6672
2010-10-06,SANGHIIND,EQ,27.75,28.8,28.8,27.75,28.25,28.45,28.32,4414,12498280000.0,,3540,0.802
2010-10-07,SANGHIIND,EQ,28.45,27.7,28.4,27.5,27.7,27.85,27.83,26116,72680275000.0,,18476,0.7075
2010-10-08,SANGHIIND,EQ,27.85,27.5,28.7,27.4,27.4,27.55,28.18,14602,41144530000.0,,10637,0.7284999999999999
2010-10-11,SANGHIIND,EQ,27.55,28.0,28.45,27.75,27.8,28.05,27.99,23338,65321485000.0,,17468,0.7484999999999999
2010-10-12,SANGHIIND,EQ,28.05,28.0,28.35,27.55,28.35,28.1,27.95,13785,38524735000.0,,9416,0.6831
2010-10-13,SANGHIIND,EQ,28.1,27.85,29.0,27.8,28.6,28.75,28.41,37272,105882600000.0,,17728,0.4756
2010-10-14,SANGHIIND,EQ,28.75,28.6,29.5,28.1,29.1,29.0,28.74,13233,38031055000.0,,8284,0.626
2010-10-15,SANGHIIND,EQ,29.0,29.5,29.5,28.15,29.5,29.1,28.92,21889,63308219999.99999,,13936,0.6367
2010-10-18,SANGHIIND,EQ,29.1,28.5,29.75,28.15,29.3,29.2,28.96,16809,48684805000.0,,11756,0.6994
2010-10-19,SANGHIIND,EQ,29.2,29.0,29.9,28.8,29.0,29.45,29.34,34864,102298670000.0,,23876,0.6848000000000001
2010-10-20,SANGHIIND,EQ,29.45,29.5,29.95,29.0,29.2,29.6,29.46,38709,114036985000.00002,,20967,0.5417000000000001
2010-10-21,SANGHIIND,EQ,29.6,29.5,29.7,29.0,29.0,29.45,29.41,22667,66652665000.0,,18368,0.8103
2010-10-22,SANGHIIND,EQ,29.45,29.85,29.85,28.3,28.75,28.75,28.88,20276,58551615000.0,,9877,0.48710000000000003
2010-10-25,SANGHIIND,EQ,28.75,29.15,29.3,27.8,27.85,27.85,27.99,22045,61714915000.0,,15469,0.7017
2010-10-26,SANGHIIND,EQ,27.85,28.45,28.6,27.8,28.45,28.1,28.13,15489,43573245000.0,,12446,0.8035
2010-10-27,SANGHIIND,EQ,28.1,28.4,28.95,27.8,27.8,27.8,28.12,7201,20251360000.0,,3447,0.47869999999999996
2010-10-28,SANGHIIND,EQ,27.8,27.8,28.2,27.55,27.8,27.7,27.87,7017,19558460000.0,,4418,0.6296
2010-10-29,SANGHIIND,EQ,27.7,27.95,27.95,27.05,27.05,27.15,27.34,5775,15791115000.0,,5605,0.9706
2010-11-01,SANGHIIND,EQ,27.15,27.35,27.75,26.4,27.3,27.35,27.28,8008,21845365000.0,,7455,0.9309000000000001
2010-11-02,SANGHIIND,EQ,27.35,27.25,28.2,27.25,28.2,27.7,27.74,4309,11952395000.0,,2287,0.5307000000000001
2010-11-03,SANGHIIND,EQ,27.7,27.3,28.85,27.3,28.3,28.4,28.39,28548,81045350000.0,,22821,0.7994
2010-11-04,SANGHIIND,EQ,28.4,27.65,28.5,27.65,28.45,28.35,28.2,6990,19712430000.0,,4804,0.6873
2010-11-05,SANGHIIND,EQ,28.35,27.65,28.0,27.65,28.0,27.9,27.9,913,2547300000.0,,608,0.6659
2010-11-08,SANGHIIND,EQ,27.9,27.9,29.75,27.9,28.5,28.5,28.63,17936,51348295000.0,,13869,0.7732
2010-11-09,SANGHIIND,EQ,28.5,28.5,29.25,28.25,28.25,28.6,28.74,12153,34930815000.0,,5304,0.4364
2010-11-10,SANGHIIND,EQ,28.6,28.6,28.9,28.1,28.1,28.2,28.52,7565,21578635000.0,,4915,0.6497
2010-11-11,SANGHIIND,EQ,28.2,28.5,29.5,28.2,29.0,29.0,29.15,25629,74702230000.0,,20268,0.7908
2010-11-12,SANGHIIND,EQ,29.0,29.45,29.6,27.3,27.5,27.65,28.8,27531,79295615000.0,,19191,0.6970999999999999
2010-11-15,SANGHIIND,EQ,27.65,27.5,28.1,27.2,27.2,27.25,27.39,17173,47044445000.0,,14064,0.8190000000000001
2010-11-16,SANGHIIND,EQ,27.25,26.55,28.2,26.55,26.75,26.9,27.28,14795,40355880000.0,,11407,0.7709999999999999
2010-11-18,SANGHIIND,EQ,26.9,26.6,26.95,25.1,25.9,25.8,25.95,19032,49390110000.0,,16805,0.883
2010-11-19,SANGHIIND,EQ,25.8,26.0,26.65,25.8,26.4,26.1,26.05,6775,17645570000.0,,6414,0.9467
2010-11-22,SANGHIIND,EQ,26.1,26.6,27.0,25.5,25.6,25.95,26.01,14614,38006850000.0,,11996,0.8209000000000001
2010-11-23,SANGHIIND,EQ,25.95,26.0,26.5,24.0,25.05,25.2,25.04,10478,26240109999.999996,,5975,0.5702
2010-11-24,SANGHIIND,EQ,25.2,24.15,25.6,24.15,24.2,24.35,24.46,11907,29123380000.0,,11302,0.9492
2010-11-25,SANGHIIND,EQ,24.35,24.15,25.65,24.15,24.4,24.35,24.76,25136,62233115000.0,,15985,0.6359
2010-11-26,SANGHIIND,EQ,24.35,24.35,26.4,22.0,26.35,25.6,24.59,51469,126561585000.00002,,27092,0.5264
2010-11-29,SANGHIIND,EQ,25.6,26.35,26.35,24.2,25.35,25.3,25.16,5963,15000429999.999998,,3926,0.6584000000000001
2010-11-30,SANGHIIND,EQ,25.3,24.55,25.9,24.55,25.2,25.35,25.25,6590,16639720000.000002,,5712,0.8668000000000001
2010-12-01,SANGHIIND,EQ,25.35,25.2,28.45,25.0,28.3,27.4,26.99,31992,86334190000.0,,17837,0.5575
2010-12-02,SANGHIIND,EQ,27.4,26.5,28.75,26.5,28.0,27.95,27.8,9077,25234855000.0,,5827,0.642
2010-12-03,SANGHIIND,EQ,27.95,26.75,28.8,26.05,28.0,28.3,27.89,16359,45617745000.0,,9727,0.5946
2010-12-06,SANGHIIND,EQ,28.3,27.15,28.5,27.15,28.0,28.35,28.05,18572,52095145000.0,,16001,0.8616
2010-12-07,SANGHIIND,EQ,28.35,28.0,28.45,25.8,27.1,27.35,26.96,31553,85068145000.0,,13752,0.43579999999999997
2010-12-08,SANGHIIND,EQ,27.35,27.8,27.95,26.1,27.0,27.3,27.28,5406,14745710000.0,,3635,0.6724
2010-12-09,SANGHIIND,EQ,27.3,29.0,29.0,25.5,26.9,26.55,26.28,9995,26269309999.999996,,5125,0.5128
