Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,AVENTIS,EQ,1960.75,1980.0,1980.0,1935.0,1975.0,1947.55,1947.49,3786,737320285000.0,,3126,0.8257
2010-10-05,AVENTIS,EQ,1947.55,1965.0,1981.45,1943.55,1959.6,1959.6,1959.93,530,103876355000.0,,376,0.7094
2010-10-06,AVENTIS,EQ,1959.6,1950.0,1959.95,1935.0,1935.0,1939.45,1940.86,577,111987395000.0,,381,0.6603
2010-10-07,AVENTIS,EQ,1939.45,1929.45,1945.0,1866.0,1940.0,1939.95,1938.6,10476,2030878655000.0,,9931,0.948
2010-10-08,AVENTIS,EQ,1939.95,1940.0,1949.95,1911.35,1949.95,1935.45,1934.91,3107,601176135000.0,,2787,0.897
2010-10-11,AVENTIS,EQ,1935.45,1928.0,1947.8,1920.0,1935.0,1922.7,1926.34,473,91115905000.0,,362,0.7653
2010-10-12,AVENTIS,EQ,1922.7,1940.0,1940.0,1910.0,1920.0,1923.45,1923.26,2234,429656775000.0,,1890,0.846
2010-10-13,AVENTIS,EQ,1923.45,1920.0,1949.95,1910.15,1935.0,1933.85,1930.06,7449,1437700910000.0,,7064,0.9483
2010-10-14,AVENTIS,EQ,1933.85,1944.95,1944.95,1915.4,1925.0,1924.55,1926.44,1775,341942325000.0,,710,0.4
2010-10-15,AVENTIS,EQ,1924.55,1924.95,1924.95,1900.0,1900.0,1907.8,1909.58,387,73900700000.0,,162,0.4186
2010-10-18,AVENTIS,EQ,1907.8,1907.8,1915.0,1861.1,1887.95,1880.75,1880.93,457,85958305000.0,,388,0.8490000000000001
2010-10-19,AVENTIS,EQ,1880.75,1880.75,1928.95,1868.1,1868.1,1874.25,1882.32,152,28611225000.0,,91,0.5987
2010-10-20,AVENTIS,EQ,1874.25,1850.75,1887.0,1850.75,1860.9,1860.9,1860.43,51298,9543609215000.0,,51144,0.997
2010-10-21,AVENTIS,EQ,1860.9,1861.0,1888.0,1840.0,1841.0,1847.0,1853.3,588,108974064999.99998,,411,0.6990000000000001
2010-10-22,AVENTIS,EQ,1847.0,1860.0,1860.0,1814.0,1830.0,1831.45,1840.01,994,182897310000.0,,670,0.674
2010-10-25,AVENTIS,EQ,1831.45,1989.95,1989.95,1816.0,1816.0,1826.4,1831.47,1100,201461505000.0,,815,0.7409
