Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SANWARIA,EQ,64.35,62.6,67.0,62.1,66.5,66.45,65.57,43182,283146215000.0,,28019,0.6489
2010-10-05,SANWARIA,EQ,66.45,66.5,74.45,66.0,71.0,70.65,70.74,93862,663985500000.0,,39999,0.4261
2010-10-06,SANWARIA,EQ,70.65,72.5,76.2,67.3,75.3,74.45,74.4,87596,651672830000.0,,47327,0.5403
2010-10-07,SANWARIA,EQ,74.45,75.0,77.95,75.0,77.5,76.9,76.8,56306,432411565000.00006,,40122,0.7126
2010-10-08,SANWARIA,EQ,76.9,77.5,80.25,77.1,79.1,78.7,78.72,40245,316810290000.0,,25548,0.6348
2010-10-11,SANWARIA,EQ,78.7,77.0,91.5,77.0,82.5,82.15,85.82,215784,1851965610000.0002,,50077,0.2321
2010-10-12,SANWARIA,EQ,82.15,84.9,87.95,82.0,83.6,83.65,84.43,63436,535613945000.0,,19232,0.3032
2010-10-13,SANWARIA,EQ,83.65,83.7,94.4,82.7,92.75,92.1,88.31,141625,1250695225000.0,,66820,0.4718
2010-10-14,SANWARIA,EQ,92.1,94.25,97.0,88.1,90.0,90.35,92.89,67059,622881515000.0,,21718,0.3239
2010-10-15,SANWARIA,EQ,90.35,90.5,103.3,90.0,96.0,95.4,98.44,302364,2976513845000.0,,49982,0.1653
2010-10-18,SANWARIA,EQ,95.4,96.0,103.95,89.05,103.0,102.8,99.17,206968,2052437345000.0,,67870,0.3279
2010-10-19,SANWARIA,EQ,102.8,101.0,109.5,101.0,108.15,108.3,107.13,135518,1451821680000.0,,48637,0.3589
2010-10-20,SANWARIA,EQ,108.3,108.45,115.0,108.0,111.8,111.35,112.3,145793,1637320555000.0,,49770,0.34140000000000004
2010-10-21,SANWARIA,EQ,111.35,112.0,117.0,103.15,112.5,112.7,112.36,101136,1136358595000.0,,25144,0.2486
2010-10-22,SANWARIA,EQ,112.7,113.0,119.9,112.7,118.0,117.1,116.56,66372,773621375000.0,,24724,0.3725
2010-10-25,SANWARIA,EQ,117.1,118.3,121.45,113.5,120.4,119.55,118.89,75374,896090425000.0,,25890,0.3435
2010-10-26,SANWARIA,EQ,119.55,122.0,124.0,119.0,122.5,122.2,122.2,44150,539496555000.0,,23126,0.5238
2010-10-27,SANWARIA,EQ,122.2,122.2,127.0,119.05,122.5,121.9,123.34,50685,625149475000.0,,30250,0.5968
2010-10-28,SANWARIA,EQ,121.9,124.8,134.1,120.1,132.6,130.45,130.89,144993,1897855660000.0002,,71345,0.49210000000000004
2010-10-29,SANWARIA,EQ,130.45,133.0,142.9,123.0,131.1,130.7,135.68,280911,3811479429999.9995,,96729,0.3443
2010-11-01,SANWARIA,EQ,130.7,134.9,137.0,129.0,136.0,133.95,133.26,52189,695445115000.0,,25181,0.4825
2010-11-02,SANWARIA,EQ,133.95,135.0,145.0,133.3,145.0,144.75,142.0,96688,1372990860000.0,,37840,0.3914
2010-11-03,SANWARIA,EQ,144.75,146.0,149.8,142.0,142.9,142.8,146.6,39503,579101915000.0,,16361,0.4142
2010-11-04,SANWARIA,EQ,142.8,143.0,144.5,135.7,138.4,139.1,138.52,52047,720965005000.0,,24689,0.4744
2010-11-05,SANWARIA,EQ,139.1,139.0,145.0,132.3,143.9,140.5,139.41,15156,211294925000.0,,9534,0.6291
2010-11-08,SANWARIA,EQ,140.5,142.5,147.3,140.1,147.3,146.95,145.07,36406,528144425000.0,,18321,0.5032
2010-11-09,SANWARIA,EQ,146.95,146.5,153.5,143.1,153.2,152.95,151.67,24436,370632145000.0,,15061,0.6163000000000001
2010-11-10,SANWARIA,EQ,152.95,154.0,160.0,152.3,157.0,158.9,158.72,44454,705582590000.0,,27291,0.6139
2010-11-11,SANWARIA,EQ,158.9,161.9,166.85,157.25,164.0,164.9,164.77,61461,1012697530000.0001,,36878,0.6
2010-11-12,SANWARIA,EQ,164.9,165.0,170.8,165.0,167.0,167.0,168.35,27433,461845434999.99994,,15729,0.5734
2010-11-15,SANWARIA,EQ,167.0,167.0,175.0,167.0,175.0,174.2,172.71,36466,629815360000.0,,20611,0.5652
2010-11-16,SANWARIA,EQ,174.2,178.8,181.4,165.6,165.7,167.25,176.56,37772,666912890000.0,,19316,0.5114
2010-11-18,SANWARIA,EQ,167.25,167.0,169.0,158.9,158.9,158.9,161.48,57098,922025969999.9999,,37687,0.66
2010-11-19,SANWARIA,EQ,158.9,158.9,158.9,150.95,150.95,150.95,150.99,20755,313384625000.0,,17216,0.8295
2010-11-22,SANWARIA,EQ,150.95,143.4,153.0,143.4,152.5,151.9,146.73,56922,835239595000.0,,41671,0.7321
2010-11-23,SANWARIA,EQ,151.9,146.1,151.95,144.5,147.5,147.9,148.48,14802,219778940000.0,,10274,0.6940999999999999
2010-11-24,SANWARIA,EQ,147.9,143.25,153.0,143.25,150.0,150.4,151.12,11598,175267395000.0,,7305,0.6298
2010-11-25,SANWARIA,EQ,150.4,150.0,152.0,147.1,149.5,150.15,150.65,5392,81231460000.0,,4954,0.9188
2010-11-26,SANWARIA,EQ,150.15,147.0,150.0,144.15,144.15,145.3,147.25,13623,200601035000.0,,12192,0.895
2010-11-29,SANWARIA,EQ,145.3,144.5,148.8,142.05,145.5,145.9,146.79,9182,134778510000.00002,,6201,0.6753
2010-11-30,SANWARIA,EQ,145.9,145.0,149.95,142.5,149.0,147.4,147.18,10904,160487875000.0,,8285,0.7598
2010-12-01,SANWARIA,EQ,147.4,147.0,154.8,146.05,154.0,154.35,153.69,18486,284118995000.0,,17100,0.925
2010-12-02,SANWARIA,EQ,154.35,158.0,162.1,152.0,154.5,154.95,158.01,101341,1601266815000.0,,45354,0.4475
2010-12-03,SANWARIA,EQ,154.95,155.0,156.95,151.5,151.55,152.0,153.41,16199,248512779999.99997,,9418,0.5814
2010-12-06,SANWARIA,EQ,152.0,152.0,156.5,150.2,156.0,155.7,154.15,11435,176274540000.0,,7467,0.653
2010-12-07,SANWARIA,EQ,155.7,152.35,156.0,152.0,153.5,153.95,154.4,8600,132784220000.0,,5380,0.6256
2010-12-08,SANWARIA,EQ,153.95,155.0,156.5,146.25,151.0,151.2,150.72,33199,500379825000.0,,24816,0.7475
2010-12-09,SANWARIA,EQ,151.2,150.0,150.1,143.65,145.0,146.5,147.34,42936,632619200000.0,,31785,0.7403000000000001
2010-12-10,SANWARIA,EQ,146.5,141.0,149.8,141.0,146.5,144.8,145.6,26029,378982915000.0,,22539,0.8659
2010-12-13,SANWARIA,EQ,144.8,149.0,149.0,141.25,145.5,144.3,144.01,11358,163564505000.0,,7720,0.6797
2010-12-14,SANWARIA,EQ,144.3,143.0,145.0,138.65,139.0,139.85,141.06,18982,267764429999.99997,,14678,0.7733
2010-12-15,SANWARIA,EQ,139.85,135.5,142.0,132.9,138.0,138.6,137.93,19902,274517800000.0,,12667,0.6365
2010-12-16,SANWARIA,EQ,138.6,138.8,141.95,138.5,140.0,140.4,140.5,6295,88443110000.0,,4586,0.7284999999999999
