Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-12-03,SAREGAMA,EQ,87.05,87.1,89.7,83.55,86.0,85.55,85.74,3624,31071809999.999996,,2207,0.609
2010-12-06,SAREGAMA,EQ,85.55,85.1,88.0,84.5,84.5,85.5,86.57,4203,36385890000.0,,3361,0.7997
2010-12-07,SAREGAMA,EQ,85.5,85.0,85.0,84.35,84.55,84.6,84.59,2091,17688420000.0,,1846,0.8828
2010-12-08,SAREGAMA,EQ,84.6,81.8,84.0,80.4,80.4,80.4,80.92,2984,24145475000.0,,2176,0.7292000000000001
2010-12-09,SAREGAMA,EQ,80.4,80.0,84.45,76.4,76.4,76.65,82.15,22916,188251310000.0,,8163,0.35619999999999996
2010-12-10,SAREGAMA,EQ,76.65,74.0,76.5,72.9,76.5,76.1,75.29,3197,24068775000.0,,2169,0.6784
2010-12-13,SAREGAMA,EQ,76.1,78.0,78.0,74.2,75.9,75.55,76.74,3603,27650484999.999996,,2628,0.7293999999999999
2010-12-14,SAREGAMA,EQ,75.55,75.0,79.35,75.0,79.35,79.1,77.94,8858,69037285000.0,,6303,0.7116
2010-12-15,SAREGAMA,EQ,79.1,81.0,81.0,77.0,78.0,77.55,78.9,3756,29633815000.000004,,2375,0.6323
2010-12-16,SAREGAMA,EQ,77.55,75.1,79.2,75.1,76.5,76.4,77.0,2040,15708225000.0,,1899,0.9309000000000001
2010-12-20,SAREGAMA,EQ,76.4,79.0,79.8,73.05,78.0,76.9,77.06,1345,10365100000.0,,661,0.4914
2010-12-21,SAREGAMA,EQ,76.9,73.5,80.75,73.5,80.75,80.75,80.18,16335,130978314999.99998,,14027,0.8587
2010-12-22,SAREGAMA,EQ,80.75,81.0,84.8,79.15,80.3,81.2,82.73,8976,74257545000.0,,4363,0.48610000000000003
2010-12-23,SAREGAMA,EQ,81.2,80.35,85.0,80.3,82.8,83.35,83.24,9398,78228195000.0,,6650,0.7076000000000001
2010-12-24,SAREGAMA,EQ,83.35,83.0,85.0,82.5,83.0,83.1,83.83,9865,82694305000.0,,8362,0.8476
2010-12-27,SAREGAMA,EQ,83.1,84.0,84.45,79.0,79.85,79.5,81.04,5837,47303385000.0,,4417,0.7567
2010-12-28,SAREGAMA,EQ,79.5,79.85,80.95,78.2,79.65,78.9,78.96,1766,13945150000.0,,1269,0.7186
2010-12-29,SAREGAMA,EQ,78.9,77.3,79.25,76.75,77.0,77.05,77.57,4877,37829555000.0,,3952,0.8103
2010-12-30,SAREGAMA,EQ,77.05,75.2,79.7,73.2,78.0,75.6,75.82,45439,344507625000.0,,30287,0.6665000000000001
2010-12-31,SAREGAMA,EQ,75.6,77.05,78.15,75.9,76.5,76.7,76.98,7849,60424905000.00001,,5989,0.763
2011-01-03,SAREGAMA,EQ,76.7,77.1,80.55,77.0,78.75,79.35,79.19,11698,92633000000.0,,6936,0.5929
2011-01-04,SAREGAMA,EQ,79.35,79.65,80.0,78.25,79.1,79.5,79.33,10415,82621815000.0,,2964,0.2846
2011-01-05,SAREGAMA,EQ,79.5,80.4,80.4,77.0,77.95,77.55,78.2,1684,13168279999.999998,,1207,0.7167
2011-01-06,SAREGAMA,EQ,77.55,76.9,78.55,76.65,77.0,77.45,77.11,1741,13424725000.0,,940,0.5399
2011-01-07,SAREGAMA,EQ,77.45,78.0,78.0,75.1,75.95,75.6,76.98,5344,41135590000.0,,4762,0.8911
2011-01-10,SAREGAMA,EQ,75.6,78.9,78.9,73.0,73.0,73.35,73.96,2121,15687179999.999998,,1311,0.6181
2011-01-11,SAREGAMA,EQ,73.35,68.0,80.0,68.0,71.0,70.25,71.21,16833,119867285000.00002,,7847,0.4662
2011-01-12,SAREGAMA,EQ,70.25,68.05,72.8,68.05,71.5,71.75,71.71,2323,16657310000.0,,1678,0.7223
2011-01-13,SAREGAMA,EQ,71.75,72.7,77.5,70.5,74.0,73.85,73.11,15280,111706625000.0,,5536,0.36229999999999996
2011-01-14,SAREGAMA,EQ,73.85,73.1,73.45,70.6,72.8,72.05,72.26,2829,20441500000.0,,1848,0.6531999999999999
2011-01-17,SAREGAMA,EQ,72.05,71.55,72.5,69.0,69.75,69.65,70.34,3614,25422240000.0,,2366,0.6547
2011-01-18,SAREGAMA,EQ,69.65,67.15,72.0,67.15,68.9,69.15,70.0,5046,35319845000.0,,4094,0.8113
2011-01-19,SAREGAMA,EQ,69.15,66.2,70.85,66.2,68.75,68.0,68.16,2742,18689805000.0,,2290,0.8351999999999999
2011-01-20,SAREGAMA,EQ,68.0,69.9,69.95,63.0,63.85,64.1,64.9,38013,246708120000.00003,,23745,0.6247
2011-01-21,SAREGAMA,EQ,64.1,61.05,66.9,61.05,65.25,66.0,65.82,7440,48969755000.0,,3794,0.5099
2011-01-24,SAREGAMA,EQ,66.0,67.0,68.0,63.85,66.35,66.25,66.53,5400,35926240000.0,,3976,0.7363
2011-01-25,SAREGAMA,EQ,66.25,64.15,67.4,64.15,66.2,66.05,65.92,2570,16942285000.0,,1910,0.7432
2011-01-27,SAREGAMA,EQ,66.05,67.0,67.0,62.85,63.5,63.6,64.45,6182,39843590000.0,,4054,0.6558
2011-01-28,SAREGAMA,EQ,63.6,62.6,63.8,60.7,60.7,61.25,62.16,10781,67014115000.0,,5052,0.4686
2011-01-31,SAREGAMA,EQ,61.25,60.5,65.3,55.2,65.3,62.15,59.08,11404,67379790000.0,,5892,0.5167
2011-02-01,SAREGAMA,EQ,62.15,62.5,62.5,56.25,59.2,60.35,59.87,10202,61074290000.0,,6133,0.6012
2011-02-02,SAREGAMA,EQ,60.35,60.5,61.8,59.25,61.0,61.05,60.58,2179,13199550000.0,,1771,0.8128000000000001
