Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-04,SASKEN,EQ,192.3,192.1,194.3,191.0,191.15,191.75,192.81,30728,592452095000.0,,16658,0.5421
2010-10-05,SASKEN,EQ,191.75,191.95,193.35,190.1,191.25,191.05,191.45,39599,758123890000.0,,20998,0.5303
2010-10-06,SASKEN,EQ,191.05,192.1,203.6,191.6,202.5,200.75,198.87,269021,5350067485000.0,,112099,0.4167
2010-10-07,SASKEN,EQ,200.75,203.75,208.0,195.1,200.45,199.5,204.28,476188,9727554520000.0,,153345,0.322
2010-10-08,SASKEN,EQ,199.5,201.5,202.85,196.15,197.0,197.35,199.73,80909,1616033520000.0,,25933,0.32049999999999995
2010-10-11,SASKEN,EQ,197.35,198.85,199.45,195.05,198.0,196.45,197.22,43936,866526105000.0001,,21364,0.4863
2010-10-12,SASKEN,EQ,196.45,198.85,204.4,198.5,203.0,202.3,201.96,150706,3043595515000.0,,63033,0.4183
2010-10-13,SASKEN,EQ,202.3,205.0,207.75,203.0,204.1,205.9,205.6,173651,3570255920000.0005,,80794,0.46530000000000005
2010-10-14,SASKEN,EQ,205.9,208.7,210.4,201.1,208.2,207.95,207.24,219986,4558882920000.0,,105778,0.4808
2010-10-15,SASKEN,EQ,207.95,208.0,209.45,199.6,201.8,202.1,204.81,73779,1511072400000.0,,30812,0.41759999999999997
2010-10-18,SASKEN,EQ,202.1,204.9,221.6,204.7,218.6,218.8,214.57,1286493,27604089530000.0,,295098,0.22940000000000002
2010-10-19,SASKEN,EQ,218.8,220.9,233.5,217.1,226.4,225.95,225.3,2695115,60719674079999.99,,527692,0.19579999999999997
2010-10-20,SASKEN,EQ,225.95,230.0,237.5,226.1,231.3,229.15,232.32,1187517,27588605175000.0,,339231,0.2857
2010-10-21,SASKEN,EQ,229.15,234.4,235.6,226.5,230.6,229.2,231.99,823716,19109511780000.0,,267261,0.3245
2010-10-22,SASKEN,EQ,229.2,232.0,233.55,205.0,205.2,206.6,213.9,1216965,26030889360000.0,,421541,0.3464
2010-10-25,SASKEN,EQ,206.6,208.65,209.8,198.0,198.05,199.35,201.85,516916,10434165665000.0,,177615,0.3436
2010-10-26,SASKEN,EQ,199.35,199.95,203.0,195.15,196.25,196.75,199.23,305690,6090154135000.0,,112483,0.368
2010-10-27,SASKEN,EQ,196.75,196.0,197.3,192.1,193.0,193.2,194.14,166962,3241352390000.0,,63703,0.3815
2010-10-28,SASKEN,EQ,193.2,193.3,194.0,188.05,188.7,188.85,190.25,163091,3102808730000.0,,85060,0.5215
2010-10-29,SASKEN,EQ,188.85,187.4,192.5,183.1,189.25,187.75,187.03,215743,4035082110000.0,,114216,0.5294
2010-11-01,SASKEN,EQ,187.75,190.0,192.55,185.55,187.85,188.25,188.94,189644,3583044425000.0,,96592,0.5093
