Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2010-10-05,MICROSEC,EQ,118.0,130.0,142.0,108.55,110.5,111.35,117.53,26020771,305827596775000.0,,5104356,0.1962
2010-10-06,MICROSEC,EQ,111.35,112.0,112.5,97.6,102.2,101.45,102.42,5261233,53886386845000.01,,777161,0.1477
2010-10-07,MICROSEC,EQ,101.45,101.0,112.0,101.0,105.95,105.05,106.68,2229211,23781382120000.0,,456312,0.2047
2010-10-08,MICROSEC,EQ,105.05,105.45,107.8,101.5,101.75,102.75,104.6,713261,7460768340000.001,,204598,0.2868
2010-10-11,MICROSEC,EQ,102.75,103.8,105.5,99.5,100.3,100.4,101.71,567778,5775043300000.0,,139219,0.2452
2010-10-12,MICROSEC,EQ,100.4,100.4,101.75,94.1,94.75,95.4,97.61,405694,3959837035000.0,,209407,0.5162
2010-10-13,MICROSEC,EQ,95.4,95.9,99.8,94.0,94.45,95.25,96.84,640366,6201022730000.0,,197777,0.3088
2010-10-14,MICROSEC,EQ,95.25,95.4,96.2,90.1,90.3,90.95,92.5,359793,3328050075000.0,,130965,0.364
2010-10-15,MICROSEC,EQ,90.95,91.0,94.15,87.0,87.6,87.95,91.08,409811,3732702490000.0,,152001,0.37090000000000006
2010-10-18,MICROSEC,EQ,87.95,79.75,88.95,79.75,84.9,84.9,85.39,275428,2351776375000.0,,140259,0.5092
2010-10-19,MICROSEC,EQ,84.9,85.0,96.1,83.0,89.8,90.75,91.37,1630127,14894386580000.002,,293842,0.18030000000000002
2010-10-20,MICROSEC,EQ,90.75,90.0,94.4,88.05,89.0,88.65,91.47,606352,5546471415000.0,,140964,0.2325
2010-10-21,MICROSEC,EQ,88.65,89.3,93.4,89.1,91.35,91.7,91.71,415298,3808604845000.0005,,127764,0.30760000000000004
2010-10-22,MICROSEC,EQ,91.7,92.5,93.1,88.1,88.5,88.7,91.08,274669,2501715950000.0,,73374,0.2671
2010-10-25,MICROSEC,EQ,88.7,89.2,91.5,87.3,88.2,88.55,89.67,282049,2529072050000.0,,50719,0.17980000000000002
2010-10-26,MICROSEC,EQ,88.55,88.5,91.7,88.0,88.5,88.5,89.98,254957,2294022735000.0,,61625,0.24170000000000003
2010-10-27,MICROSEC,EQ,88.5,89.0,89.5,86.0,86.3,86.25,87.5,113340,991743105000.0001,,61423,0.5418999999999999
2010-10-28,MICROSEC,EQ,86.25,86.9,87.45,85.0,85.0,85.25,86.1,89306,768958290000.0,,46722,0.5232
2010-10-29,MICROSEC,EQ,85.25,85.7,85.8,80.55,81.0,81.4,83.22,169818,1413240950000.0,,81388,0.4793
2010-11-01,MICROSEC,EQ,81.4,82.95,83.8,80.25,81.15,81.05,81.65,138045,1127103245000.0,,69707,0.505
2010-11-02,MICROSEC,EQ,81.05,81.0,82.6,80.1,80.5,80.4,81.42,131139,1067765980000.0001,,56097,0.4278
2010-11-03,MICROSEC,EQ,80.4,81.0,81.35,79.35,79.5,79.5,80.16,113521,910028840000.0,,79802,0.703
2010-11-04,MICROSEC,EQ,79.5,80.0,82.45,79.1,80.7,80.25,80.59,112276,904869505000.0001,,43159,0.38439999999999996
2010-11-05,MICROSEC,EQ,80.25,80.05,83.0,80.05,82.5,82.2,82.02,62347,511378470000.0,,46137,0.74
2010-11-08,MICROSEC,EQ,82.2,83.8,89.5,82.1,86.55,87.75,86.14,633620,5458146475000.0,,267142,0.4216
2010-11-09,MICROSEC,EQ,87.75,87.75,93.4,87.0,92.0,91.6,91.49,1015029,9286647750000.0,,400896,0.395
2010-11-10,MICROSEC,EQ,91.6,91.5,94.7,90.25,91.4,91.25,93.22,485888,4529311260000.0,,263945,0.5432
2010-11-11,MICROSEC,EQ,91.25,91.25,93.0,84.4,85.6,85.35,87.9,188047,1652965390000.0,,116177,0.6178
2010-11-12,MICROSEC,EQ,85.35,85.7,86.0,82.55,84.0,83.0,84.36,140523,1185518235000.0,,83822,0.5965
2010-11-15,MICROSEC,EQ,83.0,84.7,84.7,80.55,81.0,81.15,82.29,132737,1092316144999.9999,,53006,0.3993
2010-11-16,MICROSEC,EQ,81.15,81.35,81.95,77.55,78.0,77.9,78.96,130956,1034039625000.0,,75881,0.5794
2010-11-18,MICROSEC,EQ,77.9,79.2,80.6,73.25,75.5,74.8,75.92,141669,1075603065000.0,,57995,0.4094
2010-11-19,MICROSEC,EQ,74.8,75.0,75.15,71.0,71.85,72.15,73.5,94207,692393900000.0,,40004,0.42460000000000003
2010-11-22,MICROSEC,EQ,72.15,73.0,73.85,70.35,72.5,72.6,72.7,71120,517047670000.0,,23191,0.3261
2010-11-23,MICROSEC,EQ,72.6,72.0,72.95,67.05,70.45,69.95,69.87,87591,612028020000.0,,35806,0.40880000000000005
2010-11-24,MICROSEC,EQ,69.95,69.1,71.5,65.55,68.0,67.95,69.89,51641,360933945000.0,,29315,0.5677000000000001
2010-11-25,MICROSEC,EQ,67.95,68.0,69.35,67.0,68.0,67.95,67.9,58787,399135270000.0,,35591,0.6054
2010-11-26,MICROSEC,EQ,67.95,68.7,68.7,60.2,62.1,62.6,63.35,82155,520459759999.99994,,45559,0.5545
2010-11-29,MICROSEC,EQ,62.6,62.6,63.5,61.9,62.0,62.3,62.64,36329,227553295000.00003,,23302,0.6414
2010-11-30,MICROSEC,EQ,62.3,61.1,63.5,61.05,62.15,62.5,62.4,36037,224880720000.00003,,17728,0.4919
2010-12-01,MICROSEC,EQ,62.5,62.0,68.5,62.0,67.65,67.6,65.7,116640,766274940000.0,,64568,0.5536
2010-12-02,MICROSEC,EQ,67.6,69.1,70.75,68.0,69.5,68.85,69.63,63944,445268509999.99994,,36055,0.5639000000000001
2010-12-03,MICROSEC,EQ,68.85,69.0,69.5,63.7,63.85,64.2,65.43,62918,411687565000.0,,39900,0.6342
2010-12-06,MICROSEC,EQ,64.2,63.5,65.4,63.5,64.25,64.6,64.76,24073,155897420000.0,,14362,0.5966
2010-12-07,MICROSEC,EQ,64.6,63.1,64.3,62.6,63.9,64.0,63.73,23586,150316390000.0,,15546,0.6591
2010-12-08,MICROSEC,EQ,64.0,62.3,63.8,61.0,61.5,61.65,62.27,24269,151119910000.0,,16335,0.6731
2010-12-09,MICROSEC,EQ,61.65,61.05,61.45,55.6,56.35,56.25,58.93,61449,362091920000.0,,34023,0.5537
2010-12-10,MICROSEC,EQ,56.25,56.0,56.3,46.05,55.6,55.0,54.13,135069,731070450000.0,,110556,0.8185
2010-12-13,MICROSEC,EQ,55.0,56.6,57.9,55.0,55.0,55.55,56.02,26827,150292995000.0,,16888,0.6295000000000001
2010-12-14,MICROSEC,EQ,55.55,56.25,63.5,55.6,58.3,58.5,59.57,129227,769788375000.0,,38143,0.2952
2010-12-15,MICROSEC,EQ,58.5,59.3,59.3,54.1,54.85,54.5,55.65,71711,399038515000.0,,49780,0.6942
2010-12-16,MICROSEC,EQ,54.5,54.05,57.45,54.05,55.45,55.5,55.52,70152,389468540000.0,,36349,0.5181
2010-12-20,MICROSEC,EQ,55.5,54.2,56.55,53.5,54.1,54.35,54.9,40036,219792979999.99997,,31527,0.7875
2010-12-21,MICROSEC,EQ,54.35,55.0,55.0,53.5,53.7,53.85,53.98,53167,286996830000.0,,38853,0.7308
2010-12-22,MICROSEC,EQ,53.85,53.5,54.8,53.0,53.0,53.25,54.03,40699,219889979999.99997,,22081,0.5425
2010-12-23,MICROSEC,EQ,53.25,53.25,54.65,53.05,53.2,53.3,53.76,47461,255138765000.0,,27839,0.5866
2010-12-24,MICROSEC,EQ,53.3,53.3,54.0,52.0,52.2,52.35,53.24,53122,282820535000.0,,30258,0.5696
2010-12-27,MICROSEC,EQ,52.35,53.5,53.5,51.9,52.0,52.1,52.62,19212,101093840000.0,,11661,0.6070000000000001
2010-12-28,MICROSEC,EQ,52.1,52.2,52.75,50.7,50.8,51.0,51.34,31050,159401315000.0,,25209,0.8119
2010-12-29,MICROSEC,EQ,51.0,52.25,52.3,50.55,51.6,51.3,51.66,43934,226969150000.0,,29603,0.6738
2010-12-30,MICROSEC,EQ,51.3,51.8,51.8,49.8,50.1,50.0,50.49,55859,282023440000.0,,38357,0.6867
2010-12-31,MICROSEC,EQ,50.0,51.0,60.0,50.0,57.0,57.9,58.25,1297282,7557298455000.0,,193556,0.1492
2011-01-03,MICROSEC,EQ,57.9,58.75,61.9,55.25,57.2,57.65,58.77,502805,2954742955000.0,,112252,0.2233
2011-01-04,MICROSEC,EQ,57.65,58.0,60.6,57.05,58.65,58.95,59.14,198412,1173506135000.0,,53570,0.27
2011-01-05,MICROSEC,EQ,58.95,59.3,59.4,57.7,57.9,58.0,58.24,51236,298417010000.0,,22321,0.43570000000000003
2011-01-06,MICROSEC,EQ,58.0,58.0,59.4,56.2,56.55,56.75,57.82,51975,300534835000.0,,25080,0.4825
2011-01-07,MICROSEC,EQ,56.75,56.1,57.2,55.0,55.0,55.35,55.99,47981,268636335000.0,,28132,0.5863
2011-01-10,MICROSEC,EQ,55.35,54.6,55.85,52.0,52.0,52.55,53.84,37873,203901935000.0,,22778,0.6014
2011-01-11,MICROSEC,EQ,52.55,52.5,53.7,51.05,51.1,51.85,52.42,40441,211985340000.0,,21036,0.5202
2011-01-12,MICROSEC,EQ,51.85,51.1,52.5,50.05,51.6,51.75,51.48,33308,171485415000.0,,17772,0.5336
2011-01-13,MICROSEC,EQ,51.75,50.6,54.25,50.6,52.0,52.05,52.94,49865,263992125000.0,,18689,0.37479999999999997
2011-01-14,MICROSEC,EQ,52.05,51.0,53.35,51.0,52.15,52.25,52.5,170133,893184480000.0001,,164111,0.9646
2011-01-17,MICROSEC,EQ,52.25,51.05,52.9,51.0,51.4,51.35,51.83,32144,166590270000.0,,25924,0.8065000000000001
2011-01-18,MICROSEC,EQ,51.35,51.5,52.35,50.7,51.25,51.15,51.67,35074,181233105000.0,,26834,0.7651000000000001
2011-01-19,MICROSEC,EQ,51.15,53.0,53.0,50.8,51.25,51.35,52.13,27936,145630410000.0,,11691,0.41850000000000004
2011-01-20,MICROSEC,EQ,51.35,51.95,55.35,50.15,52.15,52.4,53.48,88944,475666259999.99994,,24392,0.2742
2011-01-21,MICROSEC,EQ,52.4,52.0,53.0,51.25,51.5,51.75,51.89,17080,88629885000.0,,8476,0.4963
2011-01-24,MICROSEC,EQ,51.75,51.75,52.75,50.5,51.5,51.75,51.95,9977,51826040000.0,,6371,0.6386000000000001
2011-01-25,MICROSEC,EQ,51.75,51.5,52.6,50.5,50.5,50.8,51.45,13758,70791525000.0,,8264,0.6007
2011-01-27,MICROSEC,EQ,50.8,50.5,51.6,50.1,50.45,50.35,50.63,21227,107482305000.0,,14087,0.6636
2011-01-28,MICROSEC,EQ,50.35,50.95,50.95,46.75,48.0,48.4,48.68,32798,159648110000.0,,22595,0.6889000000000001
2011-01-31,MICROSEC,EQ,48.4,48.0,48.0,44.0,47.8,47.2,46.62,28051,130763005000.0,,18088,0.6448
2011-02-01,MICROSEC,EQ,47.2,47.1,47.5,45.3,45.3,45.45,46.21,25060,115794100000.0,,13639,0.5443
2011-02-02,MICROSEC,EQ,45.45,46.5,47.5,46.05,46.8,46.8,46.84,31025,145322650000.0,,22963,0.7401000000000001
2011-02-03,MICROSEC,EQ,46.8,47.0,48.15,46.15,47.6,47.6,47.41,48341,229203525000.0,,20774,0.42969999999999997
2011-02-04,MICROSEC,EQ,47.6,47.1,48.85,46.3,46.5,46.85,47.69,20854,99456655000.0,,11921,0.5716
2011-02-07,MICROSEC,EQ,46.85,45.0,47.5,44.1,44.1,44.8,45.44,17188,78098210000.0,,14650,0.8523000000000001
2011-02-08,MICROSEC,EQ,44.8,44.5,46.0,41.7,42.15,42.45,43.91,33125,145459530000.0,,23318,0.7039
2011-02-09,MICROSEC,EQ,42.45,42.2,43.0,38.1,40.0,39.75,41.49,44900,186269095000.0,,30838,0.6868000000000001
2011-02-10,MICROSEC,EQ,39.75,39.0,42.4,38.3,39.0,39.4,40.45,74118,299801240000.0,,40173,0.542
2011-02-11,MICROSEC,EQ,39.4,39.0,40.9,39.0,40.3,40.3,39.94,89296,356621885000.0,,71570,0.8015000000000001
2011-02-14,MICROSEC,EQ,40.3,40.3,42.25,40.3,40.95,41.4,41.62,29976,124769645000.0,,23337,0.7785
2011-02-15,MICROSEC,EQ,41.4,41.9,44.4,41.1,43.4,43.35,42.44,69457,294804920000.0,,50376,0.7253000000000001
2011-02-16,MICROSEC,EQ,43.35,43.5,45.4,43.5,45.1,45.2,44.56,32826,146256295000.0,,20074,0.6115
2011-02-17,MICROSEC,EQ,45.2,46.0,47.25,45.3,47.1,46.9,46.38,66506,308428030000.0,,54770,0.8235
2011-02-18,MICROSEC,EQ,46.9,47.4,48.0,44.0,44.9,44.7,45.89,35044,160810965000.0,,19607,0.5595
2011-02-21,MICROSEC,EQ,44.7,44.05,46.4,44.05,46.4,45.9,45.12,22427,101200425000.0,,15333,0.6837000000000001
2011-02-22,MICROSEC,EQ,45.9,44.95,47.6,44.95,45.1,45.75,46.59,75248,350545555000.0,,46640,0.6198
2011-02-23,MICROSEC,EQ,45.75,44.5,45.7,43.6,44.65,44.3,45.17,49644,224234985000.0,,46410,0.9349
2011-02-24,MICROSEC,EQ,44.3,43.55,45.0,42.25,42.25,42.7,43.63,9698,42309280000.0,,6901,0.7116
2011-02-25,MICROSEC,EQ,42.7,42.7,43.4,40.25,40.25,40.85,41.44,66126,274054365000.0,,51319,0.7761
2011-02-28,MICROSEC,EQ,40.85,42.9,42.9,40.0,40.5,40.2,40.86,39937,163185905000.0,,28821,0.7217
2011-03-01,MICROSEC,EQ,40.2,40.9,41.5,39.7,40.2,40.0,40.38,95355,385005590000.0,,87579,0.9185
2011-03-03,MICROSEC,EQ,40.0,40.3,41.0,38.75,39.5,39.15,39.34,122269,480980675000.0,,95236,0.7789
2011-03-04,MICROSEC,EQ,39.15,40.1,40.7,39.0,39.2,39.25,39.47,108183,426953565000.00006,,90994,0.8411
2011-03-07,MICROSEC,EQ,39.25,39.0,40.0,38.5,39.8,39.85,39.31,119330,469114965000.00006,,94080,0.7884000000000001
2011-03-08,MICROSEC,EQ,39.85,39.25,41.0,39.25,40.7,40.7,40.1,121690,488026840000.00006,,90693,0.7453000000000001
2011-03-09,MICROSEC,EQ,40.7,40.05,41.8,40.05,40.3,40.5,40.77,148432,605192585000.0,,95007,0.6401000000000001
2011-03-10,MICROSEC,EQ,40.5,40.0,43.1,40.0,42.1,42.25,42.06,204169,858677200000.0,,107239,0.5252
2011-03-11,MICROSEC,EQ,42.25,42.0,43.4,41.0,42.7,41.6,41.83,549486,2298304790000.0,,480582,0.8745999999999999
2011-03-14,MICROSEC,EQ,41.6,40.15,43.15,40.0,42.5,42.55,42.54,88109,374796915000.0,,73352,0.8325
2011-03-15,MICROSEC,EQ,42.55,42.1,42.15,40.7,41.8,41.8,41.61,29154,121321939999.99998,,22511,0.7721
2011-03-16,MICROSEC,EQ,41.8,42.1,43.25,41.05,42.5,42.5,42.75,34532,147607945000.0,,17971,0.5204
2011-03-17,MICROSEC,EQ,42.5,42.9,42.9,41.5,41.5,41.6,41.87,20880,87424945000.0,,10770,0.5158
2011-03-18,MICROSEC,EQ,41.6,42.0,42.7,40.1,40.5,40.3,40.87,29274,119633210000.00002,,24452,0.8353
2011-03-21,MICROSEC,EQ,40.3,40.75,41.25,39.1,39.65,39.5,40.2,10067,40466395000.0,,7603,0.7552
2011-03-22,MICROSEC,EQ,39.5,39.9,40.4,39.35,39.75,39.6,39.84,31377,125012535000.00002,,12714,0.40520000000000006
